Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Br62_rep5_Dep6_Tu0.5,28.147,0.986,36.888,8.227,0.583,8.950,0.000,8.658,0.000,3.039,0.396,0.000,0.039,0.515,0.039,0.000,0.174,0.085,0.000,0.368,0.908,0.000,0.000,0.000,0.000,0.766,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.041,0.775,0.003,0.000,0.000,0.001,0.411
Br62_rep5_Dep6_Tu3,28.060,0.950,32.166,8.530,0.297,12.812,0.000,7.556,0.000,3.422,0.000,0.000,0.000,0.566,0.226,0.000,0.195,0.000,0.000,0.109,0.265,0.000,0.099,0.075,0.000,2.405,0.000,0.020,0.000,0.035,0.000,0.000,0.000,0.239,0.906,0.026,0.000,0.000,0.518,0.518
Br62_rep6_Dep6_Tu30,0.834,8.099,19.287,3.311,0.000,11.642,0.000,3.280,1.142,2.870,0.000,0.000,0.429,0.000,0.000,0.100,1.546,0.000,0.000,0.356,0.482,0.000,0.000,1.075,0.081,10.045,9.354,7.266,0.000,1.310,0.000,0.000,0.000,0.037,0.412,0.000,0.162,0.000,0.000,16.880
Br62_rep7_Dep6_Tu20,19.114,0.829,17.711,7.459,8.054,8.845,0.000,3.492,0.000,1.993,0.243,0.000,0.000,0.371,0.000,0.000,1.057,0.000,0.000,0.057,0.296,0.000,0.000,0.111,0.109,14.798,7.936,1.007,0.000,0.726,0.000,0.000,0.000,0.000,1.928,0.000,0.294,0.000,0.127,3.442
Br62_rep2_Dep6_Tu40,0.000,8.040,7.670,5.457,0.000,13.397,0.000,3.762,0.877,0.574,2.806,0.000,0.762,0.000,0.000,0.000,0.611,0.888,0.310,0.000,0.123,0.000,0.036,0.622,0.145,2.410,15.966,17.542,0.000,1.562,0.000,0.000,0.000,0.051,1.924,0.000,0.260,0.000,0.000,14.204
Br62_rep8_Dep6_Tu0.5,12.902,4.064,16.640,12.724,0.000,32.191,0.000,2.491,0.000,2.836,0.126,0.000,0.000,0.977,0.000,0.000,0.785,0.000,0.132,0.237,1.627,0.000,0.029,0.000,0.000,0.565,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.610,0.000,0.003,0.000,10.660,0.398
Br62_rep5_Dep6_Tu2,1.994,21.245,31.862,9.017,0.000,20.178,0.000,3.736,0.000,3.501,0.566,0.000,0.245,0.112,0.000,0.000,0.615,0.000,0.724,0.000,0.016,0.000,1.146,0.000,0.000,1.405,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.276,0.022,0.010,0.000,0.139,2.189
Br62_rep4_Dep6_Tu50,0.000,8.401,9.793,5.889,0.000,4.731,0.000,1.839,0.000,1.053,0.694,0.000,0.184,0.250,0.000,0.000,1.862,0.000,0.000,0.000,0.945,0.000,0.000,1.255,0.942,3.832,26.935,16.670,0.000,4.540,0.000,0.000,0.000,0.000,1.553,0.000,0.935,0.000,0.000,7.696
Br62_rep8_Dep6_Tu40,10.022,0.332,10.697,3.629,0.000,6.627,0.000,7.730,0.000,1.320,0.000,0.000,0.000,0.576,0.000,0.000,1.503,0.000,0.000,0.000,0.000,0.000,0.154,0.565,0.008,15.952,24.918,3.931,0.000,3.866,0.000,0.000,0.000,0.000,1.123,0.000,1.070,0.000,0.000,5.973
Br62_rep7_Dep6_Tu2,13.240,6.609,11.206,5.824,18.672,27.763,0.000,4.950,0.000,4.586,0.002,0.000,0.002,0.444,0.000,0.000,0.709,0.000,0.625,0.000,2.124,0.000,0.000,0.000,0.000,1.307,0.051,0.000,0.000,0.000,0.002,0.000,0.000,0.037,0.607,0.028,0.006,0.000,0.038,1.164
