Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Br62_rep5_Dep6_Tu0.5,0.000,0.000,11.202,0.000,32.833,2.029,0.000,6.854,0.000,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26.095,17.498,3.326,0.000,0.000,0.000,0.000
Br62_rep5_Dep6_Tu3,0.000,0.000,12.058,0.000,27.132,5.380,0.000,5.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.838,34.594,12.399,2.170,0.000,0.022,0.000,0.000
Br62_rep6_Dep6_Tu30,0.000,0.000,4.593,0.000,16.505,3.844,0.000,1.431,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.148,0.000,5.984,0.000,9.559,0.000,0.664,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.952,6.482,0.000,0.000,47.809,0.000,0.000
Br62_rep7_Dep6_Tu20,0.000,0.000,10.172,2.511,14.157,4.032,0.000,1.676,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.315,0.000,14.855,0.000,3.675,0.000,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.000,0.000,34.779,10.206,0.000,0.000,2.744,0.000,0.000
Br62_rep2_Dep6_Tu40,0.000,0.000,6.178,0.000,8.647,8.635,0.000,1.453,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.032,0.000,3.342,14.057,22.609,0.000,2.514,0.000,0.000,0.000,0.000,0.307,0.000,0.401,0.000,0.000,0.000,0.000,0.000,0.587,0.000,7.211,2.230,20.248,0.000,0.000,0.548
Br62_rep8_Dep6_Tu0.5,0.000,0.000,13.323,0.000,24.403,10.110,0.000,1.884,0.000,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.102,0.000,0.000,4.687,7.407,1.602,0.000,0.000,35.418,0.000
Br62_rep5_Dep6_Tu2,0.000,0.000,8.023,0.000,36.762,4.199,0.000,3.118,0.000,0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.857,0.000,0.986,4.651,5.353,0.000,6.087,0.000,0.000,29.870
Br62_rep4_Dep6_Tu50,0.000,0.000,6.643,0.000,12.146,2.075,0.000,0.495,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.959,0.068,7.588,32.587,12.277,0.000,4.929,0.000,0.000,0.000,0.000,0.247,0.000,0.945,0.000,0.000,0.000,0.000,0.000,2.923,0.000,9.100,0.000,0.000,0.000,6.013,0.000
Br62_rep8_Dep6_Tu40,0.000,0.000,4.271,0.000,8.730,3.189,0.000,3.903,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.052,0.000,26.795,0.287,12.042,0.000,3.924,0.000,0.000,0.000,0.000,0.023,0.000,0.579,0.000,0.000,0.000,0.000,0.000,0.095,28.765,5.390,0.954,0.000,0.000,0.000,0.000
Br62_rep7_Dep6_Tu2,0.000,0.000,10.453,4.028,17.688,13.609,0.000,5.469,0.000,0.194,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.259,15.546,4.960,0.000,9.028,0.195,0.000,1.568
