Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Br62_rep5_Dep6_Tu0.5,0.159,0.750,0.060,0.068,1.721,0.095,2.447,7.946,4.236,3.682,6.172,2.615,1.285,8.479,1.471,14.958,2.522,21.058,2.360,0.061,3.481,1.662,12.711
Br62_rep5_Dep6_Tu3,0.409,2.554,0.267,0.067,0.383,0.132,1.652,6.163,4.516,3.783,6.314,2.622,8.640,20.273,0.101,3.903,4.122,11.880,3.997,3.659,6.393,0.668,7.504
Br62_rep6_Dep6_Tu30,5.312,1.317,1.968,2.930,0.906,0.725,0.578,6.484,5.597,4.055,4.575,1.493,4.840,2.616,21.955,5.486,4.632,2.262,2.748,2.281,8.072,5.103,4.065
Br62_rep7_Dep6_Tu20,2.915,3.925,1.153,0.527,2.225,0.270,1.890,4.638,6.009,4.921,2.069,1.316,5.671,12.346,11.532,3.990,9.161,1.604,0.551,8.195,8.071,0.763,6.257
Br62_rep2_Dep6_Tu40,8.429,8.684,1.102,4.420,1.731,0.468,1.793,3.262,3.143,3.265,1.466,2.558,2.227,1.047,10.727,8.909,17.656,1.451,0.702,2.542,6.620,6.773,1.023
Br62_rep8_Dep6_Tu0.5,0.256,1.390,0.363,0.082,0.555,0.079,2.802,2.129,6.235,0.930,8.988,2.856,13.181,10.623,0.338,2.213,2.178,12.989,2.299,4.038,8.269,8.436,8.771
Br62_rep5_Dep6_Tu2,0.434,2.582,0.107,0.107,0.436,0.170,2.575,4.961,4.320,3.177,7.379,2.669,11.400,1.120,2.850,7.547,0.918,10.066,5.972,10.343,1.840,2.961,16.066
Br62_rep4_Dep6_Tu50,15.818,2.870,2.328,4.996,1.986,0.247,2.005,2.869,4.453,2.301,0.078,1.994,1.982,1.800,32.073,3.988,1.932,0.301,1.849,4.707,2.616,5.636,1.171
Br62_rep8_Dep6_Tu40,10.452,1.188,2.885,4.324,0.762,0.299,1.196,5.653,2.736,3.738,2.041,2.190,1.473,8.418,12.559,8.032,18.957,0.501,2.002,3.105,0.618,4.975,1.898
Br62_rep7_Dep6_Tu2,0.609,3.508,0.140,0.130,1.251,0.029,1.917,4.073,4.324,2.113,5.847,2.507,12.460,0.896,0.084,6.638,2.623,17.890,3.058,2.883,15.349,0.756,10.913
Br62_rep9_Dep6_Tu40,9.453,3.204,2.093,3.198,1.603,0.352,1.780,2.922,7.176,4.162,0.752,0.758,4.241,2.879,23.866,2.670,13.349,0.565,1.139,4.859,1.405,4.869,2.705
Br62_rep10_Dep6_Tu2,0.331,1.371,0.213,0.129,0.126,0.042,4.079,3.288,7.123,7.199,0.394,3.819,2.396,8.236,0.670,2.236,7.240,25.123,5.676,6.810,1.427,2.664,9.410
Br62_rep6_Dep6_Tu10,0.284,0.916,1.175,0.374,2.497,0.240,3.511,10.899,0.864,6.450,0.051,3.052,4.554,0.638,8.571,12.580,3.183,9.799,8.379,8.615,2.058,2.385,8.923
Br62_rep2_Dep6_Tu2,0.425,0.143,0.515,0.192,0.518,0.161,3.011,2.971,8.391,0.886,10.825,2.195,8.339,13.389,1.425,0.730,3.809,17.827,9.876,6.123,1.843,0.873,5.534
Br62_rep9_Dep6_Tu5,0.689,3.191,0.046,0.291,2.262,0.090,0.816,6.935,5.767,2.057,4.357,3.196,7.901,5.002,3.392,6.859,3.550,8.154,7.274,5.080,4.255,5.954,12.885
Br62_rep6_Dep6_Tu40,12.802,2.409,2.632,4.054,0.790,0.306,1.124,4.893,4.393,1.007,3.264,2.055,2.387,11.318,13.530,10.083,13.331,1.634,0.587,0.312,0.921,5.075,1.093
Br62_rep4_Dep6_Tu20,4.284,1.330,1.581,0.936,1.953,0.128,2.568,7.918,2.840,4.161,3.787,3.804,1.064,4.938,16.360,3.445,4.406,5.908,9.111,7.140,6.158,1.945,4.234
Br62_rep9_Dep6_Tu1,0.253,2.772,0.177,0.115,1.509,0.088,2.383,1.018,8.985,2.025,3.109,2.402,14.403,10.148,0.531,9.716,3.517,15.016,2.808,3.849,4.077,0.789,10.311
Br62_rep1_Dep6_Tu0.3,0.040,1.877,0.019,0.139,1.499,0.088,3.477,4.751,3.400,2.237,11.719,3.720,4.133,1.525,1.039,6.032,3.261,20.155,8.806,7.011,1.750,8.266,5.054
Br62_rep3_Dep6_Tu5,0.848,0.384,0.424,0.165,1.382,0.057,2.625,6.647,6.327,5.044,2.852,2.504,8.558,11.706,1.988,2.408,4.972,6.796,12.351,5.504,3.949,1.873,10.636
Br62_rep9_Dep6_Tu50,14.810,2.851,2.998,4.794,1.658,0.138,2.479,0.511,1.766,3.782,1.308,2.713,2.254,5.958,35.420,1.292,1.206,0.899,0.538,6.358,0.016,4.571,1.680
Br62_rep5_Dep6_Tu30,8.872,0.256,1.887,3.214,1.738,0.003,1.681,2.371,1.160,6.121,7.153,3.513,4.513,0.282,6.311,7.181,18.186,1.287,4.975,8.437,4.394,5.455,1.011
Br62_rep9_Dep6_Tu0.5,0.166,0.551,0.230,0.079,1.434,0.076,1.227,5.118,4.809,4.384,8.197,2.704,7.230,11.397,2.975,3.598,1.768,12.829,0.737,2.080,1.624,1.256,25.529
Br62_rep1_Dep6_Tu20,4.082,3.758,0.859,1.605,2.484,0.186,2.264,6.945,4.632,1.170,0.181,2.795,7.474,1.281,3.536,3.869,12.650,1.692,4.332,8.990,3.728,16.563,4.923
Br62_rep4_Dep6_Tu2,0.241,2.787,0.045,0.088,1.795,0.033,2.388,2.694,4.505,3.927,11.947,2.568,2.539,1.715,2.967,16.915,0.841,17.386,5.258,13.763,1.511,2.979,1.106
Br62_rep8_Dep6_Tu3,0.284,2.945,0.223,0.187,1.219,0.004,2.534,2.545,5.166,4.905,2.193,3.540,15.502,9.009,4.308,2.625,1.449,3.574,8.661,6.233,3.646,9.606,9.645
Br62_rep2_Dep6_Tu5,0.205,3.751,0.166,0.243,1.935,0.063,2.737,4.318,4.021,4.969,2.749,1.316,13.721,4.101,4.472,3.163,2.342,8.785,16.061,5.191,4.434,4.373,6.885
Br62_rep2_Dep6_Tu1,0.186,0.684,0.374,0.004,1.749,0.131,2.210,6.571,5.957,1.837,6.292,2.114,10.781,10.269,0.940,6.532,0.168,3.432,6.085,5.337,8.401,7.604,12.341
Br62_rep8_Dep6_Tu1,0.429,0.239,0.149,0.168,1.519,0.213,2.889,5.762,7.804,0.339,5.165,2.579,11.142,5.216,1.480,1.208,1.390,8.103,15.693,2.745,7.952,7.857,9.959
Br62_rep10_Dep6_Tu0.1,0.156,2.549,0.125,0.039,1.226,0.042,1.583,7.759,2.784,5.068,1.725,3.910,6.952,1.276,1.083,8.652,1.088,17.991,12.127,4.077,3.543,11.496,4.750
Br62_rep3_Dep6_Tu40,10.934,2.972,2.407,4.423,3.431,0.263,3.808,2.301,0.938,0.177,3.657,1.964,5.021,3.503,23.166,11.693,6.916,1.633,0.633,2.562,5.968,0.118,1.513
Br62_rep8_Dep6_Tu0.3,0.189,0.191,0.263,0.084,0.924,0.042,1.538,7.740,5.049,4.361,3.773,2.705,9.386,19.518,1.400,9.477,2.167,12.887,6.974,8.037,0.930,0.387,1.975
Br62_rep4_Dep6_Tu0.5,0.016,2.890,0.152,0.076,1.441,0.070,2.270,9.046,3.752,0.816,6.448,2.789,1.957,1.175,1.582,4.234,0.811,19.154,18.266,3.121,7.559,11.607,0.768
Br62_rep6_Dep6_Tu50,10.679,6.784,3.491,5.879,0.933,0.353,2.190,0.515,5.888,0.617,2.775,0.140,1.928,1.844,17.527,3.964,18.242,0.654,0.714,4.841,1.114,8.405,0.522
Br62_rep7_Dep6_Tu0.1,0.183,1.773,0.201,0.054,0.790,0.086,0.040,4.823,4.289,3.472,9.817,2.303,10.620,17.112,1.754,4.120,1.096,7.756,6.986,2.061,7.687,2.189,10.788
Br62_rep9_Dep6_Tu30,6.685,0.086,2.324,2.489,2.473,0.369,2.564,2.798,6.164,4.037,4.496,2.744,2.212,1.315,14.025,12.055,13.450,1.081,9.766,0.928,2.993,3.372,1.574
Br62_rep6_Dep6_Tu20,3.620,6.122,1.169,1.243,0.089,0.194,3.222,2.699,6.450,5.170,1.575,3.195,2.343,7.101,4.548,3.767,12.620,5.504,2.812,6.262,6.081,5.601,8.612
Br62_rep5_Dep6_Tu5,0.424,3.026,0.626,0.517,0.983,0.062,2.378,11.702,0.693,2.139,1.838,2.043,14.258,6.344,1.768,1.265,1.442,7.594,5.869,4.934,0.021,20.399,9.676
Br62_rep4_Dep6_Tu40,3.302,7.193,2.995,2.001,3.324,0.749,0.779,7.409,0.741,7.764,1.828,0.063,0.169,1.944,22.215,5.951,16.141,0.111,1.370,1.772,3.847,5.772,2.562
Br62_rep8_Dep6_Tu0.1,0.115,1.481,0.238,0.030,0.397,0.055,2.756,1.228,8.296,4.689,11.663,3.543,0.689,5.119,2.021,5.322,1.436,5.623,22.649,0.850,7.130,8.737,5.933
Br62_rep1_Dep6_Tu40,10.094,5.652,2.705,3.919,0.386,0.496,2.550,4.559,2.293,0.657,2.386,2.644,3.413,2.855,27.136,9.818,2.154,1.732,2.437,2.079,1.806,7.172,1.057
Br62_rep3_Dep6_Tu30,7.789,3.603,2.184,2.050,2.166,0.263,1.870,0.599,6.769,4.360,3.618,2.023,1.625,3.533,18.121,7.573,2.605,2.214,0.865,5.759,17.437,2.498,0.477
Br62_rep7_Dep6_Tu0.5,0.220,2.425,0.265,0.109,0.871,0.026,2.690,6.269,2.862,2.337,5.286,2.811,12.782,8.884,0.795,5.139,0.562,12.476,1.417,10.331,8.860,0.983,11.602
Br62_rep1_Dep6_Tu10,0.277,4.879,0.748,0.474,0.791,0.261,1.972,7.215,1.665,4.160,5.171,3.158,8.186,3.522,2.635,1.156,5.351,4.457,10.327,0.374,8.686,16.169,8.365
Br62_rep10_Dep6_Tu20,5.993,5.226,0.848,1.555,0.078,0.356,1.918,0.154,8.152,1.767,6.408,2.319,8.510,1.230,1.944,10.340,13.274,1.796,5.298,0.680,8.936,7.131,6.087
Br62_rep1_Dep6_Tu5,0.257,3.252,0.327,0.230,1.804,0.075,3.347,4.549,1.494,4.087,4.953,4.219,9.257,10.280,2.219,5.282,5.149,17.662,6.695,8.228,0.050,3.711,2.873
Br62_rep3_Dep6_Tu50,19.363,2.390,1.600,5.645,2.694,0.148,1.734,5.330,2.535,1.498,1.546,1.096,1.291,0.928,0.895,1.973,29.298,0.403,1.681,7.136,3.541,6.414,0.860
Br62_rep1_Dep6_Tu3,0.209,1.910,0.413,0.099,1.423,0.150,2.081,7.534,3.321,3.286,6.336,2.498,11.403,2.904,0.502,5.954,4.300,4.967,3.669,5.664,12.191,7.065,12.123
Br62_rep7_Dep6_Tu30,6.957,2.624,2.277,2.545,2.553,0.285,1.300,10.282,0.257,0.622,3.224,2.214,4.087,6.147,7.939,2.501,19.898,0.940,1.071,7.445,2.010,5.254,7.569
Br62_rep6_Dep6_Tu1,0.559,0.777,0.318,0.099,2.326,0.106,2.964,6.849,8.935,0.565,1.411,2.590,6.993,9.532,0.795,3.932,0.816,17.401,8.057,4.655,0.698,2.133,17.488
Br62_rep1_Dep6_Tu0.5,0.370,0.319,0.275,0.029,0.740,0.116,2.753,5.638,6.249,4.863,10.407,0.158,6.294,7.645,0.446,8.933,2.755,4.726,7.106,6.694,0.446,5.932,17.105
Br62_rep1_Dep6_Tu0.1,0.020,0.076,0.240,0.133,1.695,0.070,2.939,3.158,8.618,2.694,12.009,0.489,0.509,9.130,1.287,9.271,2.754,21.957,3.709,6.012,9.281,1.194,2.756
Br62_rep9_Dep6_Tu3,0.103,1.008,0.485,0.150,1.852,0.099,2.007,4.308,5.034,3.811,8.208,1.637,11.318,5.381,4.052,15.040,0.005,3.843,8.840,2.742,1.490,10.735,7.851
Br62_rep5_Dep6_Tu40,10.285,8.642,1.205,3.154,0.742,0.325,3.988,1.052,2.671,0.473,3.279,3.980,0.154,3.137,27.688,6.844,3.800,1.315,5.198,5.907,4.260,0.014,1.887
Br62_rep10_Dep6_Tu3,0.058,1.735,0.444,0.122,1.664,0.092,1.340,8.599,4.131,1.592,10.533,0.491,5.280,13.132,1.719,4.139,3.572,4.214,2.819,13.389,4.609,1.944,14.382
Br62_rep2_Dep6_Tu0.3,0.021,0.433,0.262,0.135,1.977,0.050,1.082,3.462,7.165,5.618,1.600,3.498,12.554,0.234,0.991,5.984,1.510,10.349,16.934,8.851,0.039,7.093,10.157
Br62_rep10_Dep6_Tu40,12.105,3.613,2.210,3.865,1.581,0.235,0.449,0.027,5.865,2.229,5.493,2.660,3.541,1.293,3.927,2.262,27.010,0.623,3.569,2.575,11.860,2.835,0.172
Br62_rep3_Dep6_Tu2,0.253,1.907,0.158,0.138,1.582,0.095,1.744,5.823,6.932,3.757,5.490,1.713,10.700,6.888,1.138,6.317,1.754,1.971,2.763,6.336,11.861,10.361,10.319
Br62_rep5_Dep6_Tu1,0.405,2.490,0.093,0.086,1.049,0.100,2.664,5.270,3.558,4.249,8.779,0.031,9.620,1.961,0.883,6.938,1.349,10.572,1.352,3.999,6.474,8.780,19.301
Br62_rep4_Dep6_Tu1,0.408,1.954,0.195,0.127,1.600,0.050,2.434,1.668,9.127,3.534,6.232,1.309,7.458,0.134,1.306,4.487,1.312,12.007,21.128,3.061,2.793,6.306,11.369
Br62_rep10_Dep6_Tu0.5,0.291,2.533,0.241,0.015,0.352,0.061,0.133,6.294,8.088,5.264,2.021,2.518,5.809,1.792,1.477,3.997,0.946,13.365,24.476,4.468,9.375,2.592,3.891
Br62_rep5_Dep6_Tu20,3.268,3.461,1.627,1.071,2.271,0.276,2.880,5.287,4.329,3.405,3.039,2.561,4.995,0.007,12.464,8.661,5.472,2.403,6.070,7.794,12.048,3.927,2.680
Br62_rep6_Dep6_Tu0.3,0.092,1.568,0.300,0.125,0.652,0.057,1.415,1.453,8.641,4.945,10.285,0.069,8.025,0.144,1.662,12.563,1.609,7.217,12.427,3.711,0.877,4.482,17.681
Br62_rep9_Dep6_Tu0.3,0.319,2.630,0.164,0.059,1.149,0.045,1.533,2.989,2.100,2.381,10.252,2.689,11.093,17.566,0.885,13.130,0.342,19.377,1.384,4.322,2.281,1.378,1.930
Br62_rep2_Dep6_Tu20,1.444,6.972,1.145,1.778,1.056,0.198,1.216,7.621,0.928,5.723,7.841,0.178,2.591,1.602,6.177,6.367,12.958,5.329,3.850,1.542,9.365,8.948,5.169
Br62_rep6_Dep6_Tu0.5,0.088,0.549,0.256,0.121,1.358,0.078,2.570,6.922,5.624,3.019,1.534,2.725,15.556,2.228,1.477,5.612,0.300,8.640,12.330,12.179,2.786,13.690,0.358
Br62_rep8_Dep6_Tu10,0.428,1.267,0.872,0.505,2.663,0.297,3.299,8.915,0.762,0.674,11.079,3.524,3.372,0.060,3.693,0.312,9.174,2.748,19.027,3.231,12.537,7.844,3.718
Br62_rep2_Dep6_Tu0.1,0.209,2.023,0.041,0.069,1.886,0.037,0.153,7.113,3.871,4.531,5.237,1.096,16.954,8.516,0.392,8.250,1.223,1.260,21.196,1.932,5.423,6.271,2.318
Br62_rep5_Dep6_Tu10,0.517,2.245,0.837,0.319,2.544,0.319,1.837,4.918,7.563,1.436,7.645,1.372,4.533,5.480,9.481,14.053,1.349,5.026,9.235,2.979,0.452,7.633,8.226
Br62_rep10_Dep6_Tu10,0.733,4.648,0.659,0.030,2.319,0.051,3.182,6.619,3.497,2.313,3.852,3.149,8.133,5.839,8.013,3.560,1.416,5.822,10.810,3.497,4.549,12.684,4.626
Br62_rep4_Dep6_Tu10,0.301,1.664,0.834,0.588,2.409,0.198,0.272,9.128,1.524,5.322,2.388,3.543,11.344,15.207,5.485,2.420,7.743,9.258,5.839,1.380,7.240,1.054,4.857
Br62_rep3_Dep6_Tu0.1,0.030,1.822,0.006,0.125,0.850,0.073,1.399,0.647,7.933,5.115,10.023,2.341,12.342,3.076,2.961,1.020,2.114,8.421,19.681,1.751,6.294,3.758,8.217
Br62_rep2_Dep6_Tu50,15.349,5.396,0.219,3.975,2.018,0.314,2.327,4.683,1.627,0.601,0.194,2.367,2.146,8.227,32.074,2.207,6.724,0.057,1.580,2.674,0.140,3.328,1.773
Br62_rep9_Dep6_Tu10,1.808,0.042,0.719,0.782,2.235,0.279,3.092,4.309,10.498,2.560,4.716,0.412,6.421,1.884,1.911,3.058,9.642,9.181,10.577,3.485,2.823,13.963,5.602
Br62_rep5_Dep6_Tu0.3,0.176,1.456,0.264,0.077,1.241,0.100,2.441,8.627,2.705,1.376,8.588,2.933,4.304,2.034,2.096,2.462,0.014,14.993,9.973,3.241,6.728,12.135,12.037
Br62_rep8_Dep6_Tu50,14.589,3.426,3.588,5.386,1.267,0.377,1.375,3.569,3.262,1.908,0.902,2.863,0.488,0.630,12.221,8.499,20.146,1.017,2.500,3.076,6.610,2.208,0.095
Br62_rep4_Dep6_Tu0.3,0.292,2.508,0.078,0.113,0.392,0.060,2.301,2.970,6.243,4.087,8.756,2.921,3.258,5.965,1.077,12.308,0.498,14.094,3.523,0.966,4.472,3.286,19.832
Br62_rep7_Dep6_Tu1,0.246,1.042,0.348,0.118,0.544,0.117,0.890,7.233,6.311,4.220,6.011,0.867,9.005,15.156,0.172,11.275,1.531,3.777,2.697,0.279,9.908,0.350,17.904
Br62_rep3_Dep6_Tu0.5,0.069,1.748,0.234,0.027,0.703,0.055,2.758,0.502,8.158,3.364,9.281,2.291,6.445,0.480,1.717,17.443,1.376,9.337,12.325,4.147,0.415,8.276,8.848
Br62_rep7_Dep6_Tu40,6.347,5.453,2.116,3.254,3.443,0.438,0.338,0.529,5.459,3.400,3.962,3.094,3.550,0.096,31.425,1.188,4.042,0.206,1.606,8.235,4.900,5.883,1.038
Br62_rep2_Dep6_Tu3,1.020,0.838,0.547,0.431,1.101,0.118,0.587,6.079,3.305,5.052,7.367,0.607,15.032,3.510,0.035,8.089,2.420,2.525,3.350,11.980,9.399,3.041,13.567
Br62_rep2_Dep6_Tu0.5,0.120,1.874,0.221,0.034,0.575,0.060,0.386,8.394,4.201,4.650,5.808,2.702,6.619,17.103,0.050,2.371,3.646,10.955,1.966,10.655,2.728,3.634,11.248
Br62_rep1_Dep6_Tu50,16.128,1.444,2.090,5.106,2.400,0.229,0.050,5.839,0.428,3.141,3.434,2.452,1.379,2.272,9.836,6.979,26.427,0.261,2.498,0.567,0.924,4.519,1.597
Br62_rep3_Dep6_Tu3,0.509,1.629,0.371,0.221,1.770,0.035,0.924,8.616,3.035,5.206,10.358,1.723,1.390,4.981,1.526,5.782,4.256,14.309,8.949,9.917,6.160,1.591,6.741
Br62_rep7_Dep6_Tu3,0.593,1.362,0.124,0.327,0.663,0.278,2.354,3.875,9.001,1.314,8.748,1.607,7.135,0.512,1.184,6.599,2.071,6.754,13.842,8.247,9.833,0.376,13.199
Br62_rep3_Dep6_Tu0.3,0.095,2.941,0.043,0.009,1.224,0.058,2.080,8.003,0.676,3.326,6.702,3.800,8.073,7.269,0.607,3.751,3.183,18.747,1.829,2.410,10.195,6.333,8.644
Br62_rep8_Dep6_Tu30,7.761,5.170,1.803,0.932,2.515,0.358,1.639,5.243,1.352,4.332,4.642,2.844,2.474,6.783,10.949,7.581,13.203,0.817,4.654,3.670,7.805,3.190,0.282
