Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Br62_rep5_Dep6_Tu0.5,0.658,2.166,0.000,0.000,1.742,0.120,2.210,2.434,0.595,12.295,8.703,2.923,66.155
Br62_rep5_Dep6_Tu3,2.789,3.066,0.225,0.000,1.522,0.074,1.738,1.954,0.000,13.640,7.739,2.921,64.332
Br62_rep6_Dep6_Tu30,24.838,3.535,0.956,2.139,1.517,0.000,2.037,4.781,0.760,6.170,5.703,1.713,45.850
Br62_rep7_Dep6_Tu20,17.447,2.843,0.874,0.500,1.933,0.083,1.805,2.521,1.502,10.143,6.571,1.463,52.315
Br62_rep2_Dep6_Tu40,32.512,6.217,0.929,2.390,1.740,0.000,0.642,3.649,0.740,4.551,4.762,1.899,39.968
Br62_rep8_Dep6_Tu0.5,0.619,3.187,0.064,0.000,1.572,0.000,2.539,2.223,2.503,11.875,7.851,2.327,65.241
Br62_rep5_Dep6_Tu2,1.748,3.486,0.018,0.000,1.204,0.000,2.209,0.407,3.100,12.863,8.495,1.776,64.695
Br62_rep4_Dep6_Tu50,39.574,5.197,1.756,4.121,1.827,0.000,1.710,2.406,0.000,3.760,4.089,1.236,34.324
Br62_rep8_Dep6_Tu40,32.632,4.460,0.992,2.642,1.995,0.000,0.936,3.184,0.000,7.495,3.982,1.307,40.374
Br62_rep7_Dep6_Tu2,2.293,3.236,0.000,0.000,0.999,0.035,2.329,2.172,0.392,11.723,9.304,2.899,64.619
Br62_rep9_Dep6_Tu40,33.085,5.099,1.070,2.663,1.794,0.000,1.098,0.713,0.000,6.501,4.657,2.489,40.832
Br62_rep10_Dep6_Tu2,1.747,2.993,0.446,0.000,1.559,0.000,2.571,4.753,0.000,11.804,7.203,2.442,64.483
Br62_rep6_Dep6_Tu10,8.294,4.616,0.271,0.223,1.937,0.093,1.616,0.000,2.402,11.387,7.561,2.385,59.215
Br62_rep2_Dep6_Tu2,2.149,2.880,0.222,0.000,2.052,0.405,2.647,0.726,2.257,11.128,10.071,2.033,63.431
Br62_rep9_Dep6_Tu5,4.667,2.290,0.780,0.000,1.930,0.023,2.278,2.531,1.139,10.649,9.989,2.199,61.526
Br62_rep6_Dep6_Tu40,32.398,4.300,1.416,2.013,1.689,0.000,0.575,2.965,0.000,8.629,4.860,0.952,40.205
Br62_rep4_Dep6_Tu20,17.586,3.873,0.442,0.701,1.798,0.000,1.899,0.930,1.775,9.434,6.760,2.088,52.714
Br62_rep9_Dep6_Tu1,1.630,1.980,0.439,0.000,2.148,0.233,1.893,1.319,2.353,12.236,8.398,2.678,64.692
Br62_rep1_Dep6_Tu0.3,0.000,2.948,0.306,0.000,1.204,0.196,2.620,1.897,1.660,11.924,10.766,2.552,63.927
