Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Br62_rep5_Dep6_Tu0.5,2.210,0.000,1.276,0.000,3.430,2.126,2.865,0.000,0.000,10.912,7.582,3.799,65.800
Br62_rep5_Dep6_Tu3,4.016,0.905,1.396,0.000,2.925,1.743,2.263,0.000,0.000,12.351,6.813,3.521,64.066
Br62_rep6_Dep6_Tu30,25.323,3.149,1.365,2.295,2.170,0.416,2.421,2.250,0.091,6.656,5.600,2.389,45.875
Br62_rep7_Dep6_Tu20,18.128,2.189,1.483,0.309,2.735,0.995,2.339,0.000,0.161,10.473,6.455,2.424,52.308
Br62_rep2_Dep6_Tu40,32.765,6.073,1.115,2.742,2.134,0.000,0.842,2.077,0.355,4.967,4.675,2.262,39.992
Br62_rep8_Dep6_Tu0.5,2.076,1.400,1.262,0.000,3.105,1.616,3.284,0.000,0.000,11.461,7.150,3.676,64.969
Br62_rep5_Dep6_Tu2,3.232,1.255,1.344,0.000,2.851,1.764,2.883,0.000,0.000,11.771,7.466,3.032,64.402
Br62_rep4_Dep6_Tu50,39.340,5.349,1.567,3.769,1.417,0.000,1.516,4.319,0.000,3.340,4.179,0.923,34.281
Br62_rep8_Dep6_Tu40,32.697,4.423,1.040,2.732,2.097,0.000,0.985,2.708,0.000,7.595,3.960,1.385,40.379
Br62_rep7_Dep6_Tu2,3.758,0.878,1.255,0.000,2.658,1.974,2.945,0.000,0.000,10.338,8.209,3.681,64.305
Br62_rep9_Dep6_Tu40,33.091,5.093,1.074,2.673,1.804,0.000,1.104,0.664,0.000,6.512,4.655,2.497,40.833
Br62_rep10_Dep6_Tu2,3.190,1.269,1.615,0.000,3.080,1.637,3.330,0.000,0.000,11.545,6.622,3.495,64.216
Br62_rep6_Dep6_Tu10,9.273,2.959,1.249,0.000,3.084,1.526,2.123,0.000,0.000,10.529,6.859,3.318,59.080
Br62_rep2_Dep6_Tu2,3.374,0.937,1.349,0.000,3.405,2.005,3.227,0.000,0.000,10.193,9.237,3.072,63.201
Br62_rep9_Dep6_Tu5,6.052,0.171,2.044,0.000,3.489,1.839,2.972,0.000,0.000,9.778,9.117,3.249,61.291
Br62_rep6_Dep6_Tu40,32.538,4.219,1.518,2.207,1.909,0.000,0.681,1.934,0.000,8.845,4.809,1.122,40.216
Br62_rep4_Dep6_Tu20,18.136,3.256,0.925,0.846,2.498,0.519,2.257,0.000,0.000,9.553,6.493,2.835,52.682
Br62_rep9_Dep6_Tu1,2.983,0.000,1.639,0.000,3.612,1.950,2.568,0.000,0.000,11.382,7.590,3.848,64.429
Br62_rep1_Dep6_Tu0.3,1.241,0.600,1.746,0.000,2.975,2.233,3.339,0.000,0.000,10.835,9.717,3.686,63.628
Br62_rep3_Dep6_Tu5,5.474,1.607,1.202,0.000,3.919,1.524,2.743,0.000,0.000,10.376,6.662,4.148,62.344
Br62_rep9_Dep6_Tu50,39.066,5.519,1.908,3.331,1.159,0.000,1.050,2.972,0.000,5.426,3.812,1.199,34.557
Br62_rep5_Dep6_Tu30,25.046,4.076,1.135,1.404,2.434,0.000,2.429,1.590,0.000,9.703,4.579,2.025,45.579
Br62_rep9_Dep6_Tu0.5,1.788,0.000,1.464,0.000,3.677,2.048,2.727,0.000,0.000,11.625,8.028,3.472,65.169
Br62_rep1_Dep6_Tu20,18.175,3.038,1.156,0.802,2.985,0.545,1.905,0.000,0.000,9.143,7.067,2.317,52.868
Br62_rep4_Dep6_Tu2,3.352,1.105,1.179,0.000,3.841,2.151,2.546,0.000,0.000,9.722,7.785,3.922,64.396
Br62_rep8_Dep6_Tu3,4.193,1.594,1.467,0.000,3.134,1.702,2.533,0.000,0.000,10.528,7.051,3.954,63.843
Br62_rep2_Dep6_Tu5,6.476,1.433,1.328,0.000,2.861,1.650,2.379,0.000,0.000,10.970,6.726,3.694,62.485
Br62_rep2_Dep6_Tu1,2.599,0.334,1.544,0.000,2.911,1.977,3.150,0.000,0.000,12.104,8.346,2.804,64.232
Br62_rep8_Dep6_Tu1,3.035,0.000,1.387,0.000,3.644,2.140,2.937,0.000,0.000,10.412,8.063,3.614,64.769
Br62_rep10_Dep6_Tu0.1,1.940,0.821,1.514,0.000,3.045,2.298,3.385,0.000,0.000,9.890,8.796,3.856,64.455
Br62_rep3_Dep6_Tu40,32.979,4.229,1.268,3.040,1.415,0.000,1.487,1.620,0.721,6.700,4.056,2.851,39.633
Br62_rep8_Dep6_Tu0.3,1.657,0.005,1.448,0.000,3.200,1.937,3.183,0.000,0.000,12.039,6.911,3.484,66.135
Br62_rep4_Dep6_Tu0.5,2.302,0.881,1.090,0.000,3.250,2.376,3.269,0.000,0.000,10.083,8.487,3.607,64.655
Br62_rep6_Dep6_Tu50,38.388,5.372,1.632,3.477,1.045,0.000,1.405,2.330,0.000,7.391,3.925,1.191,33.846
