Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Br62_rep5_Dep6_Tu0.5,0.083,0.540,0.175,0.024,2.820,0.441,1.865,0.066,2.600,1.970,8.351,1.477,15.117,6.959,9.872,0.030,1.266,14.531,6.665,2.715,11.681,10.308,0.446
Br62_rep5_Dep6_Tu3,0.362,0.734,2.103,0.138,5.292,0.047,2.012,1.527,1.422,1.871,8.383,0.549,8.802,9.108,14.386,3.811,2.307,10.836,6.547,0.289,2.344,14.727,2.402
Br62_rep6_Dep6_Tu30,9.057,0.073,1.703,2.739,0.844,2.832,2.898,3.043,0.534,4.081,4.048,2.577,1.977,9.127,3.562,12.755,11.251,0.874,0.444,5.663,1.033,2.055,16.828
Br62_rep7_Dep6_Tu20,2.777,1.128,2.183,1.678,2.079,1.448,1.621,1.841,2.587,1.165,4.370,1.024,5.282,1.888,6.857,19.178,12.272,4.572,0.639,3.706,9.099,6.774,5.830
Br62_rep2_Dep6_Tu40,10.701,3.905,5.951,7.671,1.566,0.159,1.387,1.270,1.936,1.625,1.553,1.368,0.854,1.507,1.483,20.907,20.614,3.726,3.857,3.020,0.106,1.719,3.114
Br62_rep8_Dep6_Tu0.5,0.039,0.465,0.207,0.009,3.169,0.990,0.093,0.471,4.295,5.784,3.631,1.829,12.665,13.813,13.880,0.395,4.174,6.114,12.484,1.530,9.444,4.502,0.018
Br62_rep5_Dep6_Tu2,0.063,0.382,0.177,0.013,4.837,1.098,1.808,0.056,4.010,2.864,5.818,3.570,14.609,3.523,4.662,0.309,7.774,13.352,2.743,10.909,6.908,7.692,2.822
Br62_rep4_Dep6_Tu50,15.356,2.227,2.368,8.914,1.849,0.196,2.075,1.351,0.485,3.842,0.456,0.339,0.564,1.731,0.658,20.428,13.403,1.402,1.038,0.804,1.449,1.132,17.933
Br62_rep8_Dep6_Tu40,5.270,6.055,6.031,5.178,4.115,1.221,1.009,2.816,1.074,2.718,1.248,0.032,2.648,1.517,1.669,33.334,5.967,3.187,6.131,1.381,1.457,1.433,4.509
Br62_rep7_Dep6_Tu2,0.058,0.406,0.319,0.000,2.945,1.020,2.309,2.337,1.329,3.606,3.021,1.178,4.181,10.653,5.488,0.353,3.973,19.383,14.496,9.473,8.289,2.596,2.588
Br62_rep9_Dep6_Tu40,7.922,2.473,6.138,6.412,0.933,0.993,1.416,0.331,1.998,3.257,5.299,1.485,3.167,1.312,2.363,26.735,7.079,1.851,3.338,0.178,3.731,0.575,11.012
