Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Br62_rep5_Dep6_Tu0.5,0.000,0.705,1.244,4.086,0.704,0.111,29.170,1.479,0.166,0.521,60.981,0.462,0.370
Br62_rep5_Dep6_Tu3,0.034,0.852,0.714,4.771,1.027,0.000,27.849,0.466,0.037,0.602,60.670,0.366,2.612
Br62_rep6_Dep6_Tu30,6.133,13.493,4.239,3.050,0.787,0.000,2.106,0.385,0.898,1.284,36.466,0.205,30.954
Br62_rep7_Dep6_Tu20,0.904,0.694,0.009,4.369,0.993,0.000,19.417,0.327,0.028,1.039,46.089,0.248,25.883
Br62_rep2_Dep6_Tu40,5.666,12.220,10.714,2.227,0.255,0.000,0.611,0.000,0.000,2.469,25.959,1.027,38.852
Br62_rep8_Dep6_Tu0.5,0.000,0.834,16.023,5.042,0.014,0.000,14.920,0.660,1.152,0.159,60.422,0.767,0.006
Br62_rep5_Dep6_Tu2,0.000,18.707,1.660,6.644,0.114,0.000,8.016,1.071,2.303,1.170,58.962,0.810,0.542
Br62_rep4_Dep6_Tu50,13.645,10.657,0.000,2.051,0.832,0.000,0.654,0.393,0.000,3.245,20.897,0.616,47.010
Br62_rep8_Dep6_Tu40,9.402,0.407,0.462,2.096,4.309,0.000,9.499,0.120,0.000,1.395,30.042,0.312,41.957
Br62_rep7_Dep6_Tu2,0.000,1.125,13.875,5.726,0.076,0.000,14.956,0.919,1.966,0.034,60.544,0.134,0.645
Br62_rep9_Dep6_Tu40,10.140,10.289,0.000,1.644,4.278,0.000,2.927,0.000,0.000,0.962,28.088,1.813,39.858
Br62_rep10_Dep6_Tu2,0.000,0.886,4.870,4.296,0.055,0.000,29.252,1.789,0.313,0.699,56.504,0.448,0.887
Br62_rep6_Dep6_Tu10,0.441,16.047,0.409,3.995,0.797,0.000,16.955,0.850,1.393,0.156,47.849,1.133,9.974
Br62_rep2_Dep6_Tu2,0.000,1.672,12.950,5.236,0.041,0.000,14.583,0.987,2.580,0.000,61.035,0.185,0.730
Br62_rep9_Dep6_Tu5,0.024,13.577,4.533,8.893,0.624,0.000,14.231,1.161,0.379,0.529,53.205,0.181,2.664
Br62_rep6_Dep6_Tu40,5.391,1.130,0.000,2.988,7.609,0.000,8.829,0.000,0.162,0.722,29.626,0.161,43.383
Br62_rep4_Dep6_Tu20,3.088,10.480,5.324,2.868,0.320,0.000,5.655,0.268,1.455,0.282,42.300,2.275,25.685
Br62_rep9_Dep6_Tu1,0.000,0.992,7.393,5.165,0.049,0.000,29.858,0.768,1.001,0.000,54.171,0.343,0.260
Br62_rep1_Dep6_Tu0.3,0.000,1.286,13.014,7.395,0.056,1.106,14.504,2.350,1.916,0.349,57.174,0.851,0.000
Br62_rep3_Dep6_Tu5,0.034,6.248,2.978,3.047,0.000,0.000,22.269,0.870,0.860,0.233,58.838,0.617,4.006
Br62_rep9_Dep6_Tu50,14.281,0.526,0.000,1.215,6.410,0.000,5.288,0.120,0.000,1.586,22.754,0.200,47.620
Br62_rep5_Dep6_Tu30,2.444,0.648,11.076,3.603,0.806,0.000,4.970,1.470,0.073,1.727,37.683,0.600,34.899
Br62_rep9_Dep6_Tu0.5,0.000,0.783,0.310,5.547,0.255,0.027,29.177,0.640,0.550,0.538,61.761,0.258,0.155
Br62_rep1_Dep6_Tu20,6.896,15.651,0.000,3.531,0.640,0.000,3.583,0.847,0.442,1.285,45.245,1.378,20.501
Br62_rep4_Dep6_Tu2,0.000,15.816,0.184,6.016,0.059,0.000,20.397,0.560,3.029,0.245,52.875,0.431,0.388
Br62_rep8_Dep6_Tu3,0.000,17.733,0.270,3.390,0.056,0.000,19.815,0.413,0.976,0.057,54.864,0.325,2.100
Br62_rep2_Dep6_Tu5,0.044,17.442,0.265,2.660,0.215,0.000,19.455,0.323,0.274,0.585,54.287,0.322,4.130
Br62_rep2_Dep6_Tu1,0.000,6.522,2.544,9.587,0.327,0.000,21.073,1.016,1.002,0.342,56.478,0.576,0.534
Br62_rep8_Dep6_Tu1,0.000,16.776,0.060,5.827,0.021,0.000,19.908,1.065,1.129,0.299,54.357,0.450,0.108
Br62_rep10_Dep6_Tu0.1,0.000,18.112,10.782,4.770,0.035,0.000,7.306,1.492,3.213,0.123,53.006,1.161,0.000
Br62_rep3_Dep6_Tu40,8.603,11.473,0.000,1.637,2.734,0.000,3.388,0.246,0.000,2.766,25.989,1.722,41.442
Br62_rep8_Dep6_Tu0.3,0.000,0.566,1.181,6.199,0.753,0.000,30.814,1.944,0.420,0.351,56.672,1.086,0.015
Br62_rep4_Dep6_Tu0.5,0.000,19.455,6.111,5.243,0.043,0.000,8.211,1.504,2.380,0.284,56.464,0.304,0.000
Br62_rep6_Dep6_Tu50,16.334,9.913,0.000,1.846,2.682,0.000,0.787,0.194,0.000,3.208,21.345,0.148,43.541
Br62_rep7_Dep6_Tu0.1,0.000,0.976,0.230,5.691,0.117,0.000,29.219,0.533,0.446,0.541,61.981,0.265,0.000
Br62_rep9_Dep6_Tu30,4.271,13.288,0.189,4.549,3.033,0.000,7.025,0.265,0.000,0.590,31.820,1.949,33.020
Br62_rep6_Dep6_Tu20,0.758,0.431,12.275,2.903,0.064,0.000,8.475,0.703,4.611,0.589,45.843,0.124,23.225
Br62_rep5_Dep6_Tu5,0.075,18.544,5.145,5.459,0.014,0.000,7.006,0.603,3.214,0.702,55.564,0.303,3.370
Br62_rep4_Dep6_Tu40,2.275,1.062,3.769,3.628,2.344,0.000,8.270,0.434,0.000,0.592,28.682,0.521,48.422
Br62_rep8_Dep6_Tu0.1,0.000,17.508,3.349,6.318,0.034,0.000,10.521,2.360,1.556,1.712,55.017,1.624,0.000
Br62_rep1_Dep6_Tu40,3.739,12.662,1.009,1.398,0.499,0.000,2.987,0.000,0.000,2.802,28.277,0.439,46.187
Br62_rep3_Dep6_Tu30,1.349,1.095,5.787,3.129,3.023,0.000,11.155,0.242,0.000,0.262,35.299,0.476,38.182
Br62_rep7_Dep6_Tu0.5,0.000,1.014,13.696,3.887,0.000,0.000,15.372,1.011,4.052,0.092,60.702,0.173,0.000
Br62_rep1_Dep6_Tu10,0.351,18.084,7.474,4.412,0.081,0.000,5.746,0.642,2.808,0.889,51.626,0.401,7.486
Br62_rep10_Dep6_Tu20,1.297,15.254,8.541,3.524,0.105,0.000,2.804,0.744,0.540,5.241,40.546,1.384,20.022
Br62_rep1_Dep6_Tu5,0.045,1.398,13.501,4.411,0.026,0.000,15.088,1.298,2.022,0.695,59.004,0.228,2.284
Br62_rep3_Dep6_Tu50,5.742,0.755,10.038,2.971,1.195,0.000,1.551,0.311,0.000,1.158,22.421,0.572,53.286
Br62_rep1_Dep6_Tu3,0.046,1.337,13.577,7.477,0.050,0.000,14.846,1.364,0.943,0.431,57.667,1.414,0.848
Br62_rep7_Dep6_Tu30,6.230,0.395,1.007,2.876,2.440,0.000,14.831,0.167,0.000,0.809,37.655,0.408,33.180
Br62_rep6_Dep6_Tu1,0.000,7.035,3.696,6.026,0.153,0.000,22.462,1.204,0.512,0.375,58.157,0.334,0.045
Br62_rep1_Dep6_Tu0.5,0.000,1.246,14.152,6.182,0.042,0.000,15.408,0.802,1.204,0.344,60.071,0.549,0.000
Br62_rep1_Dep6_Tu0.1,0.000,0.479,4.323,4.868,0.287,0.000,29.944,1.600,0.487,0.308,57.049,0.639,0.016
Br62_rep9_Dep6_Tu3,0.018,16.591,0.161,6.549,0.673,0.000,19.969,0.736,0.453,0.700,51.528,1.683,0.938
Br62_rep5_Dep6_Tu40,3.912,7.846,0.000,2.207,2.777,0.000,1.790,1.070,1.285,1.100,30.110,2.910,44.994
Br62_rep10_Dep6_Tu3,0.000,0.812,3.017,6.125,0.310,0.000,28.861,0.643,0.441,0.458,56.372,0.860,2.101
Br62_rep2_Dep6_Tu0.3,0.000,17.634,0.164,3.168,0.138,0.000,20.737,0.441,0.470,0.330,56.540,0.318,0.060
Br62_rep10_Dep6_Tu40,2.402,0.511,8.033,2.217,0.598,0.000,10.551,0.234,0.000,1.027,26.686,0.699,47.042
Br62_rep3_Dep6_Tu2,0.003,1.213,13.159,6.871,0.067,1.195,14.454,2.033,2.991,0.059,56.758,0.875,0.321
Br62_rep5_Dep6_Tu1,0.000,14.196,3.845,8.589,0.316,0.000,15.280,1.145,0.660,0.491,55.137,0.207,0.134
Br62_rep4_Dep6_Tu1,0.010,18.679,7.277,5.831,0.004,0.391,7.346,0.901,3.601,0.081,55.487,0.337,0.057
Br62_rep10_Dep6_Tu0.5,0.000,19.151,6.519,5.327,0.009,0.000,7.515,0.845,4.123,0.238,55.973,0.301,0.000
Br62_rep5_Dep6_Tu20,2.734,15.789,11.307,3.114,0.285,0.000,2.462,0.638,1.222,0.418,40.347,1.206,20.478
Br62_rep6_Dep6_Tu0.3,0.000,16.779,0.072,8.317,0.282,0.000,20.095,1.207,0.918,0.329,51.233,0.767,0.000
Br62_rep9_Dep6_Tu0.3,0.000,0.536,1.172,6.217,0.771,0.000,30.825,1.946,0.465,0.340,56.652,1.066,0.009
Br62_rep2_Dep6_Tu20,0.569,0.379,15.174,3.696,0.211,0.000,7.999,0.759,0.108,1.572,46.126,0.899,22.508
Br62_rep6_Dep6_Tu0.5,0.000,17.830,9.822,5.339,0.081,0.000,7.239,1.184,5.651,0.068,52.095,0.675,0.015
Br62_rep8_Dep6_Tu10,0.197,16.155,9.177,3.853,0.104,0.000,5.277,0.714,2.119,2.278,48.875,1.562,9.688
Br62_rep2_Dep6_Tu0.1,0.000,16.568,0.104,4.711,0.064,0.000,20.909,0.459,3.080,0.064,53.733,0.308,0.000
Br62_rep5_Dep6_Tu10,0.451,16.322,0.006,6.292,0.622,0.000,16.389,0.201,0.271,0.924,47.453,0.515,10.554
Br62_rep10_Dep6_Tu10,0.441,16.109,5.493,4.823,0.200,0.000,6.503,1.678,0.211,3.534,48.959,2.079,9.971
Br62_rep4_Dep6_Tu10,0.448,1.380,2.875,6.373,0.541,0.000,24.672,0.438,0.609,0.043,51.616,0.116,10.890
Br62_rep3_Dep6_Tu0.1,0.000,16.956,0.065,6.152,0.297,0.000,19.557,0.901,0.294,0.717,53.213,1.848,0.000
Br62_rep2_Dep6_Tu50,10.647,0.579,0.000,1.786,6.386,0.000,3.567,0.157,0.000,1.306,24.409,0.321,50.841
Br62_rep9_Dep6_Tu10,0.768,16.419,0.000,4.961,0.611,0.000,16.056,0.818,0.000,1.271,47.316,2.767,9.012
Br62_rep5_Dep6_Tu0.3,0.000,19.556,2.601,7.909,0.109,0.948,8.940,1.224,2.692,0.483,55.308,0.230,0.000
Br62_rep8_Dep6_Tu50,10.395,11.402,0.000,2.142,2.728,0.000,0.621,0.467,0.000,1.662,22.206,0.756,47.621
Br62_rep4_Dep6_Tu0.3,0.000,7.858,3.250,4.735,0.024,0.000,22.716,1.660,1.452,0.000,57.982,0.323,0.000
Br62_rep7_Dep6_Tu1,0.000,1.266,1.169,6.218,0.155,0.000,28.475,1.100,0.893,0.180,59.858,0.511,0.176
Br62_rep3_Dep6_Tu0.5,0.000,16.756,0.073,8.329,0.296,0.000,20.089,1.174,0.912,0.405,51.196,0.769,0.000
Br62_rep7_Dep6_Tu40,4.725,11.973,0.304,2.277,2.939,0.000,4.662,0.000,0.000,1.886,26.412,1.396,43.426
Br62_rep2_Dep6_Tu3,0.000,6.682,4.289,8.932,1.061,0.000,20.633,1.266,0.702,0.371,54.013,0.454,1.596
Br62_rep2_Dep6_Tu0.5,0.000,0.728,2.654,6.464,0.120,0.000,29.852,1.012,0.327,0.341,57.499,0.986,0.016
Br62_rep1_Dep6_Tu50,8.273,9.192,0.000,2.147,2.479,0.000,1.965,0.196,0.000,4.280,21.441,0.075,49.951
Br62_rep3_Dep6_Tu3,0.000,5.757,5.977,4.713,0.259,0.000,21.577,1.747,0.973,0.416,55.567,1.248,1.767
Br62_rep7_Dep6_Tu3,0.033,17.777,4.171,5.755,0.007,6.393,7.515,0.946,2.078,0.305,53.036,0.378,1.607
Br62_rep3_Dep6_Tu0.3,0.000,0.859,16.007,5.058,0.021,0.000,14.889,0.662,1.160,0.176,60.400,0.768,0.000
Br62_rep8_Dep6_Tu30,1.095,0.482,7.618,2.060,2.727,0.000,15.650,1.252,0.000,0.700,33.672,0.357,34.386
Br62_rep4_Dep6_Tu30,2.300,0.513,2.915,2.911,3.148,0.000,14.238,0.461,0.185,0.728,35.436,1.191,35.973
Br62_rep6_Dep6_Tu3,0.048,1.788,13.804,4.901,0.026,0.000,15.018,1.344,2.088,0.180,59.409,0.368,1.026
Br62_rep4_Dep6_Tu0.1,0.000,1.141,12.598,6.165,0.085,0.000,14.858,2.127,0.333,0.689,60.875,1.081,0.046
Br62_rep8_Dep6_Tu5,0.132,17.978,3.586,4.998,0.106,0.000,7.185,0.564,3.110,0.686,56.771,1.142,3.743
Br62_rep10_Dep6_Tu50,12.635,9.906,6.011,1.368,1.277,0.000,0.712,0.222,0.000,1.633,19.293,0.366,46.578
Br62_rep10_Dep6_Tu0.3,0.000,19.047,0.565,7.368,0.157,0.183,9.451,1.547,1.083,0.737,59.093,0.769,0.000
Br62_rep3_Dep6_Tu20,0.697,0.364,3.019,4.554,4.574,0.000,20.066,0.505,0.038,1.575,41.792,0.469,22.348
Br62_rep1_Dep6_Tu1,0.000,17.489,9.917,5.845,0.020,0.000,7.348,1.077,5.275,0.291,51.475,1.208,0.053
Br62_rep3_Dep6_Tu1,0.000,16.743,0.031,7.152,0.291,0.000,19.534,0.879,0.676,0.179,53.073,1.410,0.030
Br62_rep9_Dep6_Tu2,0.017,2.067,1.949,5.736,0.184,0.028,27.870,0.880,0.363,0.449,59.187,0.379,0.891
Br62_rep7_Dep6_Tu50,5.673,0.553,9.988,2.232,0.629,0.000,1.659,0.000,0.000,3.616,21.299,0.000,54.350
Br62_rep7_Dep6_Tu5,0.116,1.764,12.868,5.361,0.290,0.000,13.913,1.547,0.156,1.290,58.162,1.322,3.210
Br62_rep8_Dep6_Tu2,0.053,16.618,0.044,7.257,0.217,0.000,19.151,0.863,0.241,0.652,51.550,2.483,0.871
Br62_rep5_Dep6_Tu0.1,0.000,0.779,7.041,4.175,0.102,0.000,29.884,1.464,0.432,0.265,55.492,0.367,0.000
Br62_rep6_Dep6_Tu5,0.013,1.054,13.805,5.885,0.074,0.000,14.467,0.863,1.881,0.152,59.138,0.157,2.512
Br62_rep9_Dep6_Tu20,0.699,0.649,14.146,4.519,0.137,0.000,8.309,0.390,0.778,0.446,46.075,0.483,23.370
Br62_rep2_Dep6_Tu30,4.773,0.392,0.000,3.281,4.471,0.000,15.334,0.225,0.088,0.494,34.770,1.374,34.797
Br62_rep7_Dep6_Tu10,0.413,0.590,0.643,4.436,0.899,0.000,25.408,0.481,0.054,1.080,55.443,0.203,10.350
Br62_rep6_Dep6_Tu0.1,0.000,1.140,13.722,5.278,0.000,0.003,15.708,1.336,2.440,0.000,60.098,0.274,0.000
Br62_rep5_Dep6_Tu50,7.772,0.443,6.129,2.592,1.174,0.000,3.070,0.000,0.000,0.752,21.212,0.792,56.066
Br62_rep10_Dep6_Tu1,0.000,17.653,7.975,7.744,0.054,0.000,8.322,0.992,3.731,0.095,52.760,0.674,0.000
Br62_rep1_Dep6_Tu30,2.143,0.359,6.084,3.463,0.208,0.000,14.624,0.598,0.000,0.800,33.839,0.789,37.091
Br62_rep7_Dep6_Tu0.3,0.000,1.904,2.282,5.479,0.373,0.000,28.903,0.723,0.665,0.094,59.330,0.246,0.000
