Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Br62_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,1.188,0.000,0.000,0.000,0.000,0.000,55.020,43.791
Br62_rep5_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.940,0.000,0.000,0.000,0.000,0.000,54.881,44.178
Br62_rep6_Dep6_Tu30,2.759,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.995,0.000,37.036,25.209
Br62_rep7_Dep6_Tu20,0.096,0.000,0.000,0.000,0.000,0.000,0.188,0.000,0.000,0.000,25.823,0.000,38.931,34.962
Br62_rep2_Dep6_Tu40,6.273,0.000,1.707,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.538,0.000,28.639,22.842
Br62_rep8_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,1.168,0.000,0.000,0.000,0.000,0.000,56.705,42.127
Br62_rep5_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.659,0.000,0.000,0.000,0.000,0.000,64.166,35.175
Br62_rep4_Dep6_Tu50,8.289,0.000,0.330,0.000,0.000,0.000,0.000,0.000,0.000,0.000,51.389,0.000,20.951,19.040
Br62_rep8_Dep6_Tu40,2.093,0.000,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,48.136,0.000,25.559,24.125
Br62_rep7_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.774,0.000,0.000,0.000,0.000,0.000,56.786,42.439
Br62_rep9_Dep6_Tu40,2.939,0.000,0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.000,48.166,0.000,28.129,20.678
Br62_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.579,0.000,0.000,0.000,0.000,0.000,53.262,46.158
Br62_rep6_Dep6_Tu10,0.000,0.000,0.000,0.000,0.000,0.000,0.133,0.000,0.000,0.000,10.013,0.000,53.310,36.544
Br62_rep2_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.754,0.000,0.000,0.000,0.000,0.000,58.054,41.192
Br62_rep9_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,1.242,0.000,0.000,0.000,1.301,0.000,59.067,38.389
Br62_rep6_Dep6_Tu40,1.833,0.000,0.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,45.795,0.000,26.640,25.421
Br62_rep4_Dep6_Tu20,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26.418,0.000,42.544,30.637
Br62_rep9_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,1.410,0.000,0.000,0.000,0.000,0.000,52.926,45.664
Br62_rep1_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,2.339,0.000,0.000,0.000,0.000,0.000,57.137,40.523
Br62_rep3_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.107,0.000,0.000,0.000,0.823,0.000,56.748,42.321
Br62_rep9_Dep6_Tu50,6.058,0.000,0.822,0.000,0.000,0.000,0.000,0.000,0.000,0.000,53.963,0.000,18.990,20.166
Br62_rep5_Dep6_Tu30,1.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35.046,0.000,34.082,29.823
