Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Br62_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.180,1.835,0.000,0.663,0.516,0.078,0.613,11.073,0.885,31.085,53.070
Br62_rep5_Dep6_Tu3,0.001,0.023,8.970,0.000,3.179,0.116,0.013,0.089,0.008,2.875,6.480,0.398,21.281,56.567
Br62_rep6_Dep6_Tu30,1.891,0.001,49.599,0.040,0.037,0.426,0.480,0.628,1.050,0.230,3.995,0.668,4.737,36.217
Br62_rep7_Dep6_Tu20,0.013,0.000,39.769,0.085,0.000,0.066,0.018,0.007,0.001,0.050,3.537,0.023,5.881,50.552
Br62_rep2_Dep6_Tu40,3.398,0.002,60.169,3.590,0.000,0.012,1.317,0.027,0.013,0.005,1.195,0.003,11.012,19.257
Br62_rep8_Dep6_Tu0.5,0.000,0.002,0.000,0.000,2.236,0.030,3.783,0.115,0.139,2.755,8.992,0.013,22.479,59.457
Br62_rep5_Dep6_Tu2,0.000,0.088,3.103,0.000,5.920,0.000,0.027,0.382,1.646,0.983,4.150,2.668,23.056,57.977
Br62_rep4_Dep6_Tu50,4.539,0.000,70.796,3.678,0.000,0.000,0.009,0.043,0.354,1.184,0.016,0.024,0.018,19.338
Br62_rep8_Dep6_Tu40,1.816,0.000,62.485,2.687,1.088,0.000,0.002,0.619,0.005,0.509,2.881,0.010,1.107,26.792
Br62_rep7_Dep6_Tu2,0.633,0.045,1.045,0.000,2.046,0.302,1.535,0.136,0.140,2.754,6.302,0.393,23.809,60.860
Br62_rep9_Dep6_Tu40,1.704,0.000,61.898,3.596,0.025,0.000,0.000,0.359,0.006,0.163,4.265,0.000,7.678,20.306
Br62_rep10_Dep6_Tu2,1.286,0.105,1.103,0.000,0.006,0.833,0.192,1.364,0.118,3.351,7.072,0.919,25.992,57.658
Br62_rep6_Dep6_Tu10,0.000,0.000,18.948,0.743,0.342,0.000,0.000,0.001,0.013,1.320,5.925,2.575,19.991,50.143
Br62_rep2_Dep6_Tu2,0.000,0.018,0.642,0.000,1.268,0.000,0.542,0.484,0.205,5.974,8.643,0.263,22.898,59.063
Br62_rep9_Dep6_Tu5,0.000,0.105,8.062,0.000,2.089,0.000,0.219,1.104,0.116,4.756,6.328,1.170,18.704,57.347
Br62_rep6_Dep6_Tu40,1.738,0.001,57.327,5.611,0.064,0.000,0.000,0.000,0.000,1.344,3.920,0.004,0.439,29.550
Br62_rep4_Dep6_Tu20,0.000,0.000,39.805,2.272,0.016,0.000,0.512,0.217,0.017,0.003,4.477,0.136,10.433,42.111
