Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Br62_rep5_Dep6_Tu0.5,0.000,17.507,0.000,0.000,1.334,65.935,0.000,0.000,0.000,0.000,1.579,13.201,0.443
Br62_rep5_Dep6_Tu3,0.000,7.236,0.000,1.139,9.812,64.329,0.000,0.000,0.000,0.000,0.993,16.490,0.000
Br62_rep6_Dep6_Tu30,26.452,10.643,0.000,12.383,0.000,30.699,0.000,0.000,12.412,0.000,0.000,7.409,0.000
Br62_rep7_Dep6_Tu20,24.412,8.999,0.000,6.488,0.000,46.270,0.000,0.000,0.000,0.000,0.000,13.830,0.000
Br62_rep2_Dep6_Tu40,37.539,5.682,0.000,18.148,0.000,35.695,0.000,0.000,0.000,0.000,0.000,2.936,0.000
Br62_rep8_Dep6_Tu0.5,0.000,9.670,0.000,0.018,2.001,58.598,0.000,0.000,1.270,0.000,0.000,13.111,15.333
Br62_rep5_Dep6_Tu2,0.000,9.450,0.000,0.074,18.288,52.976,0.000,0.354,7.911,0.000,3.402,7.435,0.110
Br62_rep4_Dep6_Tu50,48.250,3.758,0.000,16.975,0.000,19.017,0.000,0.000,0.000,0.000,0.000,12.000,0.000
Br62_rep8_Dep6_Tu40,39.530,7.902,0.000,12.624,3.213,28.199,0.000,0.000,0.000,0.000,0.000,8.533,0.000
Br62_rep7_Dep6_Tu2,0.031,8.793,4.191,0.000,0.610,58.928,0.000,0.000,4.893,0.000,0.447,12.835,9.271
Br62_rep9_Dep6_Tu40,43.996,5.775,0.000,10.978,0.000,27.520,0.000,0.000,0.000,0.000,0.000,11.730,0.000
Br62_rep10_Dep6_Tu2,0.101,13.964,0.000,0.350,0.160,61.321,0.000,6.026,0.000,0.000,0.412,17.666,0.000
Br62_rep6_Dep6_Tu10,0.978,9.526,4.902,7.498,4.681,52.256,0.000,0.000,0.000,0.000,8.587,11.571,0.000
Br62_rep2_Dep6_Tu2,0.000,16.626,0.000,0.150,1.618,55.263,0.022,0.000,8.992,0.000,0.000,15.828,1.500
Br62_rep9_Dep6_Tu5,1.244,11.180,0.059,0.159,3.365,49.938,0.000,1.348,8.393,0.000,2.153,15.249,6.912
Br62_rep6_Dep6_Tu40,30.773,6.264,0.000,19.952,0.257,31.658,0.000,0.000,0.000,0.000,0.000,11.095,0.000
Br62_rep4_Dep6_Tu20,17.371,12.082,0.000,13.819,5.303,39.021,0.000,2.502,0.441,0.000,5.650,3.810,0.000
Br62_rep9_Dep6_Tu1,0.001,13.693,1.207,0.133,0.003,61.239,0.000,0.000,0.073,0.000,5.059,15.287,3.304
Br62_rep1_Dep6_Tu0.3,0.000,19.196,0.014,0.000,0.068,55.676,0.005,0.826,1.189,0.000,0.652,9.961,12.412
Br62_rep3_Dep6_Tu5,1.740,8.674,0.000,2.952,0.000,58.960,0.000,0.000,0.000,0.000,3.926,16.076,7.671
Br62_rep9_Dep6_Tu50,48.029,0.112,0.000,13.226,0.000,25.389,0.000,0.000,0.000,0.000,0.000,13.244,0.000
