Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Br62_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.446,59.190,0.000,10.133,0.000,0.000,0.000,19.787,0.000,0.000,0.000,0.000,0.000,5.435,0.000,3.161,0.000,0.000,0.000,1.848
Br62_rep5_Dep6_Tu3,0.000,0.000,0.000,0.140,47.798,0.000,0.000,0.000,0.000,0.000,6.359,0.000,15.860,0.000,0.000,24.552,4.710,0.580,0.000,0.000,0.000,0.000,0.000
Br62_rep6_Dep6_Tu30,29.982,0.000,0.000,4.582,23.880,0.000,0.000,0.000,0.000,0.000,4.559,0.000,0.000,3.792,0.000,0.000,3.369,0.000,0.000,0.000,0.000,29.834,0.000
Br62_rep7_Dep6_Tu20,23.879,0.000,0.000,7.026,40.788,0.000,0.000,0.000,0.000,0.000,8.101,0.000,0.000,2.132,0.000,0.000,18.074,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep2_Dep6_Tu40,34.732,0.000,0.000,7.489,21.689,0.000,0.000,0.000,0.000,0.000,1.260,0.000,0.000,0.000,28.998,0.000,2.126,3.705,0.000,0.000,0.000,0.000,0.000
Br62_rep8_Dep6_Tu0.5,0.000,0.000,0.000,0.071,49.640,0.000,8.790,0.000,0.000,0.000,7.300,0.000,0.000,6.269,0.000,0.000,6.485,0.000,0.000,0.000,0.000,21.444,0.000
Br62_rep5_Dep6_Tu2,0.000,0.000,0.000,0.145,55.659,0.000,0.000,0.000,0.000,0.000,7.896,0.000,0.000,31.595,0.000,0.000,4.703,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep4_Dep6_Tu50,51.563,0.000,0.000,10.656,18.490,0.000,0.000,0.000,0.000,0.000,1.328,0.000,0.000,0.000,0.000,0.000,12.271,0.000,0.000,0.000,0.000,5.691,0.000
Br62_rep8_Dep6_Tu40,34.926,0.000,0.000,18.502,24.287,0.000,0.000,0.000,0.000,0.000,5.528,0.000,0.000,1.301,0.000,0.000,15.453,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep7_Dep6_Tu2,0.186,0.000,0.000,0.000,60.155,0.000,0.000,0.000,0.000,0.000,6.970,0.000,0.000,20.984,0.000,0.000,11.704,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep9_Dep6_Tu40,41.700,0.000,0.000,13.125,25.473,0.000,0.000,0.000,0.000,0.000,2.957,0.000,13.282,0.000,0.000,0.000,3.461,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep10_Dep6_Tu2,0.000,0.000,0.000,1.285,63.517,0.000,0.000,0.000,0.000,0.000,11.468,0.000,0.000,0.000,0.000,0.000,18.390,5.339,0.000,0.000,0.000,0.000,0.000
Br62_rep6_Dep6_Tu10,10.738,0.000,0.000,3.126,49.354,0.000,0.000,0.000,0.000,0.000,8.982,17.182,0.000,5.849,0.000,0.000,4.767,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep2_Dep6_Tu2,0.000,0.000,0.000,0.240,60.289,0.000,0.000,0.000,0.000,0.000,9.122,0.000,0.000,19.211,0.000,0.000,11.137,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep9_Dep6_Tu5,0.000,0.000,0.000,0.571,47.867,0.000,0.000,0.000,0.000,0.000,12.216,0.000,0.000,27.945,0.000,0.000,5.825,0.000,0.000,0.000,0.000,0.000,5.573
Br62_rep6_Dep6_Tu40,35.613,0.000,0.000,15.781,25.861,0.000,0.000,0.000,0.000,0.000,3.500,0.000,12.067,0.000,0.000,0.000,7.178,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep4_Dep6_Tu20,19.917,0.000,0.000,10.766,32.700,0.000,0.000,0.000,0.000,0.000,7.511,0.000,0.000,0.000,0.000,0.000,6.959,0.000,0.000,0.000,0.000,22.146,0.000
Br62_rep9_Dep6_Tu1,0.000,0.000,0.000,0.061,62.433,0.000,5.386,0.000,0.000,2.148,8.779,0.000,10.379,0.000,0.000,0.000,10.483,0.000,0.000,0.000,0.330,0.000,0.000
Br62_rep1_Dep6_Tu0.3,0.000,0.000,0.000,0.000,48.260,14.090,0.036,0.000,0.000,0.000,11.512,0.000,0.000,4.234,0.000,0.000,3.124,0.000,0.000,0.000,0.000,0.000,18.742
Br62_rep3_Dep6_Tu5,2.103,0.000,0.000,1.899,56.050,0.000,4.814,0.000,0.000,0.000,6.379,0.000,0.000,18.174,0.000,0.000,10.579,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep9_Dep6_Tu50,51.320,0.000,0.000,9.444,11.979,0.000,0.000,0.000,0.000,0.000,0.531,0.000,23.653,0.000,0.000,0.000,3.071,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep5_Dep6_Tu30,27.654,0.000,0.000,5.673,27.306,0.000,0.000,0.000,0.000,0.000,4.954,0.000,0.000,0.000,0.000,0.000,13.426,0.000,0.000,0.000,0.000,20.987,0.000
Br62_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.044,56.086,0.000,0.000,0.000,0.000,0.082,11.672,0.000,22.409,1.633,0.000,0.000,8.072,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep1_Dep6_Tu20,21.632,0.000,0.000,6.522,38.870,0.000,0.000,0.000,0.000,0.000,2.853,0.000,0.000,25.745,0.000,0.000,4.377,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep4_Dep6_Tu2,0.000,0.000,0.000,0.035,57.911,0.000,0.000,0.000,0.000,0.000,17.076,0.000,0.000,17.161,0.000,0.000,7.816,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep8_Dep6_Tu3,1.692,0.000,0.000,0.645,62.894,0.000,0.000,0.000,0.000,0.000,7.111,0.000,0.000,11.265,0.000,0.020,16.371,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep2_Dep6_Tu5,7.986,0.000,0.000,1.830,61.135,0.000,0.000,0.000,0.000,0.000,4.978,0.000,0.000,10.234,0.000,0.000,13.835,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep2_Dep6_Tu1,0.000,0.000,0.000,0.000,53.767,0.000,0.000,0.000,0.000,12.030,15.565,0.000,0.000,3.472,0.000,0.000,7.939,0.000,0.000,0.000,0.000,7.227,0.000
Br62_rep8_Dep6_Tu1,0.000,0.000,0.000,0.000,60.088,0.000,0.000,0.000,0.000,0.000,11.791,8.452,0.000,1.568,0.000,0.000,12.256,5.844,0.000,0.000,0.000,0.000,0.000
Br62_rep10_Dep6_Tu0.1,0.000,0.000,0.000,0.000,53.383,0.000,3.317,0.000,0.000,0.000,10.920,17.407,0.000,5.539,0.000,0.000,3.066,6.368,0.000,0.000,0.000,0.000,0.000
Br62_rep3_Dep6_Tu40,43.308,0.000,0.000,9.043,26.056,0.000,0.000,0.000,0.000,0.000,3.309,0.000,0.000,0.000,0.000,0.000,8.673,0.000,9.610,0.000,0.000,0.000,0.000
Br62_rep8_Dep6_Tu0.3,0.000,0.000,0.000,0.097,60.501,0.000,0.000,0.000,0.000,0.238,10.120,0.000,0.000,0.000,0.000,0.000,7.724,0.148,0.000,0.000,0.000,0.000,21.171
Br62_rep4_Dep6_Tu0.5,0.000,0.000,0.000,0.000,55.898,0.000,0.000,0.000,0.000,0.000,11.263,0.000,0.000,21.065,0.000,0.000,3.425,8.348,0.000,0.000,0.000,0.000,0.000
Br62_rep6_Dep6_Tu50,50.052,0.000,0.000,8.749,19.190,0.000,0.000,0.000,0.000,0.000,3.509,0.000,3.830,0.000,0.000,0.000,14.145,0.000,0.000,0.524,0.000,0.000,0.000
Br62_rep7_Dep6_Tu0.1,0.000,0.000,0.000,0.007,56.599,0.000,0.000,0.000,0.000,0.000,10.538,0.000,24.195,0.433,0.000,0.000,8.226,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep9_Dep6_Tu30,34.261,0.000,0.000,6.073,30.787,0.000,0.000,0.000,0.000,0.000,8.058,0.000,0.000,0.000,0.000,0.000,5.612,15.208,0.000,0.000,0.000,0.000,0.000
Br62_rep6_Dep6_Tu20,24.986,0.000,0.000,1.873,39.703,0.000,0.000,0.000,0.000,0.000,3.170,0.000,11.520,8.765,0.000,0.000,9.982,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep5_Dep6_Tu5,1.511,0.000,0.000,0.261,49.824,0.000,0.000,0.000,0.000,0.000,9.222,0.000,0.000,0.000,0.000,0.000,7.945,0.000,0.000,0.000,0.000,31.236,0.000
Br62_rep4_Dep6_Tu40,45.644,0.000,0.000,10.255,20.884,0.000,0.000,0.000,0.000,0.000,4.567,0.000,0.000,6.158,0.000,0.000,12.491,0.000,0.000,0.000,0.000,0.000,0.000
