Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Br62_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.691,69.133,0.000,0.000,0.000,0.000,13.594,0.000,8.880,7.702
Br62_rep5_Dep6_Tu3,0.000,0.000,0.000,0.209,13.393,60.807,0.000,0.000,0.000,0.000,5.246,0.000,9.185,11.160
Br62_rep6_Dep6_Tu30,25.715,0.000,0.000,8.887,0.000,33.144,0.000,0.000,0.000,0.000,2.707,0.000,26.242,3.304
Br62_rep7_Dep6_Tu20,24.282,0.000,0.000,6.157,0.000,45.970,0.000,0.000,0.000,0.000,8.439,0.000,6.569,8.582
Br62_rep2_Dep6_Tu40,39.020,0.000,0.000,14.820,0.000,33.629,0.000,0.000,0.000,0.000,3.617,0.000,7.581,1.332
Br62_rep8_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.150,58.650,4.654,0.000,0.000,0.000,13.067,0.000,16.583,6.895
Br62_rep5_Dep6_Tu2,0.000,0.000,0.000,0.061,4.218,54.182,0.000,0.000,7.198,0.000,5.244,0.000,25.470,3.627
Br62_rep4_Dep6_Tu50,44.737,0.000,0.000,16.193,0.000,21.236,0.000,0.000,0.000,0.000,1.683,0.000,3.075,13.075
Br62_rep8_Dep6_Tu40,28.001,0.000,0.000,9.175,28.400,23.217,0.000,0.000,0.000,0.000,5.476,0.000,1.034,4.697
Br62_rep7_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,63.750,0.000,0.000,0.000,0.000,8.718,0.000,19.470,8.061
Br62_rep9_Dep6_Tu40,44.406,0.000,0.000,11.480,0.000,28.036,0.000,0.000,0.000,0.000,4.892,0.000,0.000,11.185
Br62_rep10_Dep6_Tu2,0.000,0.000,0.000,0.160,0.000,62.436,0.000,0.000,0.000,0.000,12.954,0.000,8.164,16.285
Br62_rep6_Dep6_Tu10,0.278,0.000,8.581,5.938,0.000,53.945,0.000,0.000,1.908,0.000,4.850,0.000,12.556,11.943
Br62_rep2_Dep6_Tu2,0.000,0.000,0.000,0.061,0.000,57.372,0.000,0.000,0.000,0.000,12.835,0.000,19.360,10.372
Br62_rep9_Dep6_Tu5,0.754,0.000,0.097,0.227,0.000,49.714,0.000,0.000,0.000,0.000,11.732,0.000,28.132,9.344
Br62_rep6_Dep6_Tu40,31.075,0.000,0.000,19.365,1.255,31.363,0.000,0.000,0.000,0.000,5.665,0.000,0.000,11.276
Br62_rep4_Dep6_Tu20,20.305,0.000,0.000,12.872,0.000,39.925,0.000,0.000,0.000,0.000,7.342,0.000,16.569,2.987
Br62_rep9_Dep6_Tu1,0.000,0.000,0.000,0.087,0.000,63.267,0.000,0.000,0.000,0.000,14.662,0.000,7.688,14.295
Br62_rep1_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,57.884,0.000,0.000,0.000,0.000,19.648,0.000,17.031,5.436
Br62_rep3_Dep6_Tu5,1.316,0.000,0.000,1.873,0.000,60.330,0.000,0.000,0.000,0.000,6.728,0.000,16.292,13.460
Br62_rep9_Dep6_Tu50,46.057,0.000,0.000,14.265,0.000,25.324,0.000,0.000,0.000,0.000,0.129,0.000,0.000,14.225
Br62_rep5_Dep6_Tu30,22.791,0.000,6.233,5.725,0.000,29.077,0.000,0.000,0.000,0.000,7.960,0.000,15.882,12.332
Br62_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,3.014,64.262,0.000,0.000,0.000,0.000,11.771,0.000,12.180,8.772
Br62_rep1_Dep6_Tu20,19.518,0.000,0.000,5.341,0.509,41.072,0.000,0.000,0.000,0.000,0.813,0.000,28.194,4.553
Br62_rep4_Dep6_Tu2,0.000,0.000,0.000,0.060,0.079,56.671,0.000,0.000,6.904,10.150,12.130,0.000,9.383,4.622
Br62_rep8_Dep6_Tu3,0.000,0.000,0.000,1.443,1.061,63.318,0.000,0.000,0.000,0.000,1.791,0.000,17.801,14.586
Br62_rep2_Dep6_Tu5,5.815,0.000,0.000,2.517,0.000,59.455,0.000,0.000,0.000,0.000,2.061,0.000,12.605,17.546
Br62_rep2_Dep6_Tu1,0.000,0.000,0.301,0.000,4.048,58.313,0.000,0.000,0.000,0.000,11.388,0.000,14.187,11.762
Br62_rep8_Dep6_Tu1,0.000,0.000,0.000,0.064,0.000,64.209,0.000,0.000,0.000,0.000,6.122,0.000,19.541,10.063
Br62_rep10_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,58.653,9.602,0.000,11.312,0.000,9.824,0.000,7.497,3.112
Br62_rep3_Dep6_Tu40,39.327,0.000,0.000,16.324,0.000,30.879,0.000,0.000,0.000,0.000,1.417,0.000,6.389,5.663
Br62_rep8_Dep6_Tu0.3,0.000,0.000,0.000,0.041,0.193,72.744,0.000,0.000,0.000,0.000,8.565,0.000,8.549,9.908
Br62_rep4_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,54.985,19.436,0.000,0.000,0.000,9.723,0.000,11.187,4.669
Br62_rep6_Dep6_Tu50,39.407,0.000,0.000,13.211,0.000,17.190,0.000,0.000,0.000,0.000,3.387,0.000,11.246,15.559
Br62_rep7_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.670,62.802,0.000,0.000,0.000,0.000,12.343,0.000,9.573,14.611
Br62_rep9_Dep6_Tu30,40.148,0.000,0.000,5.119,0.000,33.003,0.000,0.000,0.000,0.000,6.528,0.000,7.528,7.672
Br62_rep6_Dep6_Tu20,11.552,0.000,0.000,6.972,5.963,41.270,0.000,0.000,0.000,7.344,9.962,0.000,9.931,7.004
Br62_rep5_Dep6_Tu5,0.000,0.000,0.000,1.247,1.146,52.700,0.000,0.000,0.000,0.000,4.530,0.000,34.943,5.434
Br62_rep4_Dep6_Tu40,37.463,0.000,0.000,14.682,0.000,30.759,0.000,0.000,0.000,0.000,3.786,0.000,0.000,13.309
Br62_rep8_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.029,61.742,6.025,0.000,1.375,0.000,3.978,0.000,24.777,2.074
Br62_rep1_Dep6_Tu40,39.496,0.000,0.000,9.539,0.000,25.527,0.000,0.000,0.000,18.195,2.318,0.000,0.000,4.924
Br62_rep3_Dep6_Tu30,31.643,0.000,0.000,10.448,2.636,36.992,0.000,0.000,0.000,0.000,8.721,0.000,4.696,4.863
Br62_rep7_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.527,60.632,0.000,0.000,0.000,0.000,11.933,0.000,15.516,11.391
Br62_rep1_Dep6_Tu10,0.000,0.000,0.000,3.444,0.000,42.784,15.622,0.000,4.749,0.000,13.630,0.000,11.986,7.784
Br62_rep10_Dep6_Tu20,29.404,0.000,0.000,0.642,0.000,42.373,0.000,0.000,0.000,0.000,3.603,0.000,21.772,2.206
Br62_rep1_Dep6_Tu5,4.303,0.000,0.000,1.474,0.000,58.654,0.000,0.000,0.000,0.000,9.997,0.000,21.161,4.409
Br62_rep3_Dep6_Tu50,40.923,0.000,0.000,15.683,0.000,27.738,0.000,0.000,0.000,0.000,8.075,0.000,0.523,7.059
Br62_rep1_Dep6_Tu3,0.109,0.000,0.000,0.566,0.000,58.863,0.000,0.000,0.000,0.000,18.549,0.000,14.950,6.963
Br62_rep7_Dep6_Tu30,35.600,0.000,4.438,4.923,0.000,38.214,0.000,0.000,0.000,0.000,1.834,0.000,1.443,13.548
Br62_rep6_Dep6_Tu1,0.000,0.000,0.000,0.009,0.000,59.279,0.000,0.000,0.000,0.000,13.449,0.000,17.644,9.619
Br62_rep1_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.504,58.081,0.000,0.000,0.000,0.000,15.914,0.000,16.244,9.256
Br62_rep1_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,74.292,0.000,0.000,0.000,0.000,7.976,0.000,5.138,12.594
