Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Br62_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.000,3.746,0.000,3.010,0.888,0.000,10.768,10.127,4.966,66.495
Br62_rep5_Dep6_Tu3,0.529,0.000,0.000,1.686,10.734,0.000,0.984,0.000,0.000,16.021,7.670,3.534,58.844
Br62_rep6_Dep6_Tu30,25.328,0.000,0.000,9.944,1.103,0.000,2.159,0.000,0.000,12.906,8.764,2.704,37.092
Br62_rep7_Dep6_Tu20,13.173,0.000,0.000,7.273,6.482,0.000,1.389,0.000,0.000,13.862,10.011,1.749,46.060
Br62_rep2_Dep6_Tu40,31.788,0.000,0.000,12.131,0.000,0.000,2.283,0.000,0.000,11.785,5.346,0.000,36.668
Br62_rep8_Dep6_Tu0.5,0.000,0.000,0.000,0.000,8.445,0.000,4.782,0.000,2.775,11.918,9.643,1.843,60.596
Br62_rep5_Dep6_Tu2,0.000,0.000,0.000,0.000,9.445,0.428,1.100,0.000,4.494,13.413,8.688,3.883,58.549
Br62_rep4_Dep6_Tu50,36.968,0.000,0.000,13.769,3.449,0.000,0.000,0.000,1.512,15.002,4.460,0.251,24.589
Br62_rep8_Dep6_Tu40,26.851,0.000,0.000,11.779,7.139,0.000,0.300,3.024,0.000,14.644,6.309,0.622,29.331
Br62_rep7_Dep6_Tu2,0.000,0.000,1.503,0.000,2.089,0.392,3.758,0.000,1.615,15.502,9.285,2.784,63.071
Br62_rep9_Dep6_Tu40,32.607,0.000,0.000,11.571,2.059,0.000,0.000,1.131,0.000,10.874,8.202,0.000,33.556
Br62_rep10_Dep6_Tu2,0.000,0.000,0.000,1.077,6.874,0.000,0.000,1.419,0.000,14.896,12.540,3.681,59.514
Br62_rep6_Dep6_Tu10,3.846,0.000,0.000,5.252,7.424,0.000,0.000,0.000,1.701,12.174,10.673,4.602,54.327
Br62_rep2_Dep6_Tu2,0.015,0.000,1.399,0.347,5.257,0.726,1.505,0.000,1.586,16.983,13.456,0.112,58.614
Br62_rep9_Dep6_Tu5,3.996,0.000,0.000,0.000,1.003,0.000,5.317,0.645,1.902,16.826,10.819,3.779,55.714
Br62_rep6_Dep6_Tu40,26.632,0.000,0.000,10.768,7.049,0.000,0.000,0.000,0.000,17.548,8.217,0.000,29.785
Br62_rep4_Dep6_Tu20,13.832,0.000,0.000,7.908,9.804,0.000,1.765,1.702,0.581,8.833,10.036,1.986,43.552
Br62_rep9_Dep6_Tu1,0.618,0.000,0.000,0.000,5.167,0.000,3.593,0.000,0.000,14.558,12.752,1.672,61.640
