Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Br62_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.000,23.321,0.000,0.000,0.000,0.000,0.000,14.176,0.000,62.502,0.000
Br62_rep5_Dep6_Tu3,0.000,0.020,0.000,0.000,22.949,0.000,0.000,0.000,0.000,0.000,13.591,0.000,63.439,0.000
Br62_rep6_Dep6_Tu30,0.000,9.503,0.000,0.000,26.820,0.000,0.000,0.000,0.000,0.000,0.548,0.000,36.406,26.722
Br62_rep7_Dep6_Tu20,0.009,0.644,0.000,0.000,18.583,0.000,0.000,0.000,0.000,0.000,6.096,0.000,44.956,29.711
Br62_rep2_Dep6_Tu40,0.000,12.844,0.000,0.000,24.419,0.000,0.000,0.000,0.000,0.000,0.482,0.000,29.526,32.730
Br62_rep8_Dep6_Tu0.5,0.000,0.000,0.000,0.000,31.684,0.000,0.000,0.000,0.000,0.000,12.255,0.000,56.060,0.000
Br62_rep5_Dep6_Tu2,0.000,0.000,0.000,0.000,37.180,0.000,0.000,0.000,0.000,0.000,1.041,0.000,61.778,0.000
Br62_rep4_Dep6_Tu50,2.210,15.408,0.000,0.000,16.353,0.000,0.000,0.000,0.000,0.000,0.173,0.000,24.737,41.119
Br62_rep8_Dep6_Tu40,0.342,4.111,0.000,0.000,15.113,0.000,0.000,0.000,0.000,0.000,0.325,0.000,31.335,48.774
Br62_rep7_Dep6_Tu2,0.000,0.000,0.000,0.000,31.205,0.000,0.000,0.000,0.000,0.000,12.490,0.000,56.305,0.000
Br62_rep9_Dep6_Tu40,0.513,4.920,0.000,0.000,16.552,0.000,0.000,0.000,0.000,0.000,0.142,0.000,31.677,46.197
Br62_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,26.187,0.000,0.000,0.000,0.000,0.000,14.025,0.000,59.788,0.000
Br62_rep6_Dep6_Tu10,0.602,0.252,0.000,0.000,28.291,0.000,0.000,0.000,0.000,0.000,0.894,0.000,55.250,14.711
Br62_rep2_Dep6_Tu2,0.000,0.000,0.000,0.000,31.729,0.000,0.000,0.000,0.000,0.000,12.357,0.000,55.913,0.000
Br62_rep9_Dep6_Tu5,0.433,0.351,0.000,0.000,34.493,0.000,0.000,0.000,0.000,0.000,4.000,0.000,60.212,0.511
Br62_rep6_Dep6_Tu40,0.393,5.706,0.000,0.000,15.494,0.000,0.000,0.000,0.000,0.000,1.483,0.000,31.700,45.222
Br62_rep4_Dep6_Tu20,0.000,2.156,0.000,0.000,27.818,0.000,0.000,0.000,0.000,0.000,0.586,0.000,42.203,27.237
Br62_rep9_Dep6_Tu1,0.000,0.000,0.000,0.000,25.957,0.000,0.000,0.000,0.000,0.000,14.216,0.000,59.826,0.000
Br62_rep1_Dep6_Tu0.3,0.000,0.000,0.000,0.000,32.329,0.000,0.000,0.000,0.000,0.000,13.381,0.000,54.289,0.000
Br62_rep3_Dep6_Tu5,0.000,0.081,0.000,0.000,29.837,0.000,0.000,0.000,0.000,0.000,5.814,0.000,64.268,0.000
Br62_rep9_Dep6_Tu50,0.026,12.667,0.000,0.000,11.263,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.536,50.507
Br62_rep5_Dep6_Tu30,0.330,6.167,0.000,0.000,24.095,0.000,0.000,0.000,0.000,0.000,3.084,0.000,34.842,31.483
Br62_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,22.293,0.000,0.000,0.000,0.000,0.000,13.966,0.000,63.741,0.000
Br62_rep1_Dep6_Tu20,0.000,8.218,0.000,0.000,29.679,0.000,0.000,0.000,0.000,0.000,0.361,0.000,44.303,17.439
Br62_rep4_Dep6_Tu2,0.000,0.000,0.000,0.000,31.487,0.000,0.000,0.000,0.000,0.000,3.491,0.000,65.021,0.000
Br62_rep8_Dep6_Tu3,0.000,0.000,0.000,0.000,30.589,0.000,0.000,0.000,0.000,0.000,1.253,0.000,68.157,0.000
Br62_rep2_Dep6_Tu5,0.000,0.238,0.000,0.000,29.365,0.000,0.000,0.000,0.000,0.000,0.936,0.000,65.975,3.486
Br62_rep2_Dep6_Tu1,0.000,0.000,0.000,0.000,29.227,0.000,0.000,0.000,0.000,0.000,10.300,0.000,60.472,0.000
Br62_rep8_Dep6_Tu1,0.000,0.000,0.000,0.000,30.711,0.000,0.000,0.000,0.000,0.000,2.939,0.000,66.349,0.000
Br62_rep10_Dep6_Tu0.1,0.000,0.000,0.000,0.000,40.407,0.000,0.000,0.000,0.000,0.000,1.578,0.000,58.014,0.000
Br62_rep3_Dep6_Tu40,0.000,6.560,0.000,0.000,18.681,0.000,0.000,0.000,0.000,0.000,0.141,0.000,30.786,43.831
Br62_rep8_Dep6_Tu0.3,0.000,0.000,0.000,0.000,23.350,0.000,0.000,0.000,0.000,0.000,14.865,0.000,61.785,0.000
Br62_rep4_Dep6_Tu0.5,0.000,0.000,0.000,0.000,39.582,0.000,0.000,0.000,0.000,0.000,1.037,0.000,59.380,0.000
Br62_rep6_Dep6_Tu50,8.648,14.240,0.000,0.000,15.889,0.000,0.000,0.000,0.000,0.000,0.188,0.000,24.769,36.266
Br62_rep7_Dep6_Tu0.1,0.000,0.000,0.000,0.000,22.219,0.000,0.000,0.000,0.000,0.000,13.526,0.000,64.255,0.000
Br62_rep9_Dep6_Tu30,6.936,1.959,0.000,0.000,19.491,0.000,0.000,0.000,0.000,0.000,0.627,0.000,37.398,33.589
