Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Br62_rep5_Dep6_Tu0.5,0.000,1.104,0.000,0.000,4.707,0.070,2.354,0.033,5.885,11.939,9.272,0.294,64.342
Br62_rep5_Dep6_Tu3,2.075,0.009,0.946,0.118,4.846,0.000,3.261,0.041,4.651,11.574,9.059,1.302,62.116
Br62_rep6_Dep6_Tu30,25.896,0.764,1.051,3.641,2.306,0.000,3.732,0.000,6.398,4.285,6.649,0.567,44.712
Br62_rep7_Dep6_Tu20,16.703,0.000,1.134,1.167,5.930,0.000,2.631,1.221,4.148,8.378,7.974,0.345,50.368
Br62_rep2_Dep6_Tu40,33.144,0.474,2.387,5.688,2.842,0.000,2.820,0.000,3.764,3.488,5.121,1.756,38.516
Br62_rep8_Dep6_Tu0.5,0.000,1.217,0.761,0.000,4.612,0.000,2.093,0.000,4.705,11.171,9.764,2.559,63.119
Br62_rep5_Dep6_Tu2,0.267,0.000,2.110,0.000,4.288,0.962,1.549,0.000,8.260,9.122,9.244,1.399,62.800
Br62_rep4_Dep6_Tu50,40.659,0.000,3.030,7.259,1.774,0.000,3.318,0.000,2.154,3.390,4.207,1.116,33.093
Br62_rep8_Dep6_Tu40,32.780,0.000,2.935,3.899,2.897,0.000,2.209,2.087,1.940,7.273,4.923,0.978,38.078
Br62_rep7_Dep6_Tu2,0.000,0.000,1.178,0.000,3.270,0.052,2.255,0.000,7.146,13.218,9.325,1.012,62.546
Br62_rep9_Dep6_Tu40,33.624,0.000,2.630,4.240,4.274,0.000,3.087,0.000,2.752,3.381,4.947,1.365,39.700
Br62_rep10_Dep6_Tu2,0.029,1.201,0.958,0.000,4.688,0.000,3.046,0.000,6.135,11.532,9.090,1.147,62.174
Br62_rep6_Dep6_Tu10,7.783,3.476,1.745,0.005,5.307,0.000,1.701,0.000,8.018,6.815,7.660,0.622,56.868
Br62_rep2_Dep6_Tu2,1.571,2.767,0.000,0.000,2.677,0.000,3.411,0.000,3.426,13.368,9.856,0.503,62.422
Br62_rep9_Dep6_Tu5,4.709,0.193,1.776,0.000,3.968,0.000,2.468,0.000,6.213,8.897,11.979,1.209,58.587
Br62_rep6_Dep6_Tu40,31.571,0.000,2.343,5.211,3.860,0.000,2.801,0.000,1.949,7.381,6.514,0.446,37.925
Br62_rep4_Dep6_Tu20,18.079,0.000,2.489,1.888,4.292,0.000,3.480,0.000,3.165,7.460,6.659,1.186,51.301
Br62_rep9_Dep6_Tu1,0.000,0.663,1.075,0.000,3.759,0.000,3.957,0.000,6.655,11.267,10.295,0.068,62.261
Br62_rep1_Dep6_Tu0.3,0.000,0.614,1.030,0.000,3.500,0.550,3.006,0.000,3.264,12.406,10.653,2.925,62.053
Br62_rep3_Dep6_Tu5,1.726,0.846,2.116,0.170,4.296,0.000,1.698,0.000,6.860,11.700,6.406,2.078,62.105
