Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Br62_rep5_Dep6_Tu0.5,0.242,0.000,0.053,0.000,6.326,2.669,3.281,0.000,0.700,9.972,9.691,2.736,64.329
Br62_rep5_Dep6_Tu3,3.107,0.000,0.771,0.163,6.215,1.669,3.834,0.000,0.000,9.710,9.205,3.225,62.101
Br62_rep6_Dep6_Tu30,25.809,0.849,1.056,3.536,2.113,0.000,3.695,0.000,6.934,4.242,6.662,0.390,44.713
Br62_rep7_Dep6_Tu20,17.329,0.000,0.951,1.820,7.091,0.000,2.915,0.000,1.494,8.760,7.879,1.428,50.333
Br62_rep2_Dep6_Tu40,32.645,0.970,2.435,5.048,1.615,0.000,2.545,0.817,6.469,3.082,5.182,0.725,38.467
Br62_rep8_Dep6_Tu0.5,0.000,0.267,1.211,0.000,6.214,1.453,2.726,0.000,0.347,10.442,9.925,4.364,63.050
Br62_rep5_Dep6_Tu2,0.871,0.000,1.945,0.000,4.985,2.581,2.133,0.000,4.443,7.668,9.487,3.045,62.842
Br62_rep4_Dep6_Tu50,39.856,0.000,3.313,6.261,0.000,0.000,2.754,4.864,3.667,2.164,4.257,0.000,32.863
Br62_rep8_Dep6_Tu40,32.562,0.054,3.001,3.644,2.365,0.000,2.065,3.596,2.179,6.932,4.932,0.618,38.052
Br62_rep7_Dep6_Tu2,0.594,0.000,1.039,0.000,4.377,2.459,3.094,0.000,1.665,11.070,9.684,3.414,62.606
Br62_rep9_Dep6_Tu40,33.299,0.000,2.759,3.829,3.477,0.000,2.887,1.323,4.073,3.008,4.985,0.695,39.664
Br62_rep10_Dep6_Tu2,1.414,0.000,1.155,0.000,6.511,1.722,3.849,0.000,0.000,10.390,9.272,3.585,62.103
Br62_rep6_Dep6_Tu10,8.754,2.272,1.870,0.480,6.867,0.920,2.276,0.000,3.181,6.361,7.741,2.444,56.834
Br62_rep2_Dep6_Tu2,2.546,0.787,0.245,0.000,4.053,2.368,4.121,0.000,0.000,10.878,10.233,2.315,62.453
Br62_rep9_Dep6_Tu5,5.772,0.000,1.700,0.000,5.421,1.352,3.120,0.000,0.694,7.991,12.035,3.323,58.590
Br62_rep6_Dep6_Tu40,31.173,0.011,2.487,4.742,2.911,0.000,2.564,1.857,2.851,6.970,6.562,0.000,37.872
Br62_rep4_Dep6_Tu20,18.195,0.000,2.451,2.019,4.517,0.000,3.529,0.000,2.443,7.496,6.638,1.418,51.293
Br62_rep9_Dep6_Tu1,1.052,0.000,1.238,0.000,5.803,1.713,4.744,0.000,0.000,10.195,10.407,2.675,62.173
Br62_rep1_Dep6_Tu0.3,0.364,0.000,1.117,0.000,4.515,2.556,3.593,0.000,0.000,10.297,10.939,4.517,62.103
Br62_rep3_Dep6_Tu5,2.767,0.000,2.179,0.000,5.601,2.299,2.569,0.000,1.392,9.821,6.800,4.435,62.137
Br62_rep9_Dep6_Tu50,38.939,0.596,1.939,6.276,3.266,0.000,3.561,1.984,5.196,1.823,3.804,0.000,32.617
Br62_rep5_Dep6_Tu30,22.185,0.000,2.382,2.669,5.272,0.000,2.954,0.039,6.527,8.523,6.337,0.109,43.002
Br62_rep9_Dep6_Tu0.5,0.000,0.000,1.085,0.000,5.411,2.197,2.584,0.000,1.235,11.613,10.808,2.836,62.231
Br62_rep1_Dep6_Tu20,18.416,0.000,2.041,1.816,4.669,0.000,0.000,0.000,4.260,8.452,7.661,1.524,51.160
Br62_rep4_Dep6_Tu2,1.698,1.130,0.409,0.000,7.810,2.051,3.549,0.000,3.730,5.972,8.972,2.160,62.518
Br62_rep8_Dep6_Tu3,3.016,0.000,2.327,0.000,6.331,1.610,1.807,0.000,3.678,8.813,9.161,1.633,61.625
Br62_rep2_Dep6_Tu5,5.737,0.000,1.639,0.280,6.418,1.116,1.405,0.000,2.659,9.434,8.071,1.849,61.393
Br62_rep2_Dep6_Tu1,2.165,0.000,0.796,0.000,5.083,1.767,3.309,0.000,0.000,10.702,13.201,2.824,60.153
Br62_rep8_Dep6_Tu1,2.500,0.000,0.251,0.000,6.182,1.849,3.521,0.000,0.000,9.114,10.373,3.119,63.091
Br62_rep10_Dep6_Tu0.1,0.252,0.000,1.811,0.000,5.487,2.251,4.055,0.000,2.124,8.666,9.559,3.205,62.590
Br62_rep3_Dep6_Tu40,32.374,0.930,2.511,3.685,3.346,0.000,3.008,6.428,0.000,3.469,5.088,1.955,37.206
Br62_rep8_Dep6_Tu0.3,0.000,0.000,0.584,0.000,5.281,2.647,3.814,0.000,0.039,9.606,11.397,3.618,63.016
Br62_rep4_Dep6_Tu0.5,1.027,0.000,1.569,0.000,4.391,2.288,3.983,0.000,0.567,10.634,8.395,3.228,63.918
Br62_rep6_Dep6_Tu50,37.648,1.975,3.960,5.387,0.570,0.000,0.302,2.318,5.231,5.887,4.744,0.000,31.977
Br62_rep7_Dep6_Tu0.1,0.000,0.000,0.839,0.000,5.268,2.202,3.232,0.000,1.559,10.593,10.944,2.141,63.220
Br62_rep9_Dep6_Tu30,25.653,2.294,2.151,2.558,4.410,0.000,1.672,0.000,1.490,7.065,6.562,1.834,44.312
Br62_rep6_Dep6_Tu20,16.509,0.816,1.470,2.132,5.591,0.000,3.485,0.000,5.925,5.496,5.749,2.511,50.316
Br62_rep5_Dep6_Tu5,5.847,0.000,1.581,0.000,5.621,1.259,2.731,0.000,3.278,8.885,8.383,2.314,60.102
Br62_rep4_Dep6_Tu40,30.452,0.000,1.419,3.241,6.111,0.000,2.101,0.000,4.441,7.600,6.641,0.830,37.166
Br62_rep8_Dep6_Tu0.1,0.000,0.000,1.759,0.000,5.097,2.070,4.082,0.000,2.008,9.919,9.234,3.080,62.750
Br62_rep1_Dep6_Tu40,31.700,0.645,1.333,5.241,3.749,0.000,2.285,0.375,8.557,2.853,4.465,0.550,38.246
Br62_rep3_Dep6_Tu30,25.404,0.000,1.925,2.573,4.167,0.000,3.087,0.000,3.337,7.406,7.219,0.465,44.417
Br62_rep7_Dep6_Tu0.5,0.000,0.615,0.514,0.000,7.151,2.289,3.752,0.000,1.721,6.772,9.282,4.658,63.246
Br62_rep1_Dep6_Tu10,8.595,0.276,1.451,0.877,5.262,0.799,4.158,0.000,0.674,10.181,7.466,3.005,57.255
Br62_rep10_Dep6_Tu20,19.314,0.000,2.776,2.242,3.001,0.000,3.058,0.000,5.557,5.325,8.880,0.568,49.279
Br62_rep1_Dep6_Tu5,3.645,0.229,1.588,0.000,7.045,1.815,4.341,0.000,1.151,8.187,8.971,3.416,59.613
Br62_rep3_Dep6_Tu50,36.889,1.796,3.034,5.624,2.035,0.000,2.753,6.857,0.000,3.501,4.685,0.625,32.201
Br62_rep1_Dep6_Tu3,3.796,0.000,1.523,0.000,4.466,1.577,3.624,0.000,0.000,9.526,10.963,4.071,60.456
Br62_rep7_Dep6_Tu30,27.124,3.088,0.328,3.270,0.848,0.000,2.460,0.000,2.309,6.957,5.579,1.610,46.428
Br62_rep6_Dep6_Tu1,1.526,0.160,0.595,0.000,5.341,2.107,3.617,0.000,0.250,8.682,10.766,3.585,63.370
Br62_rep1_Dep6_Tu0.5,0.000,0.000,2.025,0.000,4.897,1.697,3.159,0.000,0.000,11.584,10.980,3.238,62.421
Br62_rep1_Dep6_Tu0.1,0.179,0.000,0.271,0.000,6.296,2.647,3.741,0.000,1.233,8.162,10.708,3.550,63.213
Br62_rep9_Dep6_Tu3,1.982,0.000,1.549,0.101,7.810,1.126,2.608,0.000,2.532,8.913,10.080,2.971,60.328
Br62_rep5_Dep6_Tu40,32.437,0.000,1.672,4.603,3.056,0.000,3.695,6.291,1.839,2.257,4.932,1.066,38.153
Br62_rep10_Dep6_Tu3,2.967,0.000,0.766,0.000,6.709,1.478,2.568,0.000,0.098,8.327,12.640,3.396,61.050
Br62_rep2_Dep6_Tu0.3,0.296,0.000,1.483,0.000,6.859,1.773,2.171,0.000,3.334,8.687,9.083,2.105,64.210
Br62_rep10_Dep6_Tu40,30.633,1.477,2.220,3.603,2.692,0.000,4.092,0.747,6.055,7.430,4.195,0.000,36.856
Br62_rep3_Dep6_Tu2,2.345,0.000,1.460,0.000,4.717,2.369,3.859,0.000,1.529,8.049,10.610,4.245,60.817
Br62_rep5_Dep6_Tu1,1.606,0.000,1.769,0.000,5.003,1.849,2.606,0.000,0.618,8.836,12.396,3.918,61.399
Br62_rep4_Dep6_Tu1,1.130,1.144,1.310,0.000,6.760,1.601,3.189,0.000,0.040,9.776,9.536,3.116,62.399
Br62_rep10_Dep6_Tu0.5,0.287,0.000,1.356,0.000,5.745,2.265,3.413,0.000,1.581,8.632,9.916,3.575,63.229
Br62_rep5_Dep6_Tu20,18.377,0.000,2.585,2.006,4.431,0.000,3.473,0.000,1.997,7.539,6.848,2.741,50.003
Br62_rep6_Dep6_Tu0.3,0.000,0.000,1.886,0.000,5.548,1.758,3.327,0.000,2.499,9.047,11.948,2.525,61.462
Br62_rep9_Dep6_Tu0.3,0.000,0.000,0.665,0.000,5.066,2.716,3.828,0.000,0.308,9.414,11.441,3.523,63.038
Br62_rep2_Dep6_Tu20,17.833,0.276,0.347,1.826,6.203,0.000,5.036,0.000,1.754,8.020,6.544,1.549,50.612
Br62_rep6_Dep6_Tu0.5,0.138,0.000,2.068,0.000,6.319,1.847,2.983,0.000,3.704,9.119,9.529,2.129,62.165
Br62_rep8_Dep6_Tu10,9.856,0.000,1.664,1.003,4.017,1.392,2.854,0.000,7.509,4.977,8.734,1.389,56.605
Br62_rep2_Dep6_Tu0.1,0.000,0.000,0.562,0.000,8.357,2.098,2.314,0.000,2.633,8.424,9.666,3.200,62.747
Br62_rep5_Dep6_Tu10,9.749,0.000,1.864,0.802,5.252,0.468,3.212,0.000,0.966,9.732,9.955,1.838,56.161
Br62_rep10_Dep6_Tu10,10.927,0.000,1.784,0.474,4.905,0.577,3.069,0.000,1.912,9.204,7.922,2.273,56.953
Br62_rep4_Dep6_Tu10,8.879,2.151,1.202,0.494,5.473,0.982,2.442,0.000,0.000,9.187,10.555,1.928,56.705
Br62_rep3_Dep6_Tu0.1,1.065,0.000,0.458,0.000,8.236,1.924,3.035,0.000,0.834,7.465,12.387,2.888,61.708
Br62_rep2_Dep6_Tu50,38.465,1.265,3.458,4.251,2.917,0.000,2.714,0.882,6.180,2.595,4.253,0.000,33.020
Br62_rep9_Dep6_Tu10,10.585,0.000,0.783,0.817,4.586,0.810,3.465,0.000,0.000,10.581,9.220,2.425,56.728
Br62_rep5_Dep6_Tu0.3,0.000,0.000,1.332,0.000,4.415,2.480,3.277,0.000,4.424,9.101,10.119,2.241,62.612
Br62_rep8_Dep6_Tu50,37.380,0.000,4.199,4.978,1.988,0.000,4.433,4.412,1.240,2.745,4.201,0.694,33.731
