Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Br62_rep5_Dep6_Tu0.5,0.003,0.001,1.656,0.716,1.148,1.735,42.883,3.187,2.782,0.300,0.249,0.289,0.003,0.000,0.076,0.077,0.001,0.058,0.004,0.058,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,44.011,0.000,0.000,0.671,0.000,0.000,0.000,0.093
Br62_rep5_Dep6_Tu3,0.002,0.001,0.794,0.153,0.911,1.833,42.012,4.680,2.019,0.234,0.267,0.005,0.001,0.001,0.038,0.033,0.016,0.023,0.002,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,44.212,0.000,0.000,0.263,0.231,0.000,0.000,2.262
Br62_rep6_Dep6_Tu30,0.000,0.003,2.909,2.061,1.686,3.087,2.663,7.658,8.088,0.703,0.698,0.368,0.004,0.006,0.915,0.800,1.434,0.969,0.025,0.313,0.005,0.001,0.034,0.240,0.001,0.003,0.031,0.013,0.000,0.000,0.000,0.000,0.114,0.001,0.000,24.504,40.645,0.000,0.005,0.011
Br62_rep7_Dep6_Tu20,0.002,0.002,0.330,0.578,1.440,0.761,32.554,0.942,0.769,0.149,0.349,0.199,0.001,0.000,0.017,0.110,0.125,0.029,0.010,0.093,0.000,0.000,0.001,0.012,0.000,0.002,0.028,0.001,0.000,0.000,0.000,0.000,30.413,0.000,0.000,0.029,28.272,0.000,0.001,2.779
Br62_rep2_Dep6_Tu40,0.019,0.012,0.659,1.493,0.081,2.646,6.374,4.592,5.787,0.651,0.776,0.398,0.036,0.047,0.564,0.062,1.351,0.551,0.319,0.468,0.003,0.008,0.009,1.087,0.002,0.038,0.115,0.919,0.000,0.118,0.000,0.000,0.018,0.019,0.005,19.165,51.265,0.000,0.332,0.010
Br62_rep8_Dep6_Tu0.5,0.002,0.001,0.531,0.987,1.894,3.328,39.792,2.803,2.890,0.304,0.270,0.330,0.001,0.004,0.045,0.201,0.027,0.197,0.039,0.131,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,42.450,0.000,0.000,3.771,0.000,0.000,0.000,0.000
Br62_rep5_Dep6_Tu2,0.002,0.001,1.008,2.057,2.836,2.725,38.406,6.729,1.990,1.470,0.113,0.101,0.004,0.003,0.252,0.293,0.302,0.085,0.001,0.206,0.000,0.001,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.477,0.000,0.000,37.929,0.000,0.000,0.000,0.001
Br62_rep4_Dep6_Tu50,0.036,0.044,1.300,0.245,0.627,3.054,2.386,1.658,5.360,0.176,1.332,0.487,0.029,0.025,1.317,1.261,0.239,0.420,0.042,0.909,0.021,0.025,0.102,1.733,0.014,0.011,0.186,1.370,0.004,0.080,0.000,0.000,0.006,0.022,0.001,10.427,64.709,0.000,0.300,0.042
Br62_rep8_Dep6_Tu40,0.004,0.012,1.360,1.497,0.100,1.030,16.062,1.285,0.577,0.292,0.322,0.271,0.011,0.000,0.685,0.209,0.008,0.455,0.011,0.173,0.001,0.004,0.007,0.261,0.003,0.016,0.247,0.127,0.000,0.000,0.000,0.000,14.734,0.001,0.000,0.025,57.654,0.000,0.006,2.547
Br62_rep7_Dep6_Tu2,0.005,0.002,2.752,0.600,3.224,0.381,32.941,4.635,7.088,0.548,0.642,0.331,0.000,0.004,0.143,0.110,0.015,0.250,0.015,0.098,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.082,0.000,0.000,6.123,0.007,0.000,0.000,0.002
Br62_rep9_Dep6_Tu40,0.060,0.007,1.830,2.579,1.251,2.928,2.280,5.176,6.795,0.590,0.783,0.415,0.056,0.007,0.054,0.000,0.834,0.700,0.183,0.347,0.003,0.012,0.027,0.798,0.005,0.016,0.097,0.049,0.000,0.000,0.000,0.000,0.065,0.004,0.004,13.015,57.295,0.000,0.005,1.730
Br62_rep10_Dep6_Tu2,0.001,0.001,1.075,0.328,1.839,0.154,46.037,0.912,2.846,0.071,0.431,0.138,0.002,0.002,0.045,0.027,0.019,0.044,0.007,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,43.994,0.000,0.000,0.826,0.000,0.000,0.000,1.182
Br62_rep6_Dep6_Tu10,0.000,0.002,0.405,1.041,0.884,0.680,38.971,6.153,2.673,0.638,0.335,0.019,0.010,0.009,0.152,0.010,0.032,0.126,0.009,0.085,0.001,0.002,0.003,0.019,0.001,0.000,0.006,0.001,0.000,0.000,0.000,0.000,3.758,0.000,0.000,29.678,9.523,0.000,0.000,4.773
Br62_rep2_Dep6_Tu2,0.011,0.002,3.650,1.013,1.178,4.204,32.969,4.381,4.230,0.069,0.323,0.462,0.006,0.005,0.237,0.262,0.273,0.184,0.026,0.153,0.000,0.002,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.889,0.000,0.000,7.462,0.001,0.000,0.000,0.004
Br62_rep9_Dep6_Tu5,0.003,0.003,0.873,2.861,1.272,1.150,31.699,9.870,2.951,1.187,0.474,0.465,0.001,0.004,0.309,0.362,0.049,0.071,0.010,0.150,0.001,0.000,0.009,0.003,0.001,0.000,0.002,0.000,0.000,0.000,0.000,0.000,17.178,0.000,0.000,26.219,2.692,0.000,0.005,0.122
