Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Br62_rep5_Dep6_Tu0.5,0.000,0.000,32.858,23.858,0.000,4.751,0.000,4.177,0.000,0.221,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.132
Br62_rep5_Dep6_Tu3,0.000,0.000,33.090,19.296,0.000,9.481,0.000,3.204,0.000,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.814
Br62_rep6_Dep6_Tu30,0.000,0.000,2.539,29.401,0.172,4.705,0.000,0.913,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.030,0.000,21.992,0.000,7.609,0.000,1.724,0.000,0.000,0.000,0.000,0.000,0.000,0.045,0.000,0.000,0.000,28.868
Br62_rep7_Dep6_Tu20,0.000,0.000,22.363,11.606,5.204,6.002,0.000,1.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.220,0.000,2.270,0.000,21.915,0.000,0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.240
Br62_rep2_Dep6_Tu40,0.000,0.000,4.891,15.201,0.000,7.631,0.000,2.624,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.318,0.000,19.521,22.584,1.694,0.000,1.887,0.000,0.000,0.000,0.011,0.525,0.000,0.339,0.000,0.000,0.000,21.772
Br62_rep8_Dep6_Tu0.5,0.000,0.000,19.081,20.343,0.000,26.273,0.000,0.978,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.154
Br62_rep5_Dep6_Tu2,0.000,0.000,4.906,49.616,0.000,8.485,0.000,3.258,0.000,0.272,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.460
Br62_rep4_Dep6_Tu50,0.000,0.000,6.148,10.434,0.000,5.229,0.000,0.187,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.749,0.081,10.938,31.720,8.160,0.000,4.411,0.000,0.000,0.000,0.000,0.418,0.000,0.840,0.000,0.000,0.000,18.685
Br62_rep8_Dep6_Tu40,0.000,0.000,13.282,8.733,0.000,5.687,0.000,2.294,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.223,0.000,7.688,0.556,33.986,0.000,4.671,0.000,0.000,0.000,0.000,0.041,0.000,0.524,0.000,0.000,0.000,21.314
Br62_rep7_Dep6_Tu2,0.000,0.000,10.654,13.568,17.861,20.754,0.000,3.249,0.000,0.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.548
Br62_rep9_Dep6_Tu40,0.000,0.000,4.179,17.420,0.000,6.363,0.000,3.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.382,0.000,7.398,1.370,32.403,0.000,4.774,0.000,0.000,0.000,0.000,0.158,0.000,0.585,0.000,0.000,0.000,18.850
Br62_rep10_Dep6_Tu2,0.000,0.000,28.825,11.200,0.000,12.059,0.000,7.735,0.000,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.107
Br62_rep6_Dep6_Tu10,0.000,0.000,5.130,28.458,0.000,8.209,0.000,13.373,0.000,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.001,0.000,2.040,0.000,3.360,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.397
Br62_rep2_Dep6_Tu2,0.000,0.000,16.066,17.891,5.209,24.732,0.000,2.396,0.000,0.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.359
Br62_rep9_Dep6_Tu5,0.000,0.000,6.022,32.803,0.544,20.065,0.000,2.148,0.000,0.478,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.057,0.000,0.598,0.000,0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.119
Br62_rep6_Dep6_Tu40,0.000,0.000,15.823,5.829,0.000,8.281,0.000,1.972,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.854,0.000,25.745,1.326,12.699,0.000,1.879,0.000,0.000,0.000,0.000,0.023,0.000,0.432,0.000,0.000,0.000,25.134
Br62_rep4_Dep6_Tu20,0.000,0.000,5.325,24.211,0.000,8.569,0.000,5.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.018,0.000,9.013,0.000,14.018,0.000,0.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.539
