Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Br62_rep5_Dep6_Tu0.5,0.000,6.199,0.000,0.000,0.149,0.000,0.158,0.727,1.013,0.573,3.388,0.067,13.216,74.510
Br62_rep5_Dep6_Tu3,0.110,5.622,1.109,0.046,0.800,0.016,0.159,1.132,0.874,0.635,3.376,0.199,11.778,74.142
Br62_rep6_Dep6_Tu30,14.861,0.960,13.145,0.234,0.002,0.000,0.051,4.805,0.254,0.066,1.630,0.056,2.197,61.739
Br62_rep7_Dep6_Tu20,10.174,0.001,9.240,0.049,0.108,0.001,0.056,2.835,1.256,0.043,2.465,0.033,2.713,71.025
Br62_rep2_Dep6_Tu40,20.818,0.157,16.556,0.905,0.002,0.000,0.006,4.430,0.511,0.005,1.036,0.046,0.812,54.715
Br62_rep8_Dep6_Tu0.5,0.000,8.496,0.000,0.000,0.000,0.000,0.046,0.595,1.100,0.194,3.306,0.109,13.100,73.054
Br62_rep5_Dep6_Tu2,0.000,13.479,0.000,0.000,0.000,0.000,0.009,0.953,0.242,0.036,1.578,0.032,16.265,67.406
Br62_rep4_Dep6_Tu50,26.481,0.000,19.880,0.719,0.000,0.000,0.011,3.369,1.017,0.009,0.564,0.011,0.085,47.853
Br62_rep8_Dep6_Tu40,20.144,0.000,17.381,0.223,0.000,0.000,0.007,3.270,0.285,0.014,0.385,0.006,0.056,58.229
Br62_rep7_Dep6_Tu2,0.000,9.718,0.000,0.000,0.004,0.000,0.074,0.946,0.536,0.154,3.349,0.079,13.773,71.366
Br62_rep9_Dep6_Tu40,20.534,0.001,17.622,0.160,0.000,0.000,0.020,2.782,0.567,0.049,0.964,0.040,0.690,56.571
Br62_rep10_Dep6_Tu2,0.000,7.454,0.000,0.000,0.088,0.001,0.142,1.520,0.453,0.892,3.174,0.190,11.996,74.090
Br62_rep6_Dep6_Tu10,3.011,11.465,2.862,0.070,0.009,0.000,0.024,0.941,0.840,0.204,2.231,0.067,9.914,68.362
Br62_rep2_Dep6_Tu2,0.000,10.049,0.000,0.000,0.013,0.000,0.110,0.836,0.384,0.484,3.232,0.156,14.245,70.492
Br62_rep9_Dep6_Tu5,0.052,14.434,0.053,0.000,0.003,0.000,0.043,0.125,0.538,0.200,2.986,0.015,10.904,70.647
Br62_rep6_Dep6_Tu40,20.415,0.000,17.032,0.286,0.001,0.000,0.011,1.175,2.077,0.009,0.807,0.006,0.440,57.740
Br62_rep4_Dep6_Tu20,9.344,1.486,9.711,0.258,0.009,0.000,0.056,1.274,2.955,0.173,2.709,0.099,4.802,67.125
Br62_rep9_Dep6_Tu1,0.000,7.470,0.000,0.000,0.086,0.000,0.085,1.409,0.179,0.981,3.872,0.194,12.059,73.664
Br62_rep1_Dep6_Tu0.3,0.000,8.392,0.000,0.000,0.001,0.000,0.089,1.578,0.105,0.321,4.282,0.204,13.885,71.142
Br62_rep3_Dep6_Tu5,0.256,10.803,0.393,0.002,0.156,0.001,0.205,0.464,1.360,0.041,2.693,0.152,11.192,72.282
Br62_rep9_Dep6_Tu50,25.161,0.000,21.121,0.486,0.000,0.000,0.010,2.811,0.437,0.012,0.194,0.002,0.007,49.759
Br62_rep5_Dep6_Tu30,15.498,0.008,12.595,0.385,0.006,0.000,0.100,2.434,2.208,0.296,2.186,0.008,1.759,62.517
Br62_rep9_Dep6_Tu0.5,0.000,5.776,0.000,0.000,0.317,0.001,0.136,1.002,0.999,0.540,3.582,0.053,12.534,75.059
Br62_rep1_Dep6_Tu20,9.041,4.706,8.704,0.164,0.012,0.000,0.056,1.869,0.930,0.163,2.202,0.107,6.377,65.670
Br62_rep4_Dep6_Tu2,0.000,12.225,0.000,0.000,0.000,0.000,0.012,0.777,0.148,0.067,3.255,0.084,14.107,69.326
Br62_rep8_Dep6_Tu3,0.000,13.050,0.000,0.000,0.000,0.000,0.015,0.644,0.094,0.121,2.195,0.039,13.856,69.986
Br62_rep2_Dep6_Tu5,0.088,13.782,0.116,0.000,0.002,0.000,0.028,1.467,0.197,0.280,0.506,0.041,13.662,69.831
Br62_rep2_Dep6_Tu1,0.000,8.875,0.000,0.000,0.001,0.000,0.014,0.424,0.716,0.303,3.862,0.038,14.322,71.445
Br62_rep8_Dep6_Tu1,0.000,11.825,0.000,0.000,0.000,0.000,0.001,0.358,0.321,0.056,2.899,0.030,15.578,68.933
Br62_rep10_Dep6_Tu0.1,0.000,13.480,0.000,0.000,0.000,0.000,0.005,0.378,0.181,0.019,2.878,0.034,17.036,65.990
Br62_rep3_Dep6_Tu40,21.335,0.004,16.353,0.617,0.000,0.000,0.018,3.417,1.176,0.018,0.411,0.056,0.793,55.802
Br62_rep8_Dep6_Tu0.3,0.000,5.014,0.000,0.000,0.199,0.000,0.212,0.977,0.860,0.751,4.058,0.359,12.711,74.859
Br62_rep4_Dep6_Tu0.5,0.000,13.823,0.000,0.000,0.000,0.000,0.005,0.301,0.136,0.020,2.733,0.012,16.104,66.865
Br62_rep6_Dep6_Tu50,24.990,0.000,20.906,0.864,0.000,0.000,0.019,2.336,1.754,0.025,0.620,0.005,0.029,48.453
Br62_rep7_Dep6_Tu0.1,0.000,5.571,0.000,0.000,0.279,0.000,0.095,1.012,0.897,0.501,3.875,0.034,12.871,74.866
Br62_rep9_Dep6_Tu30,15.964,0.226,13.007,0.294,0.010,0.000,0.087,2.417,1.361,0.076,2.285,0.021,2.434,61.816
Br62_rep6_Dep6_Tu20,9.953,0.982,8.388,0.392,0.024,0.000,0.182,2.770,2.259,0.355,1.785,0.042,6.016,66.851
Br62_rep5_Dep6_Tu5,0.004,15.858,0.000,0.000,0.000,0.000,0.007,0.571,0.523,0.046,1.972,0.003,12.594,68.420
Br62_rep4_Dep6_Tu40,20.724,0.000,16.355,0.211,0.000,0.000,0.030,1.717,1.709,0.103,0.528,0.005,0.220,58.398
Br62_rep8_Dep6_Tu0.1,0.000,12.054,0.000,0.000,0.000,0.000,0.011,1.128,0.095,0.009,3.405,0.051,16.249,67.000
Br62_rep1_Dep6_Tu40,21.122,0.005,16.828,0.432,0.001,0.000,0.018,3.843,0.436,0.046,0.781,0.032,0.826,55.630
Br62_rep3_Dep6_Tu30,15.378,0.002,13.371,0.494,0.003,0.000,0.048,3.417,0.480,0.240,1.031,0.065,1.545,63.925
Br62_rep7_Dep6_Tu0.5,0.000,8.985,0.000,0.000,0.001,0.000,0.048,1.222,0.279,0.235,3.024,0.119,14.878,71.209
Br62_rep1_Dep6_Tu10,2.092,15.772,1.940,0.053,0.000,0.000,0.025,0.627,0.465,0.079,1.762,0.009,10.511,66.665
Br62_rep10_Dep6_Tu20,10.447,7.071,6.851,0.182,0.007,0.000,0.072,3.438,0.010,0.083,2.546,0.129,7.169,61.995
Br62_rep1_Dep6_Tu5,0.206,10.146,0.907,0.236,0.013,0.000,0.064,0.630,1.490,0.465,2.994,0.075,10.362,72.412
Br62_rep3_Dep6_Tu50,26.467,0.000,20.160,0.477,0.000,0.000,0.014,4.353,0.631,0.044,0.126,0.019,0.166,47.545
Br62_rep1_Dep6_Tu3,0.001,9.540,0.241,0.039,0.071,0.000,0.165,0.755,0.972,0.375,3.886,0.168,12.308,71.478
Br62_rep7_Dep6_Tu30,14.776,0.000,13.562,0.347,0.002,0.000,0.030,4.077,0.242,0.091,1.297,0.030,0.963,64.583
Br62_rep6_Dep6_Tu1,0.000,9.554,0.000,0.000,0.002,0.000,0.063,0.753,0.206,0.293,3.270,0.099,13.587,72.172
Br62_rep1_Dep6_Tu0.5,0.000,8.407,0.000,0.000,0.003,0.000,0.072,1.140,0.541,0.335,3.814,0.027,13.232,72.429
Br62_rep1_Dep6_Tu0.1,0.000,6.217,0.000,0.000,0.149,0.000,0.024,1.042,0.875,0.242,3.980,0.231,13.972,73.268
Br62_rep9_Dep6_Tu3,0.000,12.322,0.000,0.000,0.001,0.000,0.054,0.972,0.427,0.004,2.871,0.075,12.215,71.060
Br62_rep5_Dep6_Tu40,20.640,0.002,16.313,0.405,0.001,0.000,0.054,4.676,1.248,0.036,0.305,0.078,0.819,55.422
Br62_rep10_Dep6_Tu3,0.064,5.665,0.797,0.000,0.255,0.000,0.160,1.504,0.103,1.757,3.777,0.454,11.747,73.716
Br62_rep2_Dep6_Tu0.3,0.000,11.335,0.000,0.000,0.000,0.000,0.008,0.461,0.050,0.078,2.452,0.034,16.348,69.234
Br62_rep10_Dep6_Tu40,20.982,0.000,16.041,0.476,0.002,0.000,0.026,3.589,1.366,0.087,0.580,0.014,0.168,56.668
Br62_rep3_Dep6_Tu2,0.000,9.252,0.000,0.000,0.034,0.000,0.126,1.300,1.316,0.256,2.778,0.130,13.101,71.708
Br62_rep5_Dep6_Tu1,0.000,11.764,0.000,0.000,0.000,0.000,0.014,0.523,0.154,0.035,3.496,0.022,13.053,70.939
Br62_rep4_Dep6_Tu1,0.000,14.518,0.000,0.000,0.000,0.000,0.002,0.223,0.183,0.006,3.013,0.012,16.069,65.974
Br62_rep10_Dep6_Tu0.5,0.000,14.132,0.000,0.000,0.000,0.000,0.002,0.503,0.055,0.005,2.554,0.011,16.187,66.552
Br62_rep5_Dep6_Tu20,9.052,7.170,8.820,0.073,0.001,0.000,0.028,2.707,0.060,0.038,1.826,0.108,6.257,63.859
Br62_rep6_Dep6_Tu0.3,0.000,10.139,0.000,0.000,0.000,0.000,0.011,0.724,0.292,0.040,3.920,0.022,14.210,70.641
Br62_rep9_Dep6_Tu0.3,0.000,4.963,0.000,0.000,0.182,0.000,0.187,1.176,0.479,0.657,4.418,0.471,12.812,74.653
Br62_rep2_Dep6_Tu20,9.919,0.094,9.230,0.191,0.040,0.000,0.197,3.392,1.022,0.486,2.800,0.084,4.030,68.516
Br62_rep6_Dep6_Tu0.5,0.000,13.590,0.000,0.000,0.000,0.000,0.004,0.263,0.225,0.008,2.709,0.021,17.444,65.737
Br62_rep8_Dep6_Tu10,3.433,12.150,2.426,0.159,0.004,0.000,0.041,1.288,0.577,0.125,2.456,0.154,11.429,65.758
Br62_rep2_Dep6_Tu0.1,0.000,11.103,0.000,0.000,0.000,0.000,0.003,0.656,0.372,0.056,3.136,0.040,15.046,69.588
Br62_rep5_Dep6_Tu10,4.051,8.264,3.489,0.030,0.015,0.000,0.056,1.376,0.300,0.211,2.591,0.094,9.215,70.308
Br62_rep10_Dep6_Tu10,3.624,11.607,2.584,0.143,0.008,0.000,0.038,1.843,0.217,0.069,2.661,0.037,10.446,66.724
Br62_rep4_Dep6_Tu10,3.703,3.299,4.514,0.362,0.335,0.002,0.092,1.628,0.890,0.743,4.716,0.079,4.414,75.222
Br62_rep3_Dep6_Tu0.1,0.000,10.634,0.000,0.000,0.000,0.000,0.011,0.649,0.412,0.061,3.382,0.057,15.338,69.456
Br62_rep2_Dep6_Tu50,25.336,0.000,20.820,0.088,0.000,0.000,0.013,3.012,0.320,0.011,0.050,0.002,0.021,50.327
Br62_rep9_Dep6_Tu10,3.288,9.111,2.995,0.795,0.022,0.000,0.074,1.547,0.458,0.065,2.693,0.114,9.555,69.282
Br62_rep5_Dep6_Tu0.3,0.000,12.873,0.000,0.000,0.000,0.000,0.002,0.502,0.192,0.006,3.178,0.021,14.820,68.406
Br62_rep8_Dep6_Tu50,25.837,0.000,20.589,0.475,0.000,0.000,0.012,3.235,1.252,0.014,0.390,0.021,0.052,48.121
Br62_rep4_Dep6_Tu0.3,0.000,8.801,0.000,0.000,0.000,0.000,0.022,0.701,0.546,0.273,3.224,0.156,14.176,72.101
Br62_rep7_Dep6_Tu1,0.000,6.582,0.000,0.000,0.298,0.000,0.165,0.666,0.761,0.896,3.325,0.208,13.050,74.049
Br62_rep3_Dep6_Tu0.5,0.000,10.111,0.000,0.000,0.000,0.000,0.005,0.480,0.450,0.030,4.068,0.051,14.105,70.700
Br62_rep7_Dep6_Tu40,20.754,0.003,16.895,0.289,0.001,0.000,0.013,3.338,0.991,0.046,0.667,0.052,0.538,56.413
Br62_rep2_Dep6_Tu3,0.003,10.611,0.002,0.001,0.031,0.000,0.080,1.193,0.239,0.402,3.512,0.137,12.202,71.588
Br62_rep2_Dep6_Tu0.5,0.000,6.182,0.000,0.000,0.066,0.000,0.101,0.958,0.831,0.562,3.981,0.260,12.891,74.167
Br62_rep1_Dep6_Tu50,26.076,0.000,20.073,0.171,0.000,0.000,0.014,4.528,0.060,0.022,0.289,0.006,0.024,48.736
Br62_rep3_Dep6_Tu3,0.008,10.890,0.037,0.000,0.026,0.000,0.061,1.518,0.929,0.035,3.007,0.126,12.441,70.921
