Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Br62_rep5_Dep6_Tu0.5,0.000,0.000,13.197,12.887,0.000,0.000,0.000,36.132,0.305,1.884,9.364,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.359,0.000,0.000,3.231,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.019,1.509,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep5_Dep6_Tu3,0.000,7.393,0.000,6.262,0.000,7.581,3.082,29.757,0.000,0.000,4.066,14.072,0.000,6.839,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.490,0.000,0.000,0.000,0.000,0.000,0.000,0.471,0.745,11.991,7.249,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep6_Dep6_Tu30,0.000,3.392,0.000,26.149,0.000,0.000,0.000,7.014,0.000,0.000,1.740,11.584,0.000,0.000,0.000,2.270,0.000,0.000,1.041,4.533,0.000,0.000,1.415,6.582,0.000,0.000,0.000,13.795,0.000,2.644,10.753,0.000,7.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep7_Dep6_Tu20,0.000,10.037,0.113,0.000,1.285,5.164,4.368,34.107,0.000,0.000,0.000,5.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.033,3.418,9.602,0.000,11.576,0.322,0.000,4.630,0.168,1.391,4.788,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep2_Dep6_Tu40,0.000,0.000,1.237,17.408,0.207,0.000,0.000,9.868,4.767,3.152,2.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.176,0.000,0.000,0.000,3.784,6.452,11.721,17.877,0.000,0.000,0.000,9.923,0.512,0.000,0.000,0.000,4.861,0.000,0.000,0.000,0.000,0.000
Br62_rep8_Dep6_Tu0.5,0.000,1.629,2.537,28.959,0.000,11.593,5.611,14.490,0.000,0.000,9.798,6.062,0.000,0.000,0.000,0.000,0.000,0.000,0.310,0.000,0.000,0.000,11.170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.196,5.780,1.785,0.000,0.078,0.000,0.000,0.000,0.000,0.000
Br62_rep5_Dep6_Tu2,10.346,0.000,7.867,44.849,0.000,0.000,0.185,12.626,0.000,3.680,7.485,0.000,0.000,0.000,0.000,0.080,0.000,0.000,5.983,3.805,0.000,0.000,0.523,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.082,0.334,2.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep4_Dep6_Tu50,0.000,9.072,3.865,11.668,0.000,1.709,1.040,10.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.351,0.000,1.968,0.000,35.594,0.000,10.633,0.645,0.000,0.000,0.000,6.417,0.000,0.000,0.000,0.000,0.000
Br62_rep8_Dep6_Tu40,0.000,8.114,6.135,0.000,0.000,0.000,0.000,29.990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.977,0.000,0.726,0.000,31.810,0.000,9.630,0.029,0.000,5.700,0.000,1.672,0.000,0.218,0.000,0.000,0.000
Br62_rep7_Dep6_Tu2,0.000,0.055,7.238,31.946,0.000,34.963,0.000,3.698,0.000,0.000,11.715,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.507,0.000,0.000,5.265,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.658,1.865,1.087,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep9_Dep6_Tu40,0.000,3.721,7.598,0.000,24.358,0.000,6.526,6.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.494,0.000,0.000,0.000,26.272,0.000,7.816,0.176,0.000,5.048,0.000,3.831,0.000,0.000,0.000,0.000,0.000
Br62_rep10_Dep6_Tu2,0.000,8.253,9.066,18.071,0.000,15.584,0.000,16.227,0.000,0.000,2.178,4.729,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.333,0.000,0.000,0.986,0.000,0.000,0.000,0.000,0.000,0.000,0.028,4.710,15.184,0.682,0.000,0.968,0.000,0.000,0.000,0.000,0.000
Br62_rep6_Dep6_Tu10,0.000,2.013,2.847,14.137,0.000,0.000,9.221,25.368,0.000,0.000,5.547,10.272,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.596,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.358,0.000,4.945,0.141,1.607,4.970,0.000,1.033,0.000,3.943,0.000,0.000,0.000
Br62_rep2_Dep6_Tu2,0.000,12.695,8.458,38.728,0.000,24.159,0.000,2.774,0.000,0.000,2.282,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.159,2.860,0.826,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep9_Dep6_Tu5,0.000,0.000,4.731,21.984,0.000,0.000,1.423,11.365,11.301,0.000,14.881,7.114,0.000,0.000,0.000,0.000,0.000,0.000,5.613,2.103,0.000,0.000,6.279,0.000,0.000,0.000,0.000,0.000,0.000,0.059,0.247,9.399,2.384,0.000,0.197,0.000,0.917,0.000,0.000,0.000
Br62_rep6_Dep6_Tu40,0.000,10.530,2.252,4.359,0.000,9.593,0.000,14.417,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.436,0.000,13.558,0.000,0.000,0.000,13.366,0.356,6.126,11.325,0.000,0.680,0.000,0.000,0.000,0.000,0.000
Br62_rep4_Dep6_Tu20,0.000,5.836,7.323,19.642,0.000,0.000,0.293,19.551,0.000,0.000,0.000,3.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.650,0.000,0.000,0.693,4.576,0.000,0.000,0.000,12.016,0.000,10.185,0.142,0.000,10.362,0.000,1.285,0.000,0.000,0.000,0.000,0.000
