Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Br62_rep5_Dep6_Tu0.5,11.207,0.000,24.938,0.000,0.000,16.361,0.000,24.236,0.000,0.767,0.000,6.378,0.000,2.550,0.000,0.000,0.000,0.000,0.000,0.000,4.372,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.696,0.000,0.000,0.000,0.000,0.495
Br62_rep5_Dep6_Tu3,12.809,0.000,13.995,0.000,0.000,30.772,0.000,13.633,0.000,0.000,9.248,0.000,0.000,3.274,0.000,0.000,0.000,0.000,0.000,0.000,2.445,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.958,0.000,0.000,0.000,0.000,9.228,0.000,0.000,0.000,0.000,1.637
Br62_rep6_Dep6_Tu30,10.604,0.000,15.290,0.035,9.691,11.874,0.000,0.000,0.000,0.000,0.000,8.591,1.263,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.877,0.000,0.000,9.928,0.190,8.527,0.000,0.000,0.000,7.912,0.000,0.000,0.000,1.617,10.602,0.000,0.000,0.000,0.000,0.000
Br62_rep7_Dep6_Tu20,11.973,0.000,31.238,0.000,0.000,0.000,0.000,14.768,0.000,0.000,3.422,3.502,0.000,0.896,0.000,0.000,0.000,0.000,0.000,0.000,3.690,0.000,0.000,9.743,0.000,0.003,0.000,0.000,1.192,4.076,0.000,0.000,0.000,0.000,12.350,0.000,0.000,0.000,0.000,3.147
Br62_rep2_Dep6_Tu40,5.880,0.000,26.986,0.000,9.004,1.557,0.000,0.000,0.000,0.000,0.000,4.612,0.000,0.000,0.000,0.000,0.000,0.000,3.788,0.000,5.244,0.000,0.000,14.895,0.000,8.591,0.000,2.464,0.000,8.640,0.000,0.000,0.000,0.460,6.210,0.000,1.670,0.000,0.000,0.000
Br62_rep8_Dep6_Tu0.5,11.028,0.000,8.274,10.260,0.000,13.421,1.347,29.014,0.000,0.000,2.881,5.710,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.660,0.000,0.000,0.000,0.000,1.864,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.541,0.000,0.000,0.000,0.000,0.000
Br62_rep5_Dep6_Tu2,7.640,0.000,12.752,0.000,0.000,28.148,0.000,18.501,0.000,8.543,0.000,0.923,0.000,2.823,0.000,0.000,0.000,0.000,3.259,0.000,2.601,0.000,0.000,1.263,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.901,0.000,0.000,0.000,0.000,1.647
Br62_rep4_Dep6_Tu50,10.658,0.000,4.299,15.307,0.000,0.000,0.000,5.841,3.396,5.777,1.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.676,0.000,0.000,22.515,0.000,8.229,0.000,0.000,0.000,10.145,0.000,0.000,0.000,0.131,11.884,0.000,0.000,0.000,0.000,0.000
Br62_rep8_Dep6_Tu40,0.000,10.732,27.683,0.000,4.951,0.000,0.000,0.000,0.000,4.515,0.000,0.000,0.592,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.951,0.000,11.917,0.000,0.489,0.000,7.265,0.000,0.000,0.000,4.340,13.449,0.000,0.000,0.000,0.000,0.117
Br62_rep7_Dep6_Tu2,13.818,0.000,0.000,0.000,0.000,34.906,0.000,27.570,0.000,8.498,0.000,0.000,1.210,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.784,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.931,0.000,0.000,0.000,8.283,0.000,0.000,0.000,0.000,0.000
