Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Br62_rep5_Dep6_Tu0.5,0.000,0.000,0.000,7.564,0.000,0.000,57.188,3.426,0.000,1.221,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.598,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep5_Dep6_Tu3,0.000,0.000,0.000,12.935,0.000,0.000,50.153,2.783,1.406,0.685,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.049,0.000,0.000,0.000,31.985,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep6_Dep6_Tu30,0.000,0.000,0.000,6.027,0.000,0.000,6.777,10.851,21.712,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.414,4.249,0.000,0.000,0.000,0.000,4.024,0.000,0.000,0.000,23.355,0.000,0.000,0.000,0.000,0.000,0.000,2.407
Br62_rep7_Dep6_Tu20,0.000,0.000,3.707,16.893,0.000,0.000,25.271,0.666,3.105,0.096,0.764,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.833,23.128,0.000,0.000,0.000,0.000,2.311,0.000,0.000,0.000,22.629,0.000,0.000,0.036,0.000,0.000,0.000,0.561
Br62_rep2_Dep6_Tu40,0.000,0.000,1.505,3.012,0.000,35.239,3.150,0.000,0.822,0.382,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.135,1.307,0.000,1.255,19.579,0.000,5.293,0.000,0.000,0.000,15.978,0.000,0.000,0.150,0.000,0.000,0.000,1.191
Br62_rep8_Dep6_Tu0.5,0.000,0.000,0.000,9.309,0.000,0.000,27.414,1.129,33.314,1.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.763,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep5_Dep6_Tu2,0.000,0.000,19.219,3.687,0.000,0.000,11.561,6.872,30.304,0.168,3.730,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,24.450,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br62_rep4_Dep6_Tu50,0.000,0.000,5.300,15.138,0.000,0.000,6.517,0.000,0.000,0.743,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.749,1.079,3.393,0.000,43.810,0.000,7.072,0.000,0.000,0.000,9.935,0.000,0.000,0.533,0.000,0.000,0.000,1.730
Br62_rep8_Dep6_Tu40,0.000,0.000,0.000,20.562,0.000,0.000,13.919,0.000,0.853,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.497,21.187,0.000,0.019,12.342,0.000,4.703,0.000,0.000,0.000,13.011,0.000,0.000,0.686,0.000,0.000,0.000,8.194
Br62_rep7_Dep6_Tu2,0.000,0.000,4.011,11.921,0.000,0.000,21.558,2.548,31.930,1.619,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26.410,0.000,0.000,0.000,0.000,0.000,0.000,0.000
