Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Br66_rep4_Dep6_Tu50,2.805,0.000,1.949,8.703,1.449,11.974,0.708,0.000,1.419,7.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.738,27.964,0.000,0.000,5.785,19.762,0.000,0.000,0.000,0.000,0.000,6.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep3_Dep6_Tu0.5,5.426,0.000,29.609,0.000,0.000,12.351,7.366,0.000,0.000,3.999,0.000,12.773,0.000,0.000,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.538,27.740,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep2_Dep6_Tu3,0.000,11.905,18.461,0.000,6.380,32.140,0.000,1.277,0.000,6.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.628,0.000,0.000,0.000,0.000,0.000,0.000,0.862,0.000,0.000,0.000,0.000,0.000,0.000,19.349,0.000,0.000
Br66_rep6_Dep6_Tu40,6.599,0.737,1.130,0.000,24.663,9.288,1.295,0.000,0.000,2.590,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.039,0.000,0.000,0.000,0.000,0.000,7.632,25.576,0.000,0.000,3.533,0.000,5.972,0.000,0.000,0.000,0.000,4.944,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep9_Dep6_Tu0.1,3.377,0.217,1.613,0.000,4.962,44.980,0.000,0.228,0.000,5.731,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.090,0.000,0.000,0.337,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.217,0.000,0.000,0.000,0.000,18.216,0.000,0.000,0.000
Br66_rep9_Dep6_Tu5,4.623,1.379,15.971,0.000,6.044,17.735,0.000,0.000,7.454,0.456,6.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.057,0.000,0.000,2.159,0.485,0.000,0.000,0.000,0.000,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.706,0.000,0.000,0.000,0.000,0.000,36.308,0.000,0.000,0.000
Br66_rep10_Dep6_Tu1,6.742,0.000,9.073,1.582,0.000,41.929,0.000,0.000,4.468,6.408,0.000,0.399,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.958,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep6_Dep6_Tu20,4.967,0.000,7.332,2.349,31.894,0.000,7.274,0.000,0.000,6.156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.512,1.664,21.878,0.000,0.000,1.830,0.000,4.849,0.000,0.000,0.000,0.000,4.292,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep10_Dep6_Tu30,2.094,0.000,5.062,0.000,0.000,8.137,2.053,0.000,12.992,2.109,0.000,1.303,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.886,7.959,0.000,0.000,1.913,0.000,1.018,0.000,0.000,0.000,0.268,0.000,0.000,0.000,0.000,0.000,0.000,6.938,0.000,0.000,0.000,38.645,0.000,0.000,0.621,0.000,0.000
Br66_rep10_Dep6_Tu5,6.863,0.000,11.611,0.000,0.499,32.266,2.521,7.521,0.000,11.233,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,3.663,0.000,0.000,0.000,0.000,0.000,0.556,0.000,0.000,0.000,0.799,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.341,0.000,0.000
