Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Br66_rep4_Dep6_Tu50,10.488,0.000,0.000,0.000,11.300,14.216,0.000,0.000,2.224,10.563,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.933,0.000,28.265,0.243,9.766,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep3_Dep6_Tu0.5,12.199,0.000,20.663,0.000,4.684,30.674,0.000,0.000,0.000,9.398,0.000,6.372,0.000,2.179,0.000,0.000,0.000,0.000,2.445,0.000,3.337,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.666,4.800,0.582,0.000,0.000,0.000,0.000,0.000
Br66_rep2_Dep6_Tu3,7.932,7.750,16.439,0.000,0.000,28.426,0.000,11.922,0.000,11.009,0.000,0.000,0.000,3.631,0.000,1.545,0.000,0.000,0.000,0.000,1.312,0.000,0.000,0.000,0.000,0.000,0.278,0.000,0.000,0.000,0.000,0.000,0.862,5.987,2.908,0.000,0.000,0.000,0.000,0.000
Br66_rep6_Dep6_Tu40,10.508,0.152,1.439,0.000,0.000,11.014,0.000,23.493,0.000,8.386,0.000,0.000,2.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.740,0.000,12.543,0.613,10.697,0.000,1.997,0.000,0.000,2.845,4.435,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep9_Dep6_Tu0.1,12.377,0.140,0.687,7.014,0.000,41.839,0.000,4.476,0.000,5.513,0.000,7.141,4.163,0.000,0.000,0.000,0.000,0.000,0.392,0.000,4.450,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.808,0.000,0.000,0.000,0.000,0.000
Br66_rep9_Dep6_Tu5,13.794,0.000,13.696,0.000,0.000,20.410,0.000,18.251,0.000,1.394,5.466,4.724,0.000,0.856,0.000,0.000,0.000,0.000,3.782,0.000,4.176,0.000,0.000,1.598,0.000,0.870,0.000,2.430,0.000,0.517,0.565,0.000,0.000,0.213,7.258,0.000,0.000,0.000,0.000,0.000
Br66_rep10_Dep6_Tu1,8.463,0.000,15.520,0.000,10.695,32.960,0.000,0.000,0.000,12.994,0.000,0.146,4.590,0.000,0.000,0.000,0.000,0.000,2.468,0.000,1.247,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.000,1.937,0.000,8.918,0.000,0.000,0.000,0.000,0.000
Br66_rep6_Dep6_Tu20,8.972,0.000,10.149,0.000,4.036,16.396,0.000,17.891,0.000,10.136,0.000,0.000,2.321,0.000,0.000,0.000,0.000,0.000,0.000,3.902,0.467,0.000,0.000,4.606,0.000,5.836,0.083,11.287,0.000,0.000,0.000,0.000,0.000,3.919,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep10_Dep6_Tu30,9.177,0.000,16.463,0.000,0.000,11.677,0.000,7.155,4.203,6.835,0.000,6.681,0.000,0.000,0.000,0.000,0.000,0.000,2.609,0.000,0.000,0.000,0.000,13.770,0.000,14.717,0.000,1.852,0.000,0.917,0.000,0.000,2.789,0.000,1.155,0.000,0.000,0.000,0.000,0.000
Br66_rep10_Dep6_Tu5,14.176,0.000,1.798,0.000,0.000,30.441,0.000,20.262,0.000,12.775,0.000,0.437,1.181,0.000,0.000,0.000,0.000,0.000,1.263,0.000,3.952,0.000,0.000,1.980,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.736,0.000,0.000,0.000,0.000,0.000
Br66_rep7_Dep6_Tu1,10.749,0.000,31.868,0.000,0.000,4.711,0.000,20.771,7.717,14.144,0.000,0.000,0.000,0.644,0.000,0.000,0.000,0.000,0.118,0.000,3.825,0.000,0.000,0.000,0.000,0.000,0.000,0.490,0.000,0.000,0.000,0.000,0.000,0.000,4.964,0.000,0.000,0.000,0.000,0.000
Br66_rep6_Dep6_Tu0.3,12.091,0.000,21.711,0.000,3.574,31.222,0.000,0.000,0.000,10.849,0.000,4.862,0.000,2.182,0.000,0.000,0.000,0.000,2.624,0.000,3.830,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.921,4.368,0.766,0.000,0.000,0.000,0.000,0.000
Br66_rep1_Dep6_Tu30,2.006,7.712,28.077,0.000,0.000,0.000,0.000,6.979,7.241,6.369,0.000,0.893,0.000,2.296,0.000,0.000,0.000,0.000,0.000,0.000,0.964,0.000,0.000,10.645,0.000,11.081,0.000,7.675,0.000,0.834,0.000,0.000,0.000,0.000,7.229,0.000,0.000,0.000,0.000,0.000
Br66_rep3_Dep6_Tu1,8.114,0.000,22.309,0.000,0.000,18.742,0.000,16.317,1.000,1.602,0.000,14.322,3.869,0.000,0.000,0.000,0.000,0.000,1.805,0.000,2.681,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.923,0.000,5.317,0.000,0.000,0.000,0.000,0.000
Br66_rep3_Dep6_Tu30,7.557,1.421,0.000,0.000,0.000,18.040,0.000,24.921,0.000,8.609,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.144,2.361,17.398,0.608,1.785,0.000,0.000,0.000,0.000,3.156,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep9_Dep6_Tu1,1.857,6.485,9.495,0.000,0.000,29.274,0.000,22.197,0.000,12.224,0.000,0.000,0.492,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.303,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.932,0.000,0.993,3.382,8.366,0.000,0.000,0.000,0.000,0.000
Br66_rep9_Dep6_Tu40,9.080,0.000,5.813,0.000,2.133,20.792,6.790,0.000,0.689,0.000,0.000,10.906,0.000,0.000,0.000,0.000,1.948,0.000,0.000,0.000,0.000,0.000,0.000,13.017,0.000,13.762,0.000,9.674,0.000,1.098,0.000,0.000,1.328,0.000,2.969,0.000,0.000,0.000,0.000,0.000
Br66_rep5_Dep6_Tu1,11.436,0.000,10.187,0.000,0.000,25.556,0.000,19.016,0.000,6.924,6.879,0.000,2.113,0.000,0.000,0.000,0.000,0.000,3.706,0.000,3.628,0.000,0.000,0.000,0.285,0.000,0.000,1.701,0.000,0.000,0.318,0.000,0.000,0.000,8.134,0.117,0.000,0.000,0.000,0.000
Br66_rep2_Dep6_Tu5,10.901,0.000,30.318,0.000,3.445,17.033,0.000,9.661,0.000,9.004,0.000,0.000,4.307,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.514,0.000,0.000,0.000,0.000,0.000,0.000,2.308,0.000,0.846,0.000,0.000,4.086,0.000,6.579,0.000,0.000,0.000,0.000,0.000
Br66_rep5_Dep6_Tu30,19.889,0.000,0.000,11.526,0.000,28.922,0.000,0.272,0.000,2.185,0.000,2.854,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.284,0.000,0.000,2.692,0.000,12.331,0.000,13.259,0.000,0.000,0.000,0.000,0.000,3.786,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep7_Dep6_Tu50,8.514,3.568,29.455,0.000,0.000,0.000,0.000,0.000,0.000,7.710,0.000,0.000,0.000,0.000,2.662,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.684,0.000,13.545,1.775,14.579,0.000,2.745,0.000,0.000,0.706,0.000,0.000,0.000,0.000,0.000,0.000,2.057
Br66_rep4_Dep6_Tu40,10.801,2.058,0.303,0.000,0.647,27.225,1.909,0.000,0.000,10.615,0.000,0.000,0.000,1.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.556,0.000,10.551,4.543,8.298,0.000,1.688,0.000,0.000,0.000,0.387,4.752,0.000,0.000,0.000,0.000,0.000
Br66_rep8_Dep6_Tu5,8.775,0.000,0.000,0.000,10.100,39.857,0.000,6.445,0.000,5.952,0.000,4.927,0.000,4.086,0.000,0.000,0.000,0.000,4.411,0.000,3.957,0.000,0.000,0.000,0.000,0.647,6.505,0.000,0.000,0.000,0.604,0.000,0.000,0.000,3.734,0.000,0.000,0.000,0.000,0.000
Br66_rep9_Dep6_Tu2,14.808,0.000,6.470,0.000,3.040,38.305,0.000,9.654,0.000,8.553,0.000,3.297,0.000,0.063,0.000,0.000,0.000,0.000,0.000,0.000,5.383,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.153,4.273,0.000,0.000,0.000,0.000,0.000
Br66_rep6_Dep6_Tu30,1.234,0.000,0.000,0.000,0.000,32.879,0.000,0.000,4.487,0.653,0.000,8.273,1.893,0.000,0.000,0.000,0.000,0.140,5.787,0.000,1.592,0.000,0.000,8.574,0.000,9.319,8.636,3.662,0.000,3.915,0.000,0.000,0.000,0.000,8.956,0.000,0.000,0.000,0.000,0.000
Br66_rep4_Dep6_Tu0.1,0.351,13.890,1.173,0.000,0.000,36.673,0.000,26.859,0.000,12.114,0.000,0.000,0.000,0.038,0.000,0.000,0.000,0.000,0.190,0.000,3.537,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,0.000,5.149,0.000,0.000,0.000,0.000,0.000
