Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Br66_rep4_Dep6_Tu50,13.118,65.126,0.000,0.992,0.808,0.001,0.388,0.204,1.448,0.395,4.927,0.057,12.535
Br66_rep3_Dep6_Tu0.5,0.000,0.000,0.000,0.000,53.123,0.000,0.000,0.000,0.008,1.208,10.775,0.505,34.381
Br66_rep2_Dep6_Tu3,0.000,0.000,0.000,0.000,58.282,0.000,0.000,0.054,0.000,5.301,2.835,0.041,33.486
Br66_rep6_Dep6_Tu40,0.016,69.947,0.170,0.008,8.980,0.079,0.000,0.000,0.004,2.511,2.533,0.103,15.648
Br66_rep9_Dep6_Tu0.1,0.000,0.000,0.000,0.000,58.436,0.000,0.013,0.023,0.013,1.647,5.327,1.208,33.332
Br66_rep9_Dep6_Tu5,0.000,10.389,0.000,0.560,56.720,0.000,0.001,0.000,0.003,1.996,3.134,0.002,27.195
Br66_rep10_Dep6_Tu1,0.000,0.000,0.000,0.000,55.475,0.000,0.000,0.000,0.001,2.505,3.052,0.048,38.919
Br66_rep6_Dep6_Tu20,0.001,37.939,0.000,0.789,34.743,0.001,0.000,0.000,0.015,0.254,2.542,0.011,23.705
Br66_rep10_Dep6_Tu30,0.397,53.305,0.453,0.000,22.545,0.421,0.001,0.004,0.244,0.051,4.141,0.003,18.435
Br66_rep10_Dep6_Tu5,1.695,4.982,0.000,0.002,61.968,0.005,0.043,0.007,0.026,0.640,3.809,0.001,26.821
Br66_rep7_Dep6_Tu1,0.000,0.000,0.000,0.000,57.694,0.000,0.000,0.000,0.000,0.011,6.367,0.000,35.928
Br66_rep6_Dep6_Tu0.3,0.000,0.000,0.000,0.000,51.025,0.000,0.000,0.000,0.011,1.523,11.157,0.656,35.627
Br66_rep1_Dep6_Tu30,0.000,59.778,0.000,0.000,15.793,0.000,0.178,0.011,0.002,0.679,0.566,0.200,22.792
Br66_rep3_Dep6_Tu1,0.000,0.000,0.000,0.000,53.172,0.000,0.000,0.000,0.002,0.040,7.379,1.185,38.221
Br66_rep3_Dep6_Tu30,0.638,58.459,0.001,0.004,19.165,0.000,0.000,0.001,0.001,0.266,2.062,0.000,19.404
Br66_rep9_Dep6_Tu1,0.000,0.000,0.000,0.000,58.753,0.000,0.005,0.000,0.000,0.158,2.952,0.000,38.133
Br66_rep9_Dep6_Tu40,0.213,71.406,0.208,0.932,2.243,0.297,0.000,0.828,0.003,0.028,2.837,0.001,21.004
Br66_rep5_Dep6_Tu1,0.000,0.001,0.000,0.000,60.944,0.000,0.003,0.009,0.060,2.557,5.660,0.388,30.379
Br66_rep2_Dep6_Tu5,0.000,3.294,0.000,0.000,54.559,0.235,0.000,0.000,0.000,3.124,1.171,0.019,37.599
Br66_rep5_Dep6_Tu30,1.892,43.381,0.222,0.267,27.923,2.801,0.265,0.009,0.039,5.399,0.583,0.000,17.217
Br66_rep7_Dep6_Tu50,2.568,78.741,0.078,1.401,1.527,0.000,0.009,0.006,0.002,3.504,3.538,0.000,8.626
Br66_rep4_Dep6_Tu40,0.040,73.049,0.000,0.656,11.223,0.003,0.000,0.001,0.001,2.146,4.782,0.066,8.033
Br66_rep8_Dep6_Tu5,0.042,7.089,0.000,0.004,52.809,0.509,0.393,0.038,0.398,0.558,4.806,1.171,32.184
Br66_rep9_Dep6_Tu2,0.000,0.076,0.000,0.580,64.913,0.001,0.000,0.000,0.000,0.687,2.975,0.002,30.767
Br66_rep6_Dep6_Tu30,0.115,50.979,0.000,0.884,17.622,0.625,0.040,0.015,3.855,0.019,3.844,1.564,20.437
Br66_rep4_Dep6_Tu0.1,0.000,0.000,0.000,0.000,53.713,0.000,0.000,0.000,0.000,0.911,3.237,0.000,42.139
