Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Br66_rep4_Dep6_Tu50,0.254,0.051,2.881,3.490,3.105,1.703,1.831,1.811,6.449,0.987,0.452,0.196,0.047,0.118,0.194,0.377,0.048,0.130,0.129,0.870,0.113,0.146,0.047,1.878,0.214,2.870,0.520,0.577,0.015,0.000,0.008,0.009,0.039,0.182,0.007,68.165,0.005,0.004,0.019,0.057
Br66_rep3_Dep6_Tu0.5,0.023,0.053,3.462,1.004,2.035,0.260,32.706,4.979,1.056,0.814,1.336,0.699,0.013,0.000,0.142,0.043,0.070,0.121,0.030,0.003,0.001,0.003,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,51.136,0.001,0.000,0.000,0.000,0.000,0.000
Br66_rep2_Dep6_Tu3,0.167,0.092,2.554,1.547,2.627,4.596,16.692,4.554,7.188,0.621,0.816,0.810,0.023,0.039,0.054,0.073,0.050,0.162,0.083,0.081,0.003,0.011,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,55.758,0.002,1.332,0.004,0.001,0.001,0.032
Br66_rep6_Dep6_Tu40,0.329,0.728,1.682,2.090,3.157,3.519,6.334,2.703,4.407,0.625,1.564,0.806,0.121,0.085,0.036,0.102,0.206,0.251,0.085,0.066,0.000,0.010,0.018,0.567,0.148,0.150,0.789,0.380,0.029,0.267,0.003,0.028,0.052,10.466,0.062,57.547,0.020,0.007,0.162,0.396
Br66_rep9_Dep6_Tu0.1,0.093,0.036,4.014,1.707,0.864,3.611,28.064,2.374,3.533,1.017,1.387,0.143,0.067,0.026,0.086,0.030,0.077,0.126,0.189,0.067,0.003,0.001,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,52.470,0.003,0.000,0.000,0.000,0.000,0.000
Br66_rep9_Dep6_Tu5,0.053,0.078,1.882,0.952,3.296,4.927,22.170,3.931,2.634,0.000,1.457,0.344,0.018,0.010,0.089,0.169,0.096,0.010,0.107,0.020,0.018,0.002,0.019,0.000,0.000,0.007,0.002,0.000,0.001,0.001,0.000,0.000,0.003,50.754,0.007,6.913,0.003,0.010,0.003,0.014
Br66_rep10_Dep6_Tu1,0.220,0.089,2.533,2.039,3.590,2.868,31.826,1.243,2.889,0.388,0.568,0.224,0.045,0.015,0.034,0.062,0.132,0.078,0.015,0.103,0.001,0.018,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.949,0.026,0.024,0.001,0.004,0.000,0.003
Br66_rep6_Dep6_Tu20,0.037,0.182,6.556,1.929,2.903,6.278,12.143,1.181,2.977,0.330,0.181,0.633,0.111,0.143,0.182,0.304,0.154,0.239,0.184,0.055,0.016,0.036,0.056,0.324,0.004,0.003,0.622,0.031,0.282,0.060,0.000,0.000,0.059,32.172,0.056,29.396,0.079,0.054,0.027,0.022
Br66_rep10_Dep6_Tu30,0.295,0.170,5.385,2.734,2.080,1.491,11.656,3.708,2.657,0.907,0.337,0.921,0.120,0.235,0.446,0.338,0.036,0.157,0.191,0.129,0.239,0.000,0.351,0.209,0.021,0.277,0.345,1.268,0.002,0.029,0.000,0.000,0.003,20.729,0.870,41.545,0.008,0.002,0.051,0.055
Br66_rep10_Dep6_Tu5,0.144,0.043,3.413,3.641,1.199,5.950,18.719,4.507,2.991,1.231,0.249,0.504,0.074,0.065,0.260,0.000,0.075,0.332,0.170,0.247,0.008,0.004,0.054,0.771,0.002,0.006,0.007,0.000,0.000,0.003,0.000,0.000,0.005,50.905,0.008,4.378,0.027,0.002,0.002,0.003
