Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Br66_rep4_Dep6_Tu50,1.235,0.155,1.852,0.383,1.290,1.576,1.415,0.708,0.905,1.203,1.556,0.106,0.945,0.612,0.903,1.347,1.884,1.213,1.618,1.354,0.544,0.563,1.183,4.856,2.450,4.984,3.539,3.273,1.171,0.814,0.313,0.178,1.278,1.346,1.539,1.546,0.418,2.901,1.973,1.952,28.259,0.954,1.513,2.716,0.364,2.680,0.483,1.589,1.791,0.564
Br66_rep3_Dep6_Tu0.5,1.533,1.481,1.520,4.475,8.254,1.286,8.668,5.980,8.820,2.822,1.779,3.293,0.881,0.360,1.793,0.062,1.702,2.326,0.463,1.691,0.035,0.007,0.009,0.041,0.254,0.019,0.097,0.006,0.015,0.001,0.007,0.020,0.429,0.860,0.635,0.303,0.083,0.290,0.004,0.108,0.300,12.570,4.367,0.140,2.966,0.864,6.204,6.445,2.946,0.788
Br66_rep2_Dep6_Tu3,1.185,1.349,7.131,3.843,7.009,0.880,6.146,4.176,7.568,2.931,0.912,2.347,0.927,1.105,1.602,1.267,1.885,1.282,0.062,1.602,0.325,0.887,0.436,0.049,0.277,0.205,0.243,0.032,0.077,0.002,0.004,0.018,0.144,1.734,0.734,0.200,0.242,0.363,0.254,0.131,0.194,7.467,0.606,2.250,3.462,2.820,8.097,0.734,7.859,4.946
Br66_rep6_Dep6_Tu40,1.969,0.446,0.776,2.257,0.155,2.894,0.632,0.702,0.696,1.883,0.533,1.940,0.460,0.248,0.652,1.164,0.739,2.396,1.142,1.530,0.863,0.007,0.959,3.514,0.346,1.873,4.517,1.886,1.598,1.151,0.235,0.067,0.415,0.316,0.502,2.136,2.553,1.873,2.284,3.004,11.816,0.447,18.632,4.763,0.169,1.393,2.109,1.452,0.510,5.395
Br66_rep9_Dep6_Tu0.1,0.773,0.792,5.403,0.217,5.279,8.441,10.422,2.456,8.518,2.167,1.219,1.671,1.366,0.500,1.075,2.901,1.258,0.788,1.439,0.911,1.014,0.210,0.677,0.029,0.073,0.066,0.039,0.022,0.023,0.000,0.009,0.026,0.175,1.244,0.675,0.222,0.093,0.259,0.367,0.122,0.107,3.747,1.966,0.737,14.831,4.208,1.237,6.195,3.799,0.234
Br66_rep9_Dep6_Tu5,1.371,1.236,7.253,0.246,6.563,8.453,0.848,3.272,8.254,1.139,4.652,0.254,1.655,0.542,1.545,0.900,1.078,0.479,1.278,0.105,0.483,0.986,1.565,0.078,0.422,0.513,0.199,0.019,0.024,0.029,0.031,0.023,0.984,1.041,0.024,0.690,0.180,0.794,1.128,0.031,2.210,6.371,2.484,7.448,3.387,0.261,6.289,9.123,1.292,0.768
Br66_rep10_Dep6_Tu1,1.039,1.097,1.039,8.958,10.021,4.633,0.664,7.636,6.288,2.606,2.271,0.984,0.575,0.427,1.716,1.603,2.057,0.936,0.092,1.382,0.280,0.763,0.956,0.025,0.213,0.146,0.089,0.007,0.027,0.001,0.011,0.027,0.030,0.245,1.035,0.405,0.116,0.026,0.489,0.053,0.292,12.477,1.801,1.220,2.565,1.178,2.107,11.743,4.612,1.034
Br66_rep6_Dep6_Tu20,1.657,1.529,1.145,3.348,6.676,1.446,4.667,5.178,3.853,2.303,1.329,0.679,1.626,0.051,2.138,0.286,1.077,1.034,1.446,1.205,1.068,0.571,0.961,1.576,0.452,0.838,0.332,0.155,0.725,0.443,0.103,0.088,1.419,0.349,1.147,1.683,0.557,2.264,1.717,0.399,9.355,0.053,1.456,6.330,8.801,1.467,1.635,3.212,1.181,6.989
Br66_rep10_Dep6_Tu30,1.493,1.508,3.792,3.898,1.281,1.266,4.040,2.272,1.700,0.072,2.070,2.009,0.970,1.230,1.149,0.047,1.315,0.637,0.731,2.416,1.273,0.339,1.544,1.788,1.005,2.144,0.459,3.741,0.072,0.706,0.158,0.054,1.499,0.457,1.838,1.835,0.717,1.160,1.561,2.096,11.944,0.040,8.760,6.282,3.682,1.371,0.977,2.927,2.826,2.851
Br66_rep10_Dep6_Tu5,1.307,1.674,10.381,1.132,0.263,2.789,4.789,12.261,6.042,0.327,0.825,1.303,0.870,0.881,0.050,1.809,2.461,1.680,2.134,1.254,0.564,0.919,0.703,0.297,0.309,0.010,0.343,0.002,0.090,0.019,0.004,0.045,0.250,1.282,0.244,0.505,0.426,0.518,0.615,1.045,1.628,4.209,0.864,0.003,8.159,3.246,6.152,1.777,11.374,0.165
Br66_rep7_Dep6_Tu1,0.561,2.508,6.872,2.944,2.849,11.227,0.787,13.428,2.006,0.946,1.144,0.693,0.997,1.139,0.115,1.515,0.451,2.932,1.802,0.402,0.341,0.124,1.213,0.013,0.193,0.140,0.104,0.014,0.001,0.000,0.006,0.006,0.413,0.829,0.809,0.065,0.179,0.049,0.404,0.477,0.319,6.759,0.591,2.638,3.305,0.964,2.014,6.386,13.110,3.216
Br66_rep6_Dep6_Tu0.3,2.086,0.141,5.603,3.398,1.746,6.642,7.097,8.187,7.757,3.990,1.620,1.471,0.706,0.545,0.218,2.507,2.189,0.106,1.177,0.483,0.689,0.520,1.086,0.023,0.050,0.071,0.095,0.016,0.001,0.000,0.002,0.004,0.426,0.050,1.535,0.069,0.024,0.300,0.068,0.407,0.214,14.791,3.907,1.567,5.202,2.674,0.153,1.971,5.562,0.852
Br66_rep1_Dep6_Tu30,1.007,2.175,2.887,4.036,0.358,0.548,4.039,4.330,0.376,0.628,2.004,1.305,1.603,0.494,1.385,1.163,0.628,0.784,0.321,1.915,0.628,0.136,0.442,2.688,2.006,1.258,2.703,1.026,0.996,0.806,0.064,0.097,0.220,0.872,2.393,1.484,0.929,3.292,0.794,0.757,9.620,1.112,13.248,3.453,0.565,0.048,2.596,4.698,0.463,8.620
Br66_rep3_Dep6_Tu1,1.627,0.213,7.816,0.562,3.164,8.535,2.681,6.997,10.173,0.038,0.635,5.394,1.090,1.180,0.445,1.066,0.698,0.369,1.147,2.717,0.828,0.838,0.645,0.040,0.055,0.208,0.131,0.007,0.009,0.000,0.001,0.021,0.642,0.024,1.303,0.365,0.055,0.172,0.314,0.193,0.361,7.901,3.408,5.255,1.104,4.125,9.217,0.505,5.349,0.376
Br66_rep3_Dep6_Tu30,1.343,1.672,0.932,0.060,0.914,5.044,4.554,0.604,5.609,2.384,1.983,1.408,1.540,0.304,0.142,0.453,2.231,1.098,0.732,0.057,0.544,1.174,0.765,2.861,0.574,1.759,0.912,3.590,1.127,0.585,0.078,0.109,1.026,2.613,0.463,2.351,1.070,1.478,1.289,0.979,10.207,0.298,5.116,3.187,3.255,7.427,0.405,3.203,3.632,4.861
Br66_rep9_Dep6_Tu1,1.150,1.541,2.464,2.535,8.180,9.479,8.630,7.463,0.375,1.089,1.422,1.140,0.433,0.762,0.870,1.664,2.124,1.594,0.700,1.430,0.307,0.980,0.963,0.079,0.298,0.081,0.044,0.004,0.004,0.001,0.009,0.006,0.352,0.139,1.560,0.393,0.070,0.028,0.398,0.486,0.231,3.449,1.475,0.557,6.222,1.437,9.194,7.940,6.699,1.548
Br66_rep9_Dep6_Tu40,0.758,1.843,1.269,2.497,1.922,2.543,2.985,2.197,1.959,1.268,0.147,2.069,0.979,0.189,1.934,1.682,0.707,0.297,1.933,1.811,1.380,0.042,0.487,3.398,1.466,2.162,2.276,4.753,1.004,0.916,0.231,0.136,2.653,1.134,0.091,2.285,2.500,1.046,0.833,0.824,19.053,3.234,2.273,1.214,0.621,3.242,1.271,0.771,2.707,5.008
Br66_rep5_Dep6_Tu1,1.777,1.634,6.604,6.315,3.902,5.020,4.113,6.025,7.245,2.370,3.154,0.186,0.867,0.584,0.155,1.458,1.317,0.032,1.120,1.289,0.666,0.667,1.114,0.039,0.209,0.039,0.104,0.015,0.001,0.002,0.004,0.011,0.565,0.649,1.159,0.449,0.035,0.203,0.612,0.023,0.365,4.947,2.567,7.595,7.292,1.792,3.043,8.449,2.007,0.211
Br66_rep2_Dep6_Tu5,2.331,0.370,8.136,0.283,7.320,5.520,6.665,4.954,6.813,0.024,0.478,2.273,0.801,1.001,1.903,0.170,1.604,1.629,1.686,0.498,0.502,0.819,1.090,0.191,0.437,0.148,0.112,0.076,0.034,0.007,0.023,0.017,0.646,0.076,1.843,0.395,0.290,0.458,0.619,0.371,0.908,9.884,2.129,2.661,0.747,6.663,7.043,1.347,5.675,0.333
Br66_rep5_Dep6_Tu30,0.751,1.775,2.590,0.483,1.901,1.933,3.256,3.625,3.908,2.325,1.440,0.200,1.216,1.138,0.375,0.650,0.714,2.126,1.437,0.506,1.387,0.884,0.255,2.394,0.749,2.065,2.467,1.312,0.310,1.375,0.095,0.062,0.813,1.730,1.844,2.292,0.880,1.727,2.040,1.627,3.931,0.249,2.763,3.604,2.014,5.490,0.383,2.504,2.576,17.827
Br66_rep7_Dep6_Tu50,1.406,1.853,0.879,0.659,1.177,1.223,0.668,1.394,1.089,1.598,0.882,0.320,1.203,0.028,1.535,0.644,0.089,0.677,1.554,2.273,0.636,0.899,0.087,5.477,2.809,1.851,3.285,4.448,1.743,0.967,0.122,0.443,0.517,0.803,1.714,0.587,1.838,3.471,1.432,2.529,20.744,0.043,1.867,3.781,1.445,3.333,0.387,0.055,1.668,9.870
Br66_rep4_Dep6_Tu40,2.512,0.704,2.877,2.173,1.614,0.441,0.001,3.005,3.109,0.786,2.094,0.206,1.486,1.078,0.610,1.431,2.223,1.397,2.085,0.553,0.489,0.421,1.112,6.196,1.401,1.699,2.960,0.925,0.387,1.031,0.253,0.300,1.440,1.024,0.443,1.401,3.190,1.957,0.332,0.234,20.430,0.701,0.546,10.205,2.241,0.418,1.029,2.470,0.240,4.139
Br66_rep8_Dep6_Tu5,1.462,1.601,7.411,0.365,5.212,3.481,7.150,8.478,6.628,1.740,0.686,1.539,0.932,0.967,1.701,0.802,1.265,0.488,1.220,2.063,0.131,0.725,1.123,0.319,0.537,0.090,0.333,0.120,0.003,0.002,0.046,0.046,0.436,1.092,0.759,0.021,0.404,0.540,0.879,0.515,2.073,13.225,2.581,0.731,3.657,3.376,0.010,5.074,4.700,1.261
Br66_rep9_Dep6_Tu2,1.742,1.567,4.341,8.656,0.034,2.286,8.993,0.167,12.741,0.213,3.833,0.057,1.145,0.833,2.032,0.416,1.814,1.317,0.960,0.555,0.492,0.710,0.488,0.067,0.079,0.045,0.040,0.027,0.002,0.002,0.008,0.010,0.071,1.193,0.368,0.192,0.086,0.156,0.713,0.072,0.418,0.987,4.285,2.193,6.387,3.797,7.228,2.309,10.373,3.503
Br66_rep6_Dep6_Tu30,2.450,0.994,0.530,2.349,2.611,2.651,3.110,3.651,3.941,1.892,1.564,2.291,1.764,0.588,1.105,0.314,1.672,0.573,0.460,1.269,1.293,0.917,0.031,4.644,1.503,0.366,1.792,1.916,0.315,0.812,0.187,0.135,0.907,0.335,0.764,2.039,0.720,1.418,1.770,0.925,10.758,1.678,8.168,2.234,4.823,5.058,2.289,0.644,0.314,5.466
Br66_rep4_Dep6_Tu0.1,0.502,1.355,2.318,4.787,7.323,9.090,0.873,2.412,13.278,2.817,3.237,0.906,1.046,0.340,1.839,0.596,1.999,1.507,1.090,0.867,0.841,0.170,0.463,0.027,0.152,0.119,0.009,0.007,0.006,0.000,0.003,0.031,0.070,0.286,1.215,0.103,0.060,0.178,0.039,0.371,0.213,0.919,2.742,1.019,9.133,2.925,14.728,0.246,3.708,2.037
Br66_rep5_Dep6_Tu10,1.534,0.390,0.915,0.983,7.124,2.626,8.101,9.951,3.289,1.795,0.972,0.816,0.278,1.365,0.624,2.298,2.125,1.545,0.140,1.714,0.880,1.021,0.639,0.273,1.115,0.407,0.425,0.048,0.236,0.017,0.081,0.053,0.301,0.681,0.282,1.388,0.999,0.524,0.185,1.245,3.674,4.862,6.396,0.126,1.145,10.374,5.434,3.244,4.703,0.657
Br66_rep3_Dep6_Tu40,0.762,1.490,2.138,0.431,1.944,3.450,2.275,0.497,1.141,1.803,0.187,1.535,0.615,0.201,0.774,1.447,2.112,1.646,1.803,1.678,0.511,0.870,0.244,4.789,0.989,0.686,2.806,4.082,1.784,0.443,0.071,0.212,1.391,1.585,0.040,2.020,3.117,2.206,1.431,0.174,19.891,1.718,2.588,1.221,1.285,7.257,2.254,2.523,2.041,1.846
Br66_rep9_Dep6_Tu0.5,1.098,0.267,5.368,6.021,0.029,8.340,6.841,4.851,7.971,2.572,1.101,1.818,0.850,0.150,0.171,1.574,2.296,1.941,1.101,1.106,0.688,0.567,0.649,0.035,0.062,0.117,0.035,0.008,0.007,0.000,0.002,0.033,0.382,0.103,0.186,0.154,0.153,0.174,0.412,0.196,0.213,5.217,2.316,3.983,3.013,0.514,18.269,1.953,2.391,2.700
Br66_rep8_Dep6_Tu2,0.020,1.941,5.303,2.073,5.641,2.077,8.982,8.653,4.501,2.430,2.832,2.806,0.072,1.038,1.065,0.251,1.512,0.832,1.636,1.716,0.307,0.941,0.504,0.023,0.242,0.224,0.138,0.041,0.004,0.002,0.012,0.004,0.094,0.804,0.907,0.009,0.228,0.244,0.535,0.393,0.600,11.592,5.566,1.851,4.706,7.726,0.073,1.717,4.510,0.624
Br66_rep10_Dep6_Tu2,1.387,0.195,5.376,2.079,6.947,8.601,4.314,9.126,5.581,4.097,0.308,0.149,0.325,1.190,1.875,0.502,1.528,0.219,1.236,2.247,0.410,1.214,1.320,0.056,0.240,0.116,0.175,0.058,0.006,0.003,0.024,0.019,0.440,0.333,1.616,0.135,0.185,0.163,0.803,0.011,0.694,7.988,2.583,3.087,0.605,0.717,8.563,0.722,7.074,3.355
Br66_rep6_Dep6_Tu0.1,0.086,1.334,5.449,3.934,3.878,3.522,9.977,10.834,0.272,2.517,4.094,0.626,0.241,1.256,1.604,2.734,0.749,2.342,0.252,1.035,1.192,0.235,0.284,0.041,0.080,0.024,0.043,0.012,0.010,0.001,0.007,0.017,0.003,1.668,0.242,0.153,0.123,0.104,0.093,0.111,0.054,4.115,0.225,4.871,9.470,0.635,7.828,3.212,5.804,2.607
Br66_rep5_Dep6_Tu0.5,1.170,0.828,10.100,4.922,8.009,2.542,6.929,7.580,0.445,3.774,1.634,0.375,0.615,0.655,1.714,1.653,1.576,1.782,0.837,0.795,0.875,0.459,0.321,0.012,0.065,0.045,0.013,0.004,0.013,0.000,0.006,0.032,0.667,0.778,0.120,0.127,0.062,0.048,0.309,0.425,0.347,4.328,4.846,5.252,3.150,2.324,9.399,0.265,4.874,2.899
Br66_rep2_Dep6_Tu20,0.721,0.700,4.089,3.433,2.934,0.355,6.080,5.304,2.081,2.923,1.613,0.286,0.233,0.354,0.056,2.213,0.658,3.231,2.073,1.935,0.329,0.189,1.594,1.008,1.448,1.453,0.360,0.520,0.820,0.176,0.033,0.111,0.981,2.497,0.462,0.184,0.912,2.931,0.709,1.055,9.901,1.636,3.854,7.560,7.864,0.501,2.619,0.286,1.972,4.763
Br66_rep4_Dep6_Tu0.5,0.906,1.596,4.607,2.198,7.133,10.302,8.172,4.174,3.227,2.946,0.555,2.596,0.967,0.635,0.037,0.295,2.426,1.010,1.622,0.924,0.655,0.653,0.957,0.007,0.005,0.057,0.120,0.021,0.019,0.001,0.003,0.006,0.460,1.183,1.224,0.217,0.141,0.186,0.338,0.022,0.302,4.887,1.386,6.038,10.491,4.495,2.913,4.943,1.456,0.484
Br66_rep4_Dep6_Tu5,1.653,1.874,6.883,7.128,3.577,7.722,3.449,6.545,1.511,1.583,0.267,3.729,0.558,0.968,2.480,1.673,1.567,1.995,0.037,0.998,0.494,1.085,0.425,0.299,0.097,0.013,0.193,0.081,0.045,0.007,0.007,0.066,0.148,0.286,1.875,0.638,0.430,0.222,0.588,0.167,1.819,6.687,1.863,1.158,5.373,6.276,6.644,5.103,0.035,1.681
Br66_rep8_Dep6_Tu0.5,1.980,0.279,8.039,4.914,9.007,2.327,6.005,7.931,1.834,1.897,2.803,1.871,0.911,1.364,0.138,2.506,1.746,0.554,0.210,1.986,0.262,0.468,0.427,0.041,0.078,0.022,0.153,0.008,0.004,0.001,0.006,0.013,0.298,1.261,0.959,0.033,0.007,0.323,0.485,0.516,0.347,3.000,2.371,1.316,7.853,0.379,4.319,6.798,7.721,2.229
Br66_rep5_Dep6_Tu20,0.477,1.872,0.553,3.473,5.930,2.079,4.529,6.255,2.493,1.947,0.744,2.861,1.346,0.407,1.836,0.839,1.739,1.485,0.299,1.724,0.686,0.865,0.925,2.862,0.277,0.914,0.069,1.785,0.673,0.163,0.100,0.078,1.185,0.401,1.033,0.080,1.758,0.851,1.107,2.187,8.118,6.510,5.085,1.629,5.006,0.651,0.486,8.599,2.096,0.930
