Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Br66_rep4_Dep6_Tu50,0.000,2.411,6.252,3.651,15.723,3.206,0.000,1.107,1.209,2.346,0.000,0.000,0.242,0.000,0.273,0.205,0.000,0.000,0.000,0.055,0.000,0.804,0.000,2.507,31.047,12.182,0.000,0.000,0.000,0.496,0.000,0.000,0.000,0.280,0.000,0.000,2.030,0.000,0.000,13.971
Br66_rep3_Dep6_Tu0.5,1.482,0.000,30.478,6.557,0.000,10.883,0.000,7.233,0.000,1.183,0.467,15.316,1.702,0.000,0.000,0.000,0.229,0.000,0.233,0.558,0.153,9.170,0.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.292,1.115,12.492,0.000,0.049,0.000,0.000,0.000
Br66_rep2_Dep6_Tu3,13.108,0.996,23.312,5.544,0.000,12.287,0.000,18.604,0.000,4.854,3.167,0.000,0.000,1.151,0.334,0.000,0.000,0.000,0.321,0.263,0.418,8.589,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.000,0.000,0.150,0.855,5.887,0.000,0.137,0.000,0.000,0.000
Br66_rep6_Dep6_Tu40,2.511,7.104,12.557,10.564,0.000,8.349,0.000,1.992,0.000,0.976,2.554,0.000,0.834,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.832,0.000,24.167,9.707,0.976,0.000,5.784,0.000,2.455,0.000,0.000,0.000,5.461,0.000,0.049,0.167,0.000,0.000,1.958
Br66_rep9_Dep6_Tu0.1,0.000,0.000,14.203,6.969,0.000,12.750,0.504,30.929,0.000,6.366,0.222,0.000,0.370,0.000,0.000,0.000,0.000,0.000,6.225,0.000,0.227,13.428,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.738,0.000,0.000,0.062,0.000,0.000,0.003
Br66_rep9_Dep6_Tu5,1.471,3.072,22.143,4.027,0.000,6.620,0.000,28.164,0.000,4.621,0.000,0.275,0.703,0.000,0.000,0.000,0.000,0.000,1.401,0.000,0.296,14.563,0.000,0.000,1.205,0.000,0.000,0.000,0.000,0.046,0.000,0.000,0.041,8.019,2.936,0.000,0.338,0.000,0.000,0.058
Br66_rep10_Dep6_Tu1,0.000,0.000,12.189,6.659,3.816,23.627,0.000,10.419,0.000,1.848,1.372,0.000,0.113,0.000,0.000,0.000,0.000,0.000,1.211,0.000,0.190,11.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.697,26.326,0.000,0.044,0.000,0.000,0.018
Br66_rep6_Dep6_Tu20,11.094,3.532,30.483,5.664,3.868,3.903,0.000,0.000,0.316,6.363,0.000,0.000,0.174,0.452,0.000,0.000,0.000,0.000,4.708,0.000,0.480,1.219,0.000,0.837,13.350,3.275,0.000,0.000,0.000,0.089,0.000,0.000,0.719,2.269,0.547,0.000,0.487,0.676,0.000,5.494
Br66_rep10_Dep6_Tu30,1.550,15.746,16.021,2.351,0.000,5.430,0.000,20.747,0.000,1.192,0.000,3.011,0.000,1.634,0.000,0.000,0.000,0.000,1.502,0.000,0.093,2.154,1.317,9.327,8.827,0.000,0.000,0.000,0.000,2.862,0.000,0.000,0.000,2.764,0.000,0.000,0.423,0.000,0.000,3.046
Br66_rep10_Dep6_Tu5,0.000,1.813,12.092,5.310,1.007,2.971,0.000,43.627,0.003,4.720,0.208,0.000,1.160,0.000,0.000,0.000,0.000,0.000,1.024,0.000,6.742,13.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.043,0.000,0.000,0.000,3.492,0.000,0.504,0.000,0.000,0.000,2.219
