Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Br66_rep4_Dep6_Tu50,0.000,3.629,0.374,0.000,0.967,60.994,0.454,0.000,1.266,0.000,3.215,0.337,28.763
Br66_rep3_Dep6_Tu0.5,0.000,0.000,0.044,0.000,9.381,0.000,0.739,0.000,0.640,24.271,5.823,0.507,58.595
Br66_rep2_Dep6_Tu3,0.000,0.023,0.106,0.000,20.605,0.134,0.271,0.000,0.766,11.038,8.568,0.933,57.556
Br66_rep6_Dep6_Tu40,0.000,6.843,0.232,0.000,5.944,44.444,0.000,0.000,0.000,2.311,3.675,1.913,34.637
Br66_rep9_Dep6_Tu0.1,0.000,0.000,0.032,0.000,6.347,0.000,0.449,0.000,4.393,21.929,7.503,0.589,58.758
Br66_rep9_Dep6_Tu5,0.000,0.061,0.416,0.000,12.570,2.423,0.743,0.000,1.314,16.529,7.295,0.668,57.980
Br66_rep10_Dep6_Tu1,0.000,0.000,0.054,0.000,13.015,0.000,0.125,0.000,1.176,24.467,1.985,0.141,59.036
Br66_rep6_Dep6_Tu20,0.000,1.422,0.708,0.000,11.759,26.887,0.443,0.000,5.337,1.931,2.114,0.559,48.841
Br66_rep10_Dep6_Tu30,0.000,0.763,0.158,0.000,6.765,40.139,0.986,0.000,1.302,2.665,3.459,1.491,42.273
Br66_rep10_Dep6_Tu5,0.000,0.075,0.056,0.000,21.656,4.468,1.485,0.000,2.675,2.406,6.986,1.069,59.123
Br66_rep7_Dep6_Tu1,0.000,0.000,0.006,0.000,25.938,0.000,0.731,0.000,0.404,4.830,3.653,0.468,63.970
Br66_rep6_Dep6_Tu0.3,0.000,0.000,0.050,0.000,9.386,0.000,0.746,0.000,0.675,24.251,5.815,0.490,58.586
Br66_rep1_Dep6_Tu30,0.000,3.641,0.086,0.000,10.223,36.831,0.319,0.170,0.014,1.924,1.119,4.916,40.756
Br66_rep3_Dep6_Tu1,0.000,0.000,0.004,0.000,9.135,0.036,1.917,0.000,0.163,22.665,5.776,1.210,59.094
Br66_rep3_Dep6_Tu30,0.000,4.292,0.106,0.000,10.519,35.793,0.333,0.000,0.176,2.545,3.131,1.752,41.353
