Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Br66_rep4_Dep6_Tu50,0.000,3.585,8.844,17.006,2.735,3.598,0.000,0.000,0.000,5.461,1.355,0.000,0.000,1.990,0.000,1.509,0.543,0.000,0.000,0.000,0.000,0.000,1.123,12.228,0.000,13.861,6.344,11.236,0.160,2.310,0.000,0.000,0.324,0.562,0.747,0.000,0.000,0.925,0.648,2.903
Br66_rep3_Dep6_Tu0.5,5.260,5.586,26.084,19.950,1.579,12.418,0.000,2.378,0.000,7.303,4.256,0.000,0.000,1.952,0.000,0.000,2.978,0.703,3.401,0.000,0.000,0.000,2.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.276,0.000,1.378,0.000,0.000,0.720,0.000,1.120,0.632
Br66_rep2_Dep6_Tu3,4.069,6.756,19.750,19.214,3.442,15.504,0.000,2.655,0.000,7.473,3.785,0.000,0.000,2.509,0.000,0.000,1.451,2.094,0.000,0.000,0.000,0.000,2.499,1.224,0.000,0.000,1.626,0.000,0.000,0.000,0.655,0.174,0.000,1.284,0.000,0.000,1.108,0.000,1.022,1.706
Br66_rep6_Dep6_Tu40,1.209,6.249,11.076,12.034,2.272,5.334,0.000,5.182,1.925,9.534,0.000,0.000,0.000,2.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.418,0.000,8.044,6.117,9.610,0.000,2.246,0.000,0.000,0.000,1.902,0.000,0.000,0.000,1.243,1.907,1.658
Br66_rep9_Dep6_Tu0.1,7.141,1.861,21.797,23.964,7.030,10.853,0.000,0.000,0.000,6.741,3.782,0.000,0.000,1.788,0.000,0.000,1.802,0.000,4.799,0.000,0.184,0.000,1.925,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.629,0.000,0.242,1.443,0.000,0.603,0.000,1.003,2.415
Br66_rep9_Dep6_Tu5,4.420,4.327,18.933,22.845,4.791,12.442,0.000,0.278,0.782,9.570,1.798,0.000,0.000,1.937,2.237,0.000,1.967,0.088,0.084,0.723,0.307,0.000,2.145,1.548,0.000,0.000,2.698,0.136,0.000,0.000,0.000,0.430,0.000,1.275,0.827,0.994,0.000,0.000,1.372,1.044
Br66_rep10_Dep6_Tu1,7.020,2.933,20.202,22.024,0.000,14.257,0.000,7.782,0.000,9.152,0.817,0.000,0.000,1.943,0.000,0.000,0.000,0.917,4.017,0.000,0.000,0.000,2.216,1.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.187,0.000,0.530,1.119,0.361,0.000,0.000,1.079,2.164
Br66_rep6_Dep6_Tu20,4.428,5.093,22.740,10.869,1.029,8.179,0.135,7.863,1.784,7.079,0.000,0.000,0.502,1.438,0.000,0.000,1.726,0.768,2.163,0.000,1.037,0.000,0.004,7.000,0.000,4.248,2.657,3.334,0.000,0.000,0.000,0.000,0.000,0.000,0.636,0.000,0.040,0.000,1.142,4.104
Br66_rep10_Dep6_Tu30,5.052,3.070,14.855,17.833,0.000,8.100,0.000,1.298,3.484,3.894,4.097,0.000,0.000,2.052,0.000,0.000,0.000,2.065,0.171,0.000,0.161,0.000,0.626,8.673,0.000,7.660,3.869,6.359,0.000,0.665,0.195,0.000,0.000,1.169,0.702,0.000,0.361,0.163,0.540,2.887
Br66_rep10_Dep6_Tu5,5.101,5.536,17.554,23.182,9.044,8.650,0.000,0.339,3.222,9.092,0.000,0.000,2.282,0.000,0.584,0.761,1.791,0.000,0.000,0.000,0.000,0.000,2.279,2.343,0.000,0.113,1.907,0.367,0.000,0.000,0.581,0.000,0.000,0.913,0.836,0.389,0.297,0.000,1.019,1.816
