Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Br66_rep4_Dep6_Tu50,0.684,0.256,0.470,1.079,2.720,0.194,1.154,2.211,2.258,1.195,1.190,2.554,0.032,0.009,0.690,0.299,0.112,0.198,1.384,0.696,0.002,0.254,0.146,0.010,6.833,17.914,0.720,3.707,0.137,1.497,0.000,0.000,0.001,1.541,0.046,47.798,0.000,0.001,0.003,0.005
Br66_rep3_Dep6_Tu0.5,0.354,0.205,8.930,4.213,2.759,1.878,7.480,7.544,0.353,3.406,0.722,4.599,0.035,0.085,0.000,0.000,0.000,0.001,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,52.228,5.187,0.013,0.000,0.000,0.000,0.000
Br66_rep2_Dep6_Tu3,1.201,3.782,9.529,6.028,2.322,7.267,1.238,11.932,0.839,1.047,3.692,1.394,0.495,0.344,0.240,0.328,0.086,0.423,0.017,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,10.059,37.439,0.282,0.000,0.000,0.000,0.000
Br66_rep6_Dep6_Tu40,0.804,1.544,0.171,0.323,2.214,0.857,4.714,3.397,0.025,1.851,3.913,0.263,0.356,0.143,0.024,0.006,0.001,0.005,0.010,0.129,0.002,0.000,0.000,0.621,0.045,0.009,2.816,0.000,0.003,0.094,0.000,0.419,3.291,6.128,0.271,57.756,0.474,0.095,6.556,0.670
Br66_rep9_Dep6_Tu0.1,1.666,0.925,1.310,7.238,2.330,11.478,2.532,5.338,6.038,3.500,1.087,0.407,0.159,0.181,0.004,0.001,0.016,0.089,0.141,0.088,0.005,0.005,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.208,18.246,0.000,0.000,0.000,0.000,0.000
Br66_rep9_Dep6_Tu5,2.912,1.138,10.166,3.832,0.089,1.689,9.887,0.563,9.043,0.881,1.032,0.403,0.053,0.057,0.033,0.012,0.010,0.101,0.036,0.048,0.001,0.003,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.064,0.000,0.000,2.810,11.717,32.926,10.487,0.000,0.000,0.001,0.001
Br66_rep10_Dep6_Tu1,1.917,1.942,1.338,8.984,10.361,7.428,2.161,1.355,7.321,1.092,0.665,0.827,0.009,0.005,0.001,0.005,0.001,0.006,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.000,0.000,50.230,4.308,0.003,0.000,0.000,0.000,0.000
Br66_rep6_Dep6_Tu20,0.099,0.400,2.766,1.670,5.171,0.909,2.248,10.857,0.492,2.725,0.021,0.599,0.204,0.441,0.001,0.001,0.000,0.002,0.009,0.175,0.000,0.000,0.000,0.000,0.047,0.002,3.610,0.000,0.009,1.134,0.402,0.000,1.517,1.048,31.470,31.747,0.001,0.023,0.071,0.128
Br66_rep10_Dep6_Tu30,0.165,0.042,1.227,0.057,2.242,1.388,4.482,1.323,7.918,1.140,0.744,3.622,0.002,0.001,0.001,0.011,0.005,0.002,0.598,0.407,0.001,0.004,0.008,0.101,2.635,0.000,0.050,0.000,0.000,0.000,0.072,1.221,10.410,0.798,16.381,42.223,0.558,0.011,0.144,0.010
Br66_rep10_Dep6_Tu5,0.232,0.111,5.557,10.530,0.164,5.230,7.749,5.157,1.998,2.011,1.634,0.983,0.061,0.018,0.017,0.015,0.073,0.311,0.055,0.025,0.189,0.064,0.021,1.435,0.464,0.000,0.001,0.516,0.000,0.000,0.000,0.000,0.001,0.127,50.919,4.314,0.000,0.019,0.000,0.000
