Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Br66_rep4_Dep6_Tu50,0.677,0.388,0.042,0.069,2.583,0.613,0.155,1.514,0.291,1.495,1.228,0.881,0.900,0.939,1.361,1.042,1.749,0.646,1.300,0.242,1.527,0.493,0.542,4.000,0.899,8.456,10.071,4.684,2.882,2.007,0.366,0.441,0.188,0.841,1.251,1.237,0.828,0.523,3.279,2.651,1.687,1.959,1.247,2.004,0.020,16.392,0.683,9.071,0.777,0.880
Br66_rep3_Dep6_Tu0.5,3.381,1.363,4.200,0.475,7.369,7.887,3.169,1.122,4.488,3.522,0.531,8.809,0.706,1.648,1.106,0.789,0.870,0.518,0.546,0.242,0.481,0.335,1.618,0.000,0.022,0.022,0.025,0.000,0.009,0.000,0.012,0.010,0.206,1.788,1.000,0.185,0.082,0.099,0.161,0.086,3.375,5.635,1.533,5.833,1.775,0.044,6.302,0.018,14.697,1.905
Br66_rep2_Dep6_Tu3,2.360,2.965,8.512,7.275,1.478,5.985,5.827,4.171,2.717,5.065,0.315,6.166,0.779,1.805,0.772,1.368,0.502,1.902,0.625,1.072,0.488,0.146,0.253,0.001,0.092,0.055,0.064,0.002,0.030,0.001,0.066,0.293,0.021,2.234,0.223,0.122,0.400,0.112,0.215,0.472,2.275,3.088,11.683,0.397,4.783,0.008,4.466,1.998,2.370,1.981
Br66_rep6_Dep6_Tu40,0.178,1.967,0.779,2.057,1.153,0.595,1.618,0.704,1.917,0.933,2.064,1.078,0.103,1.371,1.331,0.033,1.223,0.082,0.346,1.218,0.041,0.519,0.234,5.495,1.090,4.522,7.689,1.711,0.863,1.830,0.287,1.599,1.568,0.862,0.633,0.759,0.232,2.759,2.640,2.382,1.855,0.636,1.658,3.064,2.794,15.792,0.362,5.731,1.723,7.920
Br66_rep9_Dep6_Tu0.1,0.932,0.986,4.201,7.816,3.284,0.791,9.517,7.721,4.296,3.553,3.958,3.319,0.724,1.960,1.452,0.015,1.032,0.570,1.346,0.380,0.151,0.481,1.643,0.000,0.012,0.017,0.006,0.000,0.005,0.000,0.017,0.398,0.017,0.889,2.270,0.013,0.080,0.106,0.071,0.092,4.275,8.809,0.220,5.683,3.241,0.001,5.051,0.154,8.410,0.033
Br66_rep9_Dep6_Tu5,0.401,3.114,2.830,3.040,5.078,6.661,4.921,3.568,4.200,0.697,2.857,4.016,0.488,1.924,0.941,1.000,1.593,0.098,0.831,1.402,0.463,0.437,1.568,0.019,0.583,0.307,0.165,0.002,0.021,0.002,0.130,0.379,0.660,3.016,1.585,1.200,0.207,0.073,0.529,0.623,6.726,7.354,1.607,1.660,1.965,0.686,2.624,5.687,5.393,4.669
Br66_rep10_Dep6_Tu1,4.367,0.261,5.717,1.008,2.739,11.125,6.517,11.587,0.696,4.304,3.857,1.262,0.092,1.670,1.104,0.085,0.413,0.933,0.498,1.287,0.407,0.619,1.025,0.001,0.299,0.037,0.017,0.001,0.010,0.001,0.011,0.035,0.037,2.914,0.974,0.067,0.059,0.097,0.018,0.129,4.830,8.759,4.783,4.444,3.882,0.102,2.200,0.992,3.159,0.571
Br66_rep6_Dep6_Tu20,1.116,0.760,2.274,3.362,3.925,2.232,1.438,1.799,5.112,2.731,1.654,2.185,0.613,1.262,1.948,0.554,0.935,1.762,1.076,0.340,0.480,0.164,0.662,1.222,1.772,2.442,3.493,1.297,0.028,1.060,1.394,0.971,1.678,0.210,0.078,0.477,0.505,2.477,0.471,1.278,10.225,5.931,4.641,1.019,1.694,10.204,0.262,2.236,0.843,3.709
Br66_rep10_Dep6_Tu30,0.336,2.879,1.928,1.453,2.683,1.658,2.888,0.701,0.842,1.635,2.255,1.133,0.241,0.478,1.720,1.932,0.351,0.580,2.232,0.584,0.966,0.480,2.716,3.363,2.546,0.575,5.366,3.462,0.100,0.551,0.668,0.689,2.225,0.881,2.197,1.555,0.448,1.280,1.643,1.880,2.533,1.159,1.985,3.529,3.164,9.460,0.220,13.939,1.804,0.103
Br66_rep10_Dep6_Tu5,0.158,3.804,2.656,1.913,3.515,5.233,5.700,7.071,2.593,2.564,2.296,5.335,1.368,0.109,0.507,1.582,2.207,2.843,0.697,0.432,1.361,0.808,1.131,0.011,0.595,0.255,0.202,0.058,0.301,0.133,0.084,0.330,0.495,0.149,1.980,0.494,0.682,0.285,0.145,0.443,0.410,3.945,6.570,3.336,2.941,2.250,8.524,3.400,4.289,1.809
