Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Br66_rep4_Dep6_Tu50,4.850,0.000,0.000,0.000,0.000,20.072,0.000,0.000,0.000,7.250,1.145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.399,3.053,0.000,40.731,0.000,10.826,0.000,0.000,0.000,0.000,0.000,0.000,6.671,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep3_Dep6_Tu0.5,13.478,0.000,0.000,2.772,0.000,28.697,3.553,0.000,11.527,9.344,25.669,0.000,0.000,4.957,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep2_Dep6_Tu3,0.000,8.048,17.057,32.234,0.000,0.000,0.000,1.334,18.687,9.095,11.343,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.198,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep6_Dep6_Tu40,2.487,0.000,26.285,0.000,0.000,0.000,0.483,0.000,0.000,5.951,0.000,0.000,0.000,3.509,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.557,0.000,17.041,12.099,0.348,0.000,6.271,0.000,0.000,0.000,20.901,0.000,0.000,0.000,0.000,0.066,0.000,0.000
Br66_rep9_Dep6_Tu0.1,6.646,3.899,22.339,4.730,17.426,16.445,0.000,0.000,21.312,7.187,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012
Br66_rep9_Dep6_Tu5,11.397,2.185,0.000,0.000,0.000,21.874,0.000,7.327,18.560,9.532,23.359,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.839,0.000,0.866,1.137,0.000,0.000,0.239,0.000,0.000,0.000,0.683,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep10_Dep6_Tu1,17.118,0.000,49.930,5.272,0.000,8.926,0.000,0.000,12.506,6.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.194,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep6_Dep6_Tu20,0.000,4.349,0.331,0.000,0.877,0.000,0.046,42.538,5.826,10.965,0.445,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.904,0.000,17.097,7.891,0.420,0.000,6.308,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep10_Dep6_Tu30,4.247,0.000,5.481,4.022,0.000,15.038,0.715,0.000,12.560,7.484,9.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.120,0.000,2.995,8.490,2.688,0.000,2.673,0.000,0.000,0.000,12.075,1.767,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep10_Dep6_Tu5,6.391,0.000,8.968,34.124,0.000,0.000,0.359,2.058,22.703,12.239,8.512,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.618,0.000,0.000,0.000,0.000,0.000,1.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep7_Dep6_Tu1,0.000,9.779,0.000,51.144,0.000,8.117,3.339,3.855,15.505,8.258,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep6_Dep6_Tu0.3,13.125,0.000,0.000,3.403,0.000,27.483,2.869,0.000,12.833,9.156,26.273,0.000,0.000,4.856,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
