Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Br66_rep4_Dep6_Tu50,0.075,0.012,3.104,2.099,3.804,1.314,1.028,3.785,2.059,0.774,0.203,0.923,0.062,0.120,0.495,0.449,0.231,0.323,0.098,0.654,0.024,0.044,0.061,2.625,0.067,3.330,1.521,1.015,0.001,0.000,0.000,0.000,0.004,0.003,0.031,0.000,56.717,0.000,0.000,0.002,12.943
Br66_rep3_Dep6_Tu0.5,0.063,0.140,5.200,3.477,1.748,4.034,21.588,3.831,0.286,3.753,0.326,1.953,0.089,0.005,0.151,0.597,1.151,0.521,0.342,0.353,0.011,0.028,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.233,0.011,0.480,0.000,0.000,0.000,0.000,49.542
Br66_rep2_Dep6_Tu3,1.671,0.291,4.939,4.204,4.547,0.242,8.820,3.279,9.640,1.773,3.549,0.538,0.353,0.055,0.155,0.321,0.849,0.671,0.337,0.222,0.062,0.113,0.108,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.040,1.829,0.004,0.036,0.000,0.647,0.011,0.159,50.532
Br66_rep6_Dep6_Tu40,0.073,0.461,1.577,4.748,0.235,2.147,1.137,3.902,4.386,2.683,1.090,0.075,0.042,0.021,0.114,0.171,0.245,0.089,0.049,0.248,0.003,0.003,0.006,2.969,0.189,0.168,0.943,0.885,0.016,0.411,0.000,0.000,0.013,0.006,0.098,0.000,45.698,0.001,0.220,0.037,24.842
Br66_rep9_Dep6_Tu0.1,0.198,0.617,2.741,5.319,5.909,1.963,13.677,5.268,6.872,1.582,1.670,1.644,0.292,0.080,0.251,0.328,0.555,1.128,0.337,0.984,0.041,0.020,0.193,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.168,0.112,0.316,0.000,0.000,0.000,0.000,47.735
Br66_rep9_Dep6_Tu5,0.446,0.138,4.824,8.581,0.037,1.947,14.870,6.141,0.276,2.281,2.355,0.116,0.015,0.044,0.266,0.313,1.078,0.848,0.553,0.240,0.038,0.086,0.008,0.000,0.000,0.054,0.052,0.013,0.011,0.232,0.000,0.000,0.017,0.923,0.186,0.685,4.368,0.005,0.020,0.045,47.887
Br66_rep10_Dep6_Tu1,0.753,0.665,1.575,7.188,2.633,6.950,10.367,5.828,7.092,1.876,1.303,0.879,0.087,0.030,0.170,0.493,0.456,0.761,0.350,0.571,0.202,0.051,0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.378,0.133,1.018,0.000,0.001,0.000,0.000,48.090
Br66_rep6_Dep6_Tu20,0.279,0.328,6.745,4.597,1.690,0.708,4.562,8.788,3.155,1.039,1.118,1.018,0.242,0.078,0.023,0.432,0.674,0.672,0.648,0.546,0.086,0.062,0.075,1.754,0.010,0.151,0.549,0.155,0.837,0.065,0.000,0.000,0.073,0.105,0.163,0.002,23.037,0.213,0.026,0.096,35.199
Br66_rep10_Dep6_Tu30,0.382,0.211,1.876,4.811,1.945,1.789,6.890,5.740,3.114,0.619,0.880,2.022,0.063,0.215,0.391,0.513,0.665,0.099,0.147,0.390,0.289,0.077,0.191,1.225,0.041,1.018,1.197,2.122,0.000,0.080,0.000,0.000,0.087,0.049,0.035,0.000,31.659,0.006,0.093,0.021,29.047
Br66_rep10_Dep6_Tu5,1.175,0.572,3.025,8.098,5.953,4.064,3.410,3.434,8.443,0.795,2.327,1.658,0.365,0.097,0.788,1.019,0.142,1.453,0.160,0.937,0.125,0.038,0.078,2.404,0.030,0.006,0.132,0.008,0.020,0.272,0.000,0.000,0.004,0.131,0.296,0.261,0.534,0.403,0.002,0.016,47.323
Br66_rep7_Dep6_Tu1,0.541,0.429,2.014,4.627,0.764,4.511,6.704,11.575,6.836,3.398,1.069,1.564,0.218,0.128,0.370,0.055,0.576,0.919,0.026,0.035,0.022,0.041,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.491,0.074,0.003,0.000,0.059,0.001,0.041,52.738
Br66_rep6_Dep6_Tu0.3,0.070,0.003,4.293,4.771,1.251,2.145,20.950,5.513,1.510,2.701,2.708,0.613,0.098,0.016,0.085,1.175,0.524,0.056,0.047,1.226,0.028,0.027,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.208,0.004,0.410,0.000,0.000,0.000,0.000,49.523
Br66_rep1_Dep6_Tu30,0.119,0.426,3.227,2.971,5.360,5.084,1.071,2.369,4.577,0.790,0.925,0.556,0.003,0.185,0.110,0.568,0.944,0.273,0.347,0.169,0.095,0.218,0.108,0.832,0.030,1.012,0.834,0.217,0.016,0.020,0.000,0.000,0.026,0.055,0.132,0.000,37.700,0.001,0.024,0.026,28.585
Br66_rep3_Dep6_Tu1,0.098,0.273,1.595,4.872,0.140,3.609,20.707,5.153,5.439,0.003,3.388,1.503,0.071,0.212,0.549,0.100,0.112,0.185,0.123,0.199,0.041,0.241,0.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.620,0.069,0.231,0.000,0.001,0.000,0.000,50.161
Br66_rep3_Dep6_Tu30,0.152,0.243,0.738,1.921,1.758,5.449,2.761,4.695,6.132,2.221,1.084,0.026,0.127,0.053,0.314,0.054,0.269,0.123,0.318,0.358,0.069,0.022,0.052,2.471,0.177,0.026,0.888,1.168,0.005,0.145,0.000,0.000,0.026,0.082,0.157,0.000,33.891,0.002,0.063,0.020,31.942
Br66_rep9_Dep6_Tu1,0.272,0.762,3.212,3.945,1.779,1.492,4.951,14.984,6.792,1.094,1.941,2.752,0.022,0.114,0.971,0.421,0.152,0.948,0.106,0.997,0.049,0.413,0.187,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.795,0.064,0.012,0.000,0.037,0.002,0.002,50.729
Br66_rep9_Dep6_Tu40,0.194,0.017,3.081,3.649,3.145,4.650,2.814,1.196,3.099,0.140,0.488,0.827,0.058,0.045,0.359,0.210,0.606,0.357,0.139,0.411,0.032,0.060,0.019,2.459,0.004,0.705,0.341,1.582,0.014,0.013,0.000,0.000,0.167,0.003,0.195,0.002,48.252,0.000,0.058,0.015,20.592
Br66_rep5_Dep6_Tu1,0.208,0.176,5.968,3.031,3.384,0.102,16.200,5.991,4.019,1.403,3.208,1.175,0.060,0.075,0.402,0.572,0.159,0.482,0.275,0.443,0.033,0.030,0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.520,0.085,1.026,0.000,0.014,0.000,0.000,50.853
Br66_rep2_Dep6_Tu5,0.692,0.486,4.280,4.983,3.574,6.648,8.589,9.226,2.558,1.582,1.108,0.574,0.016,0.019,0.069,0.521,0.827,1.048,0.083,1.123,0.034,0.021,0.036,0.411,0.567,0.006,0.009,0.000,0.000,0.000,0.000,0.000,0.012,0.774,0.335,1.743,1.297,0.000,0.003,0.000,46.744
Br66_rep5_Dep6_Tu30,0.063,0.994,2.274,1.934,0.742,9.015,1.200,7.532,1.014,0.440,0.932,1.747,0.047,0.087,0.202,1.430,0.595,0.315,0.222,1.381,0.114,0.111,0.148,1.932,0.039,0.493,0.392,0.209,0.004,0.181,0.004,0.001,0.086,0.519,0.496,0.003,34.156,0.015,0.169,0.289,28.470
Br66_rep7_Dep6_Tu50,0.148,0.058,2.040,0.337,1.076,6.464,1.132,1.846,1.633,0.973,0.003,0.863,0.078,0.069,0.361,0.477,0.511,0.402,0.030,0.028,0.025,0.019,0.035,3.453,0.517,0.817,2.062,1.342,0.052,0.028,0.009,0.018,0.195,0.011,0.050,0.000,55.241,0.000,0.015,0.000,17.581
Br66_rep4_Dep6_Tu40,0.050,0.709,0.961,0.819,1.151,5.049,1.213,6.104,2.786,0.942,1.584,0.663,0.016,0.122,0.311,0.068,0.086,0.640,0.266,0.364,0.004,0.160,0.017,3.183,0.054,0.886,1.027,0.367,0.012,0.038,0.000,0.000,0.013,0.006,0.067,0.000,45.245,0.001,0.001,0.003,25.008
Br66_rep8_Dep6_Tu5,0.141,0.194,5.650,3.043,5.671,4.704,18.617,1.756,0.695,0.883,1.640,0.208,0.313,0.012,0.895,0.113,0.401,1.114,0.087,1.079,0.020,0.004,0.034,0.899,0.006,0.089,0.674,0.146,0.001,0.000,0.000,0.000,0.007,0.927,0.171,1.494,2.408,0.001,0.000,0.003,45.901
Br66_rep9_Dep6_Tu2,1.263,0.488,4.221,1.904,4.176,5.342,6.910,6.749,7.595,1.686,1.294,1.092,0.150,0.246,0.487,0.464,0.816,0.251,0.333,0.024,0.021,0.006,0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.181,0.193,0.184,0.000,0.619,0.001,0.011,53.172
Br66_rep6_Dep6_Tu30,0.028,0.082,1.506,3.996,2.051,1.908,7.964,4.087,5.553,1.008,1.650,0.059,0.101,0.012,0.228,1.369,0.155,0.301,0.106,0.451,0.027,0.018,0.048,1.493,0.001,0.431,1.310,0.381,0.017,0.003,0.001,0.011,0.015,0.035,0.040,0.022,35.928,0.000,0.002,0.007,27.594
Br66_rep4_Dep6_Tu0.1,0.417,0.480,9.202,3.031,0.754,4.802,12.379,4.741,5.894,2.233,1.852,1.842,0.494,0.212,0.251,0.045,0.322,0.060,0.194,0.929,0.142,0.013,0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.204,0.043,0.000,0.000,0.001,0.000,0.000,49.348
Br66_rep5_Dep6_Tu10,0.532,0.080,2.811,6.205,1.276,3.964,14.813,6.304,1.872,2.536,1.086,0.441,0.102,0.024,0.784,0.629,0.697,0.207,0.051,0.616,0.012,0.021,0.043,0.080,0.005,0.043,0.277,0.001,0.001,0.000,0.000,0.000,0.011,0.022,0.204,1.782,11.900,0.000,0.003,0.009,40.557
Br66_rep3_Dep6_Tu40,0.111,0.065,0.594,1.682,0.479,9.349,4.830,0.145,5.803,0.343,0.615,0.458,0.137,0.152,0.103,0.085,0.214,0.677,0.050,0.161,0.043,0.020,0.007,1.719,0.234,0.058,3.050,1.264,0.050,0.134,0.000,0.000,0.249,0.055,0.115,0.011,47.487,0.000,0.011,0.022,19.418
Br66_rep9_Dep6_Tu0.5,0.213,0.239,6.299,3.674,6.991,2.835,10.647,3.774,4.000,1.678,1.785,1.687,0.005,0.059,0.065,0.646,1.269,0.327,0.144,0.805,0.008,0.008,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.125,0.117,0.005,0.000,0.048,0.000,0.000,52.477
Br66_rep8_Dep6_Tu2,0.617,0.203,3.744,3.996,4.542,1.595,20.527,4.870,1.450,0.877,2.478,0.737,0.068,0.233,0.510,0.671,0.254,0.285,0.146,0.317,0.106,0.087,0.192,0.008,0.122,0.025,0.032,0.000,0.000,0.000,0.000,0.000,0.001,0.594,0.045,1.066,0.032,0.000,0.000,0.007,49.561
Br66_rep10_Dep6_Tu2,0.571,0.095,6.732,3.669,4.795,1.537,18.276,0.238,5.985,2.129,1.565,0.951,0.266,0.446,0.486,0.540,0.338,0.070,0.612,0.238,0.422,0.333,0.136,0.000,0.004,0.024,0.002,0.001,0.008,0.000,0.004,0.032,0.019,1.053,0.124,0.319,0.008,0.057,0.005,0.072,47.837
