Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Br66_rep4_Dep6_Tu50,0.000,0.000,11.319,10.233,3.739,0.000,0.000,7.002,0.000,6.650,0.000,0.000,0.000,1.544,0.055,0.000,0.000,0.000,0.875,1.092,0.000,0.000,1.611,12.180,0.000,18.110,5.313,10.496,0.258,3.010,0.000,0.000,0.000,0.000,2.361,2.485,1.668,0.000,0.000,0.000
Br66_rep3_Dep6_Tu0.5,2.084,8.443,31.866,16.782,0.000,10.718,0.000,1.411,0.000,10.392,0.096,0.947,0.474,1.611,0.000,0.000,0.000,0.000,1.845,2.145,1.011,0.000,1.756,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.141,1.108,0.744,4.101,0.081,0.000,2.244,0.000,0.000,0.000
Br66_rep2_Dep6_Tu3,4.019,8.372,32.240,10.658,0.000,12.828,0.000,2.181,0.000,3.025,5.724,2.350,0.000,2.672,0.000,0.000,0.000,0.000,0.834,0.000,0.644,0.000,2.263,0.000,0.000,0.689,2.304,0.000,0.000,0.000,0.605,0.607,0.000,5.334,0.055,0.000,1.125,0.000,0.000,1.470
Br66_rep6_Dep6_Tu40,1.750,4.527,15.713,10.258,0.000,3.024,0.000,7.544,0.133,9.472,0.000,0.000,1.145,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.239,0.000,11.084,5.665,8.879,0.137,3.935,0.000,0.000,0.000,2.872,0.925,1.016,0.000,2.394,0.000,0.000
Br66_rep9_Dep6_Tu0.1,7.283,0.000,24.988,30.172,0.000,8.107,0.000,0.000,0.000,7.215,2.497,0.000,2.600,0.000,0.000,0.000,0.000,0.000,5.016,0.000,0.000,0.000,3.056,0.000,0.000,0.000,0.263,0.000,0.000,0.000,2.045,0.000,0.000,0.000,4.691,0.000,2.067,0.000,0.000,0.000
Br66_rep9_Dep6_Tu5,4.860,4.832,27.547,25.805,0.000,5.040,0.000,0.000,0.000,4.648,5.239,1.409,0.290,2.042,0.000,0.000,0.000,0.000,2.823,0.000,0.000,0.000,2.059,0.000,0.000,2.411,2.570,0.983,0.000,0.000,1.022,0.000,0.189,3.586,0.664,1.116,0.864,0.000,0.000,0.000
Br66_rep10_Dep6_Tu1,5.284,2.725,21.710,19.774,0.000,15.374,0.000,6.214,0.000,9.760,0.000,0.000,1.491,0.000,0.000,0.000,0.000,0.000,4.532,0.000,0.028,0.000,1.728,0.162,0.000,0.357,0.802,0.000,0.000,0.000,1.013,0.570,0.000,1.843,4.306,1.217,1.111,0.000,0.000,0.000
Br66_rep6_Dep6_Tu20,0.000,6.738,34.675,2.840,3.138,3.869,0.000,6.362,0.000,6.918,0.000,0.000,4.162,0.000,0.000,0.000,0.000,0.000,1.566,0.000,1.582,0.000,0.000,6.881,0.000,5.718,3.202,2.018,2.105,0.031,0.200,0.000,1.195,0.648,1.813,0.526,0.482,2.631,0.000,0.701
Br66_rep10_Dep6_Tu30,4.696,2.932,23.069,16.154,0.000,3.837,0.000,0.381,0.899,4.005,0.000,4.493,0.000,1.979,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.093,7.657,0.000,10.663,2.814,7.418,0.000,1.841,0.217,0.000,0.000,0.000,3.359,0.000,1.492,0.000,0.000,0.000
Br66_rep10_Dep6_Tu5,11.130,0.000,23.479,23.601,5.296,3.931,0.000,0.688,3.641,9.080,0.000,0.000,3.502,0.000,0.000,0.000,0.000,0.000,1.166,0.000,0.000,0.000,3.190,1.609,0.000,0.000,2.758,0.000,0.000,0.000,1.828,0.000,0.000,3.092,0.129,1.212,0.000,0.000,0.000,0.668
