Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Br66_rep4_Dep6_Tu50,3.187,0.545,18.157,11.034,0.000,4.010,0.000,0.000,0.000,1.016,4.355,0.000,0.000,2.335,0.000,0.000,0.000,0.000,0.000,0.000,0.729,0.000,1.093,10.497,0.000,12.389,7.755,12.390,1.182,2.571,0.000,0.615,0.450,0.603,1.534,0.000,0.000,1.483,0.111,1.962
Br66_rep3_Dep6_Tu0.5,4.837,7.023,28.971,16.435,4.852,8.826,0.000,5.757,0.000,4.500,2.686,1.472,0.000,3.796,0.000,0.000,0.000,0.000,0.000,0.000,2.986,0.000,0.000,0.073,0.000,1.369,0.669,0.000,0.000,0.000,0.573,0.755,0.000,2.098,0.152,0.838,0.295,0.000,0.000,1.037
Br66_rep2_Dep6_Tu3,5.250,6.224,27.009,17.784,2.838,10.924,0.000,4.589,0.000,7.461,1.024,0.000,0.000,2.839,0.000,0.000,0.000,0.000,0.000,0.000,1.656,0.000,1.135,0.253,0.000,2.852,1.840,0.000,0.000,0.000,1.202,0.268,0.000,2.123,0.208,0.770,0.292,0.000,0.000,1.460
Br66_rep6_Dep6_Tu40,2.897,5.108,19.815,13.251,0.000,5.996,0.000,0.000,0.000,6.181,0.000,0.000,0.000,1.660,0.000,0.000,0.000,0.000,0.000,0.000,0.679,0.000,0.000,8.970,0.000,9.179,6.934,9.247,0.790,2.235,0.000,0.834,0.300,1.791,0.462,0.246,0.519,0.603,0.248,2.055
Br66_rep9_Dep6_Tu0.1,6.127,5.066,25.476,20.893,4.626,8.129,0.000,4.872,0.000,0.398,8.111,0.000,2.430,1.361,0.000,0.000,0.000,0.000,0.000,0.000,3.294,0.000,0.226,0.304,0.000,0.497,0.726,0.000,0.273,0.000,0.946,0.619,0.000,0.473,1.746,0.622,0.411,0.000,0.163,2.211
Br66_rep9_Dep6_Tu5,4.528,6.055,25.557,20.107,2.423,11.907,0.000,0.809,0.000,6.818,0.000,2.309,0.000,3.244,0.000,0.000,0.000,0.000,0.000,0.000,3.031,0.153,0.000,0.833,0.000,1.997,3.060,0.549,0.000,0.000,0.475,0.809,0.000,1.896,0.810,1.222,0.000,0.000,0.000,1.409
Br66_rep10_Dep6_Tu1,6.380,5.883,28.748,16.740,4.780,6.479,0.000,8.015,0.000,6.901,0.140,0.000,0.596,2.971,0.000,0.000,0.000,0.000,0.000,0.000,1.420,0.000,0.934,0.368,0.000,2.096,0.334,0.000,0.095,0.000,0.642,0.587,0.000,1.253,1.367,0.859,0.000,0.000,0.000,2.412
Br66_rep6_Dep6_Tu20,5.384,4.167,22.990,15.061,3.659,8.597,0.000,1.491,1.790,5.134,0.199,0.000,0.000,2.659,0.000,0.000,0.000,0.000,0.000,0.000,2.080,0.000,0.055,5.735,0.000,5.616,4.362,3.356,0.597,0.000,0.104,0.881,0.000,1.751,0.409,0.000,0.526,1.251,0.000,2.146
Br66_rep10_Dep6_Tu30,3.806,3.430,21.046,14.549,0.000,5.653,0.000,0.000,5.483,5.126,0.643,0.000,0.000,2.194,0.000,0.000,0.000,0.000,0.000,0.000,0.359,0.000,1.924,7.404,0.000,7.286,4.712,7.321,0.000,0.960,1.130,0.297,0.000,0.853,1.577,0.000,1.104,0.427,0.000,2.715
Br66_rep10_Dep6_Tu5,5.841,5.529,22.338,18.864,5.664,9.989,0.000,5.376,0.000,6.952,0.777,0.000,0.000,2.734,0.000,0.000,0.000,0.000,0.000,0.000,3.256,0.000,0.000,1.446,0.000,1.569,1.955,0.634,0.000,0.000,0.885,0.653,0.000,1.914,1.055,0.510,0.000,0.472,0.511,1.076
Br66_rep7_Dep6_Tu1,7.405,5.232,32.335,16.258,6.594,7.433,0.000,2.744,0.000,6.628,0.000,0.000,0.000,3.268,0.000,0.000,0.000,0.000,0.000,0.000,0.901,0.000,2.070,0.000,0.000,1.541,0.970,0.000,0.382,0.000,0.109,0.966,0.000,1.832,1.583,1.030,0.000,0.000,0.000,0.719
Br66_rep6_Dep6_Tu0.3,4.874,7.109,29.065,16.342,4.478,9.031,0.000,6.118,0.000,4.462,2.791,1.218,0.000,3.840,0.000,0.000,0.000,0.000,0.000,0.000,2.968,0.026,0.000,0.030,0.000,1.542,0.426,0.000,0.000,0.000,0.481,0.812,0.000,2.201,0.054,0.991,0.218,0.000,0.000,0.923
Br66_rep1_Dep6_Tu30,2.961,3.885,16.571,10.684,6.109,6.746,0.000,6.046,0.511,2.160,2.875,0.000,0.000,2.901,0.000,0.000,0.000,0.000,0.000,0.000,1.498,0.000,0.661,4.908,0.000,6.749,5.967,8.847,0.816,0.954,0.009,0.929,0.000,0.866,1.858,1.564,0.025,0.079,0.000,2.818
Br66_rep3_Dep6_Tu1,4.654,6.140,30.318,17.605,2.377,9.570,0.000,4.508,0.000,4.379,2.199,1.730,0.780,3.167,0.000,0.000,0.000,0.000,0.000,0.000,3.118,0.000,0.000,1.233,0.000,0.905,0.294,0.000,0.000,0.000,0.869,0.772,0.000,1.241,1.529,1.075,0.000,0.000,0.431,1.107
Br66_rep3_Dep6_Tu30,5.209,3.797,21.101,11.642,0.000,13.014,0.000,0.000,0.000,5.440,0.000,0.000,0.513,1.163,0.000,0.000,0.000,0.000,0.000,0.000,2.047,0.000,0.000,7.116,0.000,7.692,4.295,7.524,1.354,0.847,0.000,0.696,0.000,1.666,1.235,0.000,0.345,0.624,0.333,2.347
Br66_rep9_Dep6_Tu1,2.743,8.528,28.971,16.639,5.992,8.685,0.000,4.143,0.000,5.900,2.329,0.000,0.000,3.438,0.000,0.000,0.000,0.000,0.000,0.000,2.856,0.000,0.000,0.000,0.000,1.739,1.478,0.131,0.000,0.000,0.309,1.110,0.000,1.252,1.687,0.548,0.000,0.385,0.289,0.848
Br66_rep9_Dep6_Tu40,0.000,5.550,18.196,14.403,1.917,5.557,0.000,0.000,0.000,2.636,2.108,0.000,0.203,2.353,0.000,0.000,0.000,0.000,0.000,0.000,0.449,0.000,0.674,9.521,0.000,11.137,6.452,8.032,1.248,2.146,0.750,0.000,0.423,1.006,1.436,0.000,0.907,0.018,0.000,2.877
Br66_rep5_Dep6_Tu1,5.640,5.857,25.472,21.361,3.096,12.948,0.000,0.518,0.000,7.806,0.710,1.056,0.000,3.324,0.000,0.000,0.000,0.000,0.000,0.000,3.049,0.000,0.000,0.000,0.000,0.351,2.228,0.000,0.000,0.000,0.601,0.863,0.000,1.641,0.891,1.388,0.000,0.000,0.073,1.127
Br66_rep2_Dep6_Tu5,5.648,6.106,27.869,14.555,7.370,4.756,0.000,7.867,0.000,4.757,0.817,1.184,0.000,3.229,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.197,2.304,1.455,0.000,3.311,0.465,1.000,0.000,0.000,0.337,0.997,0.000,1.414,0.926,1.001,0.000,0.013,0.259,2.162
Br66_rep5_Dep6_Tu30,2.515,5.857,17.457,16.472,2.828,7.037,0.000,1.525,0.000,6.660,0.000,0.000,0.000,2.226,0.000,0.000,0.000,0.000,0.000,0.000,2.186,0.000,0.000,7.308,0.000,8.488,3.830,7.058,0.064,1.167,0.712,0.000,0.000,1.342,1.198,0.000,0.948,0.026,0.000,3.095
Br66_rep7_Dep6_Tu50,2.907,1.004,15.374,9.770,1.547,2.665,0.000,0.000,3.775,5.336,0.000,0.000,0.000,2.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.099,10.344,0.000,13.081,7.226,12.184,1.640,1.638,1.160,0.000,0.000,2.123,0.390,0.196,0.824,0.287,0.000,3.386
Br66_rep4_Dep6_Tu40,2.765,3.675,12.762,10.315,2.026,9.212,0.150,5.143,0.000,5.952,0.000,0.000,0.000,1.550,0.000,0.000,0.000,0.000,0.000,0.000,0.775,0.000,1.206,8.858,0.000,9.512,6.322,9.758,0.485,1.613,0.000,1.112,0.210,1.085,1.444,0.586,0.000,0.801,0.000,2.682
Br66_rep8_Dep6_Tu5,4.737,5.388,27.392,19.021,5.412,6.917,0.000,3.442,0.000,7.472,0.000,0.636,1.550,1.711,0.000,0.000,0.000,0.000,0.000,0.000,1.856,0.000,1.129,1.354,0.000,3.184,1.166,0.909,0.000,0.000,1.227,0.064,0.000,1.964,0.431,0.228,0.000,0.529,0.000,2.282
Br66_rep9_Dep6_Tu2,6.617,5.283,23.961,21.099,1.505,14.380,0.000,3.157,0.000,5.394,2.423,0.000,0.000,2.575,0.000,0.000,0.000,0.000,0.000,0.000,2.158,0.000,0.875,0.230,0.000,2.048,1.533,0.000,0.000,0.000,0.705,0.760,0.000,1.098,1.491,1.063,0.000,0.000,0.000,1.646
Br66_rep6_Dep6_Tu30,2.482,3.578,18.688,17.954,2.345,5.239,0.000,0.166,1.440,5.935,0.000,0.121,0.000,3.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.277,7.676,0.000,7.457,5.404,6.596,0.000,0.994,0.000,1.762,0.000,1.672,0.520,0.238,1.188,0.000,0.000,3.099
Br66_rep4_Dep6_Tu0.1,4.742,6.518,25.748,15.289,3.265,13.775,0.000,7.185,0.000,5.993,1.937,0.000,0.000,3.052,0.000,0.000,0.000,0.000,0.000,0.000,3.886,0.000,0.000,0.000,0.000,1.135,1.182,0.000,0.000,0.000,0.494,0.955,0.000,1.916,0.606,0.855,0.161,0.000,0.024,1.283
Br66_rep5_Dep6_Tu10,4.633,5.276,26.153,17.255,3.233,10.208,0.000,2.281,0.000,4.450,2.757,0.765,0.518,2.108,0.000,0.000,0.000,0.000,0.000,0.000,2.374,0.000,0.000,2.099,0.000,4.178,2.261,1.743,0.689,0.000,0.000,1.101,0.000,2.875,0.000,0.980,0.000,0.000,0.107,1.957
Br66_rep3_Dep6_Tu40,1.710,3.468,15.117,10.373,6.788,4.056,0.000,1.667,2.247,3.620,1.596,0.754,0.444,1.816,0.000,0.000,0.000,0.000,0.000,0.000,0.970,0.173,0.000,7.922,0.000,10.660,6.711,9.827,0.581,1.492,1.272,0.000,0.216,0.479,1.075,0.000,1.269,0.423,0.000,3.276
Br66_rep9_Dep6_Tu0.5,8.997,3.462,28.352,14.790,5.186,12.757,0.000,3.904,0.108,7.602,0.177,0.000,0.000,3.415,0.000,0.000,0.000,0.000,0.000,0.000,2.817,0.000,0.000,0.034,0.000,0.300,1.355,0.000,0.000,0.000,1.134,0.500,0.000,1.753,1.506,0.780,0.417,0.000,0.000,0.655
Br66_rep8_Dep6_Tu2,3.028,8.412,24.435,15.144,8.927,12.533,0.000,1.892,0.000,3.524,5.315,0.000,0.999,2.589,0.000,0.000,0.000,0.000,0.000,0.000,2.394,0.000,0.227,0.046,0.000,1.906,1.579,0.000,0.308,0.000,0.956,0.537,0.000,1.735,1.215,0.918,0.000,0.000,0.007,1.377
Br66_rep10_Dep6_Tu2,5.132,5.686,25.895,19.971,6.555,11.436,0.000,0.811,0.000,6.254,1.274,0.000,0.000,3.231,0.000,0.000,0.000,0.000,0.000,0.000,2.800,0.000,0.206,0.481,0.000,2.504,0.404,0.000,0.190,0.000,0.986,0.225,0.000,1.196,1.657,1.003,0.000,0.264,0.843,0.997
