Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Br66_rep4_Dep6_Tu50,58.367,0.000,0.000,1.185,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.957,0.000,11.693,0.000,0.000,0.000,0.000,0.000,0.000,4.797,0.000
Br66_rep3_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.557,0.000,52.555,0.000,5.380,0.115,4.586,0.000,33.123,0.000,3.682,0.000,0.000
Br66_rep2_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.435,0.000,56.282,12.548,13.223,3.228,8.050,0.000,0.000,0.000,6.234,0.000,0.000
Br66_rep6_Dep6_Tu40,44.003,0.000,0.000,0.747,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.000,28.308,0.000,26.816,0.000,0.000,0.000,0.000,0.000,0.000,0.104,0.000
Br66_rep9_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.665,0.000,53.577,3.509,5.367,0.935,35.288,0.000,0.000,0.559,0.000,0.000,0.097
Br66_rep9_Dep6_Tu5,0.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.378,0.000,50.201,0.094,20.305,2.354,24.538,0.000,0.344,0.000,0.000,0.000,1.469
Br66_rep10_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.202,0.000,53.953,0.229,5.529,0.387,28.474,0.000,4.395,3.114,3.716,0.000,0.000
Br66_rep6_Dep6_Tu20,23.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,46.098,0.000,28.537,0.000,0.797,0.000,1.202,0.000,0.297,0.000,0.000
Br66_rep10_Dep6_Tu30,31.158,0.000,0.000,0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.074,0.000,33.016,0.000,16.347,16.010,0.324,0.000,0.000,0.000,0.000,0.000,2.906
Br66_rep10_Dep6_Tu5,0.249,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.173,0.000,51.751,22.918,14.955,4.461,5.492,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep7_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.386,0.000,56.466,0.000,22.967,2.549,0.000,0.000,11.813,5.817,0.000,0.000,0.000
