Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Br66_rep4_Dep6_Tu50,0.104,1.434,0.655,0.611,0.408,0.316,1.217,0.332,4.234,3.707,0.438,1.325,0.066,0.056,0.259,0.371,0.064,0.474,0.216,0.572,0.218,0.414,0.255,0.178,10.234,18.500,2.279,6.287,1.540,2.087,0.023,0.002,0.001,0.038,0.003,0.131,0.060,0.004,0.354,0.122,40.410
Br66_rep3_Dep6_Tu0.5,1.178,0.029,9.941,3.179,4.814,3.728,0.851,6.345,1.694,6.302,3.084,1.789,1.058,0.109,0.000,0.000,0.000,0.001,0.007,0.006,0.000,0.001,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,54.029,0.000,0.000,0.000,0.000,0.000,1.850
Br66_rep2_Dep6_Tu3,0.813,4.652,8.778,8.107,0.429,3.370,0.302,6.059,0.616,1.030,0.021,1.325,0.001,0.111,0.104,0.019,0.054,0.013,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.948,62.007,0.000,0.000,0.000,0.000,0.000,1.235
Br66_rep6_Dep6_Tu40,1.846,2.064,0.783,0.314,2.512,2.975,1.128,3.653,0.243,3.670,0.286,0.118,1.274,0.307,0.062,0.033,0.001,0.004,0.004,0.188,0.000,0.000,0.001,2.878,0.532,0.021,4.674,0.018,0.018,1.330,0.000,3.139,5.575,0.918,0.259,3.291,0.419,0.221,3.983,3.636,47.622
Br66_rep9_Dep6_Tu0.1,0.840,0.438,0.761,3.125,2.860,14.935,1.601,2.593,0.088,2.816,0.631,1.634,0.625,0.591,0.116,0.035,0.094,0.777,0.064,0.050,0.095,0.027,0.744,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.460,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep9_Dep6_Tu5,0.709,2.642,2.656,0.574,2.016,1.829,2.073,8.194,4.897,2.303,0.556,0.556,0.129,0.045,0.001,0.000,0.000,0.005,0.010,0.028,0.010,0.003,0.034,0.000,0.000,0.000,0.000,0.000,0.001,0.609,0.007,0.000,1.926,0.016,54.237,0.000,0.000,0.000,0.002,2.604,11.328
Br66_rep10_Dep6_Tu1,1.121,1.151,3.563,1.980,14.325,4.875,0.373,1.443,5.373,0.611,1.028,1.746,0.065,0.054,0.000,0.000,0.000,0.000,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,59.498,0.000,0.475,0.000,0.000,0.490,1.815
Br66_rep6_Dep6_Tu20,0.167,0.249,0.443,1.751,0.341,0.602,7.601,8.886,0.117,1.368,1.818,0.181,0.588,0.229,0.039,0.008,0.008,0.085,0.011,0.672,0.000,0.000,0.000,0.000,0.987,0.012,5.023,0.001,0.002,1.645,0.637,0.001,0.929,0.336,29.761,0.753,0.000,0.001,0.191,5.541,29.015
Br66_rep10_Dep6_Tu30,1.105,0.533,0.916,2.366,1.991,2.885,1.950,0.301,7.999,0.291,1.095,4.106,0.057,0.045,0.038,0.050,0.030,0.006,0.912,0.408,0.002,0.002,0.027,0.073,5.940,0.057,0.012,0.000,0.000,0.000,2.340,0.518,11.679,2.061,2.415,1.534,0.000,0.074,0.034,5.221,40.926
Br66_rep10_Dep6_Tu5,0.133,0.106,1.822,6.813,0.069,3.241,4.244,3.966,0.696,2.315,1.327,0.200,0.056,0.002,0.022,0.011,0.017,0.104,0.004,0.018,0.672,0.012,0.050,0.759,1.912,0.000,0.002,0.493,0.000,0.256,0.095,0.026,0.000,0.045,64.516,0.000,0.000,0.000,0.000,0.000,5.997
Br66_rep7_Dep6_Tu1,0.003,0.006,8.608,0.174,2.985,0.197,15.514,0.893,2.180,1.665,1.284,3.260,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,60.952,0.000,0.000,0.000,0.000,0.000,2.277
Br66_rep6_Dep6_Tu0.3,0.864,0.217,12.579,2.482,3.502,1.938,7.775,2.113,0.682,4.747,2.647,4.064,0.813,0.401,0.000,0.000,0.000,0.001,0.094,0.008,0.001,0.044,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,54.904,0.000,0.000,0.000,0.000,0.000,0.005
Br66_rep1_Dep6_Tu30,0.412,4.484,4.107,0.249,2.507,0.491,1.569,7.476,2.291,0.026,2.079,0.422,0.383,2.545,0.002,0.278,0.377,0.587,0.063,0.062,0.095,1.588,0.178,1.293,0.011,0.086,0.274,4.501,0.036,0.384,0.000,0.131,0.000,1.312,2.867,0.029,0.990,0.102,4.256,0.995,50.460
Br66_rep3_Dep6_Tu1,0.004,0.010,3.552,2.744,0.738,0.296,4.660,6.257,15.576,1.756,0.344,5.603,0.027,1.351,0.000,0.000,0.000,0.000,0.019,0.000,0.029,0.245,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,56.513,0.000,0.000,0.000,0.000,0.000,0.252
Br66_rep3_Dep6_Tu30,0.328,1.347,0.059,2.493,1.365,0.418,0.502,11.319,0.031,3.456,0.078,0.003,0.044,0.001,0.064,0.127,0.001,0.024,0.002,0.111,0.046,0.002,0.039,0.637,7.884,1.545,3.005,0.002,0.083,1.425,0.001,0.000,6.728,2.087,6.750,0.464,0.005,0.111,3.172,0.949,43.293
Br66_rep9_Dep6_Tu1,0.024,0.070,1.828,6.823,2.934,3.362,3.562,10.669,3.732,1.166,1.390,0.337,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.014,0.325,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.262,61.714,0.004,0.073,0.001,0.000,0.005,1.695
Br66_rep9_Dep6_Tu40,0.382,0.293,0.952,0.748,3.232,1.407,6.594,0.069,1.917,0.051,3.527,0.004,0.002,0.001,0.952,0.672,4.506,0.227,0.000,0.001,0.000,0.002,0.000,2.290,0.000,4.444,2.855,4.623,0.045,1.309,2.153,0.011,4.720,0.524,0.027,0.205,3.192,0.935,0.558,0.891,45.677
Br66_rep5_Dep6_Tu1,1.614,1.473,1.476,1.854,1.526,0.354,7.313,3.884,8.543,2.339,3.455,0.139,0.380,0.305,0.000,0.005,0.021,0.000,0.099,0.003,0.038,0.002,0.000,0.000,0.964,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.142,62.755,0.001,0.000,0.001,0.000,0.000,1.273
Br66_rep2_Dep6_Tu5,1.116,2.786,13.681,0.666,6.859,0.925,6.327,0.929,2.641,0.835,0.164,0.629,0.092,0.064,0.001,0.002,0.002,0.008,0.003,0.000,0.000,0.001,0.003,0.000,0.261,0.000,0.000,0.000,0.000,0.000,0.000,2.155,0.000,0.000,53.825,0.002,0.000,0.000,0.000,0.000,6.025
Br66_rep5_Dep6_Tu30,6.497,1.018,0.843,6.502,2.934,1.612,1.332,1.154,0.151,0.169,0.564,0.255,0.000,0.002,0.018,0.030,0.024,0.165,0.053,0.186,0.663,0.032,0.507,0.147,2.573,8.098,0.000,0.009,0.000,0.000,5.718,0.000,0.107,1.245,16.730,4.759,0.003,0.022,0.081,0.659,35.137
Br66_rep7_Dep6_Tu50,4.753,0.223,0.734,1.140,0.053,0.023,0.009,0.126,1.185,2.622,0.591,0.116,0.000,0.002,0.281,0.001,0.085,0.046,0.035,0.007,0.011,0.002,0.094,2.454,6.445,0.773,2.874,1.383,0.239,3.334,0.000,0.000,7.626,0.146,0.014,0.610,0.012,0.024,11.831,0.923,49.175
Br66_rep4_Dep6_Tu40,4.201,2.317,0.154,0.333,0.415,0.314,0.524,0.014,0.375,1.314,5.530,0.862,0.642,1.518,0.857,0.107,0.681,0.381,0.062,0.216,0.011,0.521,0.111,4.277,0.311,0.352,7.337,0.647,0.305,2.950,0.000,4.912,0.012,1.597,0.417,0.508,0.000,0.004,0.002,0.009,54.901
Br66_rep8_Dep6_Tu5,0.549,0.648,1.337,1.355,5.520,2.626,13.133,2.638,0.161,0.560,0.979,3.312,1.281,0.417,0.073,0.090,0.063,0.028,0.096,0.006,0.163,0.490,0.723,0.001,1.691,0.005,0.044,0.005,0.272,0.000,1.144,0.033,0.006,0.581,52.705,0.000,0.000,0.000,0.002,0.001,7.265
Br66_rep9_Dep6_Tu2,0.063,0.897,1.895,1.009,3.923,5.630,3.610,4.725,2.167,0.891,1.030,1.272,0.017,0.007,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.886,0.000,0.000,0.000,68.429,0.000,0.000,0.000,0.000,0.000,3.547
Br66_rep6_Dep6_Tu30,0.573,0.085,1.065,0.797,0.651,11.989,1.340,0.580,1.660,1.242,0.087,3.084,2.272,0.318,0.150,0.222,0.518,2.132,3.961,0.172,0.039,0.029,0.139,5.915,0.001,0.025,0.215,0.198,2.095,0.540,0.377,1.382,12.218,0.019,8.104,0.000,0.007,0.001,0.000,0.003,35.796
Br66_rep4_Dep6_Tu0.1,0.052,0.587,6.131,4.099,3.928,9.924,8.354,2.568,0.397,2.430,0.367,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,60.994,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep5_Dep6_Tu10,1.064,2.815,1.963,1.069,2.186,3.265,2.793,6.407,11.183,1.505,0.921,3.136,0.033,0.023,0.192,0.179,0.007,0.617,1.575,0.010,0.101,1.016,0.964,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.264,35.590,2.141,0.891,0.020,0.001,0.000,18.066
Br66_rep3_Dep6_Tu40,0.044,0.002,1.275,0.478,0.235,4.130,0.590,0.453,6.330,0.017,0.080,0.078,1.327,1.462,0.021,0.015,0.152,0.187,0.056,0.001,0.001,0.229,0.034,0.064,1.639,0.080,12.728,0.847,0.058,1.785,0.192,0.002,13.625,1.771,0.116,0.005,0.019,0.090,5.893,1.272,42.617
Br66_rep9_Dep6_Tu0.5,0.013,0.218,10.176,3.104,0.296,2.636,5.686,5.820,0.872,0.689,3.817,0.017,0.002,0.204,0.010,0.001,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,66.431,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep8_Dep6_Tu2,0.096,0.375,2.177,1.157,3.417,6.406,7.643,0.136,10.693,2.828,0.051,3.226,1.006,0.259,0.000,0.002,0.001,0.002,0.024,0.002,0.377,0.249,0.345,0.000,0.794,0.000,0.000,0.000,0.000,0.000,0.000,0.436,0.000,0.000,54.184,0.000,0.000,0.000,0.000,0.092,4.018
Br66_rep10_Dep6_Tu2,1.011,1.187,2.607,0.954,0.609,10.544,7.861,0.911,7.264,2.131,0.431,1.462,0.002,0.002,0.000,0.001,0.000,0.000,0.012,0.001,1.735,0.240,0.020,0.000,0.000,0.000,0.000,0.000,0.002,0.022,0.000,0.000,0.003,0.005,57.259,0.000,0.000,0.000,0.000,0.000,3.725
