Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Br66_rep4_Dep6_Tu50,51.283,0.000,0.000,0.121,3.813,0.000,1.544,0.000,0.000,8.520,8.867,0.000,25.851
Br66_rep3_Dep6_Tu0.5,0.000,0.000,0.000,0.000,8.694,0.000,4.250,0.000,1.317,9.141,15.630,3.410,57.558
Br66_rep2_Dep6_Tu3,0.390,0.000,0.000,0.000,14.591,0.000,1.304,1.228,0.000,15.189,8.240,3.619,55.438
Br66_rep6_Dep6_Tu40,38.223,0.224,0.000,1.903,5.800,0.000,0.000,0.000,0.000,8.637,7.308,2.122,35.783
Br66_rep9_Dep6_Tu0.1,0.000,0.000,0.000,0.000,14.164,0.000,4.563,0.000,0.810,12.157,10.080,4.827,53.399
Br66_rep9_Dep6_Tu5,4.467,0.000,0.000,1.599,7.613,0.540,3.923,0.000,1.832,14.664,10.846,1.870,52.645
Br66_rep10_Dep6_Tu1,0.091,0.462,1.260,1.001,10.528,0.000,0.052,0.000,0.825,10.097,12.908,5.160,57.618
Br66_rep6_Dep6_Tu20,22.805,0.000,0.000,0.269,3.634,0.000,0.854,0.000,3.921,8.907,8.767,2.620,48.223
Br66_rep10_Dep6_Tu30,31.970,0.000,0.000,3.134,0.000,0.000,0.000,0.000,1.500,8.942,13.596,0.000,40.858
Br66_rep10_Dep6_Tu5,2.121,0.000,0.000,0.000,13.495,0.000,1.768,0.000,0.467,15.900,12.504,2.888,50.858
Br66_rep7_Dep6_Tu1,0.000,0.428,0.000,0.000,8.052,0.000,3.455,0.000,0.000,11.501,12.846,0.548,63.171
Br66_rep6_Dep6_Tu0.3,0.000,0.000,0.000,0.000,7.562,0.000,4.720,0.000,1.390,9.274,15.658,3.469,57.927
Br66_rep1_Dep6_Tu30,29.152,0.000,0.000,4.645,8.642,0.000,0.980,0.000,0.000,7.742,6.474,2.598,39.766
Br66_rep3_Dep6_Tu1,0.000,0.000,0.000,0.000,9.363,0.000,2.342,0.000,0.225,9.293,14.117,4.507,60.154
Br66_rep3_Dep6_Tu30,40.221,0.000,0.000,0.000,3.026,0.000,0.000,0.000,0.000,9.689,6.113,0.000,40.951
Br66_rep9_Dep6_Tu1,0.000,0.000,0.000,0.000,14.322,0.000,3.998,0.000,0.000,10.118,10.625,0.990,59.947
Br66_rep9_Dep6_Tu40,38.876,0.000,0.000,3.712,3.089,0.000,0.000,3.567,0.000,7.943,7.605,0.000,35.208
Br66_rep5_Dep6_Tu1,1.095,0.000,0.944,0.000,7.031,1.467,3.514,0.000,1.521,13.894,13.240,2.746,54.547
Br66_rep2_Dep6_Tu5,4.107,0.000,0.000,1.463,9.520,0.000,1.264,0.000,0.000,11.460,9.107,3.992,59.088
Br66_rep5_Dep6_Tu30,30.551,0.000,0.000,0.000,5.240,0.000,0.000,0.000,0.000,17.091,5.338,0.000,41.780
Br66_rep7_Dep6_Tu50,41.818,6.592,0.000,6.271,0.639,0.000,0.000,0.000,0.000,11.186,6.308,0.000,27.187
Br66_rep4_Dep6_Tu40,41.417,0.000,0.000,3.340,3.211,0.000,0.000,0.000,0.000,11.884,9.403,1.009,29.736
Br66_rep8_Dep6_Tu5,6.754,0.000,0.000,0.000,8.476,0.000,2.992,0.000,0.898,11.555,8.078,5.004,56.243
Br66_rep9_Dep6_Tu2,0.000,0.606,0.000,0.241,10.515,0.000,3.606,0.000,0.000,16.206,11.233,0.167,57.426
Br66_rep6_Dep6_Tu30,31.976,0.000,0.000,2.704,13.834,0.000,0.435,0.000,2.245,2.440,5.910,3.524,36.931
Br66_rep4_Dep6_Tu0.1,0.088,0.000,0.000,0.000,5.055,0.000,2.685,0.000,0.000,16.366,11.234,0.000,64.572
Br66_rep5_Dep6_Tu10,8.459,0.000,0.000,0.000,9.193,0.000,5.579,0.000,1.150,12.841,10.255,0.679,51.844
Br66_rep3_Dep6_Tu40,37.825,3.127,0.000,2.178,6.108,0.000,1.481,0.000,0.000,4.778,5.966,4.208,34.330
Br66_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,16.552,0.000,1.234,0.000,0.000,11.150,11.090,3.620,56.354
Br66_rep8_Dep6_Tu2,1.590,0.000,0.000,0.000,9.884,0.000,4.556,0.000,0.000,11.410,11.024,3.324,58.212
Br66_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,12.879,0.000,2.996,0.000,0.000,13.594,11.853,1.512,57.166
Br66_rep6_Dep6_Tu0.1,0.000,0.000,0.000,0.000,10.938,0.000,2.351,0.000,1.800,14.136,12.013,0.464,58.298
Br66_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.000,7.649,0.000,3.944,0.000,0.000,11.954,7.049,3.174,66.230
Br66_rep2_Dep6_Tu20,28.035,0.000,0.000,0.000,8.306,0.000,2.817,0.570,0.000,9.990,4.180,0.000,46.101
Br66_rep4_Dep6_Tu0.5,0.000,0.000,0.000,0.000,11.299,0.000,7.380,0.000,0.000,9.739,5.013,4.055,62.515
Br66_rep4_Dep6_Tu5,3.191,0.000,0.000,0.000,18.616,0.000,1.773,0.000,0.191,10.316,11.821,4.376,49.716
Br66_rep8_Dep6_Tu0.5,0.000,0.000,0.000,0.000,11.135,0.000,5.590,0.000,0.000,11.937,8.554,0.000,62.784
Br66_rep5_Dep6_Tu20,25.107,0.000,0.000,2.028,7.400,0.000,5.422,0.000,0.459,2.126,7.213,2.672,47.572
Br66_rep1_Dep6_Tu3,5.102,0.000,1.740,0.698,0.000,0.000,4.120,0.000,1.267,13.734,10.976,2.357,60.006
Br66_rep10_Dep6_Tu10,11.855,0.000,1.724,0.000,2.719,0.000,2.914,0.000,0.197,11.810,10.132,4.047,54.603
Br66_rep3_Dep6_Tu10,9.449,0.000,0.000,0.000,2.739,0.000,1.425,1.223,0.000,17.922,9.579,0.000,57.664
Br66_rep10_Dep6_Tu40,31.003,0.000,2.470,2.372,12.080,0.000,4.186,0.000,3.326,8.490,2.348,0.000,33.725
Br66_rep1_Dep6_Tu50,51.846,0.000,0.000,7.246,0.000,0.000,0.000,0.000,0.000,3.449,5.521,0.000,31.938
Br66_rep10_Dep6_Tu0.5,0.000,0.000,0.000,0.000,9.119,0.000,5.357,0.000,0.000,13.380,10.691,1.656,59.796
Br66_rep1_Dep6_Tu0.3,0.000,3.180,0.000,0.000,4.047,0.000,3.515,0.183,0.000,13.858,10.759,1.717,62.741
Br66_rep10_Dep6_Tu0.1,0.000,0.000,1.275,0.000,5.007,0.000,4.758,0.000,0.214,13.063,9.408,4.914,61.363
Br66_rep8_Dep6_Tu40,34.328,0.000,0.000,6.469,12.164,0.000,1.117,0.000,0.000,8.325,4.962,0.450,32.185
Br66_rep3_Dep6_Tu20,22.545,0.044,0.000,2.403,2.289,0.000,0.950,0.000,0.000,9.645,11.562,2.217,48.344
Br66_rep9_Dep6_Tu0.3,0.000,0.841,0.000,0.000,4.993,0.000,1.740,0.000,0.000,13.902,14.145,1.185,63.194
Br66_rep7_Dep6_Tu0.3,0.000,0.000,0.000,0.000,7.877,0.000,0.678,0.000,0.000,15.133,11.855,2.820,61.638
Br66_rep5_Dep6_Tu2,2.125,0.000,0.000,0.000,12.288,0.000,1.354,0.000,2.669,8.033,10.299,5.367,57.866
Br66_rep5_Dep6_Tu0.3,0.000,0.000,0.000,0.000,12.622,0.512,3.003,0.000,1.311,9.856,13.218,5.092,54.387
Br66_rep6_Dep6_Tu5,4.839,0.000,0.000,0.000,5.272,1.562,3.876,0.000,0.000,14.892,7.981,1.766,59.812
Br66_rep5_Dep6_Tu3,0.921,0.000,0.000,0.724,8.997,0.000,1.957,0.000,0.000,14.072,10.255,4.667,58.406
Br66_rep1_Dep6_Tu5,2.935,0.000,0.000,0.000,9.184,0.000,3.817,0.000,1.189,11.865,11.779,2.288,56.943
Br66_rep6_Dep6_Tu10,6.132,0.000,6.369,0.654,9.117,0.000,1.495,0.000,0.000,7.986,12.456,4.952,50.840
Br66_rep3_Dep6_Tu5,4.536,0.000,0.000,2.932,8.160,0.000,3.986,0.000,0.000,11.543,6.323,2.673,59.845
