Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Br66_rep4_Dep6_Tu50,0.000,0.000,13.192,0.000,6.474,6.067,0.000,2.453,0.000,0.942,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.585,9.169,0.000,2.467,4.498,5.236,0.000,1.882,0.000,0.000,0.000,0.000,0.000,0.000,0.504,0.000,0.000,0.000,0.000,0.000,39.528,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep3_Dep6_Tu0.5,0.000,0.000,0.000,0.385,31.257,16.550,0.000,13.614,0.000,3.833,0.000,0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.607,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.650,0.000,0.000,0.000,0.000,0.000
Br66_rep2_Dep6_Tu3,0.000,0.000,0.000,9.837,25.380,20.929,0.000,6.435,0.000,2.707,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.707,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Br66_rep6_Dep6_Tu40,0.000,0.000,0.565,0.000,17.977,13.300,0.000,2.908,0.000,0.691,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.565,2.952,0.000,7.978,0.000,24.825,0.000,2.784,0.000,0.000,0.000,0.000,0.000,0.014,0.240,0.000,0.000,0.000,0.000,0.000,7.557,0.000,4.620,0.000,0.000,0.000,0.000,0.000
Br66_rep9_Dep6_Tu0.1,0.000,0.000,8.718,15.482,13.410,11.416,0.000,13.841,0.000,1.687,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.904,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.530,0.000,0.000,0.000,0.000,0.010
Br66_rep9_Dep6_Tu5,0.000,0.000,2.859,23.082,20.263,9.138,0.000,4.681,0.000,1.798,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.008,0.474,0.000,0.000,0.000,0.071,0.000,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.263,1.151,0.000,0.000,0.000,0.000
Br66_rep10_Dep6_Tu1,0.000,0.000,31.768,0.713,13.205,13.376,0.000,9.542,0.000,0.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.436,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.364,0.000,1.611,0.000,0.000,0.000
Br66_rep6_Dep6_Tu20,0.000,0.000,3.783,11.530,23.731,5.934,0.000,2.968,0.000,0.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.845,5.983,0.000,2.950,0.438,2.875,0.000,0.678,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.305,0.000,0.000,0.000,0.000,1.511,0.000,10.003,0.000,23.692,0.000,0.000,0.000
Br66_rep10_Dep6_Tu30,0.000,0.000,0.000,12.537,16.828,9.402,0.000,0.000,1.547,0.393,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.193,4.994,0.000,2.407,0.000,12.499,0.000,0.963,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.618,0.000,2.440,0.000,31.158,0.000,0.000,0.000
Br66_rep10_Dep6_Tu5,0.000,0.000,2.818,35.346,13.157,5.994,0.000,5.383,0.000,1.490,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.866,0.742,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.738,0.000,0.000,0.000,8.708,0.000,0.000,0.000,7.740,0.000
