Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Br66_rep4_Dep6_Tu50,2.645,77.300,0.007,0.001,0.079,0.001,0.004,0.004,0.008,0.007,0.128,0.005,19.811
Br66_rep3_Dep6_Tu0.5,0.000,0.000,0.000,0.000,49.737,0.000,0.001,0.114,0.006,0.021,2.595,0.002,47.523
Br66_rep2_Dep6_Tu3,0.000,0.295,0.000,0.000,53.487,0.000,0.004,0.029,0.007,0.042,1.436,0.024,44.677
Br66_rep6_Dep6_Tu40,0.468,66.436,0.010,0.025,6.930,0.000,0.001,0.008,0.005,0.035,0.795,0.008,25.280
Br66_rep9_Dep6_Tu0.1,0.000,0.000,0.000,0.000,50.480,0.000,0.001,0.199,0.071,0.027,2.089,0.028,47.104
Br66_rep9_Dep6_Tu5,0.000,5.216,0.000,0.000,50.475,0.000,0.007,0.074,0.025,0.018,1.222,0.003,42.958
Br66_rep10_Dep6_Tu1,0.000,0.007,0.000,0.000,50.165,0.000,0.001,0.171,0.036,0.028,0.964,0.010,48.618
Br66_rep6_Dep6_Tu20,0.078,32.618,0.030,0.069,29.974,0.000,0.007,0.065,0.052,0.035,0.408,0.037,36.626
Br66_rep10_Dep6_Tu30,0.863,47.371,0.003,0.018,19.568,0.000,0.024,0.069,0.034,0.086,0.821,0.024,31.119
Br66_rep10_Dep6_Tu5,0.001,3.736,0.002,0.001,49.779,0.000,0.020,0.110,0.262,0.054,1.365,0.010,44.661
Br66_rep7_Dep6_Tu1,0.000,0.000,0.000,0.000,51.697,0.000,0.000,0.020,0.005,0.004,0.861,0.001,47.410
Br66_rep6_Dep6_Tu0.3,0.000,0.000,0.000,0.000,49.457,0.000,0.001,0.055,0.041,0.019,2.595,0.001,47.832
Br66_rep1_Dep6_Tu30,0.088,51.601,0.006,0.000,16.618,0.000,0.014,0.047,0.028,0.028,0.370,0.012,31.189
Br66_rep3_Dep6_Tu1,0.000,0.001,0.000,0.000,50.756,0.000,0.002,0.047,0.003,0.010,1.692,0.018,47.470
Br66_rep3_Dep6_Tu30,0.363,49.910,0.002,0.002,18.476,0.000,0.002,0.044,0.011,0.019,0.538,0.022,30.610
Br66_rep9_Dep6_Tu1,0.000,0.000,0.000,0.000,51.496,0.000,0.003,0.094,0.053,0.034,1.703,0.003,46.616
Br66_rep9_Dep6_Tu40,0.533,67.774,0.012,0.012,4.650,0.000,0.003,0.045,0.023,0.028,0.275,0.016,26.630
Br66_rep5_Dep6_Tu1,0.000,0.001,0.000,0.000,52.416,0.000,0.001,0.034,0.013,0.008,1.669,0.004,45.855
Br66_rep2_Dep6_Tu5,0.000,3.095,0.000,0.000,49.508,0.000,0.003,0.235,0.019,0.219,0.767,0.014,46.140
Br66_rep5_Dep6_Tu30,0.192,48.279,0.004,0.002,19.957,0.000,0.022,0.106,0.107,0.142,1.210,0.036,29.943
Br66_rep7_Dep6_Tu50,2.568,76.699,0.003,0.012,0.662,0.014,0.000,0.003,0.006,0.009,0.358,0.002,19.665
Br66_rep4_Dep6_Tu40,0.424,65.559,0.009,0.007,8.249,0.000,0.011,0.033,0.005,0.061,0.675,0.006,24.963
Br66_rep8_Dep6_Tu5,0.003,4.604,0.000,0.000,49.267,0.000,0.006,0.292,0.021,0.007,0.947,0.054,44.799
Br66_rep9_Dep6_Tu2,0.000,0.049,0.000,0.000,53.578,0.000,0.000,0.007,0.017,0.002,0.471,0.000,45.875
Br66_rep6_Dep6_Tu30,0.108,49.000,0.001,0.000,18.535,0.001,0.015,0.209,0.362,0.007,1.097,0.024,30.641
Br66_rep4_Dep6_Tu0.1,0.000,0.000,0.000,0.000,49.353,0.000,0.002,0.005,0.003,0.015,1.578,0.044,49.001
Br66_rep5_Dep6_Tu10,0.001,15.330,0.006,0.000,40.022,0.000,0.001,0.098,0.080,0.029,1.658,0.005,42.771
Br66_rep3_Dep6_Tu40,1.296,67.420,0.039,0.051,3.851,0.000,0.002,0.019,0.011,0.016,0.350,0.003,26.942
Br66_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,51.371,0.000,0.000,0.050,0.010,0.001,0.791,0.001,47.777
Br66_rep8_Dep6_Tu2,0.000,0.264,0.000,0.000,51.620,0.000,0.004,0.035,0.058,0.010,1.975,0.021,46.012
Br66_rep10_Dep6_Tu2,0.000,0.235,0.000,0.000,50.837,0.000,0.013,0.020,0.076,0.007,1.539,0.060,47.213
Br66_rep6_Dep6_Tu0.1,0.000,0.000,0.000,0.000,50.169,0.000,0.007,0.095,0.042,0.054,1.630,0.006,47.997
Br66_rep5_Dep6_Tu0.5,0.000,0.001,0.000,0.000,51.258,0.000,0.000,0.033,0.004,0.007,0.976,0.002,47.720
Br66_rep2_Dep6_Tu20,0.155,33.419,0.004,0.000,29.510,0.000,0.008,0.195,0.124,0.004,0.774,0.026,35.781
Br66_rep4_Dep6_Tu0.5,0.000,0.000,0.000,0.000,50.734,0.000,0.001,0.091,0.039,0.053,1.470,0.004,47.607
Br66_rep4_Dep6_Tu5,0.000,3.949,0.000,0.000,50.676,0.000,0.001,0.318,0.101,0.081,2.061,0.010,42.802
Br66_rep8_Dep6_Tu0.5,0.000,0.000,0.000,0.000,51.108,0.000,0.002,0.079,0.116,0.006,0.815,0.020,47.854
Br66_rep5_Dep6_Tu20,0.470,30.969,0.000,0.000,29.843,0.000,0.037,0.120,0.109,0.047,2.078,0.220,36.107
Br66_rep1_Dep6_Tu3,0.000,0.709,0.000,0.000,51.623,0.000,0.004,0.140,0.018,0.012,2.355,0.027,45.112
Br66_rep10_Dep6_Tu10,0.000,13.418,0.021,0.000,43.511,0.000,0.005,0.075,0.024,0.058,1.403,0.059,41.425
Br66_rep3_Dep6_Tu10,0.001,12.292,0.000,0.000,43.366,0.000,0.023,0.241,0.202,0.037,1.194,0.331,42.313
Br66_rep10_Dep6_Tu40,0.634,65.912,0.011,0.044,5.409,0.000,0.001,0.024,0.110,0.149,0.212,0.048,27.448
Br66_rep1_Dep6_Tu50,3.029,77.897,0.016,0.046,0.037,0.000,0.001,0.001,0.003,0.002,0.065,0.000,18.901
Br66_rep10_Dep6_Tu0.5,0.000,0.000,0.000,0.000,50.381,0.000,0.011,0.117,0.024,0.015,1.496,0.001,47.955
Br66_rep1_Dep6_Tu0.3,0.000,0.000,0.000,0.000,50.564,0.000,0.002,0.081,0.009,0.009,2.551,0.015,46.770
Br66_rep10_Dep6_Tu0.1,0.000,0.000,0.000,0.000,50.213,0.000,0.000,0.018,0.034,0.002,2.053,0.038,47.641
Br66_rep8_Dep6_Tu40,0.254,67.270,0.040,0.000,7.360,0.000,0.015,0.006,0.003,0.016,0.107,0.001,24.930
Br66_rep3_Dep6_Tu20,0.043,30.378,0.000,0.000,32.588,0.000,0.005,0.053,0.018,0.031,0.987,0.023,35.873
Br66_rep9_Dep6_Tu0.3,0.000,0.000,0.000,0.000,50.369,0.000,0.002,0.029,0.011,0.005,1.543,0.022,48.019
Br66_rep7_Dep6_Tu0.3,0.000,0.000,0.000,0.000,49.952,0.000,0.000,0.020,0.007,0.015,1.258,0.001,48.746
Br66_rep5_Dep6_Tu2,0.000,0.065,0.000,0.000,51.137,0.000,0.001,0.045,0.255,0.040,1.354,0.009,47.092
Br66_rep5_Dep6_Tu0.3,0.000,0.000,0.000,0.000,50.829,0.000,0.000,0.229,0.013,0.039,2.130,0.012,46.748
Br66_rep6_Dep6_Tu5,0.013,4.591,0.000,0.001,48.766,0.000,0.006,0.135,0.010,0.044,1.196,0.016,45.221
Br66_rep5_Dep6_Tu3,0.000,1.092,0.000,0.000,51.377,0.000,0.003,0.150,0.007,0.004,0.876,0.009,46.482
Br66_rep1_Dep6_Tu5,0.000,2.584,0.000,0.009,52.187,0.000,0.014,0.030,0.204,0.047,1.173,0.004,43.746
Br66_rep6_Dep6_Tu10,0.001,14.229,0.012,0.000,42.708,0.000,0.003,0.032,0.048,0.029,1.316,0.012,41.610
Br66_rep3_Dep6_Tu5,0.000,4.623,0.000,0.000,50.969,0.000,0.007,0.036,0.070,0.073,0.642,0.011,43.569
Br66_rep1_Dep6_Tu1,0.000,0.001,0.000,0.000,50.621,0.000,0.003,0.075,0.024,0.080,1.906,0.111,47.180
Br66_rep4_Dep6_Tu30,0.066,49.601,0.003,0.001,20.047,0.000,0.042,0.018,0.031,0.030,0.787,0.016,29.358
Br66_rep8_Dep6_Tu20,0.007,31.694,0.010,0.000,31.642,0.000,0.001,0.066,0.039,0.037,0.380,0.038,36.086
Br66_rep4_Dep6_Tu10,0.001,14.418,0.000,0.000,42.511,0.000,0.002,0.009,0.010,0.003,1.623,0.000,41.424
