Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Br66_rep4_Dep6_Tu50,15.798,1.164,8.413,2.829,2.458,0.918,1.701,3.067,4.125,2.364,1.836,1.755,1.816,4.788,1.038,4.060,1.146,3.906,4.046,0.456,29.944,2.232,0.140
Br66_rep3_Dep6_Tu0.5,0.099,1.179,0.309,0.002,1.248,0.033,1.955,5.795,1.102,1.663,3.737,2.745,6.346,10.086,16.791,4.872,16.263,1.138,3.338,7.955,0.841,1.178,11.325
Br66_rep2_Dep6_Tu3,0.335,1.614,0.574,0.025,1.909,0.009,2.563,4.402,2.619,2.967,4.707,0.618,6.911,2.243,6.838,3.163,7.605,13.790,10.315,9.274,1.510,11.872,4.137
Br66_rep6_Dep6_Tu40,13.535,8.304,2.251,3.031,2.352,0.134,1.766,3.237,0.548,1.436,3.738,2.509,2.592,4.509,0.861,0.144,5.817,4.536,3.734,0.723,24.011,6.538,3.692
Br66_rep9_Dep6_Tu0.1,0.273,0.739,0.297,0.003,0.895,0.063,1.688,1.663,4.408,4.879,3.926,2.411,10.593,5.114,10.807,7.197,3.253,8.187,3.877,19.143,0.518,5.879,4.188
Br66_rep9_Dep6_Tu5,1.123,2.750,1.051,0.143,2.193,0.086,2.782,0.921,1.533,2.059,5.246,3.657,2.901,8.823,4.829,5.649,13.005,0.651,0.629,15.459,2.639,14.394,7.477
Br66_rep10_Dep6_Tu1,0.284,1.014,0.519,0.009,1.954,0.025,1.885,2.029,3.699,5.459,2.343,1.417,19.686,1.925,11.831,4.607,2.286,2.179,5.304,16.373,1.253,5.651,8.269
Br66_rep6_Dep6_Tu20,4.957,2.385,4.252,1.377,2.556,0.336,2.199,5.258,1.995,0.430,4.105,1.955,6.785,3.559,4.586,11.286,5.199,7.484,0.738,0.428,11.504,9.780,6.845
Br66_rep10_Dep6_Tu30,8.667,4.591,4.151,1.701,3.406,0.385,3.253,1.610,3.082,1.344,1.926,2.484,7.086,3.498,8.403,12.814,0.280,3.387,1.262,1.867,16.521,3.771,4.513
Br66_rep10_Dep6_Tu5,1.622,0.691,1.635,0.144,1.396,0.048,0.886,1.740,4.229,4.392,5.334,2.191,6.274,4.186,1.103,8.967,1.620,11.569,8.094,5.400,1.070,11.671,15.738
Br66_rep7_Dep6_Tu1,0.206,2.009,0.011,0.003,2.910,0.064,2.195,4.741,1.500,1.360,0.129,3.114,11.520,14.023,8.075,4.011,0.002,4.804,6.662,13.184,0.680,2.000,16.797
Br66_rep6_Dep6_Tu0.3,0.101,0.585,0.067,0.010,0.804,0.043,2.473,0.056,4.060,3.942,6.399,2.494,8.353,8.256,20.511,3.709,13.967,1.256,4.055,1.875,0.762,6.368,9.851
Br66_rep1_Dep6_Tu30,6.698,2.770,6.280,1.832,4.114,0.212,2.456,1.035,3.094,4.098,2.369,1.960,1.043,1.067,3.881,10.971,10.564,0.111,1.265,4.847,18.106,9.418,1.810
Br66_rep3_Dep6_Tu1,0.319,0.658,0.198,0.013,0.151,0.073,2.931,2.696,0.502,3.874,6.052,3.003,11.701,5.132,10.818,0.774,9.900,4.740,11.480,14.791,1.267,4.983,3.942
Br66_rep3_Dep6_Tu30,5.034,5.379,4.430,1.571,2.223,0.595,1.559,4.256,4.432,3.006,2.785,1.553,0.253,1.093,0.307,13.059,13.541,3.142,2.852,3.194,19.755,4.980,0.998
Br66_rep9_Dep6_Tu1,0.184,1.095,0.373,0.001,2.207,0.038,1.617,3.704,3.014,3.534,4.687,1.978,7.708,8.459,0.925,13.148,1.237,1.583,2.994,13.159,1.328,1.701,25.327
Br66_rep9_Dep6_Tu40,11.682,9.080,0.853,2.896,3.185,0.507,1.267,0.393,3.940,2.384,2.881,3.402,4.418,1.599,5.403,0.608,1.106,2.831,7.524,2.418,26.179,3.463,1.983
Br66_rep5_Dep6_Tu1,0.291,0.999,0.658,0.018,1.742,0.071,1.826,5.944,0.634,0.049,6.612,2.800,2.901,10.558,7.737,1.364,8.831,3.902,1.683,20.432,1.323,9.817,9.808
Br66_rep2_Dep6_Tu5,0.889,0.473,0.859,0.094,3.266,0.161,1.971,2.366,4.428,0.211,6.234,2.562,1.867,7.879,6.756,0.824,13.340,11.919,6.761,5.657,2.412,4.903,14.168
Br66_rep5_Dep6_Tu30,7.597,2.417,5.424,1.577,3.387,0.586,1.560,3.409,3.053,3.354,4.737,2.238,5.464,10.546,0.265,5.090,2.475,1.474,1.626,5.086,18.621,3.777,6.235
Br66_rep7_Dep6_Tu50,13.215,4.070,7.577,3.199,3.824,0.456,2.989,3.501,3.784,1.005,0.083,2.377,1.898,2.047,2.284,2.001,2.297,5.164,2.524,0.560,30.376,3.668,1.102
Br66_rep4_Dep6_Tu40,6.577,5.347,7.029,2.541,4.417,0.121,3.406,0.917,2.550,3.395,0.919,2.602,3.238,5.148,2.215,4.925,6.648,2.443,3.054,0.376,26.421,5.308,0.403
Br66_rep8_Dep6_Tu5,0.781,3.443,0.877,0.139,0.473,0.407,1.648,1.947,4.420,2.069,4.501,2.848,11.920,15.593,3.852,2.392,3.756,10.630,9.718,2.590,1.927,10.063,4.007
Br66_rep9_Dep6_Tu2,0.449,0.529,0.786,0.026,1.786,0.126,1.008,4.466,3.525,1.897,3.708,2.448,0.255,9.711,0.623,10.704,16.885,4.852,2.596,9.560,0.475,4.658,18.929
Br66_rep6_Dep6_Tu30,9.229,0.066,4.919,1.723,1.134,0.483,1.522,5.415,3.686,0.051,5.450,3.066,0.675,0.778,9.618,3.555,2.932,11.375,9.118,3.092,18.860,2.935,0.320
Br66_rep4_Dep6_Tu0.1,0.165,1.426,0.019,0.002,1.628,0.010,2.155,2.391,4.370,2.833,2.961,1.517,5.828,8.916,2.844,13.395,1.976,8.624,2.272,4.220,0.129,13.543,18.775
Br66_rep5_Dep6_Tu10,2.118,1.769,2.637,0.404,1.094,0.157,1.210,0.381,2.634,6.278,6.648,2.188,12.123,1.432,1.587,10.899,14.375,6.351,6.398,1.694,6.531,1.724,9.369
Br66_rep3_Dep6_Tu40,16.944,0.886,4.930,3.280,4.636,0.260,2.084,0.858,2.405,1.750,3.375,1.925,0.962,9.215,5.356,0.344,0.884,4.836,6.444,2.325,21.216,2.180,2.905
Br66_rep9_Dep6_Tu0.5,0.148,0.810,0.345,0.005,1.173,0.009,1.916,3.312,2.795,2.400,3.922,1.522,13.715,0.820,6.710,2.757,12.594,2.166,8.151,4.988,0.621,27.530,1.592
Br66_rep8_Dep6_Tu2,0.075,1.718,0.438,0.023,1.635,0.001,2.053,5.931,1.031,2.005,1.748,3.220,4.397,7.875,13.846,0.917,9.361,4.004,12.057,14.600,1.443,9.981,1.643
Br66_rep10_Dep6_Tu2,0.180,1.652,0.518,0.004,2.889,0.136,1.538,2.391,5.147,0.801,3.864,2.785,6.969,6.132,1.860,8.084,5.259,0.978,8.594,12.660,0.143,10.100,17.314
Br66_rep6_Dep6_Tu0.1,0.126,1.446,0.145,0.002,2.217,0.048,2.174,5.997,2.961,0.279,1.739,2.311,8.073,8.172,0.716,3.942,0.235,13.062,2.824,9.882,0.393,1.667,31.591
Br66_rep5_Dep6_Tu0.5,0.207,1.654,0.075,0.005,2.472,0.045,1.063,3.798,0.445,0.204,6.389,3.436,6.133,8.601,7.071,3.165,4.819,3.406,10.299,6.096,0.990,17.091,12.538
Br66_rep2_Dep6_Tu20,5.827,2.342,4.604,1.410,2.325,0.216,3.451,4.657,0.755,0.448,3.210,3.010,4.884,15.395,5.350,1.449,3.729,6.048,12.212,5.059,10.088,0.396,3.134
Br66_rep4_Dep6_Tu0.5,0.262,1.186,0.141,0.008,2.133,0.032,1.326,1.286,4.027,4.230,5.785,1.755,4.268,8.753,17.966,7.213,4.376,9.334,7.937,3.653,0.630,0.499,13.197
Br66_rep4_Dep6_Tu5,0.336,2.725,0.862,0.020,2.050,0.079,0.010,2.152,2.624,4.215,4.900,3.926,11.488,2.910,0.584,5.798,8.548,10.716,1.119,23.112,4.446,0.797,6.583
Br66_rep8_Dep6_Tu0.5,0.231,1.555,0.196,0.004,1.016,0.036,1.922,3.015,2.850,3.509,4.494,2.283,7.032,6.756,6.721,10.175,3.186,5.077,11.392,6.162,0.203,6.382,15.803
Br66_rep5_Dep6_Tu20,4.211,2.873,2.325,0.866,3.565,0.323,1.435,6.343,2.427,1.881,3.192,3.348,1.002,8.087,7.303,8.498,3.447,2.862,1.909,13.411,13.302,0.390,7.000
Br66_rep1_Dep6_Tu3,0.469,1.516,0.670,0.081,1.618,0.019,1.818,4.875,2.005,4.154,3.717,1.468,9.982,2.769,12.937,11.851,1.389,1.015,5.377,5.906,1.264,6.766,18.332
Br66_rep10_Dep6_Tu10,2.116,2.965,2.778,0.479,0.543,0.166,3.739,3.160,1.675,3.584,1.053,3.102,4.936,5.555,5.314,9.269,9.045,6.918,4.935,12.977,4.047,3.580,8.064
Br66_rep3_Dep6_Tu10,1.429,1.857,1.390,0.143,2.811,0.255,2.805,5.212,4.050,0.318,2.790,2.815,3.975,1.806,7.004,1.614,1.613,12.436,9.389,10.093,6.557,0.915,18.721
Br66_rep10_Dep6_Tu40,13.030,5.189,4.508,3.232,0.736,0.429,2.916,2.736,0.203,3.462,2.447,2.700,3.775,4.706,3.257,2.690,4.327,12.277,4.253,0.547,21.512,0.770,0.298
Br66_rep1_Dep6_Tu50,12.902,0.292,9.731,3.164,3.997,0.929,3.553,2.769,3.456,2.566,0.360,2.891,1.548,3.807,1.344,0.059,2.773,2.004,4.400,2.060,32.770,2.160,0.466
Br66_rep10_Dep6_Tu0.5,0.025,1.341,0.343,0.011,2.455,0.058,0.071,2.769,4.461,3.883,5.227,1.310,5.540,4.575,7.089,4.403,5.267,13.875,4.230,10.210,0.288,6.539,16.029
Br66_rep1_Dep6_Tu0.3,0.102,1.785,0.263,0.009,1.380,0.035,2.484,0.277,1.394,0.954,8.577,4.084,0.321,7.576,8.484,12.589,3.872,8.299,14.804,4.386,0.030,14.850,3.443
Br66_rep10_Dep6_Tu0.1,0.214,1.503,0.232,0.007,0.316,0.085,0.630,4.600,1.802,3.326,5.556,2.859,7.760,12.432,0.538,2.077,1.373,8.096,16.103,10.657,0.307,6.290,13.239
Br66_rep8_Dep6_Tu40,9.498,6.544,6.326,2.157,4.405,0.512,1.867,3.569,0.576,1.208,1.231,2.828,3.834,6.303,4.062,1.909,3.629,1.044,0.646,3.286,26.193,7.443,0.931
Br66_rep3_Dep6_Tu20,4.894,3.485,3.301,0.466,2.658,0.264,0.737,2.611,3.193,2.879,4.084,2.623,3.683,3.064,2.443,8.110,11.011,4.292,3.526,6.200,11.932,11.632,2.914
Br66_rep9_Dep6_Tu0.3,0.081,0.734,0.122,0.005,1.833,0.056,2.284,2.981,3.005,3.435,3.802,1.962,10.096,7.404,4.381,1.058,10.160,9.442,9.808,8.305,0.301,4.940,13.804
Br66_rep7_Dep6_Tu0.3,0.074,0.698,0.134,0.010,0.798,0.037,1.820,3.017,3.429,3.911,4.569,1.386,7.881,4.555,1.548,7.548,21.647,10.796,9.313,7.341,0.608,2.760,6.120
Br66_rep5_Dep6_Tu2,0.198,1.983,0.405,0.011,2.484,0.124,0.966,0.819,5.396,0.861,6.504,2.421,14.794,7.489,6.622,2.738,6.962,10.298,6.516,10.576,1.180,9.612,1.042
Br66_rep5_Dep6_Tu0.3,0.034,1.123,0.138,0.006,2.516,0.071,1.609,5.617,1.170,1.789,6.559,1.638,16.615,0.956,22.806,1.941,2.224,12.213,1.060,5.943,0.834,0.143,12.996
Br66_rep6_Dep6_Tu5,1.236,0.230,1.422,0.097,2.453,0.295,3.469,3.337,1.523,2.794,4.131,1.951,12.569,3.872,4.234,10.587,2.967,14.750,3.517,6.067,1.311,8.152,9.036
Br66_rep5_Dep6_Tu3,0.137,0.781,0.374,0.036,2.548,0.052,2.356,2.651,4.845,1.685,2.325,2.197,9.960,2.289,0.543,8.624,17.452,0.684,8.616,0.480,2.332,11.925,17.108
Br66_rep1_Dep6_Tu5,0.884,2.017,0.537,0.140,0.773,0.233,0.980,3.205,4.141,3.508,4.350,2.234,10.756,8.641,1.018,17.089,1.065,8.488,1.169,6.220,2.051,9.896,10.604
Br66_rep6_Dep6_Tu10,1.134,4.632,1.197,0.254,2.496,0.291,2.037,1.954,1.903,3.250,4.939,2.848,10.020,12.507,0.074,0.631,12.186,11.950,1.807,5.338,6.675,3.474,8.402
Br66_rep3_Dep6_Tu5,0.240,2.126,0.908,0.060,2.638,0.014,2.935,0.256,0.442,5.708,5.815,2.492,4.416,3.151,14.851,0.315,11.144,2.785,11.436,0.684,3.454,6.267,17.860
Br66_rep1_Dep6_Tu1,0.311,0.202,0.342,0.030,3.535,0.032,0.148,6.103,0.542,3.169,4.478,2.971,13.985,3.803,7.356,11.866,5.543,12.906,5.200,11.928,0.147,4.076,1.326
Br66_rep4_Dep6_Tu30,6.016,3.143,6.405,1.987,0.237,0.665,1.935,4.012,3.754,4.261,2.013,1.816,1.058,7.387,4.915,1.878,8.940,8.038,1.204,1.688,18.255,8.322,2.072
Br66_rep8_Dep6_Tu20,2.496,5.434,3.213,1.271,3.300,0.375,0.763,0.210,4.827,3.056,3.622,2.047,5.900,5.287,16.582,0.766,10.634,5.156,5.731,2.306,10.988,5.901,0.134
Br66_rep4_Dep6_Tu10,0.518,3.004,2.793,0.361,0.576,0.232,3.568,0.290,2.446,4.253,5.243,1.582,6.429,2.925,8.216,7.748,16.276,4.894,7.015,1.415,5.779,11.722,2.716
Br66_rep2_Dep6_Tu1,0.503,0.878,0.054,0.008,0.403,0.143,2.124,4.410,3.646,0.351,6.272,1.884,8.140,5.917,0.970,12.211,10.677,11.198,1.278,11.234,0.428,10.764,6.508
Br66_rep6_Dep6_Tu2,0.303,0.681,0.534,0.002,2.093,0.142,1.829,3.306,3.988,2.947,6.177,0.804,10.746,7.746,5.006,5.264,3.861,8.960,9.205,17.750,1.381,3.118,4.158
Br66_rep6_Dep6_Tu0.5,0.152,1.766,0.299,0.009,0.448,0.112,1.661,3.636,3.342,4.014,4.721,0.985,11.036,16.173,2.521,2.547,6.419,1.496,0.439,24.804,0.873,7.849,4.697
Br66_rep5_Dep6_Tu0.1,0.094,1.109,0.244,0.008,1.176,0.088,2.420,4.424,2.672,2.172,2.958,2.101,12.512,10.689,6.025,2.824,2.338,1.139,13.495,4.897,0.193,3.439,22.982
Br66_rep2_Dep6_Tu2,0.230,2.076,0.390,0.087,1.606,0.000,1.561,3.170,2.475,3.821,3.443,2.076,10.627,1.030,6.933,23.656,4.313,0.604,5.936,3.999,0.251,11.649,10.067
Br66_rep10_Dep6_Tu50,18.185,9.695,0.730,3.455,2.712,0.647,2.116,4.870,0.448,2.428,2.285,1.648,0.884,0.464,2.873,3.281,0.630,7.367,2.906,0.333,28.520,3.165,0.357
Br66_rep7_Dep6_Tu3,0.246,2.698,0.639,0.042,0.462,0.024,3.371,2.622,2.254,0.494,7.283,2.444,11.415,9.547,9.003,2.595,11.095,4.797,1.430,8.171,2.670,2.378,14.320
Br66_rep7_Dep6_Tu10,3.914,2.804,2.065,0.387,1.916,0.235,0.960,4.666,1.526,3.004,2.340,1.752,11.005,0.424,10.535,2.599,16.185,4.187,1.634,0.114,2.466,18.965,6.317
Br66_rep2_Dep6_Tu0.5,0.233,0.612,0.329,0.002,2.499,0.046,1.242,1.247,5.104,0.129,4.152,3.318,11.702,0.362,3.535,4.642,9.318,5.644,10.046,8.009,0.187,17.436,10.203
