Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Br66_rep4_Dep6_Tu50,4.588,0.000,55.100,0.000,0.005,0.000,0.002,0.058,0.008,0.025,0.708,0.007,8.059,31.439
Br66_rep3_Dep6_Tu0.5,0.000,0.324,0.000,0.000,0.272,0.000,0.082,1.652,1.146,1.457,4.230,0.169,19.528,71.140
Br66_rep2_Dep6_Tu3,0.015,0.922,0.946,0.097,1.374,0.001,0.492,1.237,0.259,1.736,2.813,0.606,17.231,72.271
Br66_rep6_Dep6_Tu40,2.022,0.005,45.940,0.064,0.045,0.000,0.001,0.075,0.008,0.129,1.329,0.019,7.542,42.821
Br66_rep9_Dep6_Tu0.1,0.000,0.289,0.000,0.000,0.090,0.000,0.237,1.640,2.123,1.278,3.440,0.511,19.424,70.968
Br66_rep9_Dep6_Tu5,0.051,0.930,5.288,0.145,0.507,0.000,0.216,1.073,1.088,1.046,2.572,0.120,16.083,70.882
Br66_rep10_Dep6_Tu1,0.000,1.511,0.001,0.000,0.133,0.000,0.262,0.727,1.832,2.195,1.923,0.188,21.618,69.610
Br66_rep6_Dep6_Tu20,1.232,0.058,23.814,0.237,0.253,0.000,0.099,0.187,0.942,0.249,1.127,0.256,14.876,56.672
Br66_rep10_Dep6_Tu30,3.110,0.016,32.769,0.049,0.080,0.000,0.096,0.449,0.668,0.201,1.558,0.014,12.037,48.953
Br66_rep10_Dep6_Tu5,0.972,0.354,3.737,0.142,0.388,0.001,0.388,1.036,2.390,0.954,2.577,0.124,18.730,68.208
Br66_rep7_Dep6_Tu1,0.000,0.636,0.000,0.000,0.344,0.000,0.393,0.770,0.497,2.045,2.098,0.192,18.036,74.987
Br66_rep6_Dep6_Tu0.3,0.000,0.225,0.000,0.000,0.179,0.000,0.170,1.694,0.989,1.481,4.180,0.213,19.811,71.059
Br66_rep1_Dep6_Tu30,0.959,0.014,36.803,0.001,0.087,0.000,0.045,0.164,0.278,0.162,0.963,0.188,12.095,48.241
Br66_rep3_Dep6_Tu1,0.001,0.449,0.001,0.000,0.434,0.000,0.510,1.705,0.199,1.219,3.292,0.657,19.315,72.219
Br66_rep3_Dep6_Tu30,2.092,0.013,34.848,0.018,0.136,0.000,0.038,0.295,0.109,0.128,1.195,0.104,10.420,50.603
Br66_rep9_Dep6_Tu1,0.000,0.602,0.000,0.000,0.460,0.000,0.903,1.611,0.497,2.163,3.039,0.267,18.435,72.023
Br66_rep9_Dep6_Tu40,2.413,0.004,46.360,0.038,0.080,0.000,0.013,0.269,0.047,0.011,0.543,0.039,10.176,40.007
Br66_rep5_Dep6_Tu1,0.000,0.758,0.002,0.000,0.931,0.000,0.374,1.289,1.101,0.837,3.292,0.216,16.998,74.201
Br66_rep2_Dep6_Tu5,0.225,0.995,3.661,0.004,0.246,0.004,0.145,1.449,1.199,2.627,1.498,0.161,20.761,67.026
Br66_rep5_Dep6_Tu30,1.673,0.034,34.254,0.018,0.310,0.000,0.093,0.841,0.333,0.458,2.064,0.156,11.589,48.177
Br66_rep7_Dep6_Tu50,4.881,0.001,53.742,0.006,0.031,0.009,0.003,0.008,0.036,0.045,0.961,0.009,6.436,33.833
Br66_rep4_Dep6_Tu40,2.174,0.000,45.207,0.017,0.012,0.000,0.028,0.172,0.019,0.232,1.064,0.037,6.879,44.159
Br66_rep8_Dep6_Tu5,1.720,0.445,3.786,0.001,0.892,0.005,0.094,1.292,1.469,0.567,2.123,0.528,19.281,67.798
Br66_rep9_Dep6_Tu2,0.005,1.285,0.244,0.000,0.344,0.000,0.276,1.211,0.169,2.016,1.433,0.421,16.459,76.138
Br66_rep6_Dep6_Tu30,1.261,0.001,34.591,0.000,0.032,0.024,0.033,1.015,0.735,0.310,1.666,0.041,11.229,49.063
