Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Cer77_rep9_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.304,0.000,67.692,31.003
Cer77_rep5_Dep6_Tu30,1.497,8.175,2.691,2.676,4.717,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.532,56.712
Cer77_rep3_Dep6_Tu30,0.889,6.602,2.802,2.260,9.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.256,56.142
Cer77_rep8_Dep6_Tu50,3.391,13.092,3.261,5.678,13.421,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.946,52.211
Cer77_rep1_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.977,0.000,70.772,26.250
Cer77_rep7_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.016,0.000,67.351,31.633
Cer77_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.491,0.000,69.927,29.582
Cer77_rep2_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.739,0.000,73.184,26.076
Cer77_rep3_Dep6_Tu20,0.244,3.605,2.421,1.120,4.331,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36.845,51.435
Cer77_rep1_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.357,0.000,72.036,27.606
Cer77_rep2_Dep6_Tu5,0.000,0.000,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,66.717,33.242
Cer77_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.473,0.000,74.294,25.232
Cer77_rep2_Dep6_Tu50,3.148,13.838,4.963,5.716,9.015,0.038,0.000,0.000,0.000,0.000,0.000,0.000,9.244,54.038
Cer77_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.494,0.000,72.985,26.520
Cer77_rep4_Dep6_Tu10,0.000,0.376,0.842,0.201,0.475,0.000,0.000,0.000,0.000,0.000,0.210,0.000,54.045,43.850
Cer77_rep9_Dep6_Tu20,0.278,3.538,1.582,1.124,2.565,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35.111,55.802
Cer77_rep3_Dep6_Tu10,0.000,0.444,0.429,0.186,0.187,0.000,0.000,0.000,0.000,0.000,0.000,0.000,54.671,44.082
Cer77_rep6_Dep6_Tu5,0.000,0.000,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.215,0.000,65.159,34.555
Cer77_rep5_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.312,0.000,72.021,26.666
Cer77_rep5_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.887,0.000,71.123,26.989
Cer77_rep4_Dep6_Tu50,3.648,14.282,3.552,4.476,12.079,0.086,0.000,0.000,0.000,0.000,0.000,0.000,8.935,52.942
Cer77_rep6_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.859,0.000,72.227,24.913
Cer77_rep4_Dep6_Tu40,2.253,12.840,3.125,4.042,8.113,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.465,55.161
Cer77_rep10_Dep6_Tu5,0.000,0.000,0.030,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.061,0.000,64.117,35.781
Cer77_rep3_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.667,0.000,72.021,26.311
Cer77_rep8_Dep6_Tu40,2.115,8.115,3.403,3.863,10.454,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.249,57.800
Cer77_rep7_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.418,0.000,73.316,26.265
Cer77_rep3_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.692,0.000,73.206,25.101
