Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Cer77_rep9_Dep6_Tu3,3.516,0.570,1.635,4.646,2.104,9.115,5.578,1.373,4.078,0.745,1.920,4.055,0.651,0.442,0.021,0.056,0.035,0.080,1.030,0.081,0.038,0.060,0.173,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.022,51.130,0.022,0.720,1.379,1.628,0.000,3.093
Cer77_rep5_Dep6_Tu30,2.067,0.729,0.186,1.658,0.055,6.012,1.254,0.619,0.139,0.250,0.104,0.104,0.005,0.001,0.078,0.206,0.062,0.293,0.020,0.172,0.002,0.004,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.551,0.000,0.003,20.225,0.184,0.000,4.429,34.224,0.708,24.640
Cer77_rep3_Dep6_Tu30,0.000,0.001,0.798,4.059,0.632,1.250,0.179,4.326,0.367,0.345,0.099,0.163,0.032,0.151,0.000,0.000,0.000,0.000,0.001,0.001,0.050,0.012,0.005,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.014,13.663,0.206,0.001,0.813,64.448,1.392,6.992
Cer77_rep8_Dep6_Tu50,0.000,0.000,0.000,0.001,0.000,0.014,0.004,0.002,0.004,0.000,0.000,0.007,0.020,0.015,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.742,0.002,0.000,0.000,0.001,0.000,11.614,28.144,0.001,59.393
Cer77_rep1_Dep6_Tu1,0.715,1.332,0.579,2.715,0.939,10.526,4.132,0.315,7.655,1.536,0.770,1.126,0.963,0.032,0.002,0.004,0.003,0.003,1.142,0.000,0.019,0.166,0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,65.206,0.004,0.002,0.000,0.000,0.000,0.002
Cer77_rep7_Dep6_Tu3,0.501,0.151,0.387,0.564,1.603,3.811,11.107,1.371,2.377,0.544,0.441,2.931,1.282,0.108,0.001,0.001,0.004,0.003,0.028,0.001,0.017,0.069,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,66.791,0.398,0.000,0.002,1.343,0.000,4.093
Cer77_rep10_Dep6_Tu2,0.067,0.197,1.477,0.557,2.493,9.323,5.638,2.276,3.138,0.770,0.944,1.708,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.088,0.006,0.001,0.000,0.320,0.000,0.000,0.000,0.023,0.204,0.039,0.000,0.000,62.813,0.048,0.000,0.010,0.262,0.000,7.598
Cer77_rep2_Dep6_Tu0.5,0.195,0.147,8.333,0.137,4.579,1.800,5.158,2.744,3.880,2.795,2.551,0.298,0.003,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.051,0.000,67.314,0.000,0.000,0.000,0.001,0.000,0.004
Cer77_rep3_Dep6_Tu20,0.267,1.494,0.999,2.420,1.492,8.160,2.661,1.620,1.591,1.806,0.004,0.697,0.000,0.000,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.152,0.000,0.000,0.404,0.001,0.000,0.000,0.000,0.000,0.000,27.205,0.025,0.000,4.145,32.635,0.204,12.013
Cer77_rep1_Dep6_Tu2,1.051,0.987,7.033,1.659,5.072,0.307,9.220,2.062,0.272,1.289,0.576,0.595,0.016,0.005,0.000,0.000,0.000,0.000,0.003,0.018,0.042,0.050,0.088,0.005,0.000,0.000,0.000,0.197,0.001,0.091,0.000,0.015,0.000,66.550,0.003,0.542,0.003,0.513,0.005,1.728
Cer77_rep2_Dep6_Tu5,1.191,2.774,7.072,0.036,4.470,0.271,1.511,1.098,12.701,0.128,0.338,1.009,0.019,0.005,0.000,0.000,0.000,0.000,0.009,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.050,53.798,0.000,0.000,6.126,0.321,0.000,7.069
Cer77_rep5_Dep6_Tu0.5,0.005,0.006,11.664,0.417,3.663,0.196,4.696,7.710,3.293,1.438,2.304,1.373,0.023,0.028,0.000,0.000,0.000,0.000,0.001,0.005,0.003,0.001,0.001,0.183,0.000,0.000,0.038,0.115,0.000,0.001,0.011,0.000,0.000,62.822,0.000,0.000,0.000,0.000,0.000,0.000
Cer77_rep2_Dep6_Tu50,0.027,0.035,0.175,0.482,0.793,1.584,0.659,1.433,0.369,0.050,0.003,0.174,0.043,0.013,0.120,0.036,0.022,0.161,0.035,0.003,0.009,0.002,0.001,0.000,0.746,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.216,0.302,0.004,0.000,16.704,73.775,0.006,2.017
Cer77_rep9_Dep6_Tu0.5,0.136,0.200,10.451,2.275,3.544,0.603,1.447,7.094,0.047,0.475,4.505,0.197,0.005,0.235,0.001,0.003,0.006,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,68.460,0.314,0.000,0.000,0.000,0.000,0.000
