Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Cer77_rep9_Dep6_Tu3,6.891,0.000,22.026,4.989,11.080,0.000,12.183,5.597,0.000,0.631,0.000,0.140,7.542,0.000,0.000,0.000,0.000,0.000,0.692,0.000,0.000,0.260,0.000,0.000,11.338,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.180,16.279,0.000,0.000,0.000,0.000,0.000,0.000,0.169
Cer77_rep5_Dep6_Tu30,2.416,0.000,25.971,22.319,0.000,0.000,0.000,1.592,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.186,0.000,0.352,0.000,0.000,0.000,0.000,0.000,0.267,21.371,0.241,0.000,0.000,9.210,0.000,0.000,0.000,0.000,16.074,0.000
Cer77_rep3_Dep6_Tu30,0.000,0.000,14.549,26.436,0.000,0.000,0.000,0.000,0.000,1.207,0.000,11.265,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.090,0.000,0.399,0.000,0.000,7.957,0.000,0.000,0.972,0.000,0.000,0.403,0.000,13.906,0.000,0.000,0.000,0.000,22.815,0.000
Cer77_rep8_Dep6_Tu50,0.000,0.000,5.257,12.605,0.000,0.000,0.172,0.000,0.000,6.005,0.000,0.000,0.000,1.543,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.830,0.287,0.000,0.000,0.000,0.596,6.929,0.935,0.000,18.999,0.000,0.000,15.623,0.000,0.000,0.000,0.000,25.216,0.000
Cer77_rep1_Dep6_Tu1,11.090,1.826,34.044,7.559,0.000,0.000,0.375,9.058,23.032,0.000,0.000,0.000,4.597,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.570,0.000,0.000,0.000,0.000,6.537,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.310,0.000,0.000,0.000,0.000,0.000,0.000
Cer77_rep7_Dep6_Tu3,8.951,0.000,20.728,16.750,0.000,0.000,2.056,8.619,39.376,1.041,0.000,0.000,0.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.806,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.069,0.000,1.491,0.000,0.000,0.000,0.000,0.000,0.000
Cer77_rep10_Dep6_Tu2,16.941,0.000,54.412,13.093,0.000,0.000,1.426,5.384,0.000,2.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.701,0.000,0.000,0.000,0.000,3.930,0.072,0.000,0.286,0.000,0.000,0.000,0.000,1.483,0.000,0.000,0.000,0.000,0.000,0.000
Cer77_rep2_Dep6_Tu0.5,9.556,2.541,8.387,8.600,0.000,0.000,1.310,11.297,1.642,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,46.769,0.000,9.441,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.453,0.000,0.000,0.000,0.000,0.000,0.000
Cer77_rep3_Dep6_Tu20,0.000,3.367,30.912,18.817,0.000,0.000,4.549,6.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.297,0.000,0.000,0.000,0.000,0.000,0.138,17.178,0.000,0.000,0.000,5.149,0.000,0.000,0.000,0.000,11.389,2.157
Cer77_rep1_Dep6_Tu2,11.846,1.926,4.613,13.215,0.000,0.000,4.424,7.430,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.859,0.000,15.586,0.000,0.000,0.000,0.000,0.000,0.000,0.286,1.814,0.000,0.000,0.000,0.000,0.000,0.000
