Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Cer77_rep9_Dep6_Tu3,0.097,0.045,4.559,2.860,2.677,0.913,9.616,11.380,3.990,1.285,1.060,0.228,0.008,0.014,0.470,0.087,0.802,0.107,0.114,0.203,0.001,0.002,0.012,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.460,54.333,0.008,0.080,4.585,0.000,0.001,0.000
Cer77_rep5_Dep6_Tu30,0.608,0.432,0.858,1.766,0.845,7.192,4.447,2.210,2.581,0.591,0.430,1.364,0.125,0.156,0.330,1.282,0.217,0.231,0.052,0.528,0.050,0.129,0.260,0.010,0.006,0.002,0.055,0.000,0.000,0.000,0.001,0.006,0.343,13.736,0.268,4.528,54.146,0.001,0.150,0.063
Cer77_rep3_Dep6_Tu30,0.031,0.041,1.652,1.637,0.146,2.099,10.845,2.918,2.555,0.790,0.227,0.379,0.000,0.003,0.233,0.233,0.081,0.365,0.120,0.453,0.041,0.080,0.039,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.005,12.411,0.007,11.221,51.375,0.002,0.005,0.003
Cer77_rep8_Dep6_Tu50,0.019,0.103,0.899,1.111,0.232,0.592,1.174,2.403,2.786,1.049,0.193,0.076,0.229,0.058,1.242,1.044,1.120,0.384,0.541,0.119,0.154,0.146,0.004,0.037,0.014,0.003,0.007,0.007,0.000,0.000,0.000,0.000,0.041,0.000,0.141,0.946,82.693,0.008,0.269,0.154
Cer77_rep1_Dep6_Tu1,0.220,0.071,6.116,3.303,4.078,0.091,13.139,9.173,2.017,1.066,1.017,0.661,0.044,0.144,0.029,0.238,0.241,0.157,0.109,0.147,0.003,0.002,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.245,57.655,0.005,0.000,0.000,0.000,0.000,0.000
Cer77_rep7_Dep6_Tu3,0.026,0.008,2.348,1.274,3.660,3.061,15.740,1.936,8.444,0.644,0.235,0.885,0.011,0.015,0.019,0.147,0.060,0.034,0.098,0.008,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.601,55.802,0.003,0.000,4.938,0.000,0.000,0.000
Cer77_rep10_Dep6_Tu2,0.023,0.000,1.416,3.869,5.369,0.227,16.776,9.062,2.551,0.713,0.611,0.225,0.042,0.096,0.037,0.050,0.019,0.055,0.032,0.013,0.004,0.035,0.072,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.033,54.747,0.026,0.037,3.798,0.001,0.001,0.000
Cer77_rep2_Dep6_Tu0.5,0.002,0.029,1.257,2.119,3.855,5.529,17.909,5.178,3.266,0.597,0.685,0.451,0.021,0.094,0.048,0.032,0.017,0.026,0.018,0.034,0.001,0.004,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,58.823,0.001,0.000,0.000,0.000,0.000,0.000
Cer77_rep3_Dep6_Tu20,0.033,0.003,2.777,2.080,3.448,0.403,10.531,6.337,0.803,0.339,0.373,0.670,0.009,0.010,0.099,0.340,0.407,0.142,0.014,0.251,0.006,0.008,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,26.421,0.020,8.872,35.576,0.000,0.001,0.009
Cer77_rep1_Dep6_Tu2,0.104,0.050,1.030,2.950,2.603,4.671,15.168,7.709,3.823,0.917,0.108,0.572,0.006,0.033,0.063,0.029,0.109,0.157,0.068,0.126,0.012,0.022,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,55.340,0.007,4.314,0.001,0.000,0.000,0.000
