Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Cer77_rep9_Dep6_Tu3,0.000,23.332,0.000,30.921,7.778,9.235,0.000,8.091,0.000,2.130,3.094,0.307,1.413,0.000,10.727,0.000,0.368,0.000,0.024,1.458,0.198,0.000,0.000,0.025,0.000,0.009,0.000,0.000,0.000,0.015,0.000,0.000,0.130,0.000,0.232,0.000,0.304,0.207,0.000,0.000
Cer77_rep5_Dep6_Tu30,0.000,0.000,0.000,0.854,6.002,22.093,0.000,1.633,0.000,3.663,0.000,0.599,0.000,1.504,0.000,0.000,10.323,0.000,0.426,0.000,0.000,0.666,0.000,1.841,0.044,0.000,0.000,0.787,0.000,0.491,0.000,7.564,6.437,0.000,4.326,0.000,0.781,4.194,22.373,3.397
Cer77_rep3_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,21.516,0.000,8.968,0.000,0.000,4.632,0.000,2.538,0.000,0.382,0.000,0.972,0.000,0.250,0.000,1.830,0.000,0.000,0.643,0.023,0.000,0.000,2.429,0.000,0.459,0.000,5.447,0.352,0.000,6.387,0.000,1.124,3.197,33.848,5.002
Cer77_rep8_Dep6_Tu50,0.000,0.000,0.000,0.000,0.000,19.532,0.000,0.000,0.000,0.000,1.289,0.154,0.000,2.496,0.000,0.000,0.000,0.000,0.141,0.000,0.000,5.499,0.000,0.717,0.070,0.000,0.000,5.175,0.000,0.829,0.000,15.980,0.000,0.000,5.073,0.000,1.710,7.042,23.279,11.011
Cer77_rep1_Dep6_Tu1,0.000,0.000,0.000,14.286,33.599,4.451,0.000,11.119,1.889,7.655,0.590,0.000,3.518,0.000,17.185,0.000,0.000,0.000,0.000,3.307,0.689,0.000,0.031,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.154,0.000,1.444,0.000,0.079,0.000,0.000,0.000
Cer77_rep7_Dep6_Tu3,0.000,0.000,2.253,14.649,19.530,5.222,0.000,3.845,21.642,6.847,0.063,0.000,1.095,0.000,12.576,0.000,0.000,0.000,0.315,2.688,0.000,0.000,0.033,0.034,0.018,0.000,0.000,0.000,0.000,0.045,0.020,0.000,7.896,0.000,1.122,0.000,0.105,0.000,0.000,0.000
Cer77_rep10_Dep6_Tu2,3.583,0.939,0.000,27.984,26.190,6.045,0.000,5.278,0.108,1.405,3.709,0.000,0.000,1.295,15.760,0.000,0.000,0.000,0.035,1.383,1.289,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.034,0.019,0.000,0.823,0.000,3.844,0.000,0.058,0.000,0.189,0.000
Cer77_rep2_Dep6_Tu0.5,0.000,0.000,4.806,40.411,12.361,6.521,0.000,2.747,0.000,2.328,1.674,0.000,0.125,1.390,7.354,0.126,0.000,0.000,0.000,0.151,1.143,0.000,17.887,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.210,0.000,0.695,0.002,0.016,0.000,0.053,0.000
Cer77_rep3_Dep6_Tu20,0.000,0.000,0.000,19.149,2.745,15.016,0.000,3.000,0.000,0.978,0.967,2.690,0.000,2.744,7.892,0.000,0.577,0.000,0.000,0.000,0.000,0.816,0.000,0.613,0.000,0.000,0.000,0.747,0.000,0.338,0.000,4.779,1.635,0.000,4.053,0.000,1.058,1.650,25.810,2.744
Cer77_rep1_Dep6_Tu2,0.000,2.476,0.000,43.955,7.107,3.763,0.000,6.446,0.000,1.325,2.233,0.106,0.000,0.522,8.487,0.000,0.000,0.177,0.000,0.413,10.244,0.000,10.369,0.087,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,1.544,0.017,0.029,0.292,0.179,0.225
Cer77_rep2_Dep6_Tu5,0.000,8.214,37.988,9.346,5.868,7.704,0.000,6.224,0.000,0.093,2.844,0.168,0.290,0.000,14.457,0.000,0.000,0.000,0.467,0.875,0.135,0.000,0.000,0.064,0.000,0.000,0.000,0.000,0.000,0.109,0.000,0.000,0.934,0.000,0.733,0.000,0.909,0.000,0.653,1.926
Cer77_rep5_Dep6_Tu0.5,0.000,0.657,0.000,52.155,0.000,3.294,0.000,8.134,0.047,2.787,0.334,0.807,0.369,0.012,8.141,0.000,0.000,0.542,0.000,0.000,1.383,0.000,17.370,0.000,0.000,0.172,0.000,0.000,0.000,0.000,0.000,0.000,2.860,0.000,0.903,0.000,0.001,0.000,0.000,0.030
Cer77_rep2_Dep6_Tu50,0.000,0.045,0.000,0.000,0.000,20.156,0.000,0.000,0.000,0.000,1.081,0.000,0.000,1.803,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.428,0.000,0.569,0.000,0.000,0.000,3.593,0.000,0.757,0.000,8.247,2.284,0.000,5.077,0.000,4.616,7.969,33.776,4.599
Cer77_rep9_Dep6_Tu0.5,0.000,0.000,0.000,46.000,6.223,6.133,0.982,4.167,0.288,0.446,0.568,4.443,0.000,0.229,4.547,0.000,0.000,1.963,0.000,0.000,0.180,0.000,13.955,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.416,0.000,0.422,0.000,0.036,0.000,0.000,0.000
Cer77_rep4_Dep6_Tu10,0.000,0.000,0.000,31.019,8.605,8.001,0.000,3.565,0.000,0.000,6.891,0.267,0.174,0.000,14.633,1.270,0.000,0.164,1.102,0.000,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.024,0.000,0.181,0.049,0.000,4.062,0.000,1.745,0.000,0.437,0.614,16.625,0.511
Cer77_rep9_Dep6_Tu20,0.000,0.000,0.000,5.539,28.784,9.480,0.000,1.769,0.000,1.322,0.000,3.607,0.000,2.983,2.531,0.000,2.053,0.535,0.000,0.000,1.686,0.000,0.000,0.741,0.007,0.000,0.000,0.249,0.098,0.352,0.000,4.098,1.956,0.000,3.182,0.000,0.444,3.145,22.088,3.351
Cer77_rep3_Dep6_Tu10,0.000,0.087,0.000,17.617,30.288,4.344,0.000,4.967,0.103,0.000,8.340,0.000,1.195,0.000,10.083,0.000,0.070,0.000,1.232,0.675,1.278,0.000,0.000,0.923,0.000,0.000,0.000,2.572,0.000,0.271,0.000,0.000,3.586,0.000,4.090,0.000,0.458,2.864,0.000,4.955
Cer77_rep6_Dep6_Tu5,0.000,0.000,0.000,12.449,41.411,6.054,0.000,5.153,0.000,3.120,0.000,0.000,0.000,0.279,11.874,0.000,0.000,0.000,0.000,6.165,3.188,0.000,0.000,0.056,0.000,0.000,0.000,0.000,0.000,0.067,0.000,0.000,3.945,0.000,2.209,0.000,0.151,1.409,0.000,2.469
Cer77_rep5_Dep6_Tu1,0.000,5.543,0.000,23.208,33.423,3.499,0.000,3.298,0.000,5.434,0.281,0.000,0.746,0.000,17.977,0.000,0.000,0.180,0.038,0.386,0.236,0.000,0.948,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.089,0.000,1.558,0.060,0.094,0.000,0.000,0.000
Cer77_rep5_Dep6_Tu0.3,0.764,0.966,0.000,15.711,21.001,2.203,0.000,5.938,24.439,6.155,0.000,0.000,0.187,0.000,13.738,0.000,0.000,0.000,0.472,3.208,0.000,0.000,1.468,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,3.167,0.000,0.549,0.000,0.028,0.000,0.000,0.000
Cer77_rep4_Dep6_Tu50,0.000,0.197,0.000,0.000,0.000,14.381,0.000,0.000,7.220,0.000,1.445,0.000,0.000,3.487,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.627,0.000,0.622,0.000,0.000,0.000,3.279,0.000,0.605,0.000,17.202,0.097,0.000,4.956,0.000,2.543,8.701,21.992,9.644
Cer77_rep6_Dep6_Tu0.3,0.000,24.751,0.000,36.654,6.483,5.901,0.000,7.286,0.000,3.063,1.169,2.213,0.838,0.000,7.096,0.000,0.134,0.743,0.125,0.159,0.161,0.000,2.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.219,0.000,0.143,0.000,0.041,0.000,0.000,0.000
Cer77_rep4_Dep6_Tu40,0.000,0.000,0.000,0.000,0.000,25.178,0.000,0.000,0.000,0.000,3.631,0.000,1.420,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.071,0.000,0.553,0.000,0.000,0.000,1.383,0.000,0.685,1.313,7.311,5.035,0.000,3.374,0.000,1.218,5.784,31.975,7.067
Cer77_rep10_Dep6_Tu5,1.091,0.000,0.974,13.743,39.877,3.773,0.000,3.835,0.000,2.122,2.810,0.000,0.270,0.000,15.437,0.061,0.000,0.000,0.000,1.752,5.798,0.000,0.000,0.506,0.000,0.000,0.000,0.000,0.000,0.147,0.000,0.000,1.251,0.000,4.116,0.000,0.435,0.000,0.000,1.998
Cer77_rep3_Dep6_Tu1,0.000,12.104,0.000,42.718,1.158,3.840,0.000,3.310,11.690,0.131,4.209,2.440,1.890,0.000,14.237,0.000,0.000,0.000,0.000,0.144,0.612,0.000,0.000,0.008,0.000,0.087,0.000,0.000,0.000,0.004,0.000,0.000,0.134,0.000,1.242,0.000,0.040,0.000,0.000,0.000
Cer77_rep8_Dep6_Tu40,0.000,0.000,0.000,0.000,0.000,22.912,0.000,0.000,0.852,0.000,1.457,0.634,0.000,1.404,0.000,3.757,0.000,0.000,1.614,0.000,0.000,0.444,0.000,0.733,0.033,0.000,0.000,0.590,0.000,0.579,0.000,7.876,0.000,0.000,7.725,0.000,2.362,7.217,28.415,11.394
Cer77_rep7_Dep6_Tu0.3,0.000,0.000,0.000,36.122,14.914,5.087,0.000,7.631,0.000,0.227,7.480,0.000,0.465,0.000,5.023,0.000,0.000,1.041,0.000,0.000,0.635,0.000,19.633,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,1.186,0.000,0.462,0.002,0.008,0.000,0.081,0.000
Cer77_rep3_Dep6_Tu0.1,0.000,0.000,0.000,41.368,3.257,3.116,0.000,3.059,17.395,3.457,0.000,2.744,3.042,0.000,17.973,0.230,0.000,0.000,0.000,0.000,0.539,0.000,2.188,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.786,0.000,0.819,0.000,0.006,0.000,0.000,0.000
Cer77_rep4_Dep6_Tu0.3,0.000,0.000,0.000,41.646,12.415,3.762,0.714,7.722,0.327,2.398,1.365,1.286,0.747,0.165,17.530,0.000,0.000,2.176,0.278,0.162,1.315,0.000,3.506,0.000,0.000,0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.393,0.000,0.029,0.000,0.000,0.000
Cer77_rep6_Dep6_Tu2,0.000,0.000,0.000,19.226,28.402,3.675,0.000,11.185,0.000,7.585,0.000,1.598,2.665,0.000,11.406,0.000,0.000,0.000,1.357,1.813,0.000,0.000,0.175,0.022,0.000,0.000,0.000,0.000,0.000,0.056,0.000,0.000,10.034,0.000,0.670,0.000,0.098,0.000,0.000,0.029
Cer77_rep6_Dep6_Tu20,0.000,0.000,0.000,9.895,0.000,18.862,0.000,10.682,0.000,4.181,0.000,0.666,0.000,2.830,3.189,0.000,0.063,0.240,1.812,0.000,1.634,0.000,0.000,0.464,0.000,0.000,0.000,0.333,0.000,0.425,0.000,5.732,9.458,0.000,3.313,0.000,0.234,5.627,18.288,2.072
Cer77_rep9_Dep6_Tu40,0.000,1.071,0.000,0.000,1.987,18.723,0.000,2.006,3.160,0.000,0.866,2.656,0.000,1.482,0.000,0.234,0.000,0.000,0.000,0.000,0.000,7.147,0.000,1.080,0.000,0.000,0.000,0.350,0.000,0.702,0.000,10.280,0.373,0.000,5.109,0.000,3.427,4.370,31.083,3.894
Cer77_rep6_Dep6_Tu40,0.000,0.259,0.000,0.000,0.000,17.508,0.000,8.109,0.000,0.000,3.051,0.000,2.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.512,0.000,0.388,0.199,0.000,0.000,3.537,0.000,0.625,0.000,8.311,0.000,0.000,7.848,0.000,2.752,4.882,31.394,6.923
Cer77_rep8_Dep6_Tu5,0.000,5.114,0.000,12.157,28.188,6.906,0.000,7.651,7.707,6.135,0.000,0.000,1.475,0.000,10.088,0.000,0.054,0.000,0.759,2.387,0.000,0.000,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.077,0.000,0.000,8.170,0.000,2.233,0.000,0.315,0.046,0.000,0.447
Cer77_rep5_Dep6_Tu50,0.000,0.000,0.000,0.000,0.000,19.600,0.000,0.000,0.000,0.000,0.393,3.884,0.000,2.501,0.000,0.000,0.000,0.000,2.020,0.000,0.000,0.000,0.000,1.184,0.000,0.000,0.000,1.080,0.000,0.757,0.000,11.357,0.116,0.000,6.685,0.000,1.681,6.516,35.199,7.025
Cer77_rep1_Dep6_Tu30,0.000,0.000,1.293,3.584,0.237,24.972,0.000,1.072,0.000,0.000,2.490,0.045,0.000,2.500,1.887,0.000,0.624,0.000,0.000,0.000,5.665,0.000,0.000,0.547,0.000,0.000,0.000,1.543,0.000,0.484,0.000,7.131,0.374,0.000,7.728,0.000,0.943,2.394,29.840,4.647
Cer77_rep2_Dep6_Tu20,0.000,0.288,0.000,5.891,30.452,8.144,0.000,1.626,0.000,0.000,2.514,0.369,0.000,2.373,5.311,0.760,0.000,0.102,1.963,0.000,0.883,0.000,0.000,0.517,0.000,0.000,0.000,1.224,0.000,0.476,0.000,0.000,0.875,0.000,3.339,0.000,0.015,4.595,23.482,4.801
Cer77_rep4_Dep6_Tu0.5,0.000,3.888,0.000,14.738,26.818,1.594,0.000,5.873,21.578,3.792,0.897,0.188,0.308,0.000,16.570,0.000,0.000,0.000,0.000,1.728,0.412,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,1.048,0.000,0.498,0.000,0.036,0.000,0.000,0.000
Cer77_rep2_Dep6_Tu40,0.000,0.000,0.000,0.000,0.658,11.820,0.000,2.189,14.874,1.720,0.985,0.461,0.000,3.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.382,0.000,0.455,0.000,0.000,0.000,1.919,0.000,0.600,0.000,16.619,0.000,0.000,4.782,0.000,1.010,7.521,20.122,8.774
Cer77_rep8_Dep6_Tu30,0.000,0.000,0.000,11.628,1.907,12.447,0.000,6.071,0.000,0.046,2.288,0.546,0.000,1.299,0.703,0.613,0.109,0.000,0.000,0.000,6.526,0.000,0.000,0.733,0.067,0.000,0.000,0.556,0.000,0.404,0.000,7.406,0.000,0.000,6.523,0.000,0.619,8.774,28.505,2.226
Cer77_rep3_Dep6_Tu40,0.000,0.000,0.000,0.000,0.000,23.402,0.000,1.454,0.000,0.000,2.897,0.000,0.000,2.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.132,0.000,1.680,0.000,0.000,0.000,1.089,0.000,0.668,0.000,14.099,0.000,0.000,6.156,0.000,1.198,3.793,31.214,4.092
Cer77_rep4_Dep6_Tu0.1,0.000,0.000,0.000,22.133,42.143,2.161,0.210,2.697,0.100,0.000,8.130,0.000,0.399,0.324,11.363,0.000,0.026,0.000,0.000,1.270,2.083,0.000,5.599,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.324,0.000,0.004,0.000,0.000,0.000
Cer77_rep2_Dep6_Tu1,0.000,0.000,0.000,29.525,19.820,5.905,0.000,8.208,0.000,5.683,0.000,0.717,1.707,0.000,5.131,0.015,0.000,0.000,0.000,1.523,0.351,0.000,19.390,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.098,0.000,0.000,0.000,1.769,0.000,0.055,0.000,0.000,0.098
Cer77_rep3_Dep6_Tu3,0.000,0.000,0.000,25.835,19.247,9.592,0.000,4.690,2.537,1.769,2.512,0.000,0.000,0.156,3.202,0.062,0.000,0.000,1.069,4.653,0.000,0.000,20.111,0.082,0.000,0.000,0.000,0.000,0.000,0.018,0.000,0.000,0.244,0.000,1.701,0.000,0.694,0.000,1.131,0.691
Cer77_rep2_Dep6_Tu30,0.000,0.000,0.000,7.631,4.637,14.849,0.000,2.435,0.076,0.000,0.000,10.177,0.000,2.500,0.910,0.200,0.000,0.000,0.143,0.000,1.636,0.011,0.000,0.583,0.000,0.000,0.000,3.533,0.000,0.467,0.000,8.955,1.157,0.000,5.313,0.000,0.678,4.026,27.848,2.235
Cer77_rep9_Dep6_Tu30,0.000,0.000,0.000,4.812,2.203,17.987,0.000,5.065,0.000,0.000,5.574,0.000,6.436,0.000,1.345,0.000,0.000,0.000,0.113,0.000,0.000,1.694,0.000,0.717,0.000,0.000,0.000,0.134,0.000,0.434,4.556,8.538,1.030,0.000,8.202,0.000,2.589,2.172,23.207,3.191
Cer77_rep7_Dep6_Tu20,0.000,0.000,0.000,19.757,4.823,13.449,0.000,2.663,0.080,0.287,0.000,6.589,0.000,1.520,1.789,2.863,0.000,0.000,0.000,0.000,0.837,0.329,0.000,0.138,0.000,0.000,0.000,0.059,0.000,0.287,4.111,2.992,10.381,0.000,3.278,0.000,3.214,0.918,18.267,1.369
Cer77_rep6_Dep6_Tu1,0.000,2.340,0.334,40.218,16.829,2.823,0.000,5.127,0.081,2.384,0.000,4.486,0.000,0.982,17.282,0.222,0.000,0.000,0.000,0.195,1.251,0.000,0.981,0.030,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,3.861,0.000,0.417,0.000,0.028,0.000,0.126,0.000
Cer77_rep7_Dep6_Tu50,0.000,0.080,0.000,0.000,0.000,17.157,0.000,0.000,1.026,0.269,0.000,3.997,0.000,1.372,0.000,0.000,1.275,0.000,1.318,0.000,0.000,0.000,0.000,1.781,0.000,0.000,0.000,0.724,0.000,1.021,0.000,12.154,0.000,0.000,6.517,0.000,2.022,10.297,19.647,19.341
Cer77_rep3_Dep6_Tu5,3.098,0.196,0.000,38.329,11.749,7.012,0.787,2.824,0.390,1.684,1.104,2.893,1.182,0.000,15.013,0.000,0.000,0.245,0.941,0.430,0.000,0.000,0.000,0.061,0.000,0.000,0.000,0.000,0.000,0.076,0.000,0.000,7.917,0.000,1.993,0.039,0.160,0.431,1.446,0.000
Cer77_rep8_Dep6_Tu0.5,0.000,0.010,0.000,18.125,43.261,3.480,0.000,3.756,0.000,2.333,0.000,1.224,0.000,0.542,3.077,0.149,0.000,0.000,0.458,1.860,0.458,0.000,19.852,0.016,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.407,0.000,0.875,0.000,0.114,0.000,0.000,0.000
Cer77_rep9_Dep6_Tu0.3,0.000,0.000,0.000,41.432,7.567,6.731,0.075,6.722,0.000,2.352,0.000,3.055,0.000,1.053,5.112,0.000,0.000,0.237,0.000,0.000,1.522,0.000,23.423,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.607,0.000,0.011,0.000,0.000,0.000
Cer77_rep6_Dep6_Tu0.5,0.000,0.000,0.000,14.015,34.597,3.920,0.000,11.749,1.327,7.857,0.236,0.000,2.219,0.000,16.480,0.000,0.000,0.000,0.000,5.077,0.574,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.865,0.000,0.079,0.000,0.000,0.000
Cer77_rep7_Dep6_Tu1,0.000,0.000,0.000,54.506,2.152,4.022,0.000,4.810,0.047,2.317,1.048,1.397,0.315,0.254,17.756,0.000,0.000,1.250,0.000,0.000,1.820,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.001,0.000,0.000,6.848,0.000,1.239,0.000,0.036,0.000,0.000,0.013
Cer77_rep5_Dep6_Tu3,0.000,0.000,0.000,43.745,8.436,5.661,0.000,4.240,0.000,0.860,0.604,3.927,0.000,0.332,4.055,0.653,0.000,0.517,0.284,0.000,0.366,0.000,15.819,0.037,0.000,0.000,0.000,0.000,0.000,0.047,0.000,0.000,8.867,0.000,0.970,0.000,0.065,0.311,0.203,0.000
Cer77_rep10_Dep6_Tu3,0.000,9.837,0.000,28.733,18.386,4.194,0.000,9.572,0.000,1.724,2.954,0.000,0.415,0.000,14.591,0.000,0.165,0.000,0.385,1.508,0.518,0.000,4.756,0.051,0.000,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.798,0.000,1.162,0.000,0.054,0.021,0.040,0.104
