Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Cer77_rep9_Dep6_Tu3,0.000,0.000,0.000,9.241,0.341,9.662,0.000,0.000,38.273,10.456,0.702,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,2.982,0.000,0.301,0.000,0.000,0.000,28.030
Cer77_rep5_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,26.928,0.000,0.000,0.296,0.321,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.188,0.000,0.000,0.000,0.600,0.000,1.037,25.353,0.000,0.000,2.568,0.000,0.000,1.077,10.388,0.000,4.528,25.714
Cer77_rep3_Dep6_Tu30,0.000,0.000,0.000,2.368,0.000,27.365,0.000,0.000,0.000,0.000,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.337,0.000,0.000,0.000,2.210,0.000,1.171,0.000,0.000,0.000,5.329,0.000,0.000,1.934,12.206,0.000,25.945,20.999
Cer77_rep8_Dep6_Tu50,0.000,0.000,0.000,0.000,0.000,17.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.504,0.000,0.000,0.000,2.837,0.000,1.174,43.767,0.000,0.000,5.559,0.000,0.000,1.904,5.844,0.000,8.026,12.944
Cer77_rep1_Dep6_Tu1,0.000,0.000,0.000,21.850,26.997,4.543,0.000,0.000,14.378,7.206,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.023
Cer77_rep7_Dep6_Tu3,0.000,0.000,2.496,3.916,15.331,6.229,0.000,23.067,16.784,2.804,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.000,0.000,0.012,0.000,0.000,0.000,0.062,0.000,0.000,0.000,29.258
Cer77_rep10_Dep6_Tu2,0.000,0.000,0.000,8.256,18.299,9.257,0.000,0.000,31.051,1.407,0.382,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,31.306
Cer77_rep2_Dep6_Tu0.5,0.000,0.000,2.078,3.135,4.239,7.243,0.000,0.000,53.071,2.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.130
Cer77_rep3_Dep6_Tu20,0.000,0.000,0.000,1.293,0.000,25.389,0.000,0.000,13.130,0.171,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.215,0.000,0.000,0.000,0.403,0.000,0.567,12.701,0.000,14.491,0.182,0.000,0.000,2.139,3.621,0.000,3.487,22.209
Cer77_rep1_Dep6_Tu2,0.000,0.000,0.000,7.107,1.193,4.872,0.000,0.000,51.356,0.963,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.009,0.000,0.057,0.019,0.000,0.000,34.418
