Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Cer77_rep9_Dep6_Tu3,0.000,3.042,1.365,0.000,44.435,0.000,0.001,0.637,0.134,0.002,2.665,0.019,47.700
Cer77_rep5_Dep6_Tu30,0.000,5.099,55.046,0.000,9.539,0.000,0.105,1.638,0.547,0.428,2.089,0.067,25.442
Cer77_rep3_Dep6_Tu30,0.001,1.795,60.047,0.000,9.923,0.000,0.125,0.253,0.572,0.103,1.819,0.060,25.303
Cer77_rep8_Dep6_Tu50,0.001,0.947,82.199,0.000,0.011,0.000,0.043,3.100,0.454,0.098,1.484,0.125,11.539
Cer77_rep1_Dep6_Tu1,0.000,1.949,0.000,0.000,43.684,0.000,0.000,0.055,0.239,0.072,3.218,0.081,50.702
Cer77_rep7_Dep6_Tu3,0.000,7.628,0.000,0.000,41.199,0.000,0.000,0.017,0.032,0.013,1.823,0.001,49.286
Cer77_rep10_Dep6_Tu2,0.000,3.692,0.256,0.000,43.523,0.000,0.007,0.027,0.010,0.007,1.612,0.031,50.835
Cer77_rep2_Dep6_Tu0.5,0.000,0.003,0.000,0.000,47.490,0.000,0.000,0.059,0.011,0.004,1.883,0.018,50.530
Cer77_rep3_Dep6_Tu20,0.000,0.319,42.208,0.000,23.351,0.000,0.008,0.606,0.139,0.070,1.450,0.008,31.841
Cer77_rep1_Dep6_Tu2,0.000,2.130,0.142,0.000,47.690,0.000,0.009,0.082,0.033,0.072,1.486,0.012,48.344
Cer77_rep2_Dep6_Tu5,0.000,5.506,4.384,0.001,40.699,0.000,0.001,0.159,0.068,0.112,0.916,0.002,48.152
Cer77_rep5_Dep6_Tu0.5,0.000,0.029,0.000,0.000,47.180,0.000,0.001,0.047,0.009,0.002,1.494,0.007,51.231
Cer77_rep2_Dep6_Tu50,0.003,0.050,84.866,0.000,0.222,0.000,0.133,1.618,0.095,0.077,0.862,0.042,12.031
Cer77_rep9_Dep6_Tu0.5,0.000,0.016,0.000,0.000,47.791,0.000,0.000,0.030,0.006,0.002,1.109,0.001,51.045
Cer77_rep4_Dep6_Tu10,0.000,0.640,20.256,0.000,34.961,0.000,0.012,0.289,0.033,0.052,2.909,0.001,40.846
Cer77_rep9_Dep6_Tu20,0.000,8.085,37.805,0.000,17.282,0.000,0.014,0.483,0.411,0.024,1.852,0.004,34.040
Cer77_rep3_Dep6_Tu10,0.000,9.981,14.018,0.000,31.301,0.000,0.035,0.036,0.009,0.046,1.199,0.077,43.297
Cer77_rep6_Dep6_Tu5,0.000,11.651,1.059,0.000,37.465,0.000,0.000,0.047,0.007,0.010,1.355,0.004,48.402
Cer77_rep5_Dep6_Tu1,0.000,0.903,0.000,0.000,46.909,0.000,0.000,0.014,0.006,0.018,2.380,0.007,49.763
Cer77_rep5_Dep6_Tu0.3,0.000,0.699,0.000,0.000,44.674,0.000,0.000,0.110,0.080,0.033,3.278,0.007,51.118
Cer77_rep4_Dep6_Tu50,0.064,0.655,82.368,0.000,0.043,0.000,0.092,2.330,0.767,0.383,1.140,0.062,12.095
