Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Cer77_rep9_Dep6_Tu3,0.000,0.000,0.000,0.000,0.322,0.431,20.715,0.000,0.000,0.000,15.688,62.843,0.000,0.000
Cer77_rep5_Dep6_Tu30,0.000,0.000,0.000,0.887,10.076,16.686,27.093,0.000,0.000,0.000,0.093,24.152,4.137,16.877
Cer77_rep3_Dep6_Tu30,0.000,0.000,0.000,0.734,4.571,26.689,21.918,0.000,0.000,0.000,0.072,23.916,1.559,20.542
Cer77_rep8_Dep6_Tu50,0.000,0.000,0.000,1.269,7.236,30.309,21.121,0.000,0.000,0.000,0.000,11.034,8.090,20.940
Cer77_rep1_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,25.462,0.000,0.000,0.000,15.409,59.128,0.000,0.000
Cer77_rep7_Dep6_Tu3,0.000,0.000,0.000,0.022,0.015,0.000,28.419,0.000,0.000,0.000,15.294,56.249,0.000,0.000
Cer77_rep10_Dep6_Tu2,0.000,0.000,0.000,0.010,0.000,0.000,29.341,0.000,0.000,0.000,6.515,64.133,0.000,0.000
Cer77_rep2_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,26.727,0.000,0.000,0.000,2.701,70.571,0.000,0.000
Cer77_rep3_Dep6_Tu20,0.000,0.000,0.000,0.604,8.561,20.263,24.262,0.000,0.000,0.000,0.185,34.704,0.224,11.196
Cer77_rep1_Dep6_Tu2,0.000,0.000,0.000,0.000,0.007,0.000,29.068,0.000,0.000,0.000,2.237,68.688,0.000,0.000
Cer77_rep2_Dep6_Tu5,0.000,0.000,0.000,0.178,2.084,0.007,26.122,0.000,0.000,0.000,7.534,63.997,0.000,0.078
Cer77_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,26.726,0.000,0.000,0.000,2.358,70.915,0.000,0.000
Cer77_rep2_Dep6_Tu50,0.000,0.000,0.000,1.194,19.886,24.885,22.173,0.000,0.000,0.000,0.000,13.581,5.598,12.683
Cer77_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,27.325,0.000,0.000,0.000,1.744,70.930,0.000,0.000
Cer77_rep4_Dep6_Tu10,0.000,0.000,0.000,0.237,8.931,0.000,29.748,0.000,0.000,0.000,1.432,52.458,0.000,7.193
Cer77_rep9_Dep6_Tu20,0.000,0.000,0.000,0.644,6.568,9.784,29.157,0.000,0.000,0.000,0.352,33.424,0.196,19.876
Cer77_rep3_Dep6_Tu10,0.000,0.000,0.000,0.329,5.382,7.957,33.766,0.000,0.000,0.000,1.628,49.559,0.000,1.377
Cer77_rep6_Dep6_Tu5,0.000,0.000,0.000,0.070,1.846,0.000,36.282,0.000,0.000,0.000,1.141,60.661,0.000,0.000
Cer77_rep5_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,27.567,0.000,0.000,0.000,10.838,61.594,0.000,0.000
Cer77_rep5_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,26.173,0.000,0.000,0.000,15.279,58.547,0.000,0.000
Cer77_rep4_Dep6_Tu50,0.000,0.000,0.000,0.975,11.245,28.931,23.897,0.000,0.000,0.000,0.000,11.115,2.136,21.699
Cer77_rep6_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,17.614,0.000,0.000,0.000,17.040,65.345,0.000,0.000
Cer77_rep4_Dep6_Tu40,0.000,0.000,0.000,1.107,9.992,22.555,21.744,0.000,0.000,0.000,0.000,19.091,1.907,23.605
Cer77_rep10_Dep6_Tu5,0.000,0.000,0.000,0.159,0.062,0.000,38.034,0.000,0.000,0.000,1.297,60.448,0.000,0.000
Cer77_rep3_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,19.734,0.000,0.000,0.000,15.236,65.029,0.000,0.000
Cer77_rep8_Dep6_Tu40,0.000,0.000,0.000,0.704,14.839,25.475,24.383,0.000,0.000,0.000,0.000,18.005,1.038,15.555
Cer77_rep7_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,27.998,0.000,0.000,0.000,2.691,69.311,0.000,0.000
Cer77_rep3_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,18.974,0.000,0.000,0.000,15.618,65.407,0.000,0.000
Cer77_rep4_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,25.969,0.000,0.000,0.000,6.840,67.190,0.000,0.000
Cer77_rep6_Dep6_Tu2,0.000,0.000,0.000,0.019,0.000,0.000,26.260,0.000,0.000,0.000,14.298,59.423,0.000,0.000
