Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Cer77_rep9_Dep6_Tu3,6.823,3.499,24.963,22.911,1.080,8.230,0.000,2.766,0.000,8.692,1.424,0.000,0.000,2.539,0.000,1.775,2.246,0.000,2.153,0.000,0.000,0.000,2.165,0.162,0.022,0.000,0.000,0.000,0.000,0.619,0.000,0.109,0.000,2.816,0.000,0.514,0.436,0.561,2.887,0.610
Cer77_rep5_Dep6_Tu30,4.033,0.000,10.531,10.571,0.000,14.437,0.000,0.000,1.410,4.923,0.000,0.000,0.000,3.188,4.230,0.000,3.834,0.000,0.000,0.000,0.000,0.000,3.955,3.307,0.000,0.000,0.000,0.386,0.000,6.611,0.000,2.000,0.000,2.470,5.132,0.000,4.099,2.742,4.072,8.069
Cer77_rep3_Dep6_Tu30,5.109,0.081,8.493,12.495,0.042,14.486,0.000,2.242,1.291,5.126,1.178,0.000,2.071,0.000,0.000,0.000,2.940,0.000,0.000,0.254,0.000,1.227,2.367,2.523,0.678,0.000,0.000,0.991,0.000,7.519,0.000,1.072,0.000,3.341,5.146,0.759,3.713,2.952,6.043,5.861
Cer77_rep8_Dep6_Tu50,0.000,0.000,8.967,7.682,0.000,9.340,0.000,0.000,0.000,0.000,1.660,1.507,0.000,3.559,2.152,0.000,4.806,0.000,0.000,0.000,0.000,0.000,3.991,4.092,0.021,0.000,0.000,1.633,0.000,9.955,0.000,2.826,0.590,2.074,8.880,0.000,4.412,5.533,8.335,7.985
Cer77_rep1_Dep6_Tu1,5.428,4.448,22.996,18.284,4.387,11.603,0.000,0.866,4.227,9.267,1.039,0.000,2.772,0.000,0.000,0.000,1.601,0.296,3.953,0.000,0.000,0.000,2.314,0.256,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.549,0.000,1.061,0.713,0.000,0.313,0.430,0.890,2.308
Cer77_rep7_Dep6_Tu3,4.047,4.114,26.452,14.840,0.023,13.135,0.000,5.503,0.711,9.961,0.000,0.000,0.657,1.608,0.000,0.000,3.489,0.000,1.584,0.000,0.000,0.000,2.762,0.869,0.090,0.000,0.000,0.000,0.000,0.376,0.000,1.344,0.000,0.279,1.766,0.494,0.658,0.086,2.008,3.142
Cer77_rep10_Dep6_Tu2,4.266,5.594,21.258,22.510,6.635,11.066,1.107,0.000,1.228,8.204,1.835,0.000,0.000,2.434,0.247,1.398,0.000,0.000,1.782,0.000,0.520,0.000,1.958,0.451,0.000,0.000,0.000,0.000,0.000,0.360,0.504,0.065,0.000,1.036,0.952,0.893,0.439,0.000,0.055,3.203
Cer77_rep2_Dep6_Tu0.5,4.558,5.899,20.328,16.619,5.158,20.657,0.000,0.000,0.537,8.713,3.362,0.000,0.000,2.638,1.803,0.633,0.391,0.000,0.000,0.000,0.000,0.000,2.214,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.135,0.362,0.000,1.005,1.167,0.318,0.233,0.000,1.306,1.964
Cer77_rep3_Dep6_Tu20,4.861,0.767,12.376,14.339,2.383,17.974,0.000,0.000,0.000,6.211,0.000,0.000,0.000,2.502,0.930,1.208,2.108,1.012,0.000,0.000,0.396,1.341,1.484,2.346,0.000,0.000,0.000,0.478,0.000,4.662,0.000,1.250,0.000,1.891,4.517,1.065,2.662,1.625,5.131,4.479
Cer77_rep1_Dep6_Tu2,4.478,8.219,23.061,18.102,6.685,9.809,0.000,4.023,0.585,8.243,0.479,0.000,0.259,2.066,0.000,0.522,0.000,0.945,1.618,0.000,2.362,0.000,0.038,0.541,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.877,0.000,1.335,1.242,0.365,0.694,0.000,1.656,1.794
