Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Cer77_rep9_Dep6_Tu3,0.416,3.234,0.916,0.079,2.460,0.213,1.830,9.014,3.539,5.142,6.277,3.422,10.942,10.261,0.876,4.405,1.473,0.841,11.255,12.457,0.043,4.560,6.345
Cer77_rep5_Dep6_Tu30,2.283,1.337,3.786,1.111,3.260,0.118,0.693,7.248,4.125,2.199,5.650,3.356,5.022,2.923,3.169,0.135,2.800,15.838,4.840,9.332,18.550,1.991,0.235
Cer77_rep3_Dep6_Tu30,1.108,6.151,3.058,0.189,1.880,0.762,2.647,6.310,5.230,2.638,4.697,1.944,1.435,1.604,5.762,1.631,5.470,18.041,1.995,1.789,13.060,7.679,4.917
Cer77_rep8_Dep6_Tu50,1.010,8.453,3.494,1.129,1.674,0.663,2.018,1.230,4.765,0.727,4.677,1.817,2.490,0.612,2.659,1.068,21.948,7.070,0.389,5.371,24.767,1.961,0.008
Cer77_rep1_Dep6_Tu1,0.010,1.191,0.139,0.098,1.914,0.497,1.781,10.283,3.857,3.488,11.946,5.886,3.941,5.446,6.576,10.672,0.462,0.352,22.149,6.333,0.593,0.068,2.321
Cer77_rep7_Dep6_Tu3,1.361,0.860,0.088,0.102,3.527,0.278,3.004,1.171,13.331,5.516,8.682,0.658,6.698,12.291,6.364,5.419,1.139,0.255,12.270,5.864,1.911,3.154,6.056
Cer77_rep10_Dep6_Tu2,0.299,3.168,0.076,0.087,1.119,0.497,4.276,9.890,2.959,4.429,8.528,1.653,12.315,6.111,2.701,2.238,1.577,1.204,15.305,2.255,0.369,3.204,15.739
Cer77_rep2_Dep6_Tu0.5,0.651,3.467,0.145,0.032,0.260,0.088,5.490,4.607,1.572,9.575,0.753,5.886,9.821,2.115,2.036,17.042,0.152,0.216,9.825,4.380,0.105,5.894,15.887
Cer77_rep3_Dep6_Tu20,2.198,1.856,1.259,0.088,4.681,0.463,2.409,6.361,7.012,3.559,7.043,0.524,2.370,1.354,2.797,11.464,6.549,6.310,4.860,1.058,15.676,3.177,6.931
Cer77_rep1_Dep6_Tu2,1.181,1.341,0.300,0.130,3.145,0.060,2.827,3.728,11.733,2.020,13.136,3.159,0.884,10.612,0.068,9.720,0.200,1.097,8.643,3.581,1.776,3.025,17.633
Cer77_rep2_Dep6_Tu5,1.327,4.343,0.547,0.473,1.214,0.557,0.822,7.830,8.094,1.082,12.063,3.225,3.876,10.985,1.923,14.262,0.141,4.529,0.664,9.309,0.333,4.791,7.611
Cer77_rep5_Dep6_Tu0.5,1.052,2.174,0.379,0.012,0.238,0.279,4.834,5.057,2.894,1.894,12.008,4.605,8.942,9.289,1.635,0.748,0.148,0.130,7.627,5.847,0.297,8.388,21.523
Cer77_rep2_Dep6_Tu50,0.238,6.012,3.426,1.516,2.021,0.292,1.044,4.161,3.428,2.349,3.145,2.763,0.782,0.916,4.496,2.309,4.566,37.367,0.326,3.053,14.187,0.097,1.506
Cer77_rep9_Dep6_Tu0.5,0.738,2.182,0.231,0.032,2.599,0.082,4.066,8.264,5.408,1.506,9.142,3.241,4.084,0.620,0.387,13.357,0.055,0.462,7.553,11.442,0.063,6.173,18.314
Cer77_rep4_Dep6_Tu10,1.305,3.164,1.518,0.224,3.071,0.270,1.276,6.893,0.697,5.929,9.635,4.567,3.670,6.532,4.573,9.961,6.350,3.001,4.050,8.701,2.804,6.330,5.477
Cer77_rep9_Dep6_Tu20,0.984,0.622,3.198,0.628,1.986,0.702,2.905,4.201,7.821,3.487,7.028,2.368,4.164,1.301,7.696,6.796,3.221,7.199,0.049,5.967,15.346,9.119,3.211
Cer77_rep3_Dep6_Tu10,1.408,5.791,0.544,0.375,2.618,0.150,3.131,1.918,5.708,3.522,6.076,5.544,5.554,3.414,9.025,9.306,6.029,2.521,9.832,1.405,3.553,8.562,4.012
Cer77_rep6_Dep6_Tu5,1.256,0.487,0.816,0.291,2.611,0.449,2.404,1.541,9.101,2.481,9.415,4.910,12.425,1.727,4.384,17.812,0.879,3.599,6.624,4.361,2.695,0.994,8.735
Cer77_rep5_Dep6_Tu1,0.567,0.493,0.160,0.041,3.046,0.152,4.482,8.826,5.574,7.804,0.706,2.649,11.167,3.299,7.810,5.131,0.376,0.129,4.178,11.619,0.076,6.366,15.349
Cer77_rep5_Dep6_Tu0.3,0.165,2.069,0.230,0.046,1.126,0.141,3.370,7.397,1.797,6.884,6.007,4.195,14.819,9.995,9.367,8.814,0.219,0.061,13.070,2.117,0.329,5.389,2.394
Cer77_rep4_Dep6_Tu50,0.330,4.250,3.688,1.528,3.659,0.763,3.303,4.176,4.433,2.252,1.262,1.552,2.432,0.608,3.542,0.063,28.681,15.816,0.030,2.315,8.393,5.909,1.014
Cer77_rep6_Dep6_Tu0.3,0.894,0.941,0.267,0.040,1.260,0.311,3.740,7.563,6.865,1.305,7.480,4.429,10.982,14.240,4.038,3.106,0.285,0.181,10.144,10.277,0.197,0.835,10.620
Cer77_rep4_Dep6_Tu40,2.293,2.780,1.596,1.397,4.030,0.414,2.880,3.272,3.675,3.079,3.867,1.548,2.800,1.779,2.361,2.602,10.623,28.970,1.268,1.827,7.522,7.848,1.569
Cer77_rep10_Dep6_Tu5,1.494,1.900,0.909,0.124,2.040,0.205,4.497,0.205,10.920,6.458,5.805,2.450,8.976,1.721,7.032,5.348,1.791,2.344,9.013,3.917,1.402,7.785,13.662
Cer77_rep3_Dep6_Tu1,0.568,2.359,0.452,0.083,0.878,0.176,4.346,3.936,8.719,3.158,9.015,3.055,8.144,7.110,3.168,6.707,0.363,0.395,17.968,7.148,0.563,3.970,7.719
Cer77_rep8_Dep6_Tu40,1.140,6.150,2.943,1.091,2.449,0.646,3.400,2.174,3.660,2.700,4.430,2.582,2.629,1.829,0.765,1.151,20.706,11.966,1.051,3.745,12.420,7.791,2.580
Cer77_rep7_Dep6_Tu0.3,0.597,2.065,0.326,0.007,1.387,0.367,3.564,6.527,2.802,0.068,6.745,5.813,16.295,7.098,3.186,21.908,0.009,0.389,3.648,8.820,0.178,1.555,6.644
Cer77_rep3_Dep6_Tu0.1,0.580,2.457,0.060,0.008,2.489,0.143,4.550,5.485,1.923,1.783,10.955,6.893,3.748,18.155,6.529,6.875,0.115,0.077,11.394,10.730,0.296,1.691,3.063
Cer77_rep4_Dep6_Tu0.3,0.613,1.616,0.443,0.022,0.120,0.321,5.000,1.677,4.763,5.154,9.248,2.810,17.207,2.052,1.387,11.081,0.056,0.269,12.050,2.593,0.158,7.876,13.482
Cer77_rep6_Dep6_Tu2,0.505,0.546,0.662,0.025,3.279,0.243,3.379,2.692,12.206,5.505,8.679,1.387,7.974,10.129,2.671,7.936,1.158,0.552,15.636,0.639,1.375,3.002,9.818
Cer77_rep6_Dep6_Tu20,0.971,4.627,2.304,0.522,2.382,0.501,3.618,7.638,4.328,3.261,8.444,0.811,4.274,2.323,0.877,1.507,11.589,7.347,0.863,8.921,7.168,1.381,14.343
Cer77_rep9_Dep6_Tu40,1.617,6.145,3.422,1.297,2.632,0.221,0.934,2.002,4.460,3.363,2.982,3.313,3.708,2.759,3.481,2.720,14.480,20.975,2.036,5.192,10.394,1.189,0.676
Cer77_rep6_Dep6_Tu40,0.929,2.198,4.199,0.883,3.967,0.848,0.230,4.589,2.980,0.357,6.132,4.039,2.397,0.629,3.226,1.713,4.170,26.519,0.959,1.947,16.186,8.459,2.443
Cer77_rep8_Dep6_Tu5,0.987,2.315,1.118,0.441,0.091,0.097,3.512,7.525,3.607,5.453,9.126,3.283,6.597,13.009,7.515,0.394,2.409,2.313,11.519,4.296,1.538,6.019,6.840
Cer77_rep5_Dep6_Tu50,1.549,3.862,4.675,1.505,2.229,0.582,1.170,3.656,3.861,1.630,3.677,2.021,2.435,0.775,4.029,1.732,34.060,17.624,0.481,3.077,2.025,2.053,1.292
Cer77_rep1_Dep6_Tu30,2.009,5.526,3.322,0.055,2.902,0.398,2.937,0.481,7.627,3.779,0.528,2.547,4.836,2.437,7.226,2.808,16.161,3.871,1.549,4.057,16.579,7.817,0.548
Cer77_rep2_Dep6_Tu20,1.663,0.270,3.519,0.878,4.033,0.597,1.635,8.205,5.008,0.943,3.581,4.618,7.954,2.286,0.603,6.727,6.531,1.512,1.386,6.871,18.159,8.641,4.379
Cer77_rep4_Dep6_Tu0.5,0.894,0.135,0.444,0.063,2.094,0.256,4.002,10.862,2.602,5.793,2.624,5.603,10.388,12.994,1.976,3.779,0.338,0.273,9.821,9.526,0.156,2.900,12.480
Cer77_rep2_Dep6_Tu40,1.438,4.040,3.866,1.320,3.310,0.482,0.535,4.943,5.806,2.931,3.272,2.950,0.167,2.483,4.917,1.330,4.957,15.214,1.074,3.752,25.561,5.246,0.406
Cer77_rep8_Dep6_Tu30,2.742,9.745,0.321,0.185,4.664,0.228,3.037,1.603,2.242,0.464,8.024,1.749,3.461,1.327,6.666,4.199,3.455,1.000,0.496,2.277,35.922,3.096,3.097
Cer77_rep3_Dep6_Tu40,1.769,4.045,4.038,0.959,3.151,0.512,2.578,5.342,3.288,1.012,2.287,2.934,0.810,2.404,1.147,0.925,14.614,17.454,2.880,5.942,12.479,8.749,0.683
Cer77_rep4_Dep6_Tu0.1,0.772,0.554,0.260,0.035,1.845,0.218,3.619,7.855,8.381,4.055,5.377,6.230,1.609,11.337,1.707,9.900,0.051,0.229,11.932,2.097,0.485,6.723,14.730
Cer77_rep2_Dep6_Tu1,0.601,1.558,0.211,0.125,0.754,0.253,1.170,9.601,8.168,6.448,7.493,5.324,0.809,3.878,2.813,15.250,0.491,0.501,8.192,11.964,0.469,2.098,11.828
Cer77_rep3_Dep6_Tu3,0.942,5.092,0.104,0.123,0.993,0.147,1.813,7.833,0.434,7.427,3.236,7.241,11.572,13.178,6.259,12.846,1.687,0.367,4.390,3.210,1.913,4.588,4.607
Cer77_rep2_Dep6_Tu30,1.764,0.987,2.225,1.044,2.514,0.464,2.671,7.031,2.778,6.087,4.493,4.737,0.122,4.330,1.606,1.173,0.328,11.636,3.201,3.360,28.912,3.744,4.793
Cer77_rep9_Dep6_Tu30,1.539,5.146,3.163,0.320,1.896,0.756,4.190,5.987,2.616,0.444,4.347,3.668,2.751,0.748,5.961,1.727,17.748,15.366,7.165,3.680,3.088,5.897,1.799
Cer77_rep7_Dep6_Tu20,1.417,3.207,2.041,0.321,3.326,0.536,3.617,5.481,5.605,3.207,2.823,3.051,4.584,3.086,4.277,7.929,16.386,5.863,0.041,10.751,3.758,1.618,7.076
Cer77_rep6_Dep6_Tu1,1.018,0.474,0.359,0.109,2.738,0.194,3.565,6.682,7.724,4.218,5.778,3.903,6.891,13.330,1.479,14.649,0.613,0.083,1.584,8.307,0.252,7.116,8.936
Cer77_rep7_Dep6_Tu50,1.888,6.551,4.153,0.872,3.037,0.281,2.188,3.047,4.689,2.791,1.198,1.950,0.149,1.384,5.381,0.387,21.813,16.495,0.933,3.924,16.162,0.705,0.020
Cer77_rep3_Dep6_Tu5,1.708,1.050,0.294,0.229,2.398,0.539,1.814,8.536,4.104,2.621,5.497,3.935,14.181,5.889,2.950,9.018,0.755,2.737,8.886,1.133,3.019,7.646,11.062
Cer77_rep8_Dep6_Tu0.5,0.472,2.339,0.335,0.106,1.321,0.074,2.820,0.436,7.240,6.215,10.612,0.838,16.516,0.386,9.684,0.277,0.194,0.374,8.762,4.834,0.183,1.838,24.146
Cer77_rep9_Dep6_Tu0.3,0.562,2.421,0.082,0.032,1.679,0.144,3.150,9.253,2.431,5.387,7.934,3.380,8.581,0.099,0.918,18.914,0.132,0.069,5.841,4.764,0.357,9.791,14.079
Cer77_rep6_Dep6_Tu0.5,0.719,1.584,0.018,0.049,2.392,0.161,2.326,9.283,6.586,6.843,4.865,1.371,8.699,14.906,7.175,4.209,0.338,0.215,19.012,2.477,0.473,2.473,3.825
Cer77_rep7_Dep6_Tu1,0.623,1.416,0.509,0.097,1.637,0.376,0.959,6.493,9.178,2.366,9.174,1.357,12.911,7.297,1.449,5.862,0.606,0.209,7.242,7.988,0.187,5.257,16.806
Cer77_rep5_Dep6_Tu3,1.003,3.754,0.430,0.109,1.840,0.088,3.643,3.034,2.897,9.588,9.467,0.330,7.105,9.616,5.138,3.487,0.408,0.764,3.880,8.275,1.311,9.329,14.504
Cer77_rep10_Dep6_Tu3,0.012,0.511,0.796,0.183,2.937,0.603,3.765,10.048,9.868,3.245,1.213,1.009,9.963,15.906,0.146,10.290,1.679,1.044,2.033,7.604,0.317,7.425,9.403
Cer77_rep9_Dep6_Tu5,0.370,3.646,0.889,0.255,3.460,0.214,1.868,3.032,7.915,3.403,5.473,4.830,11.363,9.377,7.828,7.300,0.201,2.281,1.623,9.217,2.362,4.545,8.550
Cer77_rep10_Dep6_Tu20,0.523,4.095,1.537,0.943,3.764,0.485,3.101,4.492,6.261,0.531,7.061,4.024,6.971,2.598,10.696,1.095,14.132,10.884,6.094,2.382,1.207,0.509,6.618
Cer77_rep1_Dep6_Tu3,0.380,0.843,0.793,0.232,3.088,0.185,2.037,6.769,5.667,6.300,10.275,1.690,10.251,0.281,8.623,11.827,1.352,1.028,10.424,2.806,1.683,3.547,9.920
Cer77_rep5_Dep6_Tu2,0.296,1.346,0.643,0.072,1.595,0.345,3.918,5.120,4.113,6.125,8.175,3.106,12.329,15.307,7.594,8.293,1.036,1.192,5.785,6.975,0.172,3.318,3.144
Cer77_rep5_Dep6_Tu5,1.189,1.812,1.184,0.165,2.219,0.383,3.656,11.856,2.225,3.191,2.825,3.235,12.690,10.627,14.721,8.296,3.089,1.145,2.563,6.847,0.787,0.131,5.165
Cer77_rep8_Dep6_Tu2,0.740,1.639,0.329,0.061,2.427,0.211,2.862,9.142,6.816,5.746,0.753,3.522,9.449,9.355,3.397,1.504,1.227,0.562,23.972,9.066,0.333,5.709,1.179
Cer77_rep8_Dep6_Tu10,1.729,5.782,0.875,0.511,1.878,0.294,2.283,1.723,3.932,1.599,10.286,6.173,8.198,12.707,0.478,2.219,6.160,6.832,9.164,4.422,0.132,5.911,6.710
Cer77_rep10_Dep6_Tu30,1.733,5.469,2.688,0.833,3.132,0.712,2.675,7.019,2.255,2.054,2.281,4.553,6.720,0.869,0.013,2.977,7.460,12.946,4.637,5.798,16.423,6.331,0.422
Cer77_rep10_Dep6_Tu0.1,0.905,0.326,0.236,0.003,0.437,0.326,4.747,8.177,6.674,5.428,12.868,0.974,3.431,13.534,4.756,1.896,0.177,0.374,9.131,4.005,0.060,1.983,19.553
Cer77_rep6_Dep6_Tu3,0.027,4.045,0.352,0.091,3.451,0.094,3.813,0.790,8.958,4.518,6.213,6.038,6.204,15.041,1.479,5.975,1.021,0.636,3.047,6.769,1.675,4.701,15.063
Cer77_rep7_Dep6_Tu10,0.793,4.571,1.177,0.487,2.210,0.407,0.365,7.111,5.607,2.050,7.660,3.715,7.532,1.896,2.972,8.414,3.638,4.750,4.201,9.678,5.124,3.885,11.759
Cer77_rep1_Dep6_Tu0.1,0.080,1.947,0.127,0.064,2.189,0.223,1.481,7.426,6.873,6.592,11.760,1.278,5.098,7.780,2.772,12.905,0.055,0.196,9.956,3.628,0.492,3.287,13.792
Cer77_rep10_Dep6_Tu50,1.159,6.301,2.852,1.518,3.150,0.585,1.139,1.061,4.008,1.693,5.444,4.127,0.632,0.197,4.552,4.247,12.908,22.841,0.338,0.185,19.890,0.501,0.672
Cer77_rep3_Dep6_Tu2,0.345,3.420,0.240,0.074,1.974,0.192,4.731,1.353,0.203,7.408,15.311,7.029,1.544,10.100,11.170,6.379,1.040,1.193,5.157,5.674,0.319,0.756,14.390
Cer77_rep2_Dep6_Tu10,1.856,0.934,1.769,0.366,3.110,0.226,0.262,6.595,3.198,7.610,7.557,3.555,8.602,1.854,5.293,7.861,3.068,1.879,1.295,16.282,7.903,5.341,3.584
Cer77_rep4_Dep6_Tu5,1.108,3.118,0.683,0.286,2.376,0.172,4.791,4.182,3.084,0.647,4.146,6.643,12.052,12.471,11.820,1.948,4.489,1.209,10.531,5.540,0.148,3.343,5.212
Cer77_rep4_Dep6_Tu2,0.930,0.982,0.646,0.180,2.444,0.128,0.635,11.096,3.700,5.267,3.947,5.639,6.549,30.908,4.737,9.186,0.237,0.866,1.321,1.547,0.854,6.434,1.767
Cer77_rep8_Dep6_Tu3,0.821,3.426,0.176,0.176,1.866,0.071,3.461,0.044,7.664,7.333,1.902,5.534,12.474,16.875,0.465,14.234,1.422,1.399,9.269,2.611,0.597,5.599,2.580
Cer77_rep7_Dep6_Tu5,0.439,1.976,0.924,0.177,2.757,0.442,4.514,8.513,8.094,3.052,10.348,0.267,1.128,6.267,16.120,0.685,1.009,2.230,13.560,2.462,2.757,3.096,9.182
Cer77_rep4_Dep6_Tu3,0.460,0.530,0.817,0.170,3.429,0.416,3.506,8.829,10.021,2.856,7.756,2.395,1.824,23.952,3.611,6.207,1.305,1.468,1.375,2.413,0.889,4.825,10.946
Cer77_rep7_Dep6_Tu2,0.006,3.084,0.427,0.118,0.978,0.101,5.618,3.484,2.729,11.047,1.323,5.138,9.921,4.217,3.780,12.203,0.936,1.047,7.566,2.008,0.279,6.880,17.108
Cer77_rep10_Dep6_Tu40,0.872,6.110,2.995,1.099,3.792,0.624,3.835,1.400,5.551,1.610,5.095,1.707,3.357,2.173,2.038,1.337,23.067,7.643,0.971,5.753,15.361,3.207,0.404
Cer77_rep6_Dep6_Tu10,1.349,0.751,0.933,0.361,3.934,0.296,2.053,9.021,5.446,4.922,1.406,4.396,6.021,16.598,2.442,5.659,0.133,7.791,4.839,10.600,6.160,3.203,1.687
Cer77_rep6_Dep6_Tu50,1.746,4.151,3.341,1.256,2.522,0.587,3.001,4.216,1.861,1.653,2.528,2.030,2.975,0.511,6.085,0.769,27.271,24.873,1.486,0.665,2.526,2.733,1.216
Cer77_rep2_Dep6_Tu2,0.235,3.420,0.346,0.130,3.094,0.233,2.040,8.959,11.456,4.709,0.490,3.256,4.228,14.319,1.268,16.351,0.127,0.293,4.117,1.226,1.392,6.403,11.907
Cer77_rep1_Dep6_Tu5,1.270,2.186,0.898,0.131,1.493,0.447,3.450,7.807,12.615,0.789,1.350,4.639,7.193,9.435,0.157,13.863,1.674,1.826,0.482,3.957,3.347,1.409,19.581
Cer77_rep5_Dep6_Tu0.1,0.638,1.150,0.045,0.031,2.724,0.208,4.935,0.717,6.546,2.686,12.459,4.297,9.318,6.871,0.209,18.319,0.259,0.151,9.181,1.114,0.717,1.683,15.739
Cer77_rep9_Dep6_Tu50,2.723,0.840,4.787,1.633,1.388,0.493,2.818,1.060,4.253,1.806,4.678,2.458,1.004,1.058,1.643,2.289,33.148,15.442,0.090,4.665,5.356,5.080,1.287
Cer77_rep10_Dep6_Tu0.3,0.113,0.317,0.401,0.007,2.984,0.166,1.944,5.397,6.911,6.933,2.870,4.573,16.252,5.790,9.694,12.059,0.014,0.308,6.078,2.119,0.223,1.045,13.803
Cer77_rep3_Dep6_Tu0.3,0.407,0.155,0.346,0.073,1.380,0.105,4.129,5.087,8.585,7.100,3.561,3.254,10.534,0.581,5.889,4.380,0.312,0.099,11.453,7.084,0.450,3.462,21.574
Cer77_rep1_Dep6_Tu0.5,0.043,1.505,0.238,0.051,2.875,0.122,3.720,5.448,7.012,4.370,5.441,5.338,8.641,9.072,10.069,7.176,0.140,0.303,3.277,5.891,0.399,3.191,15.678
Cer77_rep4_Dep6_Tu1,1.062,1.779,0.268,0.022,1.050,0.186,1.664,4.075,3.761,7.438,5.026,5.862,11.817,19.437,10.037,5.528,0.436,0.306,12.576,5.877,0.564,0.478,0.751
Cer77_rep2_Dep6_Tu0.3,0.587,1.779,0.197,0.066,1.963,0.164,2.316,8.189,5.346,4.247,12.373,1.787,7.483,10.085,2.063,0.363,0.242,0.076,14.875,14.017,0.146,1.174,10.461
Cer77_rep10_Dep6_Tu10,1.048,4.165,0.885,0.296,2.892,0.415,4.685,6.613,5.131,1.747,2.925,4.351,9.196,6.727,8.572,6.534,6.117,2.020,9.402,4.025,4.805,4.494,2.956
Cer77_rep3_Dep6_Tu50,2.299,6.424,3.345,1.161,2.437,0.442,0.501,3.814,0.629,2.638,2.144,3.865,2.011,0.188,2.180,0.802,31.127,14.750,1.641,0.512,7.315,8.514,1.260
Cer77_rep3_Dep6_Tu0.5,0.047,3.198,0.107,0.064,1.337,0.252,5.195,9.296,1.160,3.019,8.209,0.356,14.690,9.101,5.320,0.683,0.035,0.112,16.220,11.260,0.482,0.503,9.351
Cer77_rep5_Dep6_Tu40,2.045,3.164,3.822,1.117,3.518,0.020,3.265,5.496,1.326,4.877,2.628,1.841,1.531,2.361,0.905,0.767,17.015,13.784,1.290,2.123,15.516,9.873,1.717
Cer77_rep9_Dep6_Tu2,0.715,3.427,0.292,0.130,2.164,0.205,5.386,9.915,2.826,0.458,3.181,3.015,13.538,10.864,9.696,17.869,0.076,0.112,5.785,7.450,2.123,0.174,0.597
Cer77_rep8_Dep6_Tu20,2.246,0.887,2.382,0.877,3.091,0.678,2.042,6.065,1.320,2.822,9.545,2.596,8.850,1.052,3.685,3.433,13.731,8.561,1.627,14.127,1.897,7.457,1.028
