Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Cer77_rep9_Dep6_Tu3,0.000,1.492,5.629,0.006,0.084,0.000,9.571,2.850,2.415,13.557,1.400,50.839,12.157
Cer77_rep5_Dep6_Tu30,0.166,20.518,10.726,0.287,9.428,9.826,2.207,9.176,0.217,5.418,0.984,22.811,8.236
Cer77_rep3_Dep6_Tu30,0.622,32.376,14.036,0.537,18.355,0.000,1.595,0.000,0.000,0.803,0.475,27.003,4.198
Cer77_rep8_Dep6_Tu50,0.444,29.638,7.629,1.525,23.483,9.348,8.048,6.520,0.000,0.000,1.285,9.960,2.119
Cer77_rep1_Dep6_Tu1,0.000,0.137,0.000,0.000,0.000,0.000,5.724,0.000,8.133,8.208,7.208,58.776,11.813
Cer77_rep7_Dep6_Tu3,0.000,2.687,0.000,0.001,0.000,0.039,3.456,0.000,18.688,10.853,0.761,51.962,11.553
Cer77_rep10_Dep6_Tu2,0.000,5.936,0.000,0.448,0.000,0.000,0.626,0.000,10.769,14.776,2.029,58.486,6.929
Cer77_rep2_Dep6_Tu0.5,0.000,1.110,0.014,0.007,0.000,0.000,0.477,0.000,0.000,18.116,0.000,65.526,14.748
Cer77_rep3_Dep6_Tu20,0.065,10.730,5.606,0.088,17.086,12.702,1.411,0.000,0.000,8.260,0.000,36.077,7.975
Cer77_rep1_Dep6_Tu2,0.251,0.981,4.313,0.000,0.300,0.000,1.526,0.000,0.022,19.121,1.705,60.193,11.589
Cer77_rep2_Dep6_Tu5,0.000,7.382,0.000,0.104,7.276,0.000,11.866,0.000,0.000,14.651,0.269,56.189,2.264
Cer77_rep5_Dep6_Tu0.5,0.029,0.434,0.000,0.000,0.000,0.000,1.070,0.000,0.000,15.037,0.574,65.828,17.028
Cer77_rep2_Dep6_Tu50,0.310,43.746,24.135,2.616,5.778,0.000,2.454,0.000,0.000,0.000,0.487,19.887,0.587
Cer77_rep9_Dep6_Tu0.5,0.000,1.913,0.000,0.000,0.000,0.000,0.355,7.866,0.323,14.743,0.000,61.002,13.797
Cer77_rep4_Dep6_Tu10,0.000,6.799,0.000,0.110,15.048,0.000,0.000,0.422,0.000,16.040,1.003,48.203,12.376
Cer77_rep9_Dep6_Tu20,0.023,13.136,5.638,0.176,10.023,9.869,1.106,5.778,0.000,7.806,8.275,30.335,7.834
Cer77_rep3_Dep6_Tu10,0.000,22.135,0.000,0.450,8.855,0.000,0.982,1.600,0.000,8.652,4.176,42.616,10.534
Cer77_rep6_Dep6_Tu5,0.000,1.645,3.944,0.016,1.685,0.636,0.166,0.060,5.068,14.572,6.118,58.834,7.257
Cer77_rep5_Dep6_Tu1,0.026,0.340,0.000,0.000,0.000,0.000,0.669,0.661,8.166,19.938,6.167,53.528,10.506
Cer77_rep5_Dep6_Tu0.3,0.000,0.481,0.000,0.000,0.000,0.000,2.512,0.000,18.359,10.585,0.000,54.954,13.108
Cer77_rep4_Dep6_Tu50,3.768,31.138,14.558,0.454,18.528,3.125,6.261,6.234,0.000,0.000,3.684,9.039,3.212
