Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Cer77_rep9_Dep6_Tu3,0.344,1.057,8.904,1.340,7.741,1.638,9.703,1.455,4.304,0.313,1.938,3.531,0.311,1.143,0.885,3.040,3.987,3.096,2.745,1.909,0.824,0.617,1.064,0.175,0.096,0.192,0.262,0.091,0.154,0.006,0.022,0.048,0.048,1.024,0.998,0.110,0.197,0.358,0.665,0.117,7.491,1.325,0.713,0.258,1.232,0.411,5.192,3.079,6.624,7.222
Cer77_rep5_Dep6_Tu30,1.672,0.054,0.633,5.279,0.521,0.055,0.166,4.346,1.019,1.714,2.990,1.836,1.003,0.906,2.009,0.543,3.015,4.967,2.910,3.062,1.467,1.156,0.547,0.098,0.857,0.548,0.102,0.094,0.271,0.199,0.085,0.098,0.857,0.928,1.687,1.542,1.457,1.331,1.675,2.645,0.558,1.219,13.317,3.443,1.312,12.706,1.609,0.005,3.607,5.881
Cer77_rep3_Dep6_Tu30,1.371,1.638,0.807,3.740,0.585,1.309,1.827,2.507,1.903,1.647,2.645,2.080,1.195,1.184,5.024,0.348,0.294,4.558,0.535,1.794,0.894,0.814,1.165,0.139,0.418,0.402,0.341,0.093,0.275,0.535,0.000,0.090,0.743,1.011,1.586,1.388,1.713,1.737,0.945,2.876,1.127,12.057,12.612,4.879,2.071,6.293,1.044,1.362,4.375,0.027
Cer77_rep8_Dep6_Tu50,0.636,1.001,0.962,0.658,0.994,0.150,0.050,0.310,0.339,2.090,1.086,1.453,0.007,1.394,3.519,1.802,3.061,2.046,3.378,1.626,0.257,1.272,1.507,0.435,1.547,0.338,0.040,0.150,0.582,0.421,0.067,0.107,0.281,0.796,1.336,0.715,0.792,4.719,3.530,1.739,0.429,6.663,18.865,10.179,0.564,12.367,0.087,0.911,0.789,1.955
Cer77_rep1_Dep6_Tu1,0.177,1.511,3.628,2.760,5.658,5.960,8.644,5.325,7.045,0.398,4.372,4.035,0.696,1.443,2.018,2.043,3.137,1.999,1.535,0.697,0.849,0.674,1.161,0.222,0.010,0.224,0.007,0.042,0.044,0.017,0.008,0.073,0.486,0.550,1.112,0.032,0.070,0.162,0.619,0.490,6.407,0.019,0.423,0.625,2.205,0.457,12.881,0.683,2.159,4.212
Cer77_rep7_Dep6_Tu3,1.301,1.768,4.565,1.300,4.198,6.022,4.114,6.803,8.784,3.065,2.413,4.323,1.504,1.138,1.007,1.325,0.923,1.426,2.292,1.972,0.929,0.939,1.017,0.037,0.929,0.025,0.258,0.029,0.013,0.127,0.019,0.037,0.967,0.130,0.824,0.131,0.081,0.193,0.876,0.326,3.340,0.232,0.199,2.150,1.686,0.467,11.234,6.447,4.171,1.949
Cer77_rep10_Dep6_Tu2,1.528,0.768,2.408,6.741,5.434,7.181,8.417,3.343,4.670,0.166,4.456,2.683,0.062,1.550,1.133,0.821,3.461,2.647,2.236,1.588,0.564,1.053,1.048,0.094,0.286,0.202,0.124,0.143,0.053,0.071,0.030,0.027,0.793,0.320,0.304,0.273,0.032,0.002,0.879,0.460,7.155,0.140,0.089,0.974,6.664,0.584,8.131,1.789,2.671,3.751
Cer77_rep2_Dep6_Tu0.5,0.296,0.687,2.399,4.144,5.760,5.858,10.220,8.615,0.432,4.801,4.007,2.511,0.010,1.279,1.107,1.519,1.928,3.303,2.784,0.024,0.029,0.560,1.565,0.109,0.209,0.252,0.249,0.046,0.067,0.001,0.036,0.009,0.184,0.073,1.009,0.005,0.126,0.061,0.188,0.157,2.518,0.384,0.020,0.051,11.135,0.331,10.702,2.039,0.883,5.320
Cer77_rep3_Dep6_Tu20,2.165,1.972,0.654,0.533,0.478,5.533,3.419,3.659,1.696,2.073,5.059,1.252,1.502,0.205,4.039,0.492,3.117,2.742,0.776,1.383,1.060,0.674,1.899,0.386,0.678,0.343,0.166,0.261,0.129,0.267,0.019,0.030,1.159,1.008,0.905,0.979,2.133,0.308,0.222,3.184,2.785,11.140,1.999,5.793,4.501,4.376,1.189,3.177,4.947,1.531
Cer77_rep1_Dep6_Tu2,2.144,1.093,6.289,3.942,4.891,2.433,9.471,3.720,4.850,3.606,2.868,2.734,1.578,0.297,1.794,2.272,0.535,0.004,1.506,3.287,0.755,0.819,1.148,0.211,0.163,0.220,0.042,0.026,0.051,0.005,0.017,0.036,0.817,0.876,0.404,0.001,0.001,0.129,0.143,0.815,5.041,1.331,0.473,0.627,10.492,0.452,3.063,8.251,4.041,0.236
Cer77_rep2_Dep6_Tu5,1.650,1.674,1.030,0.927,8.803,3.404,4.750,8.024,6.434,3.308,1.499,2.461,1.178,1.150,3.052,0.575,3.014,0.169,1.923,2.959,0.891,0.801,0.789,0.148,0.024,0.042,0.239,0.133,0.179,0.067,0.013,0.042,0.236,0.494,1.202,0.300,0.069,0.330,0.999,1.220,3.595,2.089,1.766,0.667,0.202,0.747,12.445,0.394,1.196,10.699
Cer77_rep5_Dep6_Tu0.5,1.133,0.192,9.440,3.530,3.161,4.789,0.399,3.984,10.332,2.966,1.137,5.009,1.823,0.037,2.223,0.046,3.751,3.444,0.286,2.833,0.926,0.126,1.506,0.057,0.238,0.193,0.200,0.005,0.024,0.012,0.008,0.035,0.215,0.594,0.448,0.042,0.060,0.115,0.074,0.890,5.879,0.748,0.027,0.749,8.653,0.167,9.862,0.075,7.235,0.324
Cer77_rep2_Dep6_Tu50,0.343,0.956,0.796,1.284,0.294,0.832,0.863,0.999,0.046,0.622,2.144,0.881,1.190,0.341,1.025,3.131,2.013,2.324,2.795,1.709,0.909,0.107,1.010,0.571,1.413,0.084,0.028,0.300,0.363,0.639,0.017,0.045,1.004,0.046,1.304,0.545,4.319,1.715,3.135,3.542,0.585,22.976,0.654,4.722,0.955,21.625,0.025,0.058,0.402,2.318
Cer77_rep9_Dep6_Tu0.5,1.803,1.602,5.551,4.288,2.014,9.675,3.901,8.198,2.573,2.893,4.529,0.440,0.634,1.235,1.838,2.798,2.083,3.240,0.799,2.060,0.717,0.988,0.552,0.106,0.041,0.104,0.035,0.057,0.087,0.011,0.014,0.018,0.391,0.269,0.248,0.033,0.093,0.034,0.581,0.525,0.777,0.499,0.516,0.691,3.305,0.337,20.607,0.977,2.753,2.480
