Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Cer77_rep9_Dep6_Tu3,0.000,0.000,29.678,5.418,0.000,10.871,0.000,7.430,0.000,0.165,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,4.709,1.034,0.322,13.325,0.275,23.226,3.533,0.000
Cer77_rep5_Dep6_Tu30,0.000,0.000,2.016,14.206,0.748,10.459,0.000,0.519,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.525,0.000,0.000,0.000,0.374,0.000,1.822,0.000,0.000,0.000,1.211,0.695,0.000,0.577,1.225,0.833,3.254,0.000,0.000,4.323,0.000,0.567,4.680,44.168,3.081,4.715,0.000
Cer77_rep3_Dep6_Tu30,0.000,0.000,4.800,15.322,0.000,4.928,0.000,1.252,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.143,0.046,0.000,0.000,0.329,0.000,1.554,0.000,0.000,0.000,0.784,0.745,0.000,0.739,0.739,0.810,2.330,0.000,0.000,14.434,0.000,0.000,3.893,45.448,0.000,0.872,0.829
Cer77_rep8_Dep6_Tu50,0.000,0.000,0.732,5.809,0.000,0.693,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.201,0.000,0.441,0.010,0.000,0.000,1.605,0.000,3.607,0.000,0.789,0.028,1.438,2.574,0.000,1.024,2.035,1.652,6.176,0.000,0.000,49.135,0.000,0.000,0.000,18.627,0.000,3.423,0.000
Cer77_rep1_Dep6_Tu1,0.000,0.000,15.594,8.150,0.565,20.469,0.000,7.728,0.000,0.252,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.858,13.634,1.325,1.181,0.000,6.605,23.108,0.528
Cer77_rep7_Dep6_Tu3,0.000,0.000,18.783,12.526,0.000,15.361,0.000,3.018,0.070,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.074,0.000,0.000,2.463,0.000,22.021,23.648,0.000
Cer77_rep10_Dep6_Tu2,0.000,0.000,25.198,8.085,0.514,19.968,0.000,2.051,0.000,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.456,0.000,0.649,13.192,0.000,8.511,2.056,9.791,8.479,0.000
Cer77_rep2_Dep6_Tu0.5,0.000,0.000,22.606,15.974,0.765,15.162,0.000,2.274,0.000,0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.112,1.046,13.874,0.959,0.000
Cer77_rep3_Dep6_Tu20,0.000,0.000,10.260,14.207,0.000,5.417,0.000,2.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.195,0.000,0.000,0.000,0.154,0.000,0.868,0.000,0.000,0.000,0.751,0.350,0.077,0.615,0.403,0.630,1.426,0.000,0.000,4.235,0.000,0.000,26.493,29.115,0.000,2.766,0.000
Cer77_rep1_Dep6_Tu2,0.000,0.000,30.369,7.208,0.000,9.051,0.000,3.742,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.671,14.597,19.661,8.191,0.000,4.185,1.306,0.000
