Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Cer77_rep9_Dep6_Tu3,0.000,3.678,2.436,0.000,0.004,0.000,0.013,0.168,1.813,0.245,3.533,0.009,9.996,78.105
Cer77_rep5_Dep6_Tu30,0.001,0.019,44.762,0.000,0.006,0.000,0.212,7.844,0.312,0.160,3.775,0.337,7.114,35.458
Cer77_rep3_Dep6_Tu30,0.000,0.015,47.074,0.000,0.001,0.000,0.153,6.053,0.783,0.049,3.247,0.130,6.726,35.768
Cer77_rep8_Dep6_Tu50,0.000,0.002,65.072,0.000,0.001,0.000,0.084,8.826,3.542,0.067,3.788,0.126,4.153,14.339
Cer77_rep1_Dep6_Tu1,0.000,2.825,0.000,0.000,0.001,0.000,0.059,1.328,1.293,0.107,3.364,0.184,12.644,78.195
Cer77_rep7_Dep6_Tu3,0.000,4.214,1.759,0.014,0.003,0.000,0.071,1.734,0.925,0.179,2.495,0.046,11.719,76.842
Cer77_rep10_Dep6_Tu2,0.000,2.811,1.657,0.000,0.007,0.000,0.169,1.282,0.466,0.204,2.471,0.161,11.956,78.815
Cer77_rep2_Dep6_Tu0.5,0.000,0.778,0.000,0.000,0.002,0.000,0.038,0.896,0.438,0.510,3.391,0.224,10.450,83.273
Cer77_rep3_Dep6_Tu20,0.001,0.067,32.830,0.000,0.010,0.000,0.124,3.818,1.523,0.046,3.469,0.107,8.181,49.824
Cer77_rep1_Dep6_Tu2,0.001,3.378,0.431,0.000,0.014,0.000,0.060,1.698,0.310,0.430,2.888,0.141,9.517,81.131
Cer77_rep2_Dep6_Tu5,0.000,4.913,5.821,0.000,0.000,0.000,0.012,1.790,0.037,0.122,1.927,0.036,12.445,72.896
Cer77_rep5_Dep6_Tu0.5,0.000,1.063,0.000,0.000,0.003,0.000,0.057,0.604,0.483,0.289,3.166,0.120,10.134,84.080
Cer77_rep2_Dep6_Tu50,0.000,0.002,66.664,0.000,0.000,0.000,0.059,10.460,0.059,0.020,3.234,0.181,3.341,15.980
Cer77_rep9_Dep6_Tu0.5,0.000,0.875,0.000,0.000,0.009,0.000,0.035,1.271,0.614,0.408,2.314,0.016,10.128,84.330
Cer77_rep4_Dep6_Tu10,0.002,0.582,17.506,0.000,0.029,0.000,0.083,2.654,0.462,0.060,3.874,0.018,8.108,66.621
Cer77_rep9_Dep6_Tu20,0.000,0.017,32.413,0.000,0.006,0.000,0.174,6.068,0.237,0.167,3.339,0.185,7.708,49.686
Cer77_rep3_Dep6_Tu10,0.011,0.061,16.928,0.004,0.080,0.000,0.265,2.675,1.016,0.536,3.244,0.176,9.743,65.260
Cer77_rep6_Dep6_Tu5,0.013,0.211,8.557,0.001,0.206,0.000,0.141,2.356,0.831,0.466,3.204,0.107,11.086,72.820
Cer77_rep5_Dep6_Tu1,0.000,2.119,0.000,0.000,0.001,0.000,0.039,1.403,0.063,0.203,3.561,0.078,9.694,82.839
Cer77_rep5_Dep6_Tu0.3,0.000,1.427,0.000,0.000,0.001,0.000,0.036,1.639,0.135,0.252,3.409,0.110,10.689,82.302
Cer77_rep4_Dep6_Tu50,0.001,0.005,65.941,0.000,0.003,0.000,0.123,9.082,2.653,0.065,3.606,0.136,4.382,14.003
Cer77_rep6_Dep6_Tu0.3,0.000,1.351,0.000,0.000,0.000,0.000,0.024,0.008,1.048,0.203,4.105,0.117,10.952,82.193
Cer77_rep4_Dep6_Tu40,0.000,0.005,56.948,0.000,0.000,0.000,0.110,8.273,1.387,0.077,2.459,0.063,5.157,25.521
Cer77_rep10_Dep6_Tu5,0.003,1.229,8.212,0.002,0.023,0.000,0.021,3.271,1.453,0.533,0.014,0.098,12.286,72.856
Cer77_rep3_Dep6_Tu1,0.000,2.516,0.000,0.000,0.002,0.000,0.042,0.737,0.180,0.307,3.660,0.158,11.434,80.963
Cer77_rep8_Dep6_Tu40,0.000,0.004,55.801,0.000,0.003,0.000,0.105,8.731,1.327,0.040,2.403,0.080,4.439,27.064
Cer77_rep7_Dep6_Tu0.3,0.000,0.894,0.000,0.000,0.001,0.000,0.036,0.877,0.387,0.223,2.826,0.050,9.444,85.261
Cer77_rep3_Dep6_Tu0.1,0.000,1.578,0.000,0.000,0.001,0.000,0.003,1.169,0.243,0.145,3.667,0.095,11.446,81.652
Cer77_rep4_Dep6_Tu0.3,0.000,0.973,0.000,0.000,0.004,0.000,0.061,1.455,0.716,0.205,2.476,0.043,10.936,83.131
Cer77_rep6_Dep6_Tu2,0.000,2.726,2.208,0.000,0.005,0.000,0.058,1.753,0.473,0.078,2.753,0.055,11.821,78.071
Cer77_rep6_Dep6_Tu20,0.000,0.150,32.842,0.001,0.024,0.000,0.271,2.866,2.641,0.079,2.729,0.051,9.797,48.547
Cer77_rep9_Dep6_Tu40,0.000,0.022,56.338,0.001,0.002,0.000,0.098,8.517,1.526,0.019,3.181,0.138,7.002,23.157
Cer77_rep6_Dep6_Tu40,0.000,0.009,55.889,0.000,0.004,0.000,0.071,7.932,1.305,0.107,3.362,0.085,6.057,25.180
Cer77_rep8_Dep6_Tu5,0.001,2.635,7.371,0.002,0.012,0.000,0.092,2.427,0.106,0.035,2.748,0.222,12.601,71.748
Cer77_rep5_Dep6_Tu50,0.000,0.002,65.341,0.000,0.003,0.000,0.070,7.669,2.810,0.122,4.143,0.113,5.227,14.499
Cer77_rep1_Dep6_Tu30,0.000,0.025,46.396,0.000,0.001,0.000,0.072,4.726,2.557,0.057,2.762,0.215,6.579,36.610
Cer77_rep2_Dep6_Tu20,0.000,0.047,32.100,0.001,0.008,0.000,0.183,1.922,3.703,0.366,3.964,0.073,8.331,49.302
Cer77_rep4_Dep6_Tu0.5,0.000,2.190,0.000,0.000,0.003,0.000,0.042,1.088,0.633,0.215,3.100,0.038,11.233,81.457
Cer77_rep2_Dep6_Tu40,0.000,0.097,55.794,0.001,0.004,0.000,0.187,9.142,0.273,0.039,4.236,0.255,4.797,25.174
Cer77_rep8_Dep6_Tu30,0.000,0.026,46.043,0.000,0.009,0.000,0.367,5.710,1.405,0.069,2.987,0.281,5.483,37.621
Cer77_rep3_Dep6_Tu40,0.000,0.013,56.544,0.000,0.003,0.000,0.056,7.254,1.974,0.040,3.110,0.240,5.902,24.862
Cer77_rep4_Dep6_Tu0.1,0.000,0.421,0.000,0.000,0.004,0.000,0.113,1.501,0.292,0.559,2.961,0.194,11.242,82.712
Cer77_rep2_Dep6_Tu1,0.001,1.778,0.030,0.000,0.018,0.000,0.058,0.953,0.550,0.243,3.729,0.100,11.132,81.409
Cer77_rep3_Dep6_Tu3,0.001,3.084,3.578,0.000,0.009,0.000,0.062,1.549,0.815,0.009,3.114,0.108,10.924,76.748
Cer77_rep2_Dep6_Tu30,0.000,0.018,45.379,0.001,0.002,0.000,0.085,6.136,2.105,0.189,2.661,0.345,7.095,35.984
Cer77_rep9_Dep6_Tu30,0.000,0.096,46.464,0.000,0.004,0.000,0.125,6.212,0.291,0.161,3.820,0.498,8.495,33.834
Cer77_rep7_Dep6_Tu20,0.000,0.051,33.059,0.000,0.003,0.000,0.062,4.362,1.258,0.070,3.211,0.069,7.073,50.783
Cer77_rep6_Dep6_Tu1,0.000,2.371,0.000,0.000,0.007,0.000,0.042,0.830,0.702,0.247,2.938,0.061,10.989,81.815
Cer77_rep7_Dep6_Tu50,0.000,0.002,65.180,0.000,0.003,0.000,0.068,5.674,5.078,0.103,5.016,0.092,3.932,14.853
Cer77_rep3_Dep6_Tu5,0.000,1.963,6.596,0.000,0.027,0.000,0.119,1.283,1.404,0.394,2.985,0.129,10.130,74.970
Cer77_rep8_Dep6_Tu0.5,0.000,1.072,0.001,0.000,0.017,0.000,0.075,2.267,0.425,0.349,1.834,0.068,10.126,83.767
