Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Cer77_rep9_Dep6_Tu3,0.031,0.934,0.157,0.093,2.515,0.000,0.524,0.341,22.264,0.625,6.530,1.163,64.823
Cer77_rep5_Dep6_Tu30,8.323,12.513,4.274,2.173,7.271,11.612,0.000,7.400,6.074,3.067,4.178,2.911,30.204
Cer77_rep3_Dep6_Tu30,8.652,14.197,4.269,2.066,10.711,14.259,0.000,3.677,4.222,2.660,3.172,3.130,28.985
Cer77_rep8_Dep6_Tu50,5.939,16.814,5.224,5.622,12.777,15.995,0.000,11.238,0.000,3.308,2.247,3.234,17.602
Cer77_rep1_Dep6_Tu1,0.012,0.740,0.024,0.000,0.446,0.000,3.085,0.272,20.876,1.147,8.208,0.698,64.492
Cer77_rep7_Dep6_Tu3,0.077,1.154,0.090,0.044,0.859,2.711,1.467,0.392,19.456,1.217,7.584,0.362,64.589
Cer77_rep10_Dep6_Tu2,0.012,0.890,0.083,0.065,0.865,0.000,0.402,0.419,26.019,1.176,4.910,0.660,64.500
Cer77_rep2_Dep6_Tu0.5,0.000,0.488,0.012,0.000,0.645,0.000,0.091,0.185,30.452,0.475,3.411,0.882,63.358
Cer77_rep3_Dep6_Tu20,5.884,10.976,2.779,1.067,9.014,3.705,0.000,2.544,15.717,1.825,3.733,2.650,40.106
Cer77_rep1_Dep6_Tu2,0.114,0.811,0.057,0.014,1.288,0.146,0.603,0.000,30.305,0.597,4.104,0.750,61.213
Cer77_rep2_Dep6_Tu5,0.278,2.644,0.377,0.164,3.688,0.527,0.079,0.640,20.703,0.764,2.197,0.847,67.092
Cer77_rep5_Dep6_Tu0.5,0.000,0.215,0.013,0.000,0.517,0.237,0.156,0.223,30.450,0.571,3.177,0.533,63.907
Cer77_rep2_Dep6_Tu50,10.141,17.562,7.055,5.411,13.721,14.789,0.000,5.830,0.000,2.602,2.082,3.370,17.437
Cer77_rep9_Dep6_Tu0.5,0.000,0.193,0.040,0.000,0.954,0.400,0.123,0.326,30.371,0.393,3.054,0.387,63.759
Cer77_rep4_Dep6_Tu10,2.055,4.682,1.463,0.306,4.984,4.497,0.000,1.178,22.843,1.208,4.462,0.770,51.550
