Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Cer77_rep9_Dep6_Tu3,0.584,3.316,1.042,1.781,1.998,0.000,2.850,0.867,2.571,12.326,8.253,2.882,61.528
Cer77_rep5_Dep6_Tu30,5.148,9.354,6.090,9.128,7.844,1.344,4.094,5.297,0.000,4.639,4.673,3.769,38.619
Cer77_rep3_Dep6_Tu30,4.976,11.459,5.901,9.378,8.091,1.164,3.821,3.358,0.000,5.724,4.147,2.500,39.480
Cer77_rep8_Dep6_Tu50,7.828,13.662,8.563,13.410,10.209,2.149,4.359,6.938,0.000,0.000,2.903,3.905,26.074
Cer77_rep1_Dep6_Tu1,0.774,2.909,0.541,0.000,1.555,0.580,3.130,0.381,3.845,10.867,8.948,2.845,63.624
Cer77_rep7_Dep6_Tu3,1.251,4.523,1.113,0.740,2.191,0.807,2.879,2.211,0.650,11.032,8.199,2.680,61.724
Cer77_rep10_Dep6_Tu2,0.081,3.451,0.820,0.707,2.262,0.018,2.907,3.305,0.000,10.893,8.536,2.795,64.225
Cer77_rep2_Dep6_Tu0.5,0.000,2.817,0.233,0.000,1.673,0.000,2.198,2.421,0.000,13.550,8.067,3.136,65.903
Cer77_rep3_Dep6_Tu20,3.637,7.805,4.452,6.829,6.411,0.785,3.470,3.359,0.000,7.572,5.380,3.251,47.050
Cer77_rep1_Dep6_Tu2,0.818,3.386,0.722,0.411,2.271,0.641,2.465,0.629,2.308,11.518,8.466,3.242,63.124
Cer77_rep2_Dep6_Tu5,1.464,5.550,1.263,2.170,2.532,0.292,2.424,2.973,0.000,10.955,7.160,2.875,60.342
Cer77_rep5_Dep6_Tu0.5,0.236,2.209,0.350,0.000,1.911,0.386,2.603,2.636,0.000,12.176,8.538,3.281,65.674
Cer77_rep2_Dep6_Tu50,6.796,14.714,8.789,13.570,11.458,1.676,3.029,6.651,0.000,0.276,3.875,3.561,25.605
Cer77_rep9_Dep6_Tu0.5,0.000,1.482,0.640,0.000,2.150,0.471,2.327,4.486,0.000,12.173,8.725,2.622,64.924
Cer77_rep4_Dep6_Tu10,2.895,5.101,2.894,3.419,3.908,1.021,2.857,3.034,0.000,8.992,9.020,2.418,54.439
Cer77_rep9_Dep6_Tu20,3.396,6.521,4.643,6.786,6.441,1.099,4.109,5.254,0.000,6.433,4.892,3.058,47.367
Cer77_rep3_Dep6_Tu10,2.468,6.417,2.393,2.781,3.634,0.641,3.790,5.116,0.000,8.135,6.967,2.523,55.135
Cer77_rep6_Dep6_Tu5,1.359,3.984,1.738,0.997,2.697,0.528,2.869,3.783,0.000,10.728,7.995,2.724,60.597
Cer77_rep5_Dep6_Tu1,0.494,2.879,0.665,0.000,1.462,0.243,2.622,3.080,0.000,12.007,10.237,2.768,63.541
Cer77_rep5_Dep6_Tu0.3,0.200,1.923,0.626,0.000,1.285,0.606,2.790,4.001,1.120,11.417,8.772,2.660,64.601
Cer77_rep4_Dep6_Tu50,7.588,13.189,8.716,13.513,11.332,1.875,4.197,6.979,0.000,0.000,3.517,3.351,25.742
Cer77_rep6_Dep6_Tu0.3,0.000,2.125,0.396,0.000,0.839,0.000,2.399,2.621,2.703,11.651,9.237,2.802,65.227
Cer77_rep4_Dep6_Tu40,6.065,12.695,7.192,11.686,10.340,1.707,3.626,5.350,0.000,2.523,3.910,3.049,31.856
Cer77_rep10_Dep6_Tu5,1.482,4.878,1.502,1.218,3.145,0.694,3.411,3.131,0.000,10.596,8.011,2.328,59.605
Cer77_rep3_Dep6_Tu1,0.232,3.270,0.434,0.187,2.033,0.502,2.772,0.797,2.432,10.971,8.974,3.285,64.111
Cer77_rep8_Dep6_Tu40,6.442,9.598,7.857,11.579,10.621,2.236,3.851,7.045,0.000,1.655,3.756,3.160,32.201
Cer77_rep7_Dep6_Tu0.3,0.480,2.656,0.356,0.000,1.288,0.354,2.731,2.263,0.000,12.563,9.168,2.554,65.586
Cer77_rep3_Dep6_Tu0.1,0.201,3.944,0.027,0.000,1.796,0.183,2.157,1.780,0.556,11.771,10.402,3.178,64.007
Cer77_rep4_Dep6_Tu0.3,0.084,2.428,0.428,0.000,1.522,0.263,2.699,1.301,0.893,14.730,7.816,2.731,65.106
Cer77_rep6_Dep6_Tu2,0.509,3.034,0.934,0.000,1.743,0.544,2.702,4.115,0.666,10.855,9.426,2.303,63.168
Cer77_rep6_Dep6_Tu20,3.712,9.248,4.893,6.421,5.936,1.046,3.228,4.988,0.000,5.969,3.715,2.867,47.977
Cer77_rep9_Dep6_Tu40,6.446,11.245,7.568,12.595,9.642,1.782,3.578,5.765,0.000,1.321,3.634,3.615,32.809
Cer77_rep6_Dep6_Tu40,6.377,11.570,7.823,11.862,9.505,1.666,3.776,4.439,0.000,2.904,3.040,3.261,33.778
Cer77_rep8_Dep6_Tu5,1.823,4.124,1.607,0.413,2.299,1.040,3.379,3.497,0.487,9.315,8.719,2.911,60.387
Cer77_rep5_Dep6_Tu50,8.020,13.656,8.609,13.293,10.785,2.132,3.500,5.235,0.000,1.269,3.340,3.314,26.847
Cer77_rep1_Dep6_Tu30,5.037,10.523,6.405,10.751,7.433,1.333,3.358,5.412,0.000,3.128,3.996,3.385,39.239
Cer77_rep2_Dep6_Tu20,3.727,8.072,4.518,6.445,5.846,0.667,3.887,4.138,0.000,7.454,5.601,2.925,46.722
Cer77_rep4_Dep6_Tu0.5,0.630,2.663,0.372,0.000,1.726,0.649,3.112,1.651,1.927,11.534,9.281,2.477,63.979
Cer77_rep2_Dep6_Tu40,6.527,13.271,7.693,11.342,8.419,1.798,4.052,6.708,0.000,0.413,3.846,3.215,32.719
Cer77_rep8_Dep6_Tu30,5.573,10.263,6.185,9.397,8.232,1.189,3.917,4.059,0.000,4.240,5.197,3.361,38.388
Cer77_rep3_Dep6_Tu40,6.936,12.463,7.298,11.331,8.682,1.875,3.340,5.215,0.000,1.939,4.092,3.694,33.136
Cer77_rep4_Dep6_Tu0.1,0.228,2.742,0.135,0.000,1.041,0.000,3.256,4.434,0.000,11.452,9.027,2.319,65.367
Cer77_rep2_Dep6_Tu1,0.047,3.142,0.635,0.000,1.069,0.186,2.840,3.291,0.000,12.435,9.952,2.473,63.931
Cer77_rep3_Dep6_Tu3,1.005,4.745,0.865,0.356,1.609,0.488,2.853,3.157,0.000,11.595,7.873,2.824,62.630
Cer77_rep2_Dep6_Tu30,5.300,10.016,5.738,9.805,7.334,1.171,2.626,4.588,0.000,5.821,4.550,4.051,39.001
Cer77_rep9_Dep6_Tu30,4.476,10.396,6.305,9.208,8.019,1.541,3.391,3.423,0.000,5.526,5.257,3.809,38.650
Cer77_rep7_Dep6_Tu20,3.964,8.204,4.308,6.119,6.443,1.415,2.648,4.656,0.000,6.629,6.884,2.978,45.751
Cer77_rep6_Dep6_Tu1,0.009,2.954,0.627,0.000,2.040,0.151,2.358,2.554,0.000,13.024,8.633,3.203,64.448
Cer77_rep7_Dep6_Tu50,7.410,12.706,8.658,13.791,10.646,1.457,3.487,7.994,0.000,1.407,3.319,3.200,25.924
Cer77_rep3_Dep6_Tu5,0.897,3.882,1.394,1.908,3.364,0.415,2.784,3.509,0.524,10.720,7.496,3.429,59.678
Cer77_rep8_Dep6_Tu0.5,0.236,2.910,0.656,0.000,1.298,0.000,3.058,3.725,1.232,11.170,7.470,2.434,65.810
Cer77_rep9_Dep6_Tu0.3,0.132,2.433,0.171,0.000,1.428,0.033,2.759,2.407,0.000,13.355,8.202,2.677,66.403
Cer77_rep6_Dep6_Tu0.5,0.834,2.980,0.386,0.000,1.382,0.412,3.264,1.810,1.849,11.072,8.066,2.627,65.318
