Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Cer77_rep9_Dep6_Tu3,7.880,0.000,11.018,0.000,10.218,0.000,12.523,0.047,0.000,0.000,0.116,0.198,0.000,1.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.174,0.000,18.689,0.000,2.102,0.000,6.530,0.000,0.000,0.000,0.415,12.832,0.000,0.000,0.000,0.000,14.776,0.000
Cer77_rep5_Dep6_Tu30,2.281,0.000,6.267,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.636,0.000,0.000,5.045,0.000,0.000,0.000,0.000,0.000,0.000,0.397,0.244,0.327,26.867,0.000,0.000,0.000,4.372,0.222,17.806,0.724,0.000,0.000,13.779,0.000,0.000,0.000,0.000,18.032
Cer77_rep3_Dep6_Tu30,0.000,0.000,1.827,0.000,0.000,0.000,0.000,3.159,0.000,0.000,11.204,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.447,0.000,0.884,0.555,20.497,0.000,9.349,0.000,0.000,0.696,0.000,0.000,0.633,0.000,19.433,0.000,0.000,0.000,0.000,26.314
Cer77_rep8_Dep6_Tu50,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.891,0.677,0.000,0.000,6.557,0.000,0.000,0.000,0.000,0.000,0.000,7.956,0.000,0.000,5.490,0.000,0.266,6.286,0.000,0.000,0.000,6.058,1.226,0.000,16.496,0.000,0.000,17.257,0.000,0.000,0.000,0.000,24.838
Cer77_rep1_Dep6_Tu1,10.153,0.280,10.010,16.381,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.432,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.656,0.000,33.859,0.000,14.188,0.000,3.032,0.000,0.000,0.000,0.628,0.000,0.486,0.000,0.000,0.000,0.893,0.000
Cer77_rep7_Dep6_Tu3,10.097,0.000,4.608,22.376,12.062,0.000,0.000,10.377,0.000,0.000,0.000,0.000,0.000,3.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.732,0.000,25.942,0.000,0.038,0.000,3.541,0.003,0.000,0.000,0.767,0.000,2.086,0.000,0.000,0.000,0.000,0.000
Cer77_rep10_Dep6_Tu2,12.118,0.000,7.057,1.266,0.000,0.000,6.572,1.953,0.107,0.000,0.000,0.000,0.000,3.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.402,0.006,35.524,0.000,2.028,0.000,0.949,0.284,0.000,0.000,0.000,0.000,6.346,0.000,0.000,0.000,17.375,0.000
Cer77_rep2_Dep6_Tu0.5,1.831,16.138,11.612,1.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.098,0.000,15.429,0.000,14.591,0.000,2.272,0.014,0.000,0.000,0.000,0.000,0.854,0.000,0.000,0.000,36.103,0.000
Cer77_rep3_Dep6_Tu20,2.442,5.539,7.492,0.000,0.000,0.000,0.456,0.000,0.000,0.000,0.000,4.506,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.504,0.418,27.356,0.000,0.000,0.000,3.967,0.174,9.125,1.014,0.000,0.000,10.771,0.000,0.000,0.000,8.912,17.322
Cer77_rep1_Dep6_Tu2,10.421,1.541,9.612,0.000,0.000,0.000,0.262,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.530,0.000,8.872,0.000,36.971,0.000,1.771,0.000,0.000,0.000,0.000,3.404,3.937,0.000,0.000,0.000,19.218,0.460
