Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Cer77_rep9_Dep6_Tu3,0.000,0.000,0.000,0.000,5.566,0.000,0.000,0.000,0.000,19.935,0.000,0.000,0.824,0.000,0.000,0.000,5.109,0.000,3.884,48.733,6.818,9.130,0.000
Cer77_rep5_Dep6_Tu30,0.086,5.489,0.000,0.319,17.819,8.177,0.000,33.958,0.000,0.000,0.000,3.538,2.033,0.000,0.000,0.000,0.000,0.000,0.000,25.214,0.000,3.365,0.000
Cer77_rep3_Dep6_Tu30,0.009,16.797,0.000,0.653,5.419,0.000,0.000,45.022,0.000,0.000,0.000,0.000,5.002,0.000,0.000,0.000,0.000,0.000,0.000,26.439,0.000,0.658,0.000
Cer77_rep8_Dep6_Tu50,0.535,12.707,0.000,1.585,16.331,12.664,0.000,44.141,0.000,0.000,0.000,0.000,3.069,0.000,0.000,0.000,0.000,0.000,6.295,2.432,0.000,0.239,0.000
Cer77_rep1_Dep6_Tu1,0.000,0.000,0.000,0.000,0.276,0.000,17.623,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.024,0.000,0.000,55.232,7.137,5.329,9.377
Cer77_rep7_Dep6_Tu3,0.000,0.000,0.000,0.000,0.359,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.028,0.000,28.836,51.788,0.000,10.987,0.000
Cer77_rep10_Dep6_Tu2,0.000,0.000,0.000,0.236,1.122,0.000,0.000,0.000,0.000,0.000,20.752,0.000,0.000,0.000,0.000,0.000,5.841,0.000,0.000,52.215,0.000,10.061,9.771
Cer77_rep2_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.423,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.018,0.000,0.000,59.955,13.173,12.429,0.000
Cer77_rep3_Dep6_Tu20,0.032,4.377,0.000,0.206,2.394,10.207,0.000,0.000,0.000,0.000,0.000,0.000,2.763,0.000,0.000,39.273,0.000,0.000,0.000,35.404,0.000,5.344,0.000
Cer77_rep1_Dep6_Tu2,0.000,0.000,0.000,0.000,0.645,0.000,0.000,0.000,0.000,0.000,0.000,11.039,0.000,0.000,0.000,0.000,19.545,0.000,0.000,61.396,0.000,7.373,0.000
Cer77_rep2_Dep6_Tu5,0.000,0.058,0.000,0.106,0.609,0.000,0.000,20.257,0.000,0.000,0.000,0.000,0.749,0.000,0.000,0.000,18.642,0.000,0.000,54.074,0.000,5.504,0.000
Cer77_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.794,7.259,0.294,10.248,0.000,0.000,60.240,3.815,14.566,0.622
Cer77_rep2_Dep6_Tu50,0.535,4.891,0.000,2.239,2.370,0.000,0.000,61.228,0.000,0.000,0.000,0.000,19.302,0.000,0.000,0.000,0.000,0.000,0.000,9.433,0.000,0.000,0.000
Cer77_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.675,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.262,0.000,11.166,0.000,0.000,51.827,8.723,12.452,3.894
Cer77_rep4_Dep6_Tu10,0.061,0.774,0.000,0.204,3.415,0.000,0.000,0.000,0.000,0.000,0.559,0.000,0.000,0.000,0.000,33.404,5.391,0.000,0.332,46.222,0.000,6.671,2.967
