Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Cer77_rep9_Dep6_Tu3,0.000,0.000,0.727,0.000,14.859,0.000,2.687,0.000,2.004,8.924,11.898,3.504,55.398
Cer77_rep5_Dep6_Tu30,4.893,11.571,3.446,4.188,25.074,9.684,0.928,0.000,0.341,5.076,3.835,1.289,29.673
Cer77_rep3_Dep6_Tu30,5.076,23.388,0.000,8.481,20.344,0.000,1.635,0.000,0.000,2.475,3.798,3.019,31.783
Cer77_rep8_Dep6_Tu50,7.615,17.978,6.481,13.984,25.359,8.589,0.754,0.000,0.000,0.000,5.133,4.481,9.625
Cer77_rep1_Dep6_Tu1,0.000,0.000,0.527,0.000,15.650,0.000,4.541,0.000,2.431,8.674,8.075,2.240,57.862
Cer77_rep7_Dep6_Tu3,0.003,0.000,0.000,0.000,16.656,0.181,4.422,0.000,0.000,10.496,9.713,5.474,53.055
Cer77_rep10_Dep6_Tu2,0.175,0.000,0.000,0.279,14.019,0.000,3.213,0.000,0.000,12.643,11.531,1.457,56.683
Cer77_rep2_Dep6_Tu0.5,0.000,0.000,0.000,0.106,9.928,0.000,0.946,0.000,0.000,14.837,13.362,1.172,59.649
Cer77_rep3_Dep6_Tu20,6.119,6.252,2.724,6.655,18.691,4.566,0.000,0.000,0.000,6.728,7.272,1.939,39.054
Cer77_rep1_Dep6_Tu2,0.000,0.000,0.000,0.000,16.736,0.000,2.469,0.000,0.000,12.785,9.301,3.023,55.687
Cer77_rep2_Dep6_Tu5,0.000,0.000,1.916,4.692,13.706,0.213,1.924,0.000,0.000,10.537,9.150,4.312,53.550
Cer77_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.000,7.712,0.000,3.915,0.000,0.000,11.461,6.748,4.224,65.939
Cer77_rep2_Dep6_Tu50,8.102,12.513,12.933,13.113,18.571,3.916,0.362,2.868,0.000,0.000,3.388,2.008,22.227
Cer77_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,15.487,0.000,1.310,0.000,0.000,11.744,11.425,4.091,55.943
Cer77_rep4_Dep6_Tu10,0.000,3.551,1.679,5.454,14.158,0.000,1.189,0.000,0.000,9.124,14.806,1.759,48.279
Cer77_rep9_Dep6_Tu20,4.915,4.598,6.244,5.287,13.124,5.877,2.764,2.146,0.000,7.876,7.253,2.644,37.272
Cer77_rep3_Dep6_Tu10,4.583,3.098,0.000,2.172,13.339,0.000,3.846,0.000,0.000,14.489,7.749,0.127,50.597
Cer77_rep6_Dep6_Tu5,0.000,0.000,3.276,0.000,14.287,3.136,4.417,0.000,0.000,11.159,5.743,2.330,55.652
Cer77_rep5_Dep6_Tu1,0.000,0.000,0.000,0.000,7.718,2.181,4.141,0.000,1.353,13.705,12.270,3.354,55.277
Cer77_rep5_Dep6_Tu0.3,0.000,0.000,0.000,0.000,12.687,0.222,3.027,0.000,1.416,9.681,13.043,5.261,54.664
