Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Cer77_rep9_Dep6_Tu3,0.000,0.000,0.577,0.000,15.059,0.000,2.713,0.000,2.135,8.676,11.951,3.544,55.345
Cer77_rep5_Dep6_Tu30,6.087,13.193,4.571,5.476,23.061,6.464,0.336,0.000,0.000,7.891,2.784,0.087,30.050
Cer77_rep3_Dep6_Tu30,6.193,26.550,0.000,8.607,17.231,0.000,0.664,0.000,0.000,5.281,2.653,1.185,31.637
Cer77_rep8_Dep6_Tu50,10.209,21.975,8.563,17.103,22.067,2.892,0.143,0.000,0.000,1.234,3.693,2.911,9.211
Cer77_rep1_Dep6_Tu1,0.000,0.000,0.425,0.000,15.784,0.000,4.557,0.000,2.520,8.504,8.119,2.270,57.822
Cer77_rep7_Dep6_Tu3,0.021,0.000,0.000,0.000,16.648,0.173,4.422,0.000,0.000,10.498,9.712,5.470,53.056
Cer77_rep10_Dep6_Tu2,0.000,0.000,0.000,0.208,14.468,0.000,3.346,0.000,0.000,12.032,11.653,1.752,56.542
Cer77_rep2_Dep6_Tu0.5,0.000,0.000,0.000,0.000,10.270,0.000,1.037,0.000,0.231,14.176,13.470,1.312,59.504
Cer77_rep3_Dep6_Tu20,7.145,7.254,3.685,7.750,16.599,1.671,0.000,0.000,0.000,8.974,6.451,0.711,39.761
Cer77_rep1_Dep6_Tu2,0.000,0.000,0.000,0.000,16.966,0.000,2.550,0.000,0.000,12.294,9.402,3.204,55.584
Cer77_rep2_Dep6_Tu5,0.000,0.000,2.062,4.795,13.538,0.000,1.880,0.000,0.000,10.775,9.092,4.223,53.634
Cer77_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.000,8.546,0.000,4.122,0.000,0.149,9.950,7.101,4.684,65.447
Cer77_rep2_Dep6_Tu50,9.973,15.127,15.083,15.050,14.916,0.000,0.000,2.420,0.000,3.144,1.838,0.178,22.271
Cer77_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,15.998,0.000,1.506,0.000,0.000,10.685,11.624,4.475,55.712
Cer77_rep4_Dep6_Tu10,0.000,3.792,1.846,5.462,13.707,0.000,1.047,0.000,0.000,9.558,14.718,1.516,48.354
Cer77_rep9_Dep6_Tu20,5.660,5.483,7.010,6.118,11.559,3.765,2.447,1.916,0.000,9.727,6.682,1.928,37.705
Cer77_rep3_Dep6_Tu10,4.630,3.197,0.000,2.167,13.190,0.000,3.808,0.000,0.000,14.635,7.707,0.040,50.627
Cer77_rep6_Dep6_Tu5,0.000,0.000,3.029,0.000,14.492,3.409,4.449,0.000,0.000,10.832,5.827,2.439,55.524
Cer77_rep5_Dep6_Tu1,0.000,0.000,0.000,0.000,7.912,2.624,4.141,0.000,1.627,12.872,12.389,3.387,55.048
Cer77_rep5_Dep6_Tu0.3,0.000,0.000,0.000,0.000,12.839,0.646,3.035,0.000,1.671,8.920,13.150,5.284,54.456
Cer77_rep4_Dep6_Tu50,7.429,21.416,8.642,18.861,18.442,0.195,0.000,4.162,0.000,4.326,3.351,0.000,13.177
Cer77_rep6_Dep6_Tu0.3,0.000,0.000,0.000,0.000,9.430,0.000,4.152,0.000,1.732,8.257,15.758,3.273,57.398
Cer77_rep4_Dep6_Tu40,4.558,15.491,8.238,13.714,19.908,4.810,0.000,0.000,0.000,6.948,3.274,1.757,21.302
Cer77_rep10_Dep6_Tu5,1.637,1.084,0.000,2.098,15.647,0.000,2.274,0.000,0.000,14.251,8.584,2.997,51.428
Cer77_rep3_Dep6_Tu1,0.000,0.000,0.000,0.000,13.354,0.000,2.277,0.000,1.112,6.572,13.104,5.403,58.179
Cer77_rep8_Dep6_Tu40,3.158,22.047,11.186,10.554,21.607,0.000,0.000,1.721,0.000,7.043,3.311,1.998,17.376
Cer77_rep7_Dep6_Tu0.3,0.000,0.000,0.000,0.000,9.455,0.000,1.224,0.000,0.000,13.582,11.353,3.682,60.705
Cer77_rep3_Dep6_Tu0.1,0.000,3.874,0.000,0.000,12.328,0.000,1.262,0.000,0.000,8.290,15.644,3.980,54.622
Cer77_rep4_Dep6_Tu0.3,0.000,1.558,0.000,0.000,7.357,0.000,3.542,0.000,2.157,10.322,11.426,3.035,60.602
Cer77_rep6_Dep6_Tu2,2.359,0.000,0.000,0.483,5.412,0.736,2.628,0.000,7.167,9.109,10.328,2.535,59.244
Cer77_rep6_Dep6_Tu20,2.848,18.264,3.800,8.811,8.206,0.818,1.798,0.000,0.000,6.303,7.464,3.950,37.739
Cer77_rep9_Dep6_Tu40,8.586,14.369,14.078,8.328,19.825,0.000,2.037,4.028,0.000,2.923,4.945,0.000,20.879
Cer77_rep6_Dep6_Tu40,3.489,20.166,8.440,13.094,13.772,0.000,0.242,2.188,0.000,6.066,2.956,2.434,27.153
Cer77_rep8_Dep6_Tu5,5.243,2.410,0.000,1.727,11.598,0.000,3.748,0.000,1.867,7.497,7.886,4.086,53.938
Cer77_rep5_Dep6_Tu50,6.496,22.843,11.906,12.604,14.792,0.980,0.866,0.000,0.000,6.805,5.627,0.659,16.422
Cer77_rep1_Dep6_Tu30,1.604,19.245,5.089,11.110,23.224,0.585,0.445,0.000,0.000,5.011,2.032,2.749,28.906
Cer77_rep2_Dep6_Tu20,1.490,19.613,1.321,3.300,17.612,2.141,3.319,0.243,0.000,10.379,6.524,0.020,34.037
Cer77_rep4_Dep6_Tu0.5,0.000,0.000,0.000,0.000,11.709,1.276,7.206,0.000,0.042,8.062,5.415,4.575,61.716
Cer77_rep2_Dep6_Tu40,5.456,25.861,6.453,13.392,13.209,0.498,4.767,0.639,0.000,5.462,0.720,0.000,23.542
Cer77_rep8_Dep6_Tu30,2.134,22.206,6.278,8.019,19.704,0.897,1.980,0.000,0.000,3.833,1.812,2.166,30.972
Cer77_rep3_Dep6_Tu40,4.755,26.345,2.433,12.486,20.373,0.855,1.885,0.000,0.000,3.146,2.208,2.479,23.035
Cer77_rep4_Dep6_Tu0.1,0.000,0.000,0.000,0.000,6.102,0.000,3.184,0.000,0.603,14.194,12.149,0.184,63.584
Cer77_rep2_Dep6_Tu1,0.000,0.000,0.000,0.000,12.402,0.000,0.000,0.000,0.000,13.362,11.386,3.315,59.535
Cer77_rep3_Dep6_Tu3,0.234,0.000,2.773,0.444,7.601,0.000,1.164,0.000,0.589,12.022,12.535,6.821,55.818
Cer77_rep2_Dep6_Tu30,4.781,16.315,5.254,13.835,21.624,0.000,0.000,0.000,0.000,6.456,3.821,0.000,27.914
Cer77_rep9_Dep6_Tu30,3.124,20.223,4.852,9.545,17.086,0.000,2.185,0.000,0.000,4.627,7.337,3.146,27.875
Cer77_rep7_Dep6_Tu20,3.363,16.306,6.561,5.038,15.134,0.000,0.000,0.000,0.000,9.064,6.582,2.288,35.664
Cer77_rep6_Dep6_Tu1,0.000,1.425,0.000,0.000,11.314,0.000,5.992,0.000,0.000,9.161,8.816,2.172,61.119
Cer77_rep7_Dep6_Tu50,7.776,28.067,10.372,14.419,8.949,0.000,0.629,0.020,0.000,9.435,3.138,0.000,17.195
Cer77_rep3_Dep6_Tu5,0.000,0.059,0.000,5.303,13.916,0.000,2.676,0.000,0.000,12.105,7.837,2.737,55.367
Cer77_rep8_Dep6_Tu0.5,0.000,0.000,0.000,0.000,13.085,0.000,6.049,0.000,0.818,10.060,7.823,0.000,62.165
