Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Cer77_rep9_Dep6_Tu3,0.509,1.663,7.165,9.453,2.386,7.028,1.552,7.302,4.671,0.165,1.309,5.292,0.559,0.526,2.220,1.297,1.517,0.491,1.763,1.949,0.899,0.465,0.543,0.076,0.071,0.175,0.225,0.081,0.034,0.003,0.006,0.010,0.076,2.423,1.061,0.104,0.029,0.265,0.573,0.314,1.251,1.167,6.278,1.281,0.609,0.106,0.582,0.493,21.478,0.505
Cer77_rep5_Dep6_Tu30,0.068,2.279,0.563,0.073,2.914,3.630,1.952,1.420,2.014,0.582,1.320,1.807,0.108,1.105,2.887,1.828,2.366,0.239,1.623,2.605,0.425,0.187,0.590,0.207,0.983,0.251,0.036,0.548,0.304,0.133,0.123,0.092,2.067,0.679,1.673,0.683,7.338,4.244,2.131,0.752,0.778,1.251,5.469,2.011,13.509,2.437,8.379,4.355,0.026,6.960
Cer77_rep3_Dep6_Tu30,1.458,2.243,2.016,1.100,1.065,2.768,2.027,2.791,1.430,0.761,1.252,1.371,1.145,0.950,1.647,0.891,1.029,1.406,0.046,1.219,0.734,1.727,0.548,0.915,0.217,0.528,0.452,0.159,0.083,0.085,0.061,0.014,1.148,1.054,0.773,0.553,8.461,0.016,2.557,3.449,2.297,1.883,2.692,4.679,19.691,2.601,7.455,5.049,0.740,0.763
Cer77_rep8_Dep6_Tu50,1.576,1.534,0.384,0.655,0.763,0.103,0.568,0.191,0.749,0.217,0.725,1.061,0.560,0.124,3.341,2.847,1.271,1.463,1.347,0.340,0.576,1.471,0.825,0.751,0.439,0.410,0.575,0.123,0.226,0.215,0.050,0.034,1.683,0.683,0.341,1.924,9.660,8.078,0.773,2.094,0.038,0.296,1.687,14.853,15.520,0.273,0.797,15.489,0.118,0.180
Cer77_rep1_Dep6_Tu1,1.907,1.298,7.444,4.461,2.894,9.519,7.218,5.825,6.639,2.340,2.993,2.303,0.268,1.719,0.058,0.327,1.097,2.136,0.302,1.384,0.788,0.463,0.897,0.019,0.135,0.262,0.089,0.043,0.038,0.001,0.011,0.036,0.462,0.902,0.965,0.082,0.044,0.085,0.415,0.416,15.908,1.965,3.670,0.167,0.113,2.093,0.308,0.072,6.088,1.326
Cer77_rep7_Dep6_Tu3,1.959,0.155,5.715,3.466,7.376,0.867,12.473,2.757,7.851,2.518,2.844,1.591,0.335,0.790,1.551,1.385,0.798,1.254,1.774,1.082,0.450,0.284,0.534,0.125,0.432,0.328,0.284,0.018,0.137,0.010,0.016,0.076,0.697,0.517,1.456,0.085,0.071,0.279,0.193,0.580,9.872,4.219,7.005,0.199,0.838,8.976,1.814,0.156,1.376,0.431
Cer77_rep10_Dep6_Tu2,2.045,1.337,5.359,10.240,9.980,8.296,4.832,2.292,2.785,0.344,1.812,3.729,0.840,1.203,0.998,0.155,0.578,1.086,1.940,1.144,0.922,0.216,0.199,0.110,0.379,0.258,0.093,0.017,0.024,0.002,0.016,0.036,0.636,1.808,1.191,0.213,0.120,0.204,0.157,0.279,12.476,6.251,4.312,1.039,1.021,2.029,0.176,0.366,4.252,0.199
Cer77_rep2_Dep6_Tu0.5,1.688,1.594,3.406,7.683,13.687,11.605,4.314,0.252,1.480,3.023,3.094,1.668,0.746,1.418,0.946,1.061,0.110,1.874,0.337,0.820,0.754,0.199,0.108,0.034,0.206,0.111,0.172,0.012,0.000,0.000,0.007,0.017,0.023,1.432,0.636,0.054,0.005,0.049,0.327,0.340,7.809,17.153,1.063,0.316,0.097,1.488,0.170,0.039,3.418,3.152
Cer77_rep3_Dep6_Tu20,1.708,1.648,2.059,2.398,3.026,3.965,2.290,3.521,2.509,1.827,1.106,1.905,0.925,0.027,0.277,0.444,2.587,2.618,0.783,0.882,0.577,1.146,0.337,0.556,0.472,0.491,0.531,0.155,0.240,0.013,0.021,0.030,0.992,1.177,0.876,3.206,3.538,1.890,0.703,1.256,1.540,0.195,5.218,13.262,8.204,9.253,0.026,1.281,0.639,5.671
Cer77_rep1_Dep6_Tu2,0.441,1.877,7.317,5.828,13.265,8.768,0.011,1.286,5.087,0.319,2.979,0.957,1.181,0.742,1.421,0.286,2.291,2.071,0.655,2.103,0.915,0.652,0.897,0.066,0.369,0.324,0.359,0.036,0.035,0.002,0.005,0.010,0.377,0.601,0.967,0.112,0.073,0.027,0.476,0.898,11.816,3.609,0.443,1.092,0.394,1.160,1.911,0.203,9.073,4.213
